"","x"
"1","AADAC"
"2","AAMP"
"3","AANAT"
"4","AARS"
"5","ABAT"
"6","ABCA1"
"7","ABCA2"
"8","ABCA3"
"9","ABCB7"
"10","ABCF1"
"11","ABCA4"
"12","ABL1"
"13","ABL2"
"14","ABO"
"15","ABR"
"16","ACAA1"
"17","ACACA"
"18","ACACB"
"19","ACADL"
"20","ACADM"
"21","ACADS"
"22","ACADSB"
"23","ACADVL"
"24","ACAT1"
"25","ACAT2"
"26","ACHE"
"27","ACLY"
"28","ACO1"
"29","ACO2"
"30","ACOX1"
"31","ACP1"
"32","ACP2"
"33","ACP5"
"34","ACPP"
"35","ACRV1"
"36","ACTA1"
"37","ACTA2"
"38","ACTC1"
"39","ACTG1"
"40","ACTG2"
"41","ACTN4"
"42","ACTL6A"
"43","ACTN1"
"44","ACTN2"
"45","ACTN3"
"46","ACVR1"
"47","ACVR1B"
"48","ACVR2A"
"49","ACVR2B"
"50","ACVRL1"
"51","ACYP1"
"52","ACYP2"
"53","ADA"
"54","ADAM8"
"55","ADAM10"
"56","ADAR"
"57","ADARB1"
"58","ADARB2"
"59","ADCY1"
"60","ADCY2"
"61","ADCY3"
"62","ADCY6"
"63","ADCY7"
"64","ADCY8"
"65","ADCY9"
"66","ADCYAP1"
"67","ADCYAP1R1"
"68","ADD1"
"69","ADD2"
"70","ADD3"
"71","PLIN2"
"72","ADH1A"
"73","ADH1B"
"74","ADH1C"
"75","ADH5"
"76","ADH6"
"77","ADH7"
"78","ADK"
"79","ADM"
"80","ADORA1"
"81","ADORA2B"
"82","ADORA3"
"83","ADPRH"
"84","PARP1"
"85","ADRA1D"
"86","ADRA1B"
"87","ADRA1A"
"88","ADRA2A"
"89","ADRA2B"
"90","ADRA2C"
"91","ADRB1"
"92","ADRB2"
"93","ADRB3"
"94","ADSL"
"95","ADSS"
"96","AP2A2"
"97","AP1B1"
"98","AP2B1"
"99","AP1G1"
"100","AEBP1"
"101","AES"
"102","CRISP1"
"103","AFM"
"104","AFP"
"105","AGA"
"106","ACAN"
"107","AGER"
"108","AGL"
"109","AGRP"
"110","JAG1"
"111","AGT"
"112","AGTR2"
"113","APLNR"
"114","AGXT"
"115","NR0B1"
"116","AHCY"
"117","AHR"
"118","AHSG"
"119","AIF1"
"120","AIM1"
"121","AK1"
"122","AK2"
"123","AKT1"
"124","AKT2"
"125","ALAD"
"126","ALAS1"
"127","ALAS2"
"128","ALB"
"129","ALCAM"
"130","ABCD1"
"131","ALDH1A1"
"132","ALDH2"
"133","ALDH3A1"
"134","ALDH1B1"
"135","ALDH1A3"
"136","ALDH3B1"
"137","ALDH3B2"
"138","ALDH9A1"
"139","ALDH3A2"
"140","ABCD2"
"141","ALDOA"
"142","ALDOB"
"143","ALDOC"
"144","AKR1B1"
"145","ALK"
"146","ALOX12"
"147","ALOX5"
"148","ALOX5AP"
"149","ALOX12B"
"150","ALOX15"
"151","ALOX15B"
"152","ALPI"
"153","ALPL"
"154","ALPP"
"155","ALPPL2"
"156","ALX3"
"157","AMBN"
"158","AMBP"
"159","AMD1"
"160","AMELX"
"161","AMFR"
"162","AMH"
"163","AMHR2"
"164","AMPD1"
"165","AMPD2"
"166","AMPD3"
"167","AMPH"
"168","BIN1"
"169","AMT"
"170","ANGPT1"
"171","ANGPT2"
"172","ANK1"
"173","ANK2"
"174","ANK3"
"175","ANPEP"
"176","SLC25A4"
"177","SLC25A5"
"178","SLC25A6"
"179","ANXA1"
"180","ANXA2"
"181","ANXA3"
"182","ANXA4"
"183","ANXA5"
"184","ANXA6"
"185","ANXA7"
"186","ANXA11"
"187","ANXA13"
"188","AOAH"
"189","AOC2"
"190","AOX1"
"191","APAF1"
"192","NUDT2"
"193","APOF"
"194","APBA1"
"195","APBA2"
"196","APBB1"
"197","APBB2"
"198","APC"
"199","APCS"
"200","AIRE"
"201","APEH"
"202","APEX1"
"203","BIRC2"
"204","BIRC3"
"205","XIAP"
"206","BIRC5"
"207","APLP1"
"208","APLP2"
"209","APOA1"
"210","APOA2"
"211","APOA4"
"212","APOB"
"213","APOBEC1"
"214","APOC1"
"215","AQP8"
"216","APOC3"
"217","APOD"
"218","APOE"
"219","APOH"
"220","APP"
"221","APRT"
"222","KLK3"
"223","FAS"
"224","FASLG"
"225","SHROOM2"
"226","AQP1"
"227","AQP2"
"228","AQP3"
"229","AQP4"
"230","AQP5"
"231","AQP6"
"232","AQP9"
"233","AR"
"234","ARAF"
"235","ARCN1"
"236","TRIM23"
"237","ARF1"
"238","ARF3"
"239","ARF4"
"240","ARL4D"
"241","ARF5"
"242","ARF6"
"243","ARG1"
"244","ARG2"
"245","RHOA"
"246","RHOB"
"247","RHOC"
"248","RND3"
"249","RHOG"
"250","ARHGAP1"
"251","ARHGAP4"
"252","ARHGAP5"
"253","ARHGAP6"
"254","ARHGDIA"
"255","ARHGDIB"
"256","ARHGDIG"
"257","RHOH"
"258","ARL1"
"259","PHOX2A"
"260","ARL2"
"261","ARL3"
"262","ARNT"
"263","ARNTL"
"264","ARR3"
"265","ARRB1"
"266","ARRB2"
"267","ARSA"
"268","ARSB"
"269","STS"
"270","ARSD"
"271","ARSE"
"272","ART1"
"273","ART3"
"274","ART4"
"275","ARVCF"
"276","ASAH1"
"277","ASCL1"
"278","ASCL2"
"279","ASGR1"
"280","ASGR2"
"281","ASL"
"282","ASMT"
"283","ASNA1"
"284","ASNS"
"285","ASPA"
"286","ASPH"
"287","ASS1"
"288","ASTN1"
"289","SERPINC1"
"290","ZFHX3"
"291","ATF1"
"292","ATF3"
"293","ATIC"
"294","ATM"
"295","RERE"
"296","ATOH1"
"297","ATOX1"
"298","ATP1A1"
"299","ATP1A2"
"300","ATP1A3"
"301","ATP12A"
"302","ATP1B1"
"303","ATP1B2"
"304","ATP1B3"
"305","ATP2A1"
"306","ATP2A2"
"307","ATP2A3"
"308","ATP2B1"
"309","ATP2B2"
"310","ATP2B3"
"311","ATP2B4"
"312","ATP4A"
"313","ATP4B"
"314","ATP5A1"
"315","ALDH7A1"
"316","ATP5B"
"317","ATP5C1"
"318","ATP5D"
"319","ATP5F1"
"320","ATP5G1"
"321","ATP5G2"
"322","ATP5G3"
"323","ATP5I"
"324","ATP5J"
"325","ATP6V1A"
"326","ATP6V1B1"
"327","ATP6V1B2"
"328","ATP6V0C"
"329","ATP6V1C1"
"330","ATP6V1E1"
"331","ATP6V0B"
"332","ATP6V1G2"
"333","ATP6V0A1"
"334","ATP6AP1"
"335","ATP7A"
"336","ATP5O"
"337","ATP7B"
"338","ATR"
"339","ATRX"
"340","KIF1A"
"341","AUH"
"342","AUP1"
"343","AVP"
"344","AVPR1A"
"345","AVPR1B"
"346","AXL"
"347","AZGP1"
"348","AZU1"
"349","B2M"
"350","BAAT"
"351","BACH1"
"352","BAD"
"353","BAG1"
"354","NKX3-2"
"355","BARD1"
"356","BAX"
"357","BBS1"
"358","BBS4"
"359","BCAT1"
"360","BCAT2"
"361","BCHE"
"362","BCKDHA"
"363","BCKDHB"
"364","CCND1"
"365","BCL2"
"366","BCL2A1"
"367","BCL2L1"
"368","BCL3"
"369","BCL6"
"370","BCL7A"
"371","BCL9"
"372","TNFRSF17"
"373","HCN2"
"374","OPN1SW"
"375","BCR"
"376","BCS1L"
"377","BDH1"
"378","BDKRB1"
"379","BDKRB2"
"380","BDNF"
"381","CFB"
"382","BFSP1"
"383","BGN"
"384","CEACAM1"
"385","BHMT"
"386","BICD1"
"387","BID"
"388","BIK"
"389","PRDM1"
"390","BLK"
"391","BLM"
"392","BLMH"
"393","CXCR5"
"394","BLVRA"
"395","BLVRB"
"396","BNC1"
"397","BMP1"
"398","BMP2"
"399","BMP3"
"400","BMP4"
"401","BMP5"
"402","BMP6"
"403","BMP7"
"404","BMP8B"
"405","BMPR1A"
"406","BMPR1B"
"407","BMPR2"
"408","BMX"
"409","POLR3D"
"410","BNIP1"
"411","BNIP2"
"412","BNIP3"
"413","BNIP3L"
"414","DST"
"415","FOXL2"
"416","BPGM"
"417","BPHL"
"418","BPI"
"419","BRCA1"
"420","BRAF"
"421","BRCA2"
"422","BRDT"
"423","ZFP36L1"
"424","ZFP36L2"
"425","BRS3"
"426","BSG"
"427","BST1"
"428","BST2"
"429","BTC"
"430","BTD"
"431","KLF9"
"432","KLF5"
"433","BTF3"
"434","BTG1"
"435","BTK"
"436","BUB1"
"437","BUB1B"
"438","BYSL"
"439","TSPO"
"440","C1QBP"
"441","SERPING1"
"442","C1QA"
"443","C1QB"
"444","C1R"
"445","C1S"
"446","C2"
"447","C3"
"448","C3AR1"
"449","C4BPA"
"450","C4BPB"
"451","CAPN5"
"452","C5"
"453","C5AR1"
"454","C6"
"455","C7"
"456","C8A"
"457","C8B"
"458","C8G"
"459","OSGIN2"
"460","C9"
"461","MRPL49"
"462","ZNHIT2"
"463","MPPED2"
"464","DAGLA"
"465","FMNL1"
"466","PTTG1IP"
"467","C21orf2"
"468","TMEM50B"
"469","MPPED1"
"470","CA1"
"471","CA2"
"472","CA3"
"473","CA4"
"474","CA6"
"475","CA7"
"476","CA8"
"477","CA9"
"478","CA11"
"479","CA12"
"480","CACNA1A"
"481","CACNA1B"
"482","CACNA1C"
"483","CACNA1D"
"484","CACNA1E"
"485","CACNA1F"
"486","CACNA1S"
"487","DDR1"
"488","CACNA2D1"
"489","CACNB1"
"490","CACNB2"
"491","CACNB3"
"492","CACNB4"
"493","CACNG1"
"494","SLC25A20"
"495","CAD"
"496","CALB1"
"497","CALB2"
"498","S100G"
"499","CALCA"
"500","CALCB"
"501","CALCR"
"502","CALD1"
"503","CALM1"
"504","CALM3"
"505","CALML3"
"506","CALR"
"507","CALU"
"508","CAMK4"
"509","CAMK2A"
"510","CAMK2B"
"511","CAMK2G"
"512","CAMLG"
"513","CAMP"
"514","CANX"
"515","CAPG"
"516","CAPN1"
"517","CAPN2"
"518","CAPN3"
"519","CAPNS1"
"520","CAPN6"
"521","CAPZA2"
"522","CAST"
"523","CAPZB"
"524","CARS"
"525","CASP1"
"526","CASP2"
"527","CASP3"
"528","CASP4"
"529","CASP5"
"530","CASP6"
"531","CASP7"
"532","CASP8"
"533","CASP9"
"534","CASP10"
"535","CASQ1"
"536","CASQ2"
"537","CASR"
"538","CAT"
"539","CAV1"
"540","CAV2"
"541","CAV3"
"542","RUNX2"
"543","RUNX1"
"544","RUNX1T1"
"545","CBFA2T3"
"546","RUNX3"
"547","CBFB"
"548","SERPINA6"
"549","CBL"
"550","CBLB"
"551","CBLN1"
"552","SERPINH1"
"553","CBR1"
"554","CBR3"
"555","CCIN"
"556","CCK"
"557","CCKAR"
"558","CCKBR"
"559","KRIT1"
"560","CCNA2"
"561","CCNB1"
"562","CCNC"
"563","CCND2"
"564","CCND3"
"565","CCNE1"
"566","CCNF"
"567","CCNG1"
"568","CCNG2"
"569","CCNH"
"570","CCNT1"
"571","CCNT2"
"572","CCT6A"
"573","CD1A"
"574","CD1B"
"575","CD1C"
"576","CD1D"
"577","CD1E"
"578","CD2"
"579","CD3D"
"580","CD3E"
"581","CD3G"
"582","CD247"
"583","CD4"
"584","CD5"
"585","CD5L"
"586","CD6"
"587","CD7"
"588","CD8A"
"589","CD8B"
"590","CD9"
"591","CD14"
"592","CD19"
"593","MS4A1"
"594","MS4A3"
"595","CD22"
"596","CD27"
"597","CD28"
"598","CD80"
"599","CD86"
"600","TNFRSF8"
"601","TNFSF8"
"602","CD33"
"603","SIGLEC6"
"604","CD34"
"605","CD36"
"606","SCARB1"
"607","SCARB2"
"608","CD37"
"609","CD38"
"610","ENTPD1"
"611","ENTPD2"
"612","ENTPD6"
"613","ENTPD3"
"614","ENTPD5"
"615","CD40"
"616","CD40LG"
"617","CD44"
"618","CD47"
"619","CD48"
"620","CD53"
"621","CD58"
"622","CD59"
"623","CD63"
"624","CD68"
"625","CD69"
"626","CD70"
"627","CD72"
"628","CD74"
"629","CD79A"
"630","CD79B"
"631","CD81"
"632","CD151"
"633","CDA"
"634","CDK1"
"635","LRBA"
"636","CDC5L"
"637","SEPT7"
"638","CDC6"
"639","CDC20"
"640","CDC25A"
"641","CDC25B"
"642","CDC25C"
"643","CDC27"
"644","CDC34"
"645","CDC42"
"646","CDH1"
"647","CDH2"
"648","CDH3"
"649","CDH4"
"650","CDH5"
"651","CDH6"
"652","CDH7"
"653","CDH8"
"654","CDH9"
"655","CDH10"
"656","CDH11"
"657","CDH12"
"658","CDH13"
"659","CDH15"
"660","CDH16"
"661","CDH17"
"662","CDH18"
"663","CDK2"
"664","CDK4"
"665","CDK5"
"666","CDK6"
"667","CDK7"
"668","CDK8"
"669","CDK9"
"670","CDKN1A"
"671","CDKN1B"
"672","CDKN1C"
"673","CDKN2A"
"674","CDKN2B"
"675","CDKN2C"
"676","CDKN2D"
"677","CDKN3"
"678","CDO1"
"679","CDR1"
"680","CDR2"
"681","CDS1"
"682","CDSN"
"683","CD52"
"684","CDX1"
"685","CDX2"
"686","CDX4"
"687","CLGN"
"688","CEACAM5"
"689","CEBPA"
"690","CEBPB"
"691","CEBPD"
"692","CEBPE"
"693","CEBPG"
"694","CEL"
"695","CENPA"
"696","CENPB"
"697","CENPE"
"698","CENPF"
"699","CETN1"
"700","CETN2"
"701","CETN3"
"702","CETP"
"703","CTSC"
"704","CFTR"
"705","CGA"
"706","CEACAM3"
"707","CEACAM7"
"708","CEACAM8"
"709","CEACAM4"
"710","CHAD"
"711","RCBTB2"
"712","RCC1"
"713","CHD3"
"714","CHD4"
"715","AKR1C4"
"716","CHEK1"
"717","FOXN3"
"718","CHGA"
"719","CHGB"
"720","CHI3L1"
"721","CHI3L2"
"722","CHIT1"
"723","CHKA"
"724","CHM"
"725","CHML"
"726","CHN1"
"727","CHN2"
"728","CHRM2"
"729","LYST"
"730","CHRM3"
"731","CHRM5"
"732","CHRNA1"
"733","CHRNA2"
"734","CHRNA3"
"735","CHRNA4"
"736","CHRNA5"
"737","CHRNB1"
"738","CHRNB2"
"739","CHRNB3"
"740","CHRNB4"
"741","CHRND"
"742","CHRNE"
"743","CHRNG"
"744","CHUK"
"745","CIDEA"
"746","CKB"
"747","CIRBP"
"748","CISH"
"749","TBCB"
"750","CKM"
"751","CKMT2"
"752","ERCC8"
"753","CKS2"
"754","AP2M1"
"755","AP1S1"
"756","AP2S1"
"757","CLC"
"758","CLCA1"
"759","CLCN1"
"760","CLCN2"
"761","CLCN3"
"762","CLCN4"
"763","CLCN5"
"764","CLCN6"
"765","CLCN7"
"766","CLCNKB"
"767","CLU"
"768","CLIC1"
"769","CLIC2"
"770","CLK1"
"771","CLK2"
"772","CLK3"
"773","TPP1"
"774","CLN3"
"775","CLN5"
"776","CLNS1A"
"777","CLPS"
"778","CLPTM1"
"779","CLTA"
"780","CLTB"
"781","CLTC"
"782","CMA1"
"783","CCR1"
"784","CCR3"
"785","CCR4"
"786","CCR5"
"787","CCR6"
"788","CCR7"
"789","CCR8"
"790","CMKLR1"
"791","LTB4R"
"792","ABCC2"
"793","CNGB1"
"794","CNGA1"
"795","CNGA3"
"796","PLK3"
"797","CNN1"
"798","CNN2"
"799","CNN3"
"800","CNP"
"801","CNR1"
"802","CNR2"
"803","CNTFR"
"804","CNTN1"
"805","COL1A1"
"806","COL1A2"
"807","COL2A1"
"808","COL3A1"
"809","COL4A1"
"810","COL4A2"
"811","COL4A3"
"812","COL4A4"
"813","COL4A5"
"814","COL4A6"
"815","COL5A1"
"816","COL5A2"
"817","COL6A1"
"818","COL6A2"
"819","COL6A3"
"820","COL7A1"
"821","COL8A2"
"822","COL9A1"
"823","COL9A2"
"824","COL9A3"
"825","COL10A1"
"826","COL11A1"
"827","COL11A2"
"828","COL13A1"
"829","COL15A1"
"830","COL16A1"
"831","COL17A1"
"832","COL19A1"
"833","COMP"
"834","COMT"
"835","COPA"
"836","COPB1"
"837","KLF6"
"838","SLC31A1"
"839","SLC31A2"
"840","MAP3K8"
"841","COX4I1"
"842","COX5B"
"843","COX6A2"
"844","COX6B1"
"845","COX6C"
"846","COX7A1"
"847","COX7A2"
"848","COX7B"
"849","COX7C"
"850","COX8A"
"851","COX10"
"852","COX11"
"853","COX15"
"854","CP"
"855","CPA1"
"856","CPA2"
"857","CPA3"
"858","CPB1"
"859","CPB2"
"860","CPD"
"861","CPE"
"862","CLDN4"
"863","CLDN3"
"864","CLDN7"
"865","CPM"
"866","CPN1"
"867","CPN2"
"868","CPOX"
"869","CPS1"
"870","CPT1A"
"871","CPT2"
"872","CR1"
"873","CR2"
"874","CRABP1"
"875","CRABP2"
"876","CRAT"
"877","CREB1"
"878","ATF2"
"879","CREBBP"
"880","ATF6B"
"881","CREBL2"
"882","CREM"
"883","CRH"
"884","CRHBP"
"885","CRHR2"
"886","CRIP1"
"887","CRIP2"
"888","CRK"
"889","CRKL"
"890","CRMP1"
"891","CRP"
"892","HAPLN1"
"893","CRX"
"894","CRY1"
"895","CRY2"
"896","CRYAB"
"897","CRYBA1"
"898","CRYBA2"
"899","CRYBA4"
"900","CRYBB1"
"901","CRYBB2"
"902","CRYBB3"
"903","CRYGA"
"904","CRYGB"
"905","CRYGC"
"906","CRYGD"
"907","CRYM"
"908","CRYZ"
"909","MAPK14"
"910","CSE1L"
"911","CSF1"
"912","CSF1R"
"913","CSF2"
"914","CSF2RA"
"915","CSF2RB"
"916","CSF3"
"917","CSF3R"
"918","CSH1"
"919","CSH2"
"920","CSHL1"
"921","CSK"
"922","CSN1S1"
"923","CSN3"
"924","CSNK1A1"
"925","CSNK1D"
"926","CSNK1G2"
"927","CSNK1G3"
"928","CSNK2A1"
"929","CSNK2A2"
"930","CSNK2B"
"931","VCAN"
"932","NCAN"
"933","CSPG4"
"934","CSRP1"
"935","CSRP2"
"936","CST1"
"937","CST2"
"938","CST3"
"939","CST4"
"940","CST5"
"941","CST6"
"942","CSTA"
"943","CSTB"
"944","CSTF1"
"945","CSTF2"
"946","CSTF3"
"947","NKX2-5"
"948","CTBS"
"949","CTBP1"
"950","CTBP2"
"951","CTF1"
"952","CTGF"
"953","CTH"
"954","CTLA4"
"955","CTNNA1"
"956","CTNNA2"
"957","CTNS"
"958","CTNNB1"
"959","CTNND2"
"960","CTRL"
"961","CTSB"
"962","CTSD"
"963","CTSE"
"964","CTSG"
"965","CTSH"
"966","CTSK"
"967","CTSO"
"968","CTSS"
"969","CTSW"
"970","CTSZ"
"971","CUX1"
"972","CX3CR1"
"973","CXADR"
"974","CYB5A"
"975","CYB561"
"976","CYBA"
"977","CYBB"
"978","CYC1"
"979","CYLC1"
"980","CYLC2"
"981","CYLD"
"982","CYP1A1"
"983","CYP1A2"
"984","CYP1B1"
"985","CYP2A6"
"986","CYP2A7"
"987","CYP2B6"
"988","CYP2C19"
"989","CYP2C8"
"990","CYP2C9"
"991","CYP2C18"
"992","CYP2E1"
"993","CYP2J2"
"994","CYP3A4"
"995","CYP3A5"
"996","CYP4A11"
"997","CYP4B1"
"998","CYP7A1"
"999","CYP11A1"
"1000","CYP17A1"
"1001","CYP19A1"
"1002","CYP21A2"
"1003","CYP24A1"
"1004","CYP26A1"
"1005","CYP27A1"
"1006","CYP27B1"
"1007","CYP51A1"
"1008","DAB1"
"1009","DAB2"
"1010","DACH1"
"1011","DAD1"
"1012","CD55"
"1013","DAG1"
"1014","DGKA"
"1015","DGKB"
"1016","DGKG"
"1017","DGKQ"
"1018","DAO"
"1019","DAP"
"1020","DAPK1"
"1021","DAPK3"
"1022","DARS"
"1023","DAXX"
"1024","DAZL"
"1025","DBH"
"1026","DBI"
"1027","DBN1"
"1028","DBP"
"1029","DBT"
"1030","DCC"
"1031","DCK"
"1032","DCN"
"1033","DCTD"
"1034","ACE"
"1035","DCT"
"1036","DCTN1"
"1037","DCX"
"1038","DDB1"
"1039","DDB2"
"1040","DDC"
"1041","AKR1C1"
"1042","GADD45A"
"1043","DDIT3"
"1044","DDOST"
"1045","DDX1"
"1046","DDX3X"
"1047","DDX5"
"1048","DDX6"
"1049","DMXL1"
"1050","DHX8"
"1051","DHX9"
"1052","DDX10"
"1053","DDX11"
"1054","DHX15"
"1055","DECR1"
"1056","DEFA4"
"1057","DEFA5"
"1058","DEFA6"
"1059","DEFB1"
"1060","DES"
"1061","CFD"
"1062","DFFA"
"1063","DFFB"
"1064","TIMM8A"
"1065","DFNA5"
"1066","COCH"
"1067","DGUOK"
"1068","DHCR7"
"1069","DHCR24"
"1070","DHODH"
"1071","DHPS"
"1072","CYB5R3"
"1073","NQO1"
"1074","DIAPH1"
"1075","DIAPH2"
"1076","DIO1"
"1077","DIO2"
"1078","DKC1"
"1079","DLAT"
"1080","DLD"
"1081","DLG1"
"1082","DLG2"
"1083","DLG3"
"1084","DLG4"
"1085","DLST"
"1086","DLX2"
"1087","DLX4"
"1088","DLX5"
"1089","DLX6"
"1090","DMBT1"
"1091","DMD"
"1092","SARDH"
"1093","DMP1"
"1094","DNM1"
"1095","DMPK"
"1096","DMRT1"
"1097","DMWD"
"1098","DNA2"
"1099","DNAH6"
"1100","DNAH9"
"1101","DNASE1"
"1102","DNASE1L1"
"1103","DNASE1L2"
"1104","DNASE1L3"
"1105","DNASE2"
"1106","DYNC1H1"
"1107","DYNC1I1"
"1108","DYNC1LI2"
"1109","DNM2"
"1110","DNMT1"
"1111","TRDMT1"
"1112","DNMT3A"
"1113","DNMT3B"
"1114","DNTT"
"1115","DOCK1"
"1116","DOCK2"
"1117","DOCK3"
"1118","DOK1"
"1119","DPAGT1"
"1120","DPEP1"
"1121","DPH2"
"1122","DPP4"
"1123","DPP6"
"1124","DPT"
"1125","DPYD"
"1126","DPYS"
"1127","DPYSL2"
"1128","DPYSL3"
"1129","DR1"
"1130","SLC26A3"
"1131","DRD1"
"1132","DRD2"
"1133","DRD4"
"1134","DRD5"
"1135","DRG2"
"1136","ARID3A"
"1137","DRP2"
"1138","ATN1"
"1139","DSC1"
"1140","DSC2"
"1141","DSC3"
"1142","DSCAM"
"1143","RCAN1"
"1144","DSG1"
"1145","DSG2"
"1146","DSG3"
"1147","TSC22D3"
"1148","DSP"
"1149","EPYC"
"1150","SLC26A2"
"1151","DTNA"
"1152","DTNB"
"1153","HBEGF"
"1154","DTYMK"
"1155","ECM2"
"1156","DUSP1"
"1157","DUSP2"
"1158","DUSP3"
"1159","DUSP4"
"1160","DUSP5"
"1161","DUSP6"
"1162","DUSP7"
"1163","DUSP8"
"1164","DUSP9"
"1165","DUT"
"1166","DVL1"
"1167","DVL2"
"1168","DVL3"
"1169","DYRK1A"
"1170","TOR1A"
"1171","E2F1"
"1172","E2F2"
"1173","E2F3"
"1174","E2F4"
"1175","E2F5"
"1176","E4F1"
"1177","GPR183"
"1178","ECE1"
"1179","TYMP"
"1180","ECH1"
"1181","ECHS1"
"1182","ECM1"
"1183","ECT2"
"1184","EDA"
"1185","S1PR1"
"1186","LPAR1"
"1187","EDN1"
"1188","EDN2"
"1189","EDN3"
"1190","EDNRA"
"1191","EDNRB"
"1192","PHC2"
"1193","EEF1A2"
"1194","EEF1D"
"1195","EEF2"
"1196","EFNA1"
"1197","EFNA2"
"1198","EFNA3"
"1199","EFNA4"
"1200","EFNA5"
"1201","EFNB1"
"1202","EFNB3"
"1203","EGF"
"1204","CELSR3"
"1205","CELSR2"
"1206","MEGF6"
"1207","MEGF8"
"1208","MEGF9"
"1209","EGFR"
"1210","EGR1"
"1211","EGR2"
"1212","EGR3"
"1213","EGR4"
"1214","EHHADH"
"1215","EIF1AX"
"1216","EIF2S1"
"1217","EIF2B1"
"1218","EPHA2"
"1219","EIF4A2"
"1220","EIF4E"
"1221","EIF4EBP1"
"1222","EIF4EBP2"
"1223","EIF4G1"
"1224","EIF4G2"
"1225","EIF5"
"1226","EIF5A"
"1227","ELANE"
"1228","SERPINB1"
"1229","ELAVL2"
"1230","ELAVL1"
"1231","ELAVL3"
"1232","ELAVL4"
"1233","ELF1"
"1234","ELF2"
"1235","ELF3"
"1236","ELF4"
"1237","ELF5"
"1238","ELK1"
"1239","ELK3"
"1240","ELK4"
"1241","ELN"
"1242","EML1"
"1243","EMD"
"1244","MARK2"
"1245","EMP1"
"1246","EMP2"
"1247","EMP3"
"1248","EMX1"
"1249","CTTN"
"1250","EMX2"
"1251","EN1"
"1252","EN2"
"1253","ENDOG"
"1254","ENG"
"1255","ENO1"
"1256","ENO2"
"1257","ENO3"
"1258","ENPEP"
"1259","ENSA"
"1260","SLC29A1"
"1261","EP300"
"1262","EPAS1"
"1263","EPB41"
"1264","EPB41L1"
"1265","EPB41L2"
"1266","EPB42"
"1267","STOM"
