gene_name	p_value	avg_logFC	pct.1	pct.2	p value adjusted	cluster	gene
CD74	0	-2.063569738	0.733	0.922	0	0	CD74
HLA-DRA	0	-2.767707814	0.293	0.75	0	0	HLA-DRA
LYZ	0	-2.793053462	0.503	0.678	0	0	LYZ
FTL	7.65629490016171e-312	-1.809748514	0.977	0.995	1.05E-307	0	FTL
TYROBP	3.90E-285	-2.691760589	0.131	0.594	5.36E-281	0	TYROBP
RPS27	1.21E-281	0.539905138	0.999	0.989	1.66E-277	0	RPS27
HLA-DRB1	7.82E-280	-2.261211332	0.126	0.702	1.07E-275	0	HLA-DRB1
RPS12	2.12E-277	0.582547705	1	0.987	2.90E-273	0	RPS12
HLA-DPA1	4.61E-277	-2.109042377	0.2	0.706	6.32E-273	0	HLA-DPA1
HLA-DPB1	8.50E-276	-2.135564415	0.242	0.715	1.17E-271	0	HLA-DPB1
CYBA	8.31E-270	-1.160645314	0.728	0.928	1.14E-265	0	CYBA
FTH1	8.58E-269	-1.445833544	0.986	0.99	1.18E-264	0	FTH1
LDHB	8.61E-269	1.150708801	0.929	0.477	1.18E-264	0	LDHB
CST3	2.00E-268	-2.617046402	0.196	0.547	2.75E-264	0	CST3
RPS25	2.44E-262	0.612872003	0.999	0.964	3.34E-258	0	RPS25
CD3D	9.51E-242	1.0181333	0.874	0.257	1.30E-237	0	CD3D
RPS27A	4.35E-236	0.576050308	0.997	0.953	5.96E-232	0	RPS27A
S100A9	2.68E-231	-3.268861859	0.161	0.501	3.67E-227	0	S100A9
RPS6	6.90E-223	0.491964314	0.999	0.992	9.46E-219	0	RPS6
RPS18	3.32E-217	0.416998115	0.999	0.994	4.55E-213	0	RPS18
RPS15A	9.36E-216	0.501060392	0.997	0.977	1.28E-211	0	RPS15A
FCER1G	3.10E-215	-2.175551272	0.097	0.549	4.26E-211	0	FCER1G
HLA-DRB5	8.53E-215	-1.852942168	0.051	0.566	1.17E-210	0	HLA-DRB5
RPL13A	2.29E-207	0.373148262	1	0.999	3.13E-203	0	RPL13A
RPS3	3.44E-206	0.473504621	1	0.99	4.71E-202	0	RPS3
RPL31	1.12E-204	0.579633165	0.998	0.951	1.53E-200	0	RPL31
RPL32	1.07E-202	0.429312002	0.999	0.993	1.47E-198	0	RPL32
CTSS	1.50E-201	-1.46717835	0.359	0.636	2.06E-197	0	CTSS
RPL23A	3.00E-199	0.42753331	1	0.982	4.11E-195	0	RPL23A
RPL30	4.25E-199	0.525031819	0.998	0.972	5.83E-195	0	RPL30
RPLP2	7.19E-199	0.458135425	1	0.985	9.86E-195	0	RPLP2
RPL13	1.30E-197	0.383464253	1	0.995	1.78E-193	0	RPL13
RPL3	5.07E-196	0.458298026	0.997	0.994	6.95E-192	0	RPL3
RPL9	2.02E-193	0.537081671	0.997	0.959	2.77E-189	0	RPL9
OAZ1	5.40E-187	-0.952446871	0.865	0.939	7.40E-183	0	OAZ1
RPL27A	1.93E-185	0.425311338	0.999	0.983	2.65E-181	0	RPL27A
LST1	7.01E-183	-2.024771595	0.159	0.501	9.62E-179	0	LST1
COTL1	6.42E-176	-1.143569429	0.578	0.66	8.80E-172	0	COTL1
RPS14	3.56E-174	0.462168234	0.999	0.993	4.88E-170	0	RPS14
LGALS1	2.50E-173	-1.750212165	0.279	0.62	3.44E-169	0	LGALS1
MALAT1	2.00E-172	0.374736982	1	0.999	2.74E-168	0	MALAT1
SAT1	4.70E-172	-1.419553788	0.438	0.698	6.45E-168	0	SAT1
TPT1	5.03E-172	0.538717205	0.997	0.975	6.89E-168	0	TPT1
S100A6	8.55E-172	-0.992331815	0.774	0.786	1.17E-167	0	S100A6
RPSA	4.48E-171	0.505884819	0.99	0.926	6.15E-167	0	RPSA
AIF1	9.95E-171	-1.708080793	0.232	0.478	1.36E-166	0	AIF1
RPL21	1.29E-169	0.448480302	0.995	0.988	1.77E-165	0	RPL21
RPS3A	1.93E-168	0.547254217	0.998	0.966	2.64E-164	0	RPS3A
S100A8	8.57E-166	-2.928751553	0.097	0.407	1.17E-161	0	S100A8
FCN1	3.79E-164	-2.003015355	0.103	0.436	5.20E-160	0	FCN1
LTB	1.10E-163	0.904357987	0.935	0.528	1.51E-159	0	LTB
RPS29	3.68E-162	0.601979694	0.99	0.873	5.04E-158	0	RPS29
IL32	4.75E-161	0.673167221	0.84	0.34	6.52E-157	0	IL32
GSTP1	2.66E-158	-1.344569719	0.272	0.595	3.65E-154	0	GSTP1
RPS23	4.79E-158	0.381996532	0.999	0.968	6.57E-154	0	RPS23
NKG7	7.51E-154	-2.668585642	0.128	0.431	1.03E-149	0	NKG7
CD3E	4.16E-152	0.930741608	0.766	0.269	5.70E-148	0	CD3E
EEF1A1	4.12E-149	0.428510438	0.995	0.985	5.65E-145	0	EEF1A1
TYMP	8.37E-148	-1.552756326	0.149	0.495	1.15E-143	0	TYMP
PSAP	1.20E-147	-1.16777756	0.351	0.618	1.65E-143	0	PSAP
NPC2	2.14E-146	-1.213347506	0.262	0.528	2.94E-142	0	NPC2
SRGN	8.92E-145	-1.079201769	0.459	0.699	1.22E-140	0	SRGN
RPL35A	1.71E-144	0.423362385	0.999	0.97	2.35E-140	0	RPL35A
RPS13	1.13E-140	0.508447296	0.988	0.946	1.55E-136	0	RPS13
HLA-DMA	9.07E-139	-1.433893136	0.044	0.424	1.24E-134	0	HLA-DMA
RPL11	9.07E-137	0.341640012	1	0.994	1.24E-132	0	RPL11
RPS20	4.59E-136	0.529221916	0.992	0.924	6.29E-132	0	RPS20
GPX1	1.21E-133	-1.33252241	0.289	0.517	1.66E-129	0	GPX1
RPS28	5.13E-132	0.449317913	0.99	0.959	7.04E-128	0	RPS28
IL7R	1.76E-130	1.03209594	0.662	0.208	2.42E-126	0	IL7R
RPS10	3.02E-130	0.440864825	0.99	0.953	4.14E-126	0	RPS10
ARPC3	5.69E-128	-0.734090172	0.74	0.864	7.81E-124	0	ARPC3
HLA-DQA1	7.97E-127	-1.678832677	0.023	0.359	1.09E-122	0	HLA-DQA1
LGALS2	1.50E-123	-1.824324685	0.034	0.345	2.06E-119	0	LGALS2
RPL10	6.29E-123	0.276228784	1	0.997	8.62E-119	0	RPL10
GABARAP	8.83E-122	-0.931799484	0.344	0.592	1.21E-117	0	GABARAP
RPLP0	7.46E-121	0.49104107	0.988	0.918	1.02E-116	0	RPLP0
CFD	1.26E-118	-1.491786638	0.04	0.367	1.73E-114	0	CFD
RPS4X	4.42E-118	0.389498911	0.997	0.988	6.06E-114	0	RPS4X
SPI1	1.22E-117	-1.248322549	0.025	0.35	1.68E-113	0	SPI1
RPL14	2.81E-117	0.378002661	0.997	0.978	3.85E-113	0	RPL14
PYCARD	1.67E-115	-1.127786442	0.182	0.507	2.29E-111	0	PYCARD
RPL36	2.94E-114	0.45556612	0.992	0.931	4.03E-110	0	RPL36
IFITM3	3.81E-114	-1.493291493	0.057	0.345	5.23E-110	0	IFITM3
CD68	1.85E-113	-1.289169942	0.036	0.356	2.53E-109	0	CD68
RPL5	4.96E-109	0.42430194	0.99	0.952	6.80E-105	0	RPL5
S100A11	1.69E-108	-1.044084121	0.425	0.6	2.32E-104	0	S100A11
IFI30	3.53E-108	-1.089483676	0.006	0.28	4.84E-104	0	IFI30
NOSIP	7.22E-107	0.890098266	0.653	0.258	9.90E-103	0	NOSIP
GRN	4.95E-105	-1.172646282	0.07	0.365	6.79E-101	0	GRN
GNLY	2.40E-103	-2.315525048	0.099	0.237	3.29E-99	0	GNLY
