,cell1,cell2,cell3,cell4,cell5
AL627309.1,0.006209354,0.048042936,0,0.016138924,0
AP006222.2,0.003449552,0.010772496,0,0.009359221,0
RP11-206L10.2,0.004521153,0,0.020238478,0,0
RP11-206L10.9,0,0.010392903,0,0,0.012074611
LINC00115,0.018930569,0.031545999,0.038109917,0.025449293,0.031667798
NOC2L,0.439725193,0.287264361,0.579348387,0.477789583,0.520257797
KLHL17,0.013194581,0.01673183,0.005905893,0,0
PLEKHN1,0.009045414,0.030291284,0,0.012819773,0
RP11-54O7.17,0,0.016235634,0,0.005106679,0
HES4,0.026140031,0.31063908,0.068352056,0.004846264,2.728218397
RP11-54O7.11,0,0,0.030164592,0,0.013417974
ISG15,3.125148559,9.293196353,2.236671097,2.518225882,10.43347149
AGRN,0,0.066696809,0,0.013400604,0
C1orf159,0.036620719,0.047264292,0.015728836,0.072617598,0
TNFRSF18,0.239969757,0.013001958,0.113045279,0.064766236,0
TNFRSF4,0.643652207,0.017896161,0.038787171,0.114896794,0
SDF4,0.566710387,0.408206568,0.354506295,0.649431331,0.488081175
B3GALT6,0.086224979,0.102827981,0.111751339,0.06235852,0.1238368
FAM132A,0,0.008254026,0,0.039667094,0
UBE2J2,0.515251629,0.389254252,0.498883937,0.725267357,0.322434632
ACAP3,0.093878041,0.079386564,0.153137571,0.103667062,0.086919185
PUSL1,0.087944543,0.097105213,0.015413383,0.152912066,0.146826292
CPSF3L,0.328628412,0.18342197,1.317771019,0.480265977,0.350786937
GLTPD1,0.184695245,0.063579459,0.116228785,0.087514279,0.071330736
DVL1,0.008179171,0.017486556,0,0.012657427,0
MXRA8,0.018367638,0,0,0,0
AURKAIP1,1.249271321,2.042234502,1.37462077,1.624481136,1.38718109
CCNL2,0.224524912,0.27943572,0.242611705,0.258181223,0.23188782
RP4-758J18.2,0.192528918,0.065773036,0.192671762,0.188142122,0.045492986
MRPL20,1.379618289,1.786394836,1.165611853,1.026573413,1.113522988
ATAD3C,0.01960048,0,0,0.023817179,0
ATAD3B,0.032893588,0.013967462,0.070115375,0.083159067,0.04500937
ATAD3A,0.078147752,0.070494997,0.056704791,0.029211332,0.086277969
SSU72,1.758633019,2.219526469,1.998476837,1.859966744,1.770943826
AL645728.1,0.046091852,0.047766215,0.045274468,0.100249448,0.031803278
C1orf233,0.010300808,0.031275687,0,0.005106679,0.013502565
RP11-345P4.9,0.070009051,0.096337908,0.054060043,0,0.04905085
MIB2,0.264369539,0.068565138,0.186311937,0.787669963,0.126824376
MMP23B,0.003120552,0,0,0.100528722,0
CDK11B,0.121411493,0.097718438,0.05050255,0.12545386,0.153784289
SLC35E2B,0.088815705,0.047668804,0.044080961,0.153057514,0
CDK11A,0.262695992,0.271661843,0.179146327,0.333901934,0.379618716
SLC35E2,0.039266142,0.00634222,0.040477475,0,0
NADK,0.059500033,0.422558025,0.110196722,0.134023562,0.68658644
GNB1,0.336071162,0.835700178,0.32876533,0.629372873,1.008050731
RP1-140A9.1,0.00603552,0.007467786,0.010200511,0,0
TMEM52,0.005408341,0,0,0.012245673,0
PRKCZ,0.090730149,0.017177477,0,0.091648918,0
RP5-892K4.1,0.002905917,0.035296071,0.053170188,0.022680366,0.034023749
C1orf86,0.837184337,1.502914076,0.936215482,0.680879345,1.05200923
AL590822.2,0.01054917,0,0,0,0
SKI,0.115973184,0.11645854,0.037353819,0.073856941,0.087408891
RER1,1.012857629,1.469607662,1.319612182,1.291705973,1.630671306
PEX10,0.040782724,0.037463722,0.053131593,0.057048459,0.116281842
PLCH2,0.010742428,0,0,0.016610606,0
PANK4,0.070520513,0.037490505,0.038216008,0.193287756,0.056883124
RP3-395M20.12,0.270561581,0.271835631,0.113822235,0.272647708,0.608396838
TNFRSF14,1.070260604,0.869962215,1.1414953,1.121158028,1.581187795
RP3-395M20.9,0.038082258,0,0.034974485,0,0.013502565
FAM213B,0.084536301,0.064235341,0,0.084880616,0
MMEL1,0.013676549,0.031897217,0,0.013633823,0.078996922
TTC34,0.008698839,0,0,0,0
MEGF6,0.027281487,0.015318393,0,0.006097078,0
TPRG1L,0.088003432,0.108480821,0.010375101,0.130303663,0.016674309
WRAP73,0.114038665,0.102233081,0.239572769,0.250944787,0.159855596
TP73-AS1,0.074865999,0.025479811,0.075722588,0.029935976,0.011960678
SMIM1,0.022181826,0.04302869,0,0.013955468,0.016427348
LRRC47,0.174370325,0.181845359,0.199716992,0.318303861,0.179555316
CEP104,0.081400908,0.133994431,0.202154411,0.093936232,0.078250798
DFFB,0.03690103,0.030531528,0.06726484,0.055128056,0.050116474
