,CYFZ,FY2H,FLWA,453W,684C,CZJE,925L,9JD4,G4YW,4DUY,36TS,CR3L
DDX11L1,3.098717275,2.616884346,1.921260146,2.091881274,1.084918164,2.733994089,3.965015847,7.618758396,3.975936058,5.996579882,7.137951326,1.679975197
WASH7P,2.697449743,4.984090737,2.873113991,3.973949891,2.417584439,2.869290052,3.329357423,0.352394694,0.804875684,0,0.605599767,3.115629319
RP11-34P13.7,1.32347962,2.416428708,1.641078977,0.367559329,1.896947654,1.572979731,1.636445738,1.586472609,0.94517971,0.986907964,0.776702971,0.996938264
CICP27,1.974054113,1.149371698,1.502203542,1.802150073,1.692015185,0.804669178,1.81113211,1.329447545,1.378765395,0.820863691,1.715677366,0.800615732
RP11-34P13.15,10.43398262,10.43800894,19.56563165,11.87464223,15.85885866,5.149807176,11.68953221,13.49129685,18.10081382,11.5230698,23.15694411,11.8145212
RP11-34P13.16,7.267800749,15.75546964,11.21699749,6.522587482,13.92119902,0,12.58247371,2.533566076,13.4710011,8.21060957,12.51574267,2.766822481
RP11-34P13.13,11.04655553,9.855985807,4.899870033,5.830273189,15.92529832,4.401096142,8.405924198,3.54748805,7.03417648,4.631533275,6.624209683,9.750828184
RP11-34P13.9,11.70785743,4.934848005,2.379946967,1.674922139,4.273682955,3.909736533,12.61884533,5.365910683,9.346846295,8.876347598,3.705894986,6.341700714
RP11-34P13.18,5.038437949,5.048257049,4.597227879,13.06109771,3.396808229,7.855351427,7.202263219,4.442802478,10.42559763,6.046554135,7.645626935,7.439570094
AP006222.2,5.367572032,3.529756875,3.214935469,8.274822066,4.827191416,8.134880391,8.123299015,2.102225937,5.387896189,5.982833207,4.471646972,4.880795872
RP4-669L17.10,15.64797144,48.39385148,28.26878913,21.72142282,25.19608846,13.36904281,22.35079267,10.67143776,31.3092786,35.97853279,26.49406322,19.51163902
RP4-669L17.8,1.892211816,1.43591651,2.023143827,3.007012762,1.994066427,0,3.974350122,2.216368465,2.774534839,0.064289368,3.29036299,2.676155884
MTND1P23,34.75784364,909.3313406,26.39003623,5.2501446,10.38740739,22.00492195,1630.384279,9.264400435,22.85951307,37.96491328,20.96569166,17.04548477
MTND2P28,99.02179672,64.76004284,66.51407866,68.31851654,69.533537,92.71788181,190.2433225,91.01576255,93.13207472,94.52863532,116.5834174,126.5027884
MTCO1P12,3.002554782,1.467221708,2.573662267,3.928057493,2.26739752,2.82030156,3.026409617,4.436002365,3.601592259,3.940820697,5.13359884,2.50783359
MTATP6P1,612.1506223,434.684173,577.9255765,394.8097173,509.9192361,441.0724954,554.5923723,650.1962514,521.7523508,524.8219575,453.9410594,892.7064579
MTCO3P12,176.085928,2.314753899,2.971614775,1.250754064,1.559378056,1.884792462,1.629654688,3.166828226,122.8462622,2.005681723,2.14908706,4.339643176
