Symbol,Blood,Breast
DDR1,251.1479892,2043.166925
MIR4640,251.1479892,2043.166925
RFC2,126.5507729,233.8213096
HSPA6,1209.2871,162.145806
PAX8,365.5084574,286.8351072
GUCA1A,14.68219932,14.7713589
MIR5193,224.4643072,180.0102231
UBA7,224.4643072,180.0102231
THRA,96.11263877,84.6500628
PTPN21,66.24455833,59.73148616
CCL5,2700.365517,195.7655232
CYP2E1,13.06014276,12.02014877
EPHB3,84.67151456,124.0156105
ESRRA,151.9360414,161.7320217
CYP2A6,56.84354453,58.65381859
SCARB1,95.64162628,409.040154
TTLL12,116.2427519,683.6469012
LINC00152,65.86626559,52.0036254
LOC101930489,65.86626559,52.0036254
WFDC2,75.53308799,61.18222452
MAPK1,415.6468973,59.41420287
MAPK1,681.9471307,116.9865397
ADAM32,32.32440611,35.16720764
SPATA17,17.73503809,18.62640603
PRR22,78.61461219,64.65264361
PRR22,112.3583261,121.0596032
PXK,256.8509672,56.47002859
PXK,197.6915344,73.77954161
VPS18,71.20834803,59.46899686
MSANTD3,79.739143,236.813993
SLC46A1,27.27120145,42.8316553
SLC46A1,116.2439383,150.7079694
TIMD4,24.57791498,16.3206773
SLC39A5,287.3696943,176.8416705
ZDHHC11,63.00331621,184.514277
ZDHHC11B,63.00331621,184.514277
ATP6V1E2,134.4198665,143.5935927
AFG3L1P,70.78956294,135.7552429
CILP2,43.98857331,27.73396991
CILP2,54.17636954,61.89072866
PIGX,105.7007854,201.6674076
TMEM196,58.38162403,47.1264944
SLC39A13,160.2704989,259.9979925
BEST4,17.25021644,17.87836705
AK9,29.07641748,38.51384005
CORO6,63.55359281,138.6076708
TMEM106A,48.19471495,36.32665882
TMEM106A,118.5863216,61.25204486
ALG10,52.23993775,24.50353987
ALG10,15.01667431,26.18127641
TTC39C,85.08639773,104.544278
NEXN,42.41642171,56.79541432
C15orf40,62.53788237,95.62682086
RAX2,136.0337681,123.6516479
MFAP3,45.69718386,80.31551737
EYA3,29.12285264,25.08188064
GIMAP1,391.9080418,75.67335237
GIMAP1,302.897881,38.50556466
GIMAP1,458.0566375,28.29945418
KLK8,64.78633951,41.26226103
CCDC65,15.13989667,9.614093303
CCDC65,25.18364504,14.4861372
FAM122C,9.337182992,7.66687951
FAM122C,27.02118422,22.89175131
CCDC11,21.71637347,20.22746234
CCDC11,39.35854519,85.38570513
ARMCX4,15.45951672,21.42881157
RBBP6,21.34451518,97.05301455
CENPBD1,36.11487373,61.56185322
TRIOBP,210.7531671,146.1461092
TRIOBP,99.61967662,48.08436126
CATSPER1,96.8972859,67.07200205
HOXD4,34.22891209,35.140973
GSC,34.16571268,26.23026553
SP7,31.10308908,21.63006869
PDE7A,71.57692281,70.69512362
CNOT7,46.90623498,59.58640099
CRYZL1,172.630976,310.0026461
PRSS33,624.0289814,92.08221017
PRSS33,89.88507751,25.26389897
C19orf26,38.0324161,26.55911134
C19orf26,69.45748403,60.42106698
MCMDC2,9.281624313,10.54930204
TIRAP,48.79563055,48.04633793
LEAP2,67.5588621,85.81808778
MSI2,50.66025955,88.79357204
SCIN,11.95408251,51.68026981
SCIN,25.9659507,37.45045378
CTCFL,12.11743643,12.88459304
C4orf33,33.11524166,83.04471568
C4orf33,7.283245805,7.750777033
C4orf33,10.97798142,8.309021442
ZNF333,42.91450899,42.4875444
TVP23C,192.2563727,147.8324085
RDH10,23.5047428,55.31751927
RDH10,8.37498477,6.531478035
SRSF12,11.69970903,9.71931814
FAM71A,223.4779059,141.4202884
FAM71A,41.26718693,32.18047878
GAPT,448.1813435,38.60892346
FLJ30901,72.42919082,88.33242838
SCUBE1,72.42919082,88.33242838
ERICH5,28.01719209,17.04931213
ERICH5,8.275111028,7.461924938
CCDC185,41.13369706,36.96908073
ENTHD1,9.153098288,8.109441389
ENTHD1,11.16795045,11.3768746
TSSK3,203.3449512,158.962912
WFDC6,30.49531464,24.65070803
CLEC12A,897.9586581,33.03131
BRF1,33.49747101,28.60106427
C15orf27,86.76506803,83.17989871
BACH1,25.12710152,25.29188734
GRIK1-AS2,25.12710152,25.29188734
CALML6,94.50123945,51.13413303
NLRP5,37.1245188,33.08842135
ODF4,14.7099209,12.49215019
ODF4,138.3663634,69.78754523
CLEC4F,58.89700546,36.75181933
DEFB106A,223.8335731,177.4840353
DEFB106B,223.8335731,177.4840353
DEFB106A,24.87188538,22.75696684
DEFB106B,24.87188538,22.75696684
WFDC9,58.35401417,52.17880144
WFDC9,39.68337523,26.19445577
NEDD1,28.53334945,50.06076001
TTLL10,42.78786609,27.76986746
TTLL10,99.81779544,88.61214474
CALR3,29.15729407,20.76579952
C10orf25,75.5242528,55.89446154
ETV3,98.92127121,33.6532055
KLHL10,14.72228656,12.62662438
KLHL10,44.30304956,38.85510566
TM2D3,397.2676699,464.5257699
ZNF485,11.4345781,27.25255638
WDR17,10.22343961,11.78903542
