Symbol,naive.B.cells,endothelial.cells,fibroblasts,memory.B.cells,memory.CD8.T.cells,monocytes,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells,NK.cells,memory.CD4.T.cells,myeloid.dendritic.cells,macrophages
NME8,13.75337522,20.53894309,10.55224434,11.7161637,0.224222222,99.16124401,14.53122703,13.8296456,38.61737268,227.0637197,420.8242075,10.21716622,195.315709,16.92186498
GPR183,649.073277,170.1788911,34.10164163,3659.787574,4038.60621,523.1237188,2722.050779,975.9984134,394.9265381,1724.572739,481.2259464,2955.66573,2263.628585,818.7640182
GUSBP11,68.39552694,44.65426298,74.55092109,67.67907988,1.593253968,101.7686474,77.97348733,61.18006564,127.2592817,33.02772989,90.1423338,45.58152045,55.97750556,68.95647297
MSC,58.12668166,61.49944025,153.77288,83.35431703,130.6159229,209.7266552,90.43252893,134.097966,164.7765799,117.088505,97.95817124,342.7761683,2292.640711,1028.370391
HIC1,11.99443503,27.4323707,41.69171617,13.77294521,0.310079365,18.79311135,15.77402881,20.53894309,25.76217548,12.17288189,81.75037709,14.39248121,21.82160755,17.91672613
PPFIBP1,107.0012284,82.26449993,115.9771241,30.18099045,1.632111111,31.23830676,22.95435575,23.83544737,48.69119156,15.90252002,23.21567899,22.71029544,174.28229,50.08789752
CHI3L1,11.36233726,22.52343288,17.66185477,12.85919023,0.599960317,28.63912923,38.51884,18.05892667,791.3191297,12.76456116,119.5174155,12.8053159,110.1204853,289.7108338
CPA3,1302.670889,525.3016157,171.6274207,935.8675489,76.44495407,211.3562439,684.2690174,336.6065327,1166.904671,85.6878133,588.5659195,286.3357011,272.4451582,258.0955732
IL7R,465.7533814,338.2730437,851.9923776,904.1865263,21090.60952,1026.373565,16141.0043,19496.76847,2124.064288,7493.555456,1582.496519,20462.31758,13147.12844,8257.017523
FRK,273.4085988,33.29993242,37.6983983,223.1378898,0.612825397,28.74360967,19.2461912,59.75654515,261.6161041,34.16771164,24.24944656,25.35281694,36.53983193,34.95788005
RASA3,12.67805812,23.41256641,77.33864547,14.7872014,218.0940503,24.47970236,265.8482854,209.6558184,29.91313386,61.53463884,89.60805575,262.6844762,15.62558393,14.53122703
CFP,13.20643772,16.17207036,13.93881283,11.94665403,563.3283724,5587.749826,402.1474075,47.62364404,3771.50174,4591.63207,100.1714961,112.833556,666.217112,97.48872207
