gse,cell.types,n.cell.types,title
GSE109348,"B cells, Basophils, CD8 T cells, Central Memory T cells, Effector Memory T cells, Eosinophils, Mast cells, Monocytes, Myeloid Dendritic cells, Naive CD4 T cells, Neutrophils, NK cells, Plasmacytoid Dendritic Cells, Th2 cells",14,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22886,"CD4 T cells, CD8 T cells, Dendritic cells, Macrophage, Memory B cells, Memory CD4 T cells, Monocytes, Naive B cells, Neutrophils, NK cells, Plasma cells, Th1 cells, Th2 cells",13,[HG-U133A] Affymetrix Human Genome U133A Array
GSE3982,"B cells, Basophils, Central Memory T cells, Dendritic cells, Effector Memory T cells, Eosinophils, Immature Dendritic cells, Macrophage, Mast cells, Neutrophils, NK cells, Th1 cells, Th2 cells",13,[HG-U133A] Affymetrix Human Genome U133A Array
GSE28490,"B cells, CD4 T cells, CD8 T cells, Eosinophils, Monocytes, Myeloid Dendritic cells, Neutrophils, NK cells, Plasmacytoid Dendritic Cells",9,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE28492,"B cells, CD4 T cells, CD8 T cells, Eosinophils, Monocytes, Myeloid Dendritic cells, Neutrophils, NK cells, Plasmacytoid Dendritic Cells",9,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE28491,"B cells, CD4 T cells, CD8 T cells, Eosinophils, Monocytes, Neutrophils, NK cells",7,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE7307,"B cells, CD4 T cells, CD8 T cells, endothelial, Monocytes, PBMC, T cells",7,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE93776,"CD4 T cells, CD8 T cells, Monocytes, Naive CD4 T cells, Neutrophils, NK cells, NKT cells",7,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE93777,"CD4 T cells, CD8 T cells, Monocytes, Naive CD4 T cells, Neutrophils, NK cells, NKT cells",7,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE58173,"B cells, CD4 T cells, CD8 T cells, Monocytes, Neutrophils, NK cells",6,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE72642,"B cells, CD4 T cells, CD8 T cells, Monocytes, Neutrophils, NK cells",6,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE45535,"B cells, Granulocytes, Monocytes, Plasma cells, T cells",5,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE45537,"B cells, Granulocytes, Monocytes, Plasma cells, T cells",5,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE49910,"B cells, CD4 T cells, CD8 T cells, Monocytes, Neutrophils",5,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE56315,"B cells, GC B cells, Memory B cells, Naive B cells, Plasmablast",5,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE67321,"B cells, CD4 T cells, CD8 T cells, Monocytes, PBMC",5,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE107843,"B cells, Immature B cells, Memory B cells, Naive B cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [CDF: Brainarray HGU133Plus2_Hs_ENSG_20.0.0]
GSE1133,"CD4 T cells, CD8 T cells, endothelial, Monocytes",4,[HG-U133A] Affymetrix Human Genome U133A Array
GSE12195,"B cells, GC B cells, Memory B cells, Naive B cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12366,"GC B cells, Memory B cells, Naive B cells, Plasma B cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12845,"B cells, GC B cells, Naive B cells, pre-GC B cells",4,[HG-U133A] Affymetrix Human Genome U133A Array
GSE25638,"B cells, Memory B cells, Naive B cells, T cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE25639,"B cells, Memory B cells, Naive B cells, T cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE26928,"Central Memory CD4 T cells, Effector Memory CD4 T cells, Memory CD4 T cells, Naive CD4 T cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE42724,"B cells, Memory B cells, Naive B cells, Plasmablast",4,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE44621,"B cells, Monocytes, PBMC, T cells",4,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE46261,"B cells, GC B cells, Memory B cells, Naive B cells",4,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [HuGene10stv1_Hs_ENTREZG_15.0.0]
GSE48558,"B cells, Granulocytes, Monocytes, T cells",4,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE51528,"B cells, GC B cells, Memory B cells, Naive B cells",4,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE51529,"B cells, GC B cells, Memory B cells, Naive B cells",4,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE54627,"CD4 T cells, Th1 cells, Th17 cells, Th2 cells",4,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE56314,"B cells, Memory B cells, Naive B cells, Plasmablast",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE61697,"Central Memory T cells, Effector Memory T cells, Memory T cells, Naive T cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE62584,"B cells, CD4 T cells, CD8 T cells, Monocytes",4,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE65136,"B cells, PBMC, T cells, Tregs",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE85074,"CD8 T cells, Central Memory CD8 T cells, Effector Memory CD8 T cells, Naive CD8 T cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE93683,"Central Memory CD8 T cells, Effector Memory CD8 T cells, Memory CD8 T cells, Naive CD8 T cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE98640,"CD8 T cells, Central Memory CD8 T cells, Effector Memory CD8 T cells, Naive CD8 T cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE99636,"B cells, Immature B cells, Memory B cells, Naive B cells",4,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [CDF: Brainarray HGU133Plus2_Hs_ENSG_20.0.0]
GSE110376,"B cells, GC B cells, Plasmablast",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11057,"Central Memory, Effector Memory, PBMC",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11103,"Central Memory, Effector Memory, PBMC",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12803,"Eosinophils, Monocytes, Neutrophils",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE13411,"Memory B cells, Naive B cells, Plasma B cells",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE13762,"Dendritic cells, Immature Dendritic cells, Monocytes",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13987,"PBMC, Resting B cells, T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15659,"CD4 T cells, Memory CD4 T cells, Tregs",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16130,"CD4 T cells, CD8 T cells, T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17186,"B cells, Memory B cells, Naive B cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19069,"CD4 T cells, CD8 T cells, T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE2215,"Dendritic cells, Monocytes, Myeloid Dendritic cells",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE24223,"B cells, Monocytes, PBMC",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE24634,"Naive T cells, T cells, Tregs",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE25119,"CD4 T cells, Naive CD4 T cells, Tregs",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE28726,"CD4 T cells, NKT cells, T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE32901,"Naive T cells, Th1 cells, Th17 cells",3,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE35495,"Activated Macrophages, Macrophage, Monocytes",3,[HG-U133A] Affymetrix Human Genome U133A Array
