platform_id,gse,id,cell.type
GPL10175,GSE20874,GSM521965,NK.cells
GPL10175,GSE20874,GSM521969,NK.cells
GPL10175,GSE20874,GSM521979,NK.cells
GPL10175,GSE20874,GSM521980,NK.cells
GPL10666,GSE23034,GSM568491,fibroblasts
GPL10666,GSE23034,GSM568490,fibroblasts
GPL10666,GSE23034,GSM568489,fibroblasts
GPL10666,GSE23034,GSM568487,fibroblasts
GPL10666,GSE23034,GSM568488,fibroblasts
GPL10666,GSE23034,GSM568492,fibroblasts
GPL10739,GSE34559,GSM851027,monocytic.lineage
GPL10739,GSE34559,GSM851023,monocytic.lineage
GPL10739,GSE34559,GSM851026,monocytic.lineage
GPL10739,GSE60674,GSM1484402,monocytic.lineage
GPL10739,GSE60674,GSM1484404,monocytic.lineage
GPL10739,GSE34559,GSM851024,monocytic.lineage
GPL10739,GSE34559,GSM851019,monocytic.lineage
GPL10739,GSE34559,GSM851034,monocytic.lineage
GPL10739,GSE23321,GSM572416,CD8.T.cells
GPL10739,GSE34559,GSM851025,monocytic.lineage
GPL10739,GSE23321,GSM572417,CD8.T.cells
GPL10739,GSE61912,GSM1517173,B.cells
GPL10739,GSE33631,GSM831859,fibroblasts
GPL10739,GSE61912,GSM1517174,B.cells
GPL10739,GSE23321,GSM572420,CD8.T.cells
GPL10739,GSE23321,GSM572415,CD8.T.cells
GPL10739,GSE34559,GSM851032,monocytic.lineage
GPL10739,GSE46199,GSM1126120,fibroblasts
GPL10739,GSE33631,GSM831856,fibroblasts
GPL10739,GSE46197,GSM1126122,fibroblasts
GPL10739,GSE23321,GSM572411,CD8.T.cells
GPL10739,GSE23321,GSM572413,CD8.T.cells
GPL10739,GSE60674,GSM1484403,monocytic.lineage
GPL10739,GSE23321,GSM572414,CD8.T.cells
GPL10739,GSE61912,GSM1517160,B.cells
GPL10739,GSE46197,GSM1126121,fibroblasts
GPL10739,GSE34559,GSM851031,monocytic.lineage
GPL10739,GSE34559,GSM851029,monocytic.lineage
GPL10739,GSE23321,GSM572421,CD8.T.cells
GPL10739,GSE60674,GSM1484410,monocytic.lineage
GPL10739,GSE34559,GSM851022,monocytic.lineage
GPL10739,GSE46197,GSM1126125,fibroblasts
GPL10739,GSE33631,GSM831857,fibroblasts
GPL10739,GSE46197,GSM1126123,fibroblasts
GPL10739,GSE33631,GSM831855,fibroblasts
GPL10739,GSE61912,GSM1517172,B.cells
GPL10739,GSE61912,GSM1517159,B.cells
GPL10739,GSE61912,GSM1517158,B.cells
GPL10739,GSE60674,GSM1484405,monocytic.lineage
GPL10739,GSE34559,GSM851028,monocytic.lineage
GPL10739,GSE60674,GSM1484407,monocytic.lineage
GPL10739,GSE23321,GSM572419,CD8.T.cells
GPL10739,GSE62246,GSM1517171,B.cells
GPL10739,GSE60674,GSM1484411,monocytic.lineage
GPL10739,GSE34559,GSM851033,monocytic.lineage
GPL10739,GSE34559,GSM851021,monocytic.lineage
GPL10739,GSE34559,GSM851020,monocytic.lineage
GPL10739,GSE61912,GSM1517168,B.cells
GPL10739,GSE33631,GSM831858,fibroblasts
GPL10739,GSE46199,GSM1126121,fibroblasts
GPL10739,GSE61912,GSM1517171,B.cells
GPL10739,GSE26747,GSM658293,myeloid.dendritic.cells
GPL10739,GSE61912,GSM1517161,B.cells
GPL10739,GSE60674,GSM1484429,monocytic.lineage
GPL10739,GSE23321,GSM572418,CD8.T.cells
GPL10739,GSE60674,GSM1484408,monocytic.lineage
GPL10739,GSE61912,GSM1517164,B.cells
GPL10739,GSE60674,GSM1484409,monocytic.lineage
GPL10739,GSE34559,GSM851030,monocytic.lineage
