dataset.name,type,platform,scale,normalization,cells
107019_Microarray,Microarray,,Linear,TPM,8
107019_RNASeq,RNASeq,,,,14
frac_1,RNASeq,,Linear,TPM,14
115736,RNASeq,Illumina,Linear,TPM,14
118165,RNASeq,Illumina,Linear,TPM,14
97861-10,RNASeq,Illumina,Linear,TPM,14
107572,RNASeq,,Linear,TPM,14
112101,RNASeq,Illumina,Linear,TPM,8
115978,RNASeq,Illumina,Linear,TPM,14
121922,RNASeq,Illumina,Linear,TPM,14
89134,RNASeq,Illumina,Linear,TPM,14
109348,Microarray,,,,14
15659,Microarray,,,,14
22886,Microarray,,,,8
25638,Microarray,,,,14
28490,Microarray,,,,8
28492,Microarray,,,,8
3982,Microarray,,,,14
40240,Microarray,,,,8
44621,Microarray,,,,8
58173,Microarray,,,,8
6244,Microarray,,,,14
64385,Microarray,,,,8
72642-110085,Microarray,,,,8
77343,Microarray,,,,8
93683,Microarray,,,,14
93777,Microarray,,,,8
