,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8
UBE2Q2P2,0,0,0.0596913,0.613015,0,0,0,0.0811149,0
SSX9,0,0,0.212565,0,0,0,0,0,0
CXorf67,0.118865,0.0940057,0.496705,0.19609,0,0.165406,0.157926,0.0867824,0.188464
EFCAB8,0,0.00449917,0.3464,0.385828,0,0.0481871,0.0415714,0,0.0315701
SPATA31B1P,0,0,0,0,0,0,0,0,0
SDR16C6P,0,0,0.287881,0,0,0,0,0,0
GTPBP6,57.280197,60.604133,104.4053,102.1565,52.882543,61.837424,47.350889,72.275326,50.997427
EFCAB12,0.252188,0.050183,0.984864,0.513702,0.17612,0.0447893,0.0983567,0.0957425,0.100608
A1BG,10.863071,15.82718,10.54015,6.647064,9.519831,9.196318,9.537508,14.785649,7.492537
A1CF,0,0,0.269025,0,0,0,0,0,0
RBFOX1,0,0,0.103589,0,0.0258018,0,0.0144094,0,0
GGACT,8.141059,5.510053,3.643988,5.145376,5.365832,6.82359,5.833951,4.428239,6.98213
A2ML1,0.131667,0.5785659,3.243607,0.9566559,0.1670901,0.3047009,0.2116841,0.2932496,0.2513171
A2M,0.4859946,0.3134823,1.0629955,1.476073,0.0939922,0.660909198,0.743592,0.2800457,0.420103
A4GALT,0.0502927,0,0,0.0299605,0.090734,0.204376,0.12306,0.111379,0.190049
A4GNT,0,0,0,0,0,0,0,0,0
NPSR1-AS1,0.087798456,0,0.0587796,0,0,0,0,0,0
AAAS,20.1722,12.6446,28.65795,27.7773,19.8036,16.54001,15.51000002,18.8877,15.8241
AACS,7.1320831,4.99214,6.60528,7.807577,7.097502,6.43779152,5.625469,6.90107,6.57996
AADACL2,0,0,0,0,0,0,0,0,0
AADACL3,0,0.0186056,0.091286,0.113197,0,0,0,0,0
AADACL4,0,0,0,0,0.0173573,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0
AADAT,0,0,0.292706,0.010758747,0,0.107863301,0,0.0337699,0
AAGAB,17.51874,12.432971,18.26294,17.92241,18.84874,15.39944,16.46093,15.920548,20.21104
AAK1,42.4059,109.09852,85.5619978,61.17884,33.10813,60.70887009,34.76793,27.76075759,37.58767
AAMP,61.688552,56.13697391,55.55431,60.73107,57.67196,61.97511,56.9424,72.62883,58.4124
AANAT,0.160753,0.103296,0.52864,1.178223,0.0621465,0.0422982,0.2494412,0.297519,0.207089
AARS2,3.96182,3.30265,8.33704,6.96109,2.08733,3.49611,2.0069,3.26537,3.1996
AARSD1,17.66117503,19.91238852,29.091542,24.9452506,18.81948,19.1036124,15.849796,15.848875,17.0975746
AARS,20.2162,13.61428,20.51645,18.95241,21.6714,17.41615,14.73846,18.04187,18.090146
AASDHPPT,14.57333,6.956544949,7.03878,10.33687,9.60726,10.80579,10.515281,10.07325,12.17084
AASDH,4.868007,3.620016001,5.267384,6.201556467,3.7822459,3.442188,3.1755842,4.023351,4.360297021
AASS,0.7441474,0.794249,4.541978789,2.6128613,0.417459,0.899688628,0.679446936,0.517836,0.729937
AATF,68.5059,53.609,50.8834,60.1745,65.6201,64.0864,56.8644,66.1468,69.1257
AATK,2.322755,3.81105,5.17735,7.51837,2.391677,2.393788,1.824855,0.824365,1.50277
ABAT,4.345965261,2.95113,4.309395,5.704876,2.929168686,2.5492138,2.057031004,2.37726,1.5547368
ABCA10,0.3151028,0.08530316,1.2133695,0.7220022,0.194477,0.311869,0.1120597,0.24886389,0.0872214
ABCA11P,1.2533302,0.323794,1.915838,2.10667073,1.122914931,0.738375,0.7764699,0.862964,1.487591001
ABCA12,0,0,0.0462828,0.0126886,0,0,0,0,0
ABCA13,0.2130107,0.53790589,2.4552836,0.6222457,0.2668124,0.305853,0.24473578,0.1872541,0.1920709
ABCA17P,0.0503437,0,0.20273,0.432484,0,0.0396325,0.0801765,0,0
ABCA1,0.998883,1.15471,1.26128,4.240624,1.37367,0.823681,0.885745,0.824027,0.95589
ABCA2,10.901873,8.3399047,57.68792,52.956795,12.677905,12.141723,9.9807483,7.3995879,16.0817596
ABCA3,1.974947,1.889618,5.784767,4.104397,1.807098,2.921438,2.109363079,1.378043,2.850891
ABCA4,0.00941122,0,0,0,0,0,0,0.00803914,0
ABCA5,1.198856437,1.033045,10.533225,7.920194,0.904471,0.701530907,0.77302825,0.6654037,1.16035769
ABCA6,0.0782829,0.1453442,0.243006,0.310195,0.2076655,0.0538752,0.09077,0.100305,0.264639
ABCA7,19.20535522,28.294731,150.1847,75.11691,17.455426,20.108843,18.319488,24.98153849,22.150703
ABCA8,0.4314,1.81987,7.5726148,2.4246,0.640455,1.53121,1.09713,0.5497928,0.882316
ABCA9,0.1367336,0.5901274,2.91758,1.742932,0.1389138,0.489431,0.334599,0.272248,0.315019
ABCB10,10.4929,6.14737,13.8717,16.7439,12.6249,10.9933,9.9896,10.0751,11.2958
ABCB11,0,0,0.1087003,0,0,0,0,0,0
ABCB1,8.14699,3.85355,8.34942,7.30409,4.90164,5.98052,5.0625,2.73323,6.76247
ABCB4,1.169290946,0.344937,1.490438157,1.202747186,0.663069,0.642351907,0.610904,0.9701069,0.6209913
ABCB5,0.967099,3.769455,16.90409,4.377488,0.9005468,2.361712,1.214665,0.896894,0.9600551
ABCB6,1.0939236,1.05246,2.76719,2.13396,0.769656,0.8476368,0.778744,1.00722,0.755078
ABCB7,17.1915627,10.853094,15.56233842,15.67418385,17.35632,14.26712142,14.13030882,17.039946,16.1456
ABCB8,8.479718,5.128093193,16.41731,18.3159912,10.20294,7.637065127,7.09503786,7.135224777,9.508113
ABCB9,1.880535,2.654855,9.719448,2.697829,1.7956914,1.590017,1.3225283,1.2279442,1.3888313
ABCC10,6.079143,3.914334,14.751974,13.79467,5.35169,6.142391,4.92626,6.146874,5.989773
ABCC11,0.0340003,0,0.2840398,0.0138622,0,0,0,0,0
ABCC12,0,0,0.0230839,0,0,0,0,0,0
ABCC13,0.146195,0.435373,1.564904,0.489073851,0.0298423,0.186493,0.68652718,0.178679,0.172597
ABCC1,22.59837259,13.684251,25.02013721,30.45629683,26.065023,19.87163276,21.96802272,20.24195685,25.288823
ABCC2,0.314784,0.306047,1.4498,1.14552,0.132276,0.0645877,0.189112,0.233818,0.148103
