,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16,mix17,mix18,mix19
A1BG,36.91958755061455,32.659048031323124,43.23223237196131,36.53984158615876,33.9221226225821,37.123174610013585,37.3901520692076,35.44751567215932,32.331761086752095,35.95382541811356,38.370464198219885,33.11228578821962,41.98191845279721,39.4726445320354,36.69163457077855,36.77136393820582,41.27718070918831,36.35513270190063,41.44399806111698,43.99400819037604
A2M-AS1,36.93706370348812,67.67338315569033,27.689785845690736,47.832517862958696,140.53437693936812,90.28143994990603,99.21821638122455,45.73158632224891,108.37788273395402,55.151038383875296,114.09615601387344,149.6540072208002,116.860877437046,104.88418518047675,85.33391138266897,37.342859999531996,91.5627525872927,89.9890170402031,90.28983896838463,36.52873085762381
A4GALT,35.48902713932078,45.950325271061416,50.77897746523497,43.56205694014824,40.954079860816776,55.802068511432324,31.644746868563608,44.07310911023446,56.977503044636094,48.569511827596145,47.851117600364745,37.06894865854474,35.776498018672065,45.25836944462772,55.672641136505504,51.78327632196547,57.726198890440116,51.203494609602785,46.64783918970223,47.63773749054293
AACS,43.06499478867907,43.769975783254694,42.007450908888856,36.05773895867631,32.35875286191638,37.16683885914213,49.13186584826734,31.48157762805181,43.24081360414464,34.65025134592506,38.98326575798207,41.0017480361737,35.77241126057764,45.93105244566465,45.57819939583686,38.642407809954996,38.35367007205168,50.15983082576045,43.52577163991146,37.69989601894218
AAED1,121.79925365824218,95.29607797945117,92.69884114764898,55.65548996753543,87.4451556282173,95.01242282637278,111.89594395617289,85.78110336899658,51.735106242917354,103.58522258904065,124.8142465489794,96.61481085778183,88.04838981837791,109.57247433794582,112.80022147486454,83.37591513525047,69.78217905735465,98.08103313041266,110.17115755420497,86.45987793253383
AAGAB,24.98310504147554,24.79866023249044,21.52893498222937,19.583861527290214,23.45509956991719,23.79066633660056,27.543539397580282,21.1203292380463,34.00292029725635,22.130418245144504,23.961842016612486,20.423398654047254,21.579136809051963,21.66759674976877,26.752531974091454,21.485065353224662,22.529657537645647,24.28132198768227,24.40881439164219,23.362551284705287
AAK1,21.58057139450067,27.87594903114937,27.48255955592939,23.591732394147648,31.231137712976853,29.077842055663083,30.86559444184222,23.266417766262343,29.170513907664688,23.303896291461967,25.771690987936726,34.1864961006713,20.582186048110504,25.54283956115565,33.33061520362863,21.388539566463113,23.440802498349615,31.5284430455964,23.378808409963597,27.155567197074422
AAMDC,33.958681985787244,25.937475743771206,23.629618485586636,20.522780511557116,19.990760237797527,21.684817744487482,21.445772979128407,19.92261490808324,24.74662645398191,22.344919866285768,28.31893999750631,20.17639015878405,24.465755507507673,29.913089534841035,19.525765036342946,23.648261570231554,18.53193183760335,23.584285472913653,27.53194205118931,27.06481978882672
AAMP,177.55245479115138,111.00336188203751,115.8833404245944,84.3166776449622,111.1519815812744,97.89533041502452,107.80187561501147,116.15165825933802,87.24910983296952,88.35145364213088,137.04878369099893,93.2990006060156,111.33378141347544,132.70493692532983,108.68060542217111,94.39476639475328,154.26597206681237,107.54172818258816,123.21860146646509,146.6129307572127
AAR2,94.60001119613887,78.59273192034902,73.97693489853192,58.88797696809425,84.00393464500759,75.30661800712925,62.55524805323431,72.85222971376831,54.881322417355506,69.21845883717357,51.53065380131456,85.77100256418497,71.18639720596693,79.78116786077045,66.8931186540632,53.30448252601689,55.03508743160045,50.1496321957087,80.57149153818924,83.28641847661648
