Gene Symbol,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9
A1BG,5.346210077,5.430233848,4.956454427,5.47110461,5.423389712,5.370811676,5.389699004,5.137030488,5.482314915,5.5904009
A1BG-AS1,7.042982245,7.240511265,6.917173155,7.086863062,7.416352812,6.914667768,7.316233297,6.923461769,7.40875112,6.827903806
A1CF,4.265377669,4.199002029,4.285504093,4.279381964,4.30185852,4.323580741,4.387085296,4.16986322,4.224328321,4.319893015
A2M,7.450253402,7.170040337,6.652685967,7.780055709,7.741774822,7.405255701,7.260560524,7.259318645,7.9452811,7.023059817
A2M-AS1,7.492708592,6.547285774,6.105184968,8.543220948,7.802662928,7.199930584,7.228112675,7.563452514,8.684295873,6.406970381
A2ML1,3.520924204,3.561728665,3.587872422,3.614597564,3.527253795,3.572270366,3.550585821,3.56838023,3.5395086,3.544879961
A2MP1,7.266518688,7.074190398,6.019521119,8.506217474,7.547826765,7.633785751,7.167794951,7.598697154,7.870082419,6.171676866
A4GALT,6.966292861,7.098775,6.758723999,6.762299188,6.909354364,6.958433875,7.009782532,6.671779241,7.078133936,6.927249164
A4GNT,3.640855409,3.914706882,3.635331839,3.69205142,3.726903651,3.759149267,3.771513811,3.693994259,3.779208273,3.737957654
AA06,5.217618296,5.220630424,4.942217117,5.022002389,5.018332434,5.232994335,5.249952241,5.113788557,5.203139191,5.303512288
AAAS,8.363493623,8.310494075,7.917015142,8.017149891,8.28421722,8.507549065,8.031501771,7.842856047,8.258830303,8.31535893
AACS,6.962194827,6.934242413,6.976327214,6.963945596,6.802233025,7.017791374,6.67042078,7.07769093,6.365174816,6.779623303
AACSP1,5.620000677,5.982525034,6.023541066,6.39220225,5.822535659,5.78027072,5.916409205,6.122918736,6.055689037,6.082900063
AADAC,4.18794296,4.525648408,4.29162319,3.869743833,4.420698201,4.189356172,4.29162319,4.285792382,3.931263864,4.394135612
AADACL2,2.862129009,2.815580924,2.950354868,3.053532813,2.932020205,3.033977523,2.92204332,2.961638204,2.855649164,3.025721925
AADACP1,4.379801137,3.994863689,4.686675082,3.966489191,3.446120533,4.758770234,3.798540473,4.443536035,3.822176008,4.374710462
AADAT,6.991115336,6.947894538,7.65242662,6.941146132,7.182918331,7.05749594,7.306084361,6.680932746,6.745301565,7.299076816
AAED1,7.861949859,7.539917859,7.186506484,6.845990073,7.635940936,7.437024194,7.240629677,7.295152699,7.093153957,7.842018651
AAGAB,6.936375044,7.029824533,7.006201756,6.95392034,6.947776385,6.936106488,6.990180464,6.88718092,7.000702935,6.887524217
AAK1,7.926939552,7.39898217,7.204429984,8.802093669,8.306441676,7.600170435,7.698063604,8.097249791,8.911318279,7.231880797
AAMDC,6.992274701,6.97618564,7.063809192,6.960758015,7.021125606,7.061428162,7.056990742,7.153500746,6.960002162,7.138638685
AAMP,8.151651492,8.122332499,7.918412534,7.984728154,8.204741531,8.240052708,8.081571792,7.921950951,8.078282972,8.274592788
AANAT,4.365410888,4.113042018,3.88601055,4.255170543,4.082975518,4.113042018,4.298673761,4.146356606,4.320051647,4.087872582
AAR2,7.207605842,7.030475287,7.094551242,6.829142058,6.686351181,7.287561551,6.851464063,7.192075252,6.964884111,7.09216745
AARS,10.29138207,10.35864181,10.02471447,10.0587989,10.03430293,10.23914994,10.14126812,9.978556786,10.10630374,10.02559215
AARS2,7.830231651,7.854947081,7.589920595,7.991773401,7.80415833,7.996772692,7.827666,7.821334848,7.882116548,7.657949576
AARSD1,7.674457472,7.539282644,7.72553723,7.717181304,7.447430807,7.708193328,7.733038618,7.69799584,7.469357774,7.769795588
AASDH,8.098833305,7.936422347,8.014943756,7.838712348,7.977804938,8.135065546,7.732858977,7.910734196,7.907832431,7.915576014
AASDHPPT,7.601409961,7.65940549,7.439212493,7.39623049,7.349810005,7.760634266,7.384299175,7.267026471,7.542393807,7.603803179
AASS,5.081081527,5.420434953,5.266518018,5.13429997,4.986528695,5.20481256,5.332068115,4.770428583,5.166287512,5.279831945
AATF,9.558956375,9.475243663,9.157626143,9.257672175,9.490944642,9.454822939,9.306716906,8.970148154,9.309946312,9.437256521
AATK,6.762325653,6.810152828,7.710035676,7.237471401,7.001476309,7.053802469,7.188929549,7.761316408,6.726891343,6.881575745
AB074162,6.516884662,6.012839461,8.73024706,7.409575878,6.624797263,6.574615056,7.513072579,8.49361448,6.049952307,6.321311623
AB488780,7.434263421,7.441109076,7.035682934,8.163176795,7.746839059,7.283469881,7.398954262,7.396044796,7.86705614,7.269390504
ABAT,7.050708034,6.67471956,7.984322149,7.05127557,7.250955375,7.27327455,7.173871027,8.040133054,6.771672219,7.160745526
ABCA1,5.657896553,5.882615919,7.387908226,6.427907361,6.191033199,6.103208237,6.695680726,7.024270191,5.774335232,6.185877461
ABCA11P,5.7021982,5.557331542,5.480432026,5.84131281,5.262157664,5.401748748,5.837789446,5.757230196,5.649118214,5.860203162
ABCA12,3.912020928,3.883232649,4.200961345,3.893755435,3.766466439,3.912542967,3.998732294,3.846332871,3.945549149,3.941173733
ABCA13,3.181963397,3.108094988,3.429006408,3.163102778,3.117390023,3.097448207,3.114459594,3.167105687,3.09102586,3.224305277
ABCA17P,4.948424457,4.710784452,4.664312283,4.868734554,4.929505404,4.767902721,4.863502237,5.422952509,5.830848999,4.247704674
ABCA2,6.197332504,6.364997139,5.852894617,6.064798146,6.109362245,6.245220277,6.202121972,5.841398429,6.173088528,6.223577593
ABCA3,6.800981294,6.845028785,6.561550997,6.65083685,6.627330461,6.689150153,6.604189364,6.768884187,6.720385507,6.700961583
ABCA4,4.880116126,4.839620686,4.875394462,4.802664727,4.857847167,4.858278605,4.879840661,4.8674233,4.903106988,4.912632293
ABCA5,7.147815002,6.326820098,6.955833273,7.570073957,6.750752481,6.984234832,7.036950655,7.072340496,7.284175706,6.462299865
ABCA6,3.992111438,3.630912297,3.777151821,3.609212041,4.029417283,4.255370395,3.690142602,3.788052606,3.936583707,4.045779977
ABCA7,7.79291412,7.871438665,8.460950907,8.325544009,7.990971389,7.975039637,8.291720797,8.360146123,7.988211293,7.922019692
ABCA8,4.275421054,4.341314592,4.386674222,4.438436567,4.36602925,4.26818978,4.36600039,4.387083791,4.358170667,4.22901339
ABCA9,4.245036766,4.22172201,4.347409651,4.214351083,4.135685799,4.093024282,4.013154697,4.211453478,4.148048388,4.37473472
ABCB1,7.668545817,7.160893414,6.718341616,6.473294247,6.035816016,7.646236866,6.49458779,6.601144094,6.706896455,6.676134124
ABCB10,8.722710513,8.310072271,8.453197034,8.467880022,8.672884213,8.546715369,8.365222948,8.734710323,8.404020464,8.711410063
ABCB11,3.902480644,3.872121833,3.868528426,3.769267777,3.96325177,3.916438967,3.934099763,3.953904692,3.802399313,3.76473513
ABCB4,5.086606287,6.302717842,6.330281086,5.787995232,5.313727283,5.979779823,6.890247515,5.454842609,5.384996449,5.666842774
ABCB5,4.140140039,4.287193067,4.185327865,4.234569142,4.296456965,4.248241974,4.192147995,4.17744052,4.030098062,4.251743854
ABCB6,7.112285814,7.326559208,7.198406094,7.312346872,7.106136801,7.259247315,7.261941077,7.159436686,7.203166064,7.245633227
ABCB7,8.93481402,8.780699362,8.963062583,8.676029512,9.141058772,8.700006263,8.78113382,8.833391448,8.971697964,9.157371267
ABCB8,5.580295944,5.418688401,5.474591777,5.790889943,5.614883899,5.504661201,5.403151542,5.398146481,5.658223729,5.443624595
ABCB9,4.984688709,5.134770116,5.189628057,5.015651769,5.091648014,4.920664881,5.079359465,5.000739458,5.127814586,5.054473838
ABCC1,9.573629805,9.721055279,9.591275518,9.612246044,9.709525144,9.480590971,9.691048248,9.571257761,9.671867446,9.549312228
ABCC10,8.23100794,7.61031337,8.068927194,7.963718811,7.938507629,7.843723373,7.643468315,7.996654437,8.106987865,8.001049652
ABCC11,4.280947908,4.501922548,4.208228218,4.4246217,4.395827188,4.355457705,4.504719219,4.501146162,4.335483341,4.296897098
ABCC12,4.006326866,3.944529987,3.930464353,3.98201813,4.01721753,3.971125243,3.964052067,3.965822181,3.987023866,4.009147585
ABCC13,3.828402082,3.774130732,4.00761798,3.987021931,3.850548583,3.792972902,3.825538791,3.89579114,3.886315227,3.859380051
ABCC2,7.831515001,8.039760575,8.038787965,7.799777681,7.719085503,7.906782332,7.977572259,7.704653936,7.705609454,8.032280267
ABCC3,6.488157381,6.564556439,6.308045895,6.363445511,6.640828809,6.48955032,6.388757982,6.359255634,6.501307866,6.74276441
ABCC4,6.7315004,6.844841202,6.590316425,6.537287645,6.470244649,6.734028038,6.524792899,6.610754157,6.415281196,6.715320825
ABCC5,6.912420745,6.865020232,7.138952693,6.873887007,6.902324965,6.963359185,6.851975531,7.244933599,6.866015906,6.896336673
ABCC6,5.501391599,5.236045087,5.506414733,5.160653303,5.628076772,5.10477713,5.368783335,5.757984243,5.241034433,5.703804515
ABCC6P1,3.669843428,3.926151955,3.727641582,3.628433978,3.80941968,3.662048056,3.743091915,3.781999073,3.698221432,3.5935277
ABCC8,6.163383305,6.219026535,6.024646388,6.169138556,6.404189791,6.145577228,6.233917311,6.335546188,6.421464788,6.169638096
ABCC9,3.828358424,3.92949078,3.918085535,3.932927747,3.913528281,3.794705647,3.866724052,3.885178781,3.806097294,3.855966647
ABCD1,7.142640341,7.027906113,6.988164504,6.884354493,7.163671857,6.700242755,6.972844687,6.969471372,6.989746745,7.01712132
ABCD1P2,5.077329777,5.088219123,5.110580573,5.015756936,5.198813349,5.097670429,5.019169737,5.125640756,5.055221377,5.122970834
ABCD2,3.867365346,4.179665497,3.839886017,5.091670648,4.389525455,4.08491525,3.804561275,4.426827158,5.648426855,3.724633653
ABCD3,9.316858022,9.318165382,8.877543446,8.925221651,8.918778062,9.148578033,9.03037239,9.147759758,9.181656811,9.192112642
ABCD4,6.507709682,6.500009462,6.542110444,6.814751388,6.560830425,6.335543766,6.533979554,6.490450088,6.993421626,6.370813806
ABCE1,10.72241168,10.74532389,10.58922953,10.74401529,10.63257219,10.74246177,10.71771664,10.74751142,10.73474674,10.68619687
ABCF1,9.985355755,9.661242256,9.273150801,9.320509235,9.494097312,9.810686793,9.435227592,9.107570993,9.722459026,9.716791273
ABCF2,8.478278131,8.439048268,8.129017885,8.103072644,8.129731958,8.313470728,8.176702361,7.743209796,8.289683762,8.403018224
ABCF3,7.378981605,7.502755806,6.915777281,7.333685714,7.584114549,7.463119386,7.62558811,7.146891476,7.536154227,7.683258174
ABCG1,6.92301142,6.728663976,7.672449454,7.405826782,6.747564414,7.133617912,7.486311926,7.702696197,6.904180572,6.632019655
ABCG2,5.683960313,5.584040379,5.492174938,5.65989925,5.336722003,5.696837242,5.353315742,5.404931242,5.653546809,5.495740224
ABCG4,5.59137863,5.968990645,5.642320636,5.737008323,5.836502924,5.745978904,5.868617445,5.668625714,5.744567158,5.732023586
ABCG5,3.956844966,3.817746663,3.914150034,4.000331423,4.062033049,3.839797785,3.945757043,3.866248921,3.871211698,4.011041244
ABCG8,3.940205306,3.964044875,4.0398914,4.008017918,4.123940669,3.981957599,3.992133589,4.09016848,3.974958388,4.187924494
ABHD1,4.658591961,4.720893824,4.803917157,4.627164999,4.643358529,4.64760003,4.808228316,4.587068046,4.77423324,4.778709079
ABHD10,10.68011678,10.90123015,10.64172917,10.50913572,10.51178172,10.73187529,10.72310904,10.41533093,10.58412148,10.69694022
ABHD11,7.050440854,7.172361744,6.760269518,6.543383812,7.038457471,7.070837788,6.740679717,6.461177978,6.743984823,7.035353375
ABHD12,7.279635359,7.144876472,6.715326629,6.751746802,7.094171971,7.122346314,6.667793184,6.532359397,7.156487327,7.107961314
ABHD12B,4.414730633,4.622478547,5.663638897,5.042289759,4.899439535,4.442078593,5.048410712,5.742651777,4.608118579,5.049618008
