Gene,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16
A1BG,2.11090712,4.381523017,4.238972071,3.522010847,4.438845224,4.584773001,7.50536224,1.684007952,1.844572288,5.89584864,5.939885037,5.862827892,4.881133135,8.33524532,6.043197412,5.460810736,5.205432042
A1BG-AS1,5.484070005,13.88548584,12.00458586,9.135982045,8.409495209,11.16536315,6.59470069,4.608606393,6.517055152,7.24509151,7.16580483,8.462351911,4.20469658,8.268294069,6.902107733,6.309947769,8.832243864
A1CF,0,0,0,0,0,0,0,0,0,0,0.055175032,0,0,0,0.032220426,0,0
A2M,6.83615475,24.80811376,28.68707308,42.92108782,22.44737539,21.18045569,6.616182243,70.33374524,54.76707331,22.30797004,30.28785624,3.936668752,27.50906351,3.886424466,18.22996004,17.7499469,22.93451665
A2M-AS1,0.967104866,0,0,1.116622523,0.991822632,1.987645549,0.997241152,0,0,0.321321817,0.375758455,1.066622747,0,0,0.820713729,1.522899642,0.26752405
A2ML1,1.747316338,3.087032407,1.358365756,0.961652474,0,1.15576899,0,0,0,0.888085918,1.000635246,0.645405161,1.333475471,0.584473386,1.122946322,0,1.124184439
A4GALT,24.41128954,30.58833602,13.96417423,14.07962129,23.82659971,14.63087484,19.72629325,1.218049823,2.357994417,18.64586504,22.68930839,23.54346832,8.052512534,20.42775251,20.76460237,23.26713527,20.01730926
A4GNT,0,0,1.293765583,0,0,0,0,0,0,0,0.066710841,0,0,0,0.299063825,0,0.403208035
AAAS,50.70431486,40.9511814,36.0234324,43.39617299,51.9468876,58.12392399,52.56714784,26.67132678,47.5604623,55.7328524,53.03858381,45.40015375,41.15768281,49.74464836,52.77623515,51.85439259,51.95382432
AACS,38.06499884,41.68209034,25.25411427,25.9134048,31.46885145,25.46875501,35.14541636,7.344328349,19.86736726,34.06749104,35.09403199,14.98492624,9.795240571,34.53664433,31.89119028,30.88364669,32.20704503
AADAC,0,0,0,0,0,0,0,0,0,0,0.222731639,1.511159357,0,0,0.086901024,0,0.074891444
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771892,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0.058844354,0,0,0,0.045683363,0,0.029440888
AADACL4,0,0,0,0,0,0,1.452513042,0,0,0,0.075906119,0,0,0,0.014810622,0,0.076591184
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,3.612953166,8.225858918,2.1563623,2.325836515,6.796709375,4.14458959,4.962918035,0,0,5.388705541,4.43867002,2.223258504,2.281602462,6.075802039,4.511104569,5.083198735,4.552417733
AAED1,3.818112505,7.726812499,11.93279916,15.16405117,7.795864099,13.69091596,3.929232982,30.99285435,12.86296211,14.52257017,11.8617183,18.73396193,16.85719993,11.5182565,10.12965099,9.755937704,10.1883034
AAGAB,88.30583209,60.13270424,49.14347314,36.93883494,68.60124202,56.57447194,60.54989426,14.01944379,35.49640147,75.03252743,72.10000567,49.64226297,33.24786867,65.91284632,69.40604008,66.57614944,71.81065241
AAK1,21.41135862,18.09233268,19.07829192,38.58197585,14.59484145,22.84059575,13.847961,36.06975407,30.96224356,17.17564398,17.33550654,20.49325783,12.27378577,12.84899346,16.36065639,18.72418072,17.42838567
AAMDC,29.54976639,60.54865928,24.68187461,29.97819206,33.99714791,60.75414304,35.96659597,21.07988483,23.84787715,34.31391644,41.83615488,27.90544695,24.06250257,47.18869175,38.50124708,32.38326505,37.92110627
AAMP,189.4517169,180.4633508,117.4513912,103.0717081,142.8312725,107.030488,160.3024099,53.94089745,68.6544553,166.9343629,163.0589809,124.5467271,95.47602554,182.6211496,155.8224439,155.149277,161.5732441
AANAT,0,0,0,0,0,2.895053111,2.910914544,3.182931491,6.167749272,0.588660161,1.147664786,6.112219774,5.34166992,2.854089363,1.325745782,0,2.531958008
AAR2,29.72419447,22.60993306,23.1682819,25.82283912,22.90255671,24.70962931,26.56250004,23.43246074,21.27799192,27.39182813,26.1292646,18.01315912,18.63357695,37.92076254,27.80665228,28.86549678,29.01142984
