,monocytes,myeloid.dendritic.cells,NK.cells,naive.CD4.T.cells,memory.CD4.T.cells,naive.CD8.T.cells,naive.B.cells,neutrophils
A1BG,1.0,4.0,2,3.0,3.0,3.0,3.0,1.0
A1BG-AS1,2.0,2.0,2,2.0,1.0,2.0,3.0,2.0
A1CF,0.0,1.0,0,1.0,1.0,0.0,1.0,1.0
A2M,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
A2M-AS1,0.0,0.0,2,0.0,1.0,1.0,0.0,3.0
A2ML1,1.0,1.0,0,1.0,1.0,0.0,0.0,1.0
A2MP1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
A4GALT,2.0,2.0,2,2.0,2.0,2.0,2.0,1.0
A4GNT,1.0,1.0,1,1.0,1.0,1.0,2.0,1.0
AA06,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AAAS,2.0,3.0,2,3.0,2.0,3.0,3.0,3.0
AACS,1.0,3.0,5,4.0,2.0,5.0,2.0,3.0
AACSP1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AADAC,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AADACL2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AADAT,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AAED1,45.0,12.0,10,5.0,12.0,6.0,5.0,3.0
AAGAB,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0
AAK1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAMDC,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AAMP,3.0,9.0,5,4.0,3.0,4.0,4.0,6.0
AANAT,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
AAR2,6.0,6.0,6,4.0,4.0,6.0,4.0,5.0
AARS,2.0,5.0,8,14.0,5.0,10.0,6.0,12.0
AARS2,1.0,2.0,3,3.0,2.0,2.0,2.0,2.0
AARSD1,2.0,6.0,6,10.0,5.0,6.0,5.0,4.0
AASDH,1.0,2.0,2,2.0,2.0,1.0,2.0,2.0
AASDHPPT,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AASS,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0
AATF,29.0,29.0,27,42.0,35.0,24.0,26.0,36.0
AATK,2.0,2.0,5,1.0,1.0,2.0,1.0,4.0
AB074162,1.0,1.0,2,1.0,1.0,1.0,1.0,3.0
AB488780,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABAT,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
ABCA1,1.0,0.0,0,1.0,1.0,0.0,1.0,1.0
ABCA11P,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
ABCA12,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
ABCA13,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCA17P,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0
ABCA2,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
ABCA3,1.0,1.0,3,2.0,2.0,2.0,1.0,2.0
ABCA4,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
ABCA5,0.0,0.0,1,1.0,1.0,7.0,2.0,2.0
ABCA6,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
ABCA7,5.0,24.0,27,67.0,40.0,16.0,47.0,18.0
ABCA8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCA9,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCB1,1.0,1.0,9,1.0,1.0,3.0,1.0,4.0
ABCB10,17.0,5.0,10,4.0,3.0,8.0,5.0,5.0
ABCB11,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
ABCB4,1.0,1.0,0,0.0,1.0,1.0,7.0,1.0
ABCB5,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
ABCB6,1.0,1.0,1,2.0,1.0,2.0,2.0,1.0
ABCB7,8.0,10.0,7,9.0,6.0,6.0,6.0,5.0
ABCB8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCB9,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC1,1.0,1.0,1,1.0,2.0,2.0,1.0,1.0
ABCC10,3.0,3.0,7,7.0,9.0,7.0,4.0,6.0
ABCC11,1.0,1.0,0,1.0,1.0,0.0,1.0,1.0
ABCC12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCC13,1.0,1.0,0,1.0,1.0,0.0,1.0,0.0
ABCC2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCC5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC6P1,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
ABCC6P2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC8,1.0,1.0,1,2.0,2.0,1.0,1.0,1.0
ABCC9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCD1,2.0,2.0,2,2.0,2.0,1.0,2.0,2.0
ABCD1P2,1.0,1.0,1,1.0,2.0,2.0,2.0,1.0
ABCD2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCD3,11.0,2.0,5,5.0,1.0,3.0,1.0,1.0
ABCD4,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
ABCE1,1.0,2.0,1,3.0,2.0,2.0,1.0,3.0
ABCF1,20.0,10.0,22,7.0,11.0,7.0,17.0,15.0
ABCF2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCF3,12.0,4.0,7,5.0,6.0,4.0,4.0,4.0
ABCG1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCG2,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0
ABCG4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCG5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCG8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABHD1,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0
ABHD10,4.0,3.0,2,3.0,2.0,3.0,1.0,2.0
ABHD11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABHD12,6.0,5.0,3,2.0,1.0,2.0,2.0,1.0
ABHD12B,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
ABHD13,2.0,1.0,3,1.0,1.0,3.0,2.0,1.0
ABHD14A,2.0,5.0,14,10.0,15.0,9.0,5.0,8.0
ABHD14A-ACY1,3.0,4.0,4,5.0,3.0,5.0,4.0,4.0
ABHD14B,2.0,14.0,20,54.0,57.0,15.0,21.0,5.0
ABHD15,2.0,5.0,19,2.0,2.0,4.0,6.0,7.0
ABHD16A,2.0,2.0,2,2.0,1.0,2.0,2.0,1.0
ABHD16B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABHD17A,35.0,146.0,2109,331.0,525.0,171.0,141.0,1550.0
ABHD17B,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
ABHD17C,2.0,1.0,1,0.0,0.0,0.0,0.0,1.0
ABHD2,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0
ABHD3,27.0,8.0,21,23.0,9.0,39.0,8.0,49.0
ABHD4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0
ABHD5,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0
ABHD6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABHD8,1.0,2.0,1,2.0,1.0,1.0,1.0,1.0
ABI1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
ABI2,1.0,1.0,0,1.0,1.0,1.0,0.0,0.0
ABI3,6.0,4.0,4,1.0,1.0,1.0,1.0,10.0
ABI3BP,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABL1,7.0,21.0,42,13.0,7.0,9.0,7.0,7.0
ABL2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABLIM1,1.0,1.0,3,3.0,4.0,1.0,1.0,2.0
ABLIM2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABLIM3,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABO,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABR,2.0,3.0,2,2.0,2.0,1.0,2.0,3.0
ABRA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABRACL,266.0,150.0,47,177.0,112.0,213.0,18.0,236.0
ABT1,8.0,5.0,14,15.0,8.0,15.0,7.0,11.0
ABTB1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABTB2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC000111.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC002059.10,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC002064.5,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0
AC002310.12,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC002310.7,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC003973.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC003986.5,1.0,1.0,1,1.0,2.0,0.0,1.0,1.0
AC003989.4,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
AC004158.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AC004490.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC004538.3,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0
AC004692.5,19.0,66.0,31,143.0,107.0,64.0,94.0,37.0
AC004941.5,5.0,4.0,14,9.0,11.0,9.0,6.0,7.0
AC004951.6,6.0,5.0,13,36.0,6.0,17.0,48.0,9.0
AC005162.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005224.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005256.1,1.0,2.0,1,1.0,2.0,2.0,2.0,1.0
AC005306.3,2.0,3.0,2,3.0,2.0,5.0,3.0,3.0
AC005498.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005523.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005523.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005537.2,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
AC005592.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AC005606.14,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
AC005754.7,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
AC005785.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005838.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC006026.13,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
AC006129.2,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0
AC006538.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007228.11,1.0,1.0,1,1.0,2.0,1.0,2.0,1.0
AC007255.8,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007292.3,2.0,3.0,2,3.0,2.0,2.0,2.0,2.0
AC007349.5,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0
AC007362.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007364.1,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0
AC007365.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007389.3,2.0,2.0,2,2.0,3.0,2.0,2.0,1.0
AC007401.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007557.2,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0
AC007680.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007787.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007967.3,2.0,1.0,1,1.0,1.0,1.0,1.0,2.0
AC008088.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC008746.12,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC008753.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC009120.6,4.0,2.0,4,2.0,3.0,4.0,5.0,3.0
AC009133.15,1.0,2.0,1,4.0,3.0,3.0,2.0,1.0
AC009237.8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC009502.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC009947.3,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
AC010095.5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC010145.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC010145.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
