geneID,B.cells,CD4.T.cells,endothelial.cells,fibroblasts,monocytic.lineage,neutrophils
DDX11L1,0,0,0,0,0,0
WASH7P,10.97765007,13.89131856,24.5778675,18.34234376,18.6670068,69.95633957
MIR6859-1,4.989840939,5.34281483,5.174287894,6.878378911,5.60010204,24.48471885
RP11-34P13.3,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0
RP11-34P13.7,0,1.068562966,0,0,0,17.48908489
RP11-34P13.8,0,1.068562966,0,0,0,0
RP11-34P13.10,0,0,0,0,0,0
RP11-34P13.15,0,0,0,0,0,31.48035281
RP11-34P13.16,0,0,0,0,0,6.995633957
RP11-34P13.14,1.995936376,0,0,0,0,0
RP11-34P13.13,3.991872751,1.068562966,0,2.29279297,3.73340136,76.95197353
RNU6-1100P,0,0,0,0,0,0
RP11-34P13.9,0,0,0,0,0,0
ABC7-43046700E7.1,0,0,0,0,0,0
RP11-34P13.18,33.93091838,78.00509652,38.80715921,47.00225589,102.6685374,195.8777508
MIR6859-2,0,1.068562966,1.293571974,0,0,3.497816979
AP006222.1,3.991872751,7.479940762,2.587143947,9.171171881,13.06690476,41.97380374
RPL23AP24,0,1.068562966,1.293571974,0,0,0
RP4-669L17.2,0,0,0,0,0,0
RP4-669L17.4,6.985777314,7.479940762,0,2.29279297,7.46680272,251.8428225
RP4-669L17.6,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0
CICP7,0,0,0,0,0,0
RP4-669L17.8,0,0,0,0,0,0
RF00026,3.991872751,23.50838525,1.293571974,0,3.73340136,17.48908489
RP11-206L10.17,5.987809127,1.068562966,0,2.29279297,1.86670068,13.99126791
RP5-857K21.2,0,0,0,0,0,0
RP5-857K21.9,0,0,0,0,3.73340136,0
RP5-857K21.8,97.8008824,57.70240017,11.64214776,4.585585941,72.80132652,24.48471885
RP5-857K21.6,197.5977012,66.2509039,34.92644329,63.05180668,104.5352381,13.99126791
MIR6723,0,0,0,0,0,0
RP5-857K21.7,43.91060026,11.75419263,3.880715921,3.439189455,14.93360544,3.497816979
RP5-857K21.14,0,0,1.293571974,0,0,0
RP5-857K21.10,223.5448741,104.7191707,58.21073881,10.31756837,162.4029592,132.9170452
RP5-857K21.11,37.92279113,33.12545195,9.055003815,11.46396485,18.6670068,6.995633957
RP5-857K21.12,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0
RP11-206L10.15,0,0,0,0,0,0
RP11-206L10.2,30.93701382,24.57694822,18.11000763,12.61036134,39.20071428,171.393032
RNU6-1199P,0,1.068562966,0,1.146396485,0,0
RP11-206L10.4,0,0,0,0,0,0
RP11-206L10.9,53.89028214,26.71407415,12.93571974,5.731982426,22.40040816,0
RP11-206L10.18,11.97561825,5.34281483,3.880715921,2.29279297,3.73340136,0
RP11-206L10.8,211.5692558,363.3114085,3.880715921,9.171171881,156.8028571,384.7598676
FAM87B,3.991872751,0,0,14.90315431,9.3335034,3.497816979
RP11-206L10.11,142.7094508,188.067082,108.6600458,146.7387501,121.3355442,31.48035281
NCRNA00115,58.88012308,33.12545195,16.81643566,17.19594728,69.06792516,69.95633957
FAM41C,0,0,0,0,0,0
TUBB8P11,1.995936376,0,0,0,0,0
FAM166AP3,0,0,0,0,0,0
RP11-54O7.16,0,0,0,0,1.86670068,0
RP11-54O7.1,0,0,0,1.146396485,0,0
RP11-54O7.2,0,0,0,1.146396485,0,0
RP11-54O7.3,0,0,0,8.024775396,0,0
SAMD11,0,0,0,25.22072267,0,0
NOC2L,412.1608615,531.0757941,1363.42486,1125.761348,293.0720068,192.3799338
KLHL17,41.91466389,55.56527424,97.01789802,113.493252,97.06843536,27.98253583
PLEKHN1,0,6.411377796,1.293571974,1.146396485,46.667517,0
PERM1,0,0,0,0,0,0
RP11-54O7.17,0,0,6.467859868,2.29279297,1.86670068,3.497816979
HES4,1.995936376,0,120.3021935,2.29279297,3.73340136,45.47162072
ISG15,31.93498201,59.8395261,473.4473423,506.7072464,466.67517,440.7249393
RP11-54O7.10,0,2.137125932,0,0,0,0
RP11-54O7.11,0,2.137125932,0,0,0,3.497816979
AGRN,39.91872751,11.75419263,614.4466874,285.4527248,634.6782312,17.48908489
RP11-54O7.14,0,1.068562966,32.33929934,25.22072267,52.26761904,0
RP11-465B22.3,26.94514107,5.34281483,5.174287894,2.29279297,431.2078571,3.497816979
RP11-54O7.18,1.995936376,0,0,0,14.93360544,0
RNF223,1.995936376,0,0,0,0,0
C1orf159,44.90856845,67.31946686,115.1279056,88.27252936,76.53472788,45.47162072
RP11-465B22.5,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0
MIR429,0,0,0,0,0,0
RP11-465B22.8,0,1.068562966,1.293571974,0,0,0
RP11-465B22.6,0,0,0,0,0,0
TTLL10,0,1.068562966,0,0,0,0
TNFRSF18,57.88215489,26.71407415,0,4.585585941,31.73391156,6.995633957
TNFRSF4,1.995936376,20.30269636,82.78860631,1.146396485,20.53370748,13.99126791
SDF4,400.1852433,614.4237055,1558.754228,2438.385324,1414.959115,1654.467431
B3GALT6,169.6545919,253.249423,582.1073881,518.1712113,188.5367687,87.44542447
C1QTNF12,3.991872751,1.068562966,0,22.9279297,3.73340136,20.98690187
RP5-902P8.12,0,4.274251864,1.293571974,2.29279297,7.46680272,13.99126791
UBE2J2,234.5225241,268.2093045,461.8051946,398.9459768,552.5434013,1161.275237
RP5-902P8.10,0,6.411377796,5.174287894,8.024775396,9.3335034,0
SCNN1D,7.983745502,32.05688898,18.11000763,52.73423832,24.26710884,0
ACAP3,73.84964589,127.158993,325.9801373,1181.934776,205.3370748,402.2489525
MIR6726,0,0,1.293571974,5.731982426,0,0
PUSL1,21.95530013,54.49671127,177.2193604,329.0157912,74.6680272,143.4104961
INTS11,243.5042378,473.373394,1095.655462,1145.250089,483.4754761,797.5022711
MIR6727,0.997968188,1.068562966,10.34857579,3.439189455,0,6.995633957
RP5-890O3.9,11.97561825,28.85120008,12.93571974,11.46396485,18.6670068,31.48035281
CPTP,33.93091838,99.37635584,447.5759028,224.6937111,128.8023469,220.3624697
TAS1R3,7.983745502,5.34281483,2.587143947,2.29279297,1.86670068,3.497816979
DVL1,65.86590039,178.4500153,460.5116226,1067.295128,713.0796598,223.8602866
MIR6808,0,0,3.880715921,3.439189455,0,0
MXRA8,0,1.068562966,1.293571974,4990.2639,1.86670068,0
AURKAIP1,95.80494602,148.5302523,809.7760554,913.6779987,250.1378911,909.4324144
RP5-890O3.3,1.995936376,0,0,0,0,0
CCNL2,2788.323117,3773.095833,2378.878859,3157.17592,1767.765544,3774.14452
RP4-758J18.2,183.6261465,268.2093045,256.1272508,206.3513673,179.2032653,577.1398015
MRPL20,371.2441658,491.5389644,883.5096579,935.4595319,405.0740476,447.7205733
RN7SL657P,27.94310926,27.78263712,12.93571974,9.171171881,9.3335034,52.46725468
RP4-758J18.13,53.89028214,91.89641508,49.15573499,50.44144535,35.46731292,41.97380374
ANKRD65,0,0,12.93571974,51.58784183,0,0
RP4-758J18.7,0,0,0,1.146396485,0,0
TMEM88B,0,0,0,0,0,0
RP4-758J18.10,0,0,3.880715921,0,0,0
VWA1,0,0,610.5659715,47.00225589,1.86670068,0
ATAD3C,1.995936376,4.274251864,0,5.731982426,0,0
ATAD3B,181.6302102,370.7913492,584.694532,545.6847269,110.1353401,150.4061301
RP5-832C2.8,0,1.068562966,2.587143947,6.878378911,1.86670068,0
ATAD3A,43.91060026,45.94820754,508.3737856,577.7838285,37.3340136,13.99126791
TMEM240,0,4.274251864,18.11000763,48.14865238,0,0
SSU72,856.2567051,1107.031233,1475.965622,1532.732101,961.3508502,3228.485071
RP5-832C2.5,13.97155463,20.30269636,9.055003815,13.75675782,35.46731292,34.97816979
RP11-345P4.11,0,0,0,0,0,0
C1orf233,3.991872751,18.16557042,14.22929171,53.8806348,3.73340136,6.995633957
RP11-345P4.9,75.84558227,97.23922991,51.74287894,56.17342777,76.53472788,55.96507166
MIB2,122.7500871,138.9131856,257.4208227,509.0000394,145.602653,573.6419845
MMP23B,0,0,0,0,0,0
CDK11B,245.5001742,328.0488306,241.8979591,216.6689357,388.2737414,1934.292789
RP11-345P4.10,9.979681878,5.34281483,3.880715921,1.146396485,5.60010204,20.98690187
SLC35E2B,637.701672,983.0779288,655.8409906,749.7433013,718.6797618,2500.93914
