,endothelial.cells,CD4.T.cells,fibroblasts,CD8.T.cells,NK.cells,B.cells
C9orf152,0.0,0.0,0.0,0.0,0.0,0.0
RPS11,2225.3600000000056,5579.889999999997,395.4700000000008,1952.7599999999993,3386.5600000000086,5124.090000000011
ELMO2,56.299999999999855,36.800000000000004,25.05000000000004,0.0,0.0,0.0
CREB3L1,0.0,0.0,0.0,0.0,0.0,0.0
PNMA1,123.41000000000024,32.13000000000008,0.0,0.0,0.0,0.0
MMP2,0.0,0.10999999999999899,26.56999999999997,0.0,0.0,0.0
TMEM216,0.0,0.0,0.0,0.0,0.0,0.0
TRAF3IP2-AS1,0.940000000000003,6.789999999999998,0.0,43.01999999999993,0.0,51.470000000000184
LRRC37A5P,0.0,0.0,0.0,0.0,0.0,0.0
LOC653712,0.0,0.0,0.0,0.0,0.0,0.0
C10orf90,0.0,0.0,0.0,0.0,0.0,0.0
ZHX3,0.3699999999999992,0.2200000000000002,5.539999999999998,0.0,0.0,0.0
ERCC5,102.97000000000041,0.0,0.0,42.18999999999994,0.0,21.699999999999946
GPR98,0.0,0.0,0.0,0.0,0.0,0.0
RXFP3,0.0,0.0,0.0,0.0,0.0,0.0
CTAGE10P,0.0,0.0,0.0,0.0,0.0,0.0
APBB2,5.510000000000002,13.449999999999967,0.0,0.0,0.0,0.0
KLHL13,0.0,0.0,0.0,0.0,0.0,0.0
KRTAP10-8,0.0,0.0,0.0,0.0,0.0,0.0
PDCL3,0.0,119.86999999999968,0.0,0.0,0.0,0.0
AEN,0.0,43.19000000000008,14.439999999999955,0.0,0.0,0.0
FRG2,0.0,0.0,0.0,0.0,0.0,0.0
DECR1,74.75999999999985,10.860000000000017,113.20999999999958,0.0,0.0,0.0
SALL1,0.0,0.0,0.0,0.0,0.0,0.0
GGT3P,0.0,0.7699999999999974,0.0,0.0,0.0,0.0
CADM4,0.0,0.0,20.959999999999933,0.0,0.0,0.0
RPS18,15281.75999999976,16670.559999999547,1753.160000000004,5211.469999999989,4092.9199999999905,11631.949999999826
SLC10A7,0.0,0.0,0.0,0.0,46.809999999999874,49.559999999999874
CFHR5,0.0,0.0,0.0,0.0,0.0,0.0
OR2K2,0.0,0.0,0.0,0.0,0.0,0.0
BRIX1,0.0,21.630000000000074,37.02999999999986,151.91000000000025,0.0,70.68999999999991
MIR378F,0.0,0.0,0.0,0.0,0.0,0.0
LMAN1,79.65999999999993,44.460000000000036,36.82000000000015,0.0,5.749999999999997,0.0
CHD8,20.249999999999954,0.0,0.0,0.0,37.02999999999986,0.0
SUMO1,0.0,143.8099999999995,0.0,259.7000000000003,0.0,0.0
MIR941-2,0.0,0.0,0.0,0.0,0.0,0.0
GP1BA,0.0,0.0,0.0,0.0,0.0,0.0
MIR1233-2,0.0,0.0,0.0,0.0,0.0,0.0
BSN-AS2,1.5500000000000003,1.220000000000001,0.0,0.0,29.319999999999908,0.0
BOLA3-AS1,52.699999999999825,2.060000000000002,46.36999999999983,6.619999999999997,352.6099999999992,24.27000000000006
UQCR11,121.15999999999966,190.90999999999948,105.54000000000013,216.67000000000073,341.30000000000086,336.70999999999947
DDB1,176.3500000000006,29.59999999999986,30.7099999999999,0.0,0.0,0.0
MYO9B,11.930000000000053,0.4400000000000004,0.0,0.0,0.0,11.609999999999992
MMP7,0.0,0.0,0.0,0.0,0.0,0.0
MIR1976,0.0,0.0,0.0,0.0,0.0,0.0
