,Tregs,memory.B.cells,naive.B.cells,naive.CD4.T.cells,memory.CD4.T.cells,monocytes,naive.CD8.T.cells,endothelial.cells
01-ãöî,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029759279
02-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.404697
03-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046665523
04-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.59095606
05-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0884607
06-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.99513802
07-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.8914941
08-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7935003
09-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.80852793
1-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.367983761
1/2-SBSRNA4,0.0,0.0,0.0,7.655294054,3.328136203,0.0,0.0,0.0
10-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9306991
11-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.49872201
12-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048790291
14-ñôè,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.70268231
3-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.00928419999997
4-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652591066
5-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.88567138
5S_rRNA,0.0,2.002052985,2.18298488,0.0,0.0,0.0,0.0,0.0
5_8S_rRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.52540947
7-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.10543968
7SK,0.0,16.86310315,24.57589591,0.0,0.0,0.0,0.0,0.0
8-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.41612515
9-MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.20541408
A1BG,19.26909,14.77382416,13.92832026,13.96104159,13.46203095,3.84,2.86,0.46312353700000003
A1BG-AS1,0.0,23.91630777,27.06355874,0.330720315,0.053404198,3.56,3.5,0.0
A1CF,1.681136365,0.120137773,0.139728006,0.014785062,0.011937343000000001,0.07,0.38,0.019928428999999998
A2LD1,0.0,0.0,0.0,1.407412596,0.274287491,0.0,0.0,0.0
A2M,19.599231,2.02400532,1.996738154,0.211950995,0.6600634870000001,0.11,17.83,2.7215506730000003
