Gene symbol,B.cells,CD4.T.cells,CD8.T.cells ,NK.cells,neutrophils,monocytic.lineage,fibroblasts,endothelial.cells
ABCB4,555.7134486,4.605860048,4.311280198,18.23955122,14.90688846,6.202495893,7.225818568,7.951360487
ABCB9,15.6035437,35.67150717,24.22372293,38.25986553,33.67914681,20.30942573,653.3923279,56.25188749
ACAP1,215.3059512,1790.09717,1055.613378,900.2186512,596.0259609,190.8790244,38.61687228,48.97221651
ACHE,15.11794931,27.18773248,13.42828841,30.09500683,22.76649356,16.37526833,22.12373672,13.6929629
ACP5,605.8973843,744.6565995,306.3125193,580.0972047,307.1427978,512.9313823,1120.104684,13644.1723
ADAM28,1943.742699,40.06171311,22.6897181,288.0152103,128.6860657,58.3112027,324.7808001,54.96648703
ADAMDEC1,371.0335929,80.9645004,44.61628687,116.6768318,185.5059228,106.301336,127.9674477,4464.262133
ADAMTS3,146.1955683,79.24179515,42.39041586,82.25494275,124.3571431,54.79707074,74.3391695,45.56049098
ADRB2,486.3438163,77.15395496,899.6485015,4318.010549,735.6634863,664.8839501,289.7984504,143.0178779
AIF1,24.0742984,718.6147868,742.8158187,128.9049784,6260.640469,8655.680002,21.96957308,1841.269508
AIM2,327.9580556,57.08079673,294.4846139,221.7232886,794.2145572,536.1118999,1429.674088,181.9571
ALOX15,12.23359461,18.5565618,9.774971658,39.95317196,30.06854621,9.800855372,9.073509293,6.621226619
ALOX5,1799.683549,74.93090365,78.68443963,279.0342996,2917.27138,1979.301155,190.3314674,788.5397751
AMPD1,263.7450621,68.66194527,66.1074899,119.8172865,173.7766404,98.2326067,3012.768061,76.54456664
ANGPT4,23.12217296,22.06014827,44.68465936,35.55739877,34.7186708,16.91869965,230.6806713,39.33257003
ANKRD55,284.4126543,1853.335599,141.6981114,171.8448504,415.2425186,126.1078201,117.2003668,123.600429
APOBEC3A,102.4291739,107.2355131,64.35533705,385.5261769,5584.333309,2415.197908,99.59399622,85.2400852
APOBEC3G,1283.451966,336.6456997,2090.85254,15210.07295,464.4412542,865.7405246,2034.562362,278.7681406
APOL3,222.6275107,950.7902718,1209.122376,2175.530749,106.4245095,1000.826958,754.8680347,238.5980956
APOL6,17.31182151,11.96227918,8.448971352,383.2519,19.07117143,11.82068745,7.831610308,13.10943681
AQP9,21.34280658,14.1921014,13.67548268,106.0470146,13705.68672,2044.034835,15.66433549,4583.500675
ARHGAP22,34.63556475,71.86055345,45.01409912,109.8261756,20.41036041,54.80800174,23.83351793,175.4574354
ARRB1,15.93115384,18.71219759,19.09130442,196.3860472,32.74962107,440.2370047,18.99250539,333.3962724
ASGR1,40.87013431,10.8262442,12.18880923,26.07166009,75.07267777,976.7071792,42.61290526,108.7218916
ASGR2,30.26095627,36.87140683,29.78023761,59.42859439,49.90264894,1484.961048,33.91363549,36.11978652
ATHL1,367.9599908,5333.944658,806.0999282,847.6318066,1241.008114,183.2808703,782.0675728,52.25820981
ATP8B4,123.6149862,59.88926338,69.79360213,1648.620639,95.69691227,219.3440174,83.72565704,106.0706443
ATXN8OS,19.03486997,11.61080204,12.10850879,19.74525429,15.56008373,10.41544387,131.4519579,10.99877982
AZU1,26.08448842,9.996682874,75.49418368,530.5158454,82.37125482,96.50450872,54.50569955,51.60165293
BACH2,4442.146224,1423.65694,716.5762166,989.2189172,132.7648842,52.1091524,145.9248694,60.73069122
BANK1,7633.960182,39.56449682,27.08870144,70.19968278,39.18510516,86.58724759,108.7748971,7.014183016
BARX2,16.2562128,13.89894647,14.68073716,45.1263876,61.55854792,18.15622799,15.03185841,17.14187893
BCL11B,166.5812991,7177.230404,4183.738789,1330.48715,166.8927472,88.02675109,149.8210195,78.00838097
BCL2A1,112.6417383,452.9144897,575.0352025,1066.536759,8790.33201,2261.391134,76.39326014,5560.455558
BCL7A,1097.312303,118.1838416,119.2680253,91.73068339,121.2861905,53.33648066,201.8089576,55.79800075
BEND5,571.2009408,219.5683455,159.6750731,111.8630896,102.1569818,57.98412082,197.8545424,67.04718628
BFSP1,8.615516504,130.3828712,19.66358081,54.06619337,19.08652196,21.37855994,9.834897324,15.68206397
BHLHE41,227.283923,17.67634993,45.2704192,103.1203027,77.67945327,42.84587819,981.1066215,5455.337361
BIRC3,1762.323129,677.9807091,370.9307246,1457.652022,132.8542597,159.952492,363.8164437,230.7650134
BLK,1788.424777,67.99945866,136.3936481,22.31422305,9.863599005,34.13408456,42.03948876,15.52409402
BMP2K,282.3095234,109.3081052,117.76525,224.242954,588.9037939,350.5910579,104.8531332,323.5873864
BPI,10.46971467,41.29948278,64.13890515,1003.262933,60.80053179,280.0017084,15.2477554,15.02182134
BRAF,2571.803933,101.0267209,178.6931052,555.8993643,721.2799495,264.8782577,492.0692023,312.9311159
BRSK2,10.44585498,7.924164041,10.46220047,35.49042557,11.86171476,11.75864418,34.32244633,9.848570784
BST1,65.21842011,129.3703853,68.85559845,237.5472221,1750.231329,1567.219569,33.76856098,390.5390601
BTNL8,15.22236138,23.17042572,13.49547351,25.2654983,1062.582186,20.1092024,9.870549848,25.72341908
C11orf80,531.8492615,91.4854186,162.5847884,241.4993892,101.6588003,85.67243058,2192.7069,99.33436102
C1orf54,41.71079514,292.5617552,244.0295762,235.7682057,49.30939393,395.0230177,113.0970394,1418.001252
C3AR1,131.0995558,100.57262,218.067024,1226.889466,746.04456,1337.368233,235.8730787,799.6447121
C5AR1,92.39233333,39.1758312,71.29814039,506.1342372,12587.17469,4237.561451,25.374709,4989.998907
C5AR2,8.032047496,50.36671815,5.512627066,64.32906109,383.2737567,56.84374943,15.10593558,41.54578326
CA8,17.99617948,19.53973873,13.31718235,28.62546644,25.59129039,14.00907196,16.86720259,12.5219856
CAMP,32.24981999,148.5655127,76.14506063,1785.600985,1507.37221,126.178855,52.127423,187.3573662
CASP5,16.22879037,11.62316713,20.72194816,92.31320588,483.5047319,120.1766089,7.489070848,50.41398411
CCDC102B,7.52422977,9.251047619,17.7200176,24.57356704,6.416534838,5.674857963,6.184617618,207.1228817
CCL1,9.151450435,22.5839555,10.7845404,41.1389132,9.407691897,11.12331494,10.05715446,12.30972478
CCL13,195.3507704,41.65976896,120.948249,191.6869418,105.3162645,87.08769892,101.3596853,166.9319287
CCL14,70.01715851,31.21088513,71.06446098,140.5394734,248.3181959,105.0702474,153.5523731,166.0197886
CCL17,42.21616032,19.48358652,78.50428281,113.7835353,34.28591541,67.76049878,82.14621562,114.8422294
CCL18,19.93877192,24.35123147,35.31761702,118.6516315,49.52876721,40.68134871,56.60919591,2820.01871
CCL19,78.52160611,36.87140683,77.62297831,256.3832495,117.2636391,115.5525527,258.1016824,114.3667988
CCL20,39.50876033,13.08202394,61.54110043,38.75335492,22.44468073,18.85113165,13.71677829,11.31047112
CCL22,46.07125476,39.42959137,24.03529684,103.8823326,59.92678374,33.117333,19.84751256,2604.46642
CCL23,19.74347261,19.69815613,15.31837372,108.4978429,58.68966344,37.98614378,53.41302407,244.4793596
CCL4,1661.464071,270.8722361,2564.294556,50146.82459,2680.048326,3000.888772,307.8066133,1968.542066
CCL5,19.56849893,189.4932768,11434.94887,28983.1943,133.3630669,102.8425968,30.32542187,100.2336827
CCL7,80.54919503,48.24358597,54.29720304,54.86833888,97.336807,36.20654238,58.10858778,651.3648029
CCL8,229.3383995,31.42579269,35.05420149,98.66572029,94.60984879,126.7672449,105.7382506,152.3193862
CCND2,299.0433892,363.696915,682.2085787,7082.153797,314.0695212,196.775837,677.7138981,378.8110795
CCR10,52.98873326,64.30250203,130.744128,131.8783205,97.53796277,68.90758909,773.8184665,63.12794941
CCR2,420.0370653,64.9467235,312.6203444,189.1244506,243.2288166,2908.726283,1710.33313,122.7713689
CCR3,135.0222303,12.07805481,51.21539926,209.279246,1435.2148,83.4012701,52.48031743,79.25178432
CCR5,98.76355416,75.4038863,992.0442583,2004.256608,85.86154472,489.987509,46.81934,2191.941547
CCR6,327.4987971,69.04044011,173.0896162,169.3807916,45.63378677,29.59035049,40.64411705,17.97363923
CCR7,3811.326733,8788.597127,5074.201816,1154.909491,376.1557339,165.2353496,202.9261759,328.1949289
CD160,446.1294222,114.9678358,1145.34982,3188.029837,231.9423322,93.85626167,129.5641036,89.41070681
CD180,1502.166724,23.15489547,78.77964471,67.99894218,110.5409754,576.4469199,1123.318028,201.3638474
CD19,7315.689158,128.2039752,132.2416591,188.8879649,257.8963108,164.9026221,1743.474914,98.83889476
CD1A,1294.174017,135.3722907,208.3949257,298.4606558,419.7944138,312.0225877,504.0040168,224.9858071
CD1B,1351.157456,22.28653167,55.67758898,262.4810449,356.8836932,198.2817057,343.6898904,165.9539997
CD1C,1349.225244,77.23468675,44.14189025,67.00121939,258.2129965,526.834127,31.29737364,29.85115497
CD1D,243.5748238,30.19763591,16.92273192,33.62739218,136.9215217,2785.253606,201.5321093,49.35527967
CD1E,53.25152761,80.73544092,52.56295023,87.78789502,41.44795696,91.10615096,49.27253115,48.57029757
CD2,419.4350192,8002.722844,8182.951228,9345.378128,576.8272959,222.357789,377.8722518,149.914948
CD209,68.81156687,99.59399622,21.6089747,74.47452529,130.8839822,84.17376676,23.37353986,315.2176797
CD22,3293.629651,53.38200923,37.47048645,74.4626607,72.3215622,31.15232509,19.03486997,153.7017175
CD244,59.70898915,174.4389829,623.6947469,3526.307599,51.86506899,828.4298346,28.83176888,22.32433652
CD247,23.66779296,7038.536622,5508.526368,31207.7492,59.83784952,35.27406041,65.55259868,23.92868112
CD27,388.8197482,4042.377012,5506.313911,323.8021902,300.1045211,136.4091916,7350.586942,90.85495783
CD28,170.6541081,462.9998637,527.4027958,149.744209,177.5405702,79.14901833,145.7577865,62.22720273
CD300A,30.69853755,193.2963626,738.0313132,10009.25439,4130.857899,2187.807203,103.7065116,691.3037154
CD33,25.374709,17.83717204,21.33635265,27.53263775,36.74188801,1494.400184,29.48171985,388.0381883
CD37,13247.62405,2997.964479,4472.430176,3695.070896,3204.567177,4508.112105,802.2248179,1453.500603
CD38,588.2648306,296.2994306,318.883456,2285.484914,400.4888321,237.7018615,12117.94539,90.8542014
CD3D,103.2248459,14916.803,14396.85632,494.7228349,250.9974436,79.18206065,88.37677893,74.30949816
CD3E,1233.172359,3554.437369,5787.182458,803.8376866,809.110134,225.2808846,1163.254876,188.3816952
CD3G,55.98119171,2859.409338,3348.560467,370.3568163,160.0909817,31.97464945,31.36207011,31.47187386
CD4,138.4573773,2495.269425,164.9509326,157.045247,364.5571609,3343.906153,351.0163026,552.3052303
CD40,1493.347557,119.8051169,203.0571538,368.9682609,275.5927662,298.5733076,838.3890443,1146.591678
CD40LG,65.37231327,464.1789801,186.4853205,81.55996079,51.29818379,24.75213495,34.65893963,29.86059304
CD5,482.7709118,1101.084704,947.6570017,484.9322027,223.7346793,312.9288878,459.3251879,259.243454
CD6,75.85653173,738.2321164,1720.140098,972.2277066,155.6335945,90.96996824,295.0724091,94.71792103
CD68,3.286119074,21.15896542,51.10845475,107.7566174,36.20155225,806.3047213,9.182953598,1705.45606
CD69,8246.962733,4397.041606,3798.407191,7252.97077,436.4221698,66.10288756,131.1507128,31.65121441
CD7,15.62904812,2032.402798,2234.707961,3773.522091,25.19240764,20.48373388,18.02258618,16.0113349
CD70,294.6566184,116.5526077,247.6214563,413.1168041,309.3411047,189.6644237,528.1256069,162.091307
CD72,1434.004736,43.04528298,18.8127059,88.3794104,9.272238244,9.096324111,8.359413914,9.476286725
CD79A,12117.94539,183.3771612,425.4456431,288.6978736,261.960019,174.974517,3860.541888,124.5658582
CD79B,5975.189254,284.1304512,229.2346632,618.7361587,232.5557133,158.7986952,900.5698225,68.04622904
CD80,131.2576257,102.0859478,73.52859919,302.4490086,132.6404432,148.4294518,367.1492638,350.482739
CD86,354.7433616,35.145174,108.8922088,197.9088186,161.5053365,1398.4001,309.4183226,764.4811798
CD8A,564.4780916,41.07506248,9990.737125,2149.995522,623.2298556,203.576442,44.21285974,135.9847653
CD8B,21.53089091,143.5770588,3697.963718,36.77622853,31.43329135,14.49443263,22.19126923,14.7839247
CD96,140.0696821,1432.94769,1718.974851,3757.552589,90.84379933,35.69766875,83.87781162,37.23265829
CDA,7.453474496,9.6818797,10.06514533,106.2871281,3592.43191,1040.419935,18.8378526,346.9958858
CDC25A,14.44417944,13.45315049,9.90420085,155.558803,17.78100586,14.74858062,18.49909288,18.97174653
CDH12,10.62580967,7.285693652,7.907398998,36.80817756,24.73256754,9.440421022,6.994769751,12.70746733
CDHR1,15.70334805,86.84214478,32.70000097,266.602942,27.59515717,10.5027912,8.220261044,9.74632817
CDK6,30.69853755,25.78013421,65.1412171,316.6434926,19.40986991,21.06647043,15.94453415,23.49923645
CEACAM3,68.46140597,59.64008096,69.08981156,299.4884917,2096.525977,242.1017704,104.89154,156.08054
CEACAM8,77.91715796,7.285693652,143.8250498,1118.172263,149.8673485,6.650645086,22.74378501,5.093941607
CEMP1,28.85299608,44.87716404,9.51802003,72.17026246,30.29430793,12.41773777,5.783504523,13.43483203
CFP,4.573719127,371.8319741,14.38688428,40.97717686,2060.180409,3702.502521,5.382740888,27.13104189
