,monocytic.lineage,B.cells,CD4.T.cells,NK.cells,neutrophils,CD8.T.cells
A1BG,49.078865665248834,48.56415653769026,30.063894415146816,27.129113495724056,30.90010852608821,52.34642338446273
A2M-AS1,12.37854635548809,14.933288550335098,283.75460586655885,161.37463251703983,15.482644438581382,30.433109468434495
A4GALT,35.65493824210743,35.553754196198085,36.34991284667423,58.8867031711191,53.49714516065298,48.70445268242707
AACS,44.523033918130245,40.040553159383414,45.73129917610892,46.3163609197349,16.95665857597364,44.364033879799884
AAED1,124.22054566252275,102.09865141022925,60.226228004319054,55.71523605095194,22.808030997698875,145.17527855616342
AAGAB,19.586259512559668,17.373662354671403,27.729698015875147,26.841250847295296,21.876802727363795,30.934431482020326
AAK1,21.308246935531724,12.929279712215749,47.05316946717722,32.708189525814774,18.32739709524876,33.466095336670854
AAMDC,31.374705236937952,21.43891515878077,22.6379278057334,16.778362309712456,18.134436357451598,22.89192591643935
AAMP,158.3639338429593,116.46317139056526,119.66106515573111,102.02083474851858,80.31012610804011,74.09750212244019
AAR2,103.08710004342767,73.76783552433409,73.8896300402866,53.29136937674943,25.56343851801197,68.68445651802084
AARS,124.09403853632968,179.04147293664553,182.35172031902607,167.1813377634853,83.07312955715334,112.6204413821284
AARS2,47.226345659663885,94.70246021992187,92.14921686658174,61.67611554984058,18.5859432144828,37.24627273469702
AASDH,49.9370952621947,84.68003731680734,69.45804984427636,53.63600949534086,18.40939104270554,44.079864041451096
AASDHPPT,109.06466804234893,121.061808666745,88.04138892549231,97.20374547393848,44.43732290214051,98.20927114116968
AATF,254.00621730122558,243.3282475983969,216.32701040698086,185.64208553888454,174.21559945686465,165.16468329046515
AATK,67.93814867601841,23.031396724496485,33.08006123514768,72.11162761578908,184.3329283646188,55.50305167688239
ABAT,83.30204454114107,55.55904900319092,54.22927583655157,30.6839008611549,140.196837908563,9.569321433892284
ABCA1,39.963194334539445,81.26205817729668,14.21586518745838,10.772939114078168,94.94104340467752,16.71067976364523
ABCA2,22.432834212191352,21.356302735219476,19.873443955007783,28.19739536896582,32.153190601822494,35.38515635549379
ABCA5,21.8994085266221,48.512008288496084,108.10279393300915,67.06136761970124,28.600133973129356,51.757865946860164
ABCA7,119.03648327024855,158.66608789183414,177.45261200394052,77.92854635079719,239.1911166720729,60.41506251541702
ABCB1,5.4585206131615776,25.87756562065678,14.285305654390532,78.94795548571794,7.7225108884494,35.747349014233976
ABCB4,9.161729703698581,123.97539399223534,11.118806257805813,8.099483999705969,9.005522601998988,14.150267791792341
ABCB7,160.6982045583822,184.54898593264457,109.71675132457645,66.6480148810348,15.24580052379804,51.00193144783734
ABCC1,41.07617672234451,43.32746725616181,37.47716713502654,21.464638938786617,29.0506794239329,35.97860318237821
ABCC10,58.959811218113465,33.5318459149355,67.90707563426669,56.56234388253024,23.981333865570143,33.26129597521665
ABCC11,15.452196243821858,11.452018492694865,13.331618189350134,21.211283261375453,30.973016702261244,36.88833345079628
ABCC3,33.04202040174339,12.386871903897772,11.557760702798081,13.50030410150589,16.52352972113159,15.367974786023384
ABCC5,15.991462705214863,16.993486841984435,17.774289668047604,33.947654627135634,23.42894359810006,49.5350126691114
ABCC9,9.013141249032914,8.448527998133226,12.456009113739844,19.273945157173003,20.512195326163067,40.38286036654476
ABCD3,20.931589996093077,21.17954953417079,33.225062309783745,52.32251558790759,6.844522988259601,34.75920197349383
ABCD4,17.648210513991213,15.814214575274175,17.5238759259038,23.10398811365988,18.37930107511825,38.18067101954063
ABCF1,140.44777899386457,133.14182144041692,139.16474835525432,157.8072853177013,59.30739090685858,228.20313279557652
ABCF2,20.905345765105615,38.29117430509701,34.257548274660834,15.4213803511538,14.236079604003622,22.372305734833883
ABCF3,78.04693111693969,68.28988503299982,56.227733931609286,55.44517449160992,51.12935778775368,64.68807041368142
ABCG1,16.634193332767463,23.44080158342711,16.91756468911782,18.359692618960477,45.64452765365975,64.42640900298265
ABHD10,59.477825560325975,104.3921920336007,34.3810094776365,39.181751902212895,23.648716821563088,40.89599188469767
ABHD11,49.283745567737455,34.28201489618046,44.476149877144096,71.16618527179986,82.78801370213003,51.36493460369869
ABHD12,15.20675056034105,15.529720935052408,14.620391107762199,10.418964530121128,10.827888263571834,49.4041442924276
ABHD13,29.172153795673605,23.069262848493725,18.53987998729555,11.968911095479749,22.992158384124274,15.204431317691952
ABHD14A,32.31136962006548,52.45614926191768,63.88609263848172,60.12820560581106,27.32311379107511,36.1125241632697
ABHD14B,79.43814340039044,112.27710810030389,127.26747896670908,42.08954474603002,17.454534782596316,40.277832261744244
ABHD15,28.655893985862775,70.079471991969,41.826054262290846,68.64153926159344,15.187684188682288,23.350856754677825
ABHD16A,137.14516963909824,114.63708341070533,97.87306671213611,81.76264711268479,244.14594392618423,71.99265115742169
ABHD17B,14.289663119345581,26.062435445271824,13.046762976559465,29.05672097102415,24.164043772848633,206.22677031417422
ABHD17C,10.715446042824166,10.570927059229273,20.36697760926393,37.147159691983276,30.342120317369172,51.15980148362209
ABHD2,29.914022173854562,10.990080129417745,13.310658127435518,30.050560602563433,150.39262383248243,19.38747549983009
ABHD3,85.49866568632409,51.65048532213782,80.7477413133978,53.19320279486386,252.70142683342272,33.74407891338434
ABHD4,64.17635737395852,46.92093964023436,49.032281924995864,75.62021258760338,125.96856944595244,22.75201324788392
ABHD5,28.234555228672612,9.57106853945235,11.65082329400792,12.04030472293282,92.04899084882437,8.088780483054837
ABI1,217.26470271034324,330.7047597962649,246.48567606726982,222.63089462228308,312.3608861067386,232.78830006160763
ABI2,32.25252039036341,25.114523538637116,24.983955504944966,35.822397716679745,13.877348133817211,51.00444601585388
ABI3,124.39890705014733,33.19697775907891,57.03240634811882,202.0263971048342,53.92864947319297,51.306692191208235
ABL1,109.9718143640671,104.86940269398715,110.20455158399017,102.46234462820603,22.866600563461912,150.6586785314578
ABL2,29.48685395835852,34.9955602628344,28.706986753334867,25.903048645217574,21.176026496406113,41.47770765685261
ABLIM1,19.197013743853415,206.617694499946,293.30543611740836,106.65885977385624,18.13066579946828,308.45360299044347
ABLIM2,15.846254797354376,13.447350082042393,15.860100414028281,18.190080216035682,30.979672763700503,29.186879985851352
ABR,39.05702074314488,24.364015124387734,25.23317776747443,26.438345658728206,29.15679018966289,59.509625636353256
ABRACL,314.2829070541783,131.51741155976205,304.2134227509062,188.55348427169554,49.601092766347655,223.14765584428628
ABT1,81.87210025640951,109.30836503120194,72.43524807274692,80.87881754714789,77.82112870692993,170.2097697021134
ABTB1,122.35336761365323,84.00655499276198,92.95174214819973,56.131550276596286,705.5282301500296,47.62408565008959
ABTB2,29.974421394326367,24.633163296614974,30.786586274217452,38.03247706461792,41.57141644456812,40.244298646440654
AC004692.5,55.598729082251246,121.69195625990326,84.72407055822147,57.26929744105315,26.136064225693094,97.89363829877041
AC004951.6,380.0670116378382,245.22801625928489,528.4305262376884,212.7816603359175,64.4858177061453,157.61122387312355
AC007967.3,36.59741894377627,33.855539401970745,26.423689190937882,41.96893648730824,43.526134596187205,51.785045533592
AC018755.16,25.605112629727106,26.698004335719496,24.06092163870513,19.950873395216878,21.980464970669814,29.493145547843703
AC073283.7,50.6844046499583,56.52197608430637,33.128707192828095,30.91231938231592,38.78884734341149,38.03795476617199
ACAA1,186.83876449809932,137.14421902451616,128.4702053544823,116.60614430769192,234.5123353048866,76.71764667279967
ACAA2,29.130125260192067,33.795517479365806,25.181284991361057,39.55176030161519,32.07594801166096,33.73839101550393
ACACA,48.24541709510455,48.08083347219131,48.342158954447065,53.958188148094955,18.084602716137518,32.66641267435547
ACACB,18.48521604584282,24.430813528525196,37.59085957056634,16.214807597753484,10.479950518229554,17.22329662393263
ACAD11,37.93769179876321,49.19978138586277,61.96750598442274,43.192831793310056,11.163209759192478,34.37618254127363
ACAD8,59.2174310390899,85.72000327374508,68.83975224499824,50.904101561829634,19.044070900311837,27.173596523947943
ACAD9,58.57690243683617,48.727692492978214,39.6588241933768,30.109983241907905,13.481601672587653,23.03926817062309
ACADM,59.90149065630817,150.86977526560804,76.0412319352745,58.55335776936346,9.016015526621556,29.08509957025484
ACADS,54.120377600867045,36.57941252252302,43.03474454865728,46.58294676581797,37.59659232728786,30.853350514522727
ACADSB,24.53501077704704,108.85772646268812,93.9310349460349,45.683776104121655,20.78657269356313,44.63275113369108
ACADVL,438.67844217386244,171.96128667474767,211.3572806952299,170.10479514541152,134.57065179759147,83.84587781512458
ACAN,24.66870367855247,20.099810573846177,18.334893742384722,25.438999035753383,35.24214913045257,26.639776914466996
ACAP1,54.042031384640666,81.85564457988158,127.56599553654097,68.00222281722637,50.55598540044571,45.150315880269154
