Symbol,myeloid.dendritic.cells,macrophages,neutrophils,B.cells,NK.cells,memory.CD4.T.cells
A1CF,58.2,49.8,73.1,60.3,81.5,188.5
A2M,4370.5,1797.6,4.4,16.4,13.7,83.6
A4GALT,16.7,8.4,18.0,2.0,9.6,23.0
A4GNT,31.6,52.0,23.8,14.7,63.6,138.7
AAAS,14.4,33.9,25.3,15.6,10.5,24.6
AACS,159.6,147.9,9.3,80.6,230.4,87.1
AADAC,2.3,1.4,36.6,4.8,10.6,12.6
AAGAB,2.9,3.9,8.5,7.2,9.0,31.6
AAK1,2.3,2.8,4.8,2.2,4.4,15.4
AAMDC,1.5,1.1,5.7,1.2,1.9,7.2
AAMP,187.3,209.9,38.0,158.5,145.1,271.8
AANAT,2.1,1.0,2.7,1.8,3.0,2.7
AAR2,133.9,139.4,79.3,134.3,258.3,270.3
AARS,547.5,314.0,89.9,386.1,405.6,455.8
AARSD1,32.4,65.3,17.7,90.4,79.3,120.2
AASDHPPT,188.7,175.8,37.5,164.5,107.3,160.4
AASS,0.4,0.5,0.9,1.0,1.6,2.7
AATF,101.2,144.3,224.4,234.4,245.5,278.5
AATK,91.8,113.9,384.6,73.3,164.1,27.6
ABAT,57.8,48.4,109.8,29.3,32.5,62.7
ABCA1,9.3,35.8,13.4,17.8,8.5,35.5
ABCA11P,30.0,15.7,27.0,66.2,58.5,79.0
ABCA12,0.7,1.0,3.2,5.8,21.2,35.4
ABCA2,0.9,1.0,3.5,0.9,3.1,2.8
ABCA3,4.0,4.4,6.2,8.6,43.9,13.7
ABCA4,10.0,20.1,11.0,3.5,19.8,59.1
ABCA5,104.3,62.5,36.5,160.9,208.2,225.9
ABCA6,32.7,18.6,15.2,5.2,15.8,15.1
ABCA7,27.2,42.9,271.1,132.5,106.7,154.4
ABCA8,1.3,0.6,3.6,10.6,10.8,36.3
ABCB1,14.1,8.5,4.0,82.0,355.9,50.3
ABCB11,0.6,1.9,21.6,1.8,3.0,7.7
ABCB4,34.3,8.5,4.0,294.1,2.1,32.6
ABCB6,2.4,1.6,6.1,1.8,2.0,5.9
ABCB7,114.4,106.8,2.2,186.7,146.9,187.6
ABCB8,5.7,5.5,5.1,2.7,2.4,6.9
ABCB9,3.6,3.9,7.5,1.8,5.5,8.0
ABCC1,51.4,104.6,24.4,55.7,59.2,195.5
ABCC10,95.7,108.6,106.8,91.7,137.6,237.9
ABCC2,13.0,4.8,40.2,8.7,11.7,29.8
ABCC3,151.1,31.9,4.2,2.2,5.3,4.9
ABCC4,58.3,45.9,18.0,106.1,101.1,128.4
ABCC5,192.8,203.3,442.0,164.1,366.6,401.3
ABCC6,1.3,4.2,2.9,0.6,2.9,4.3
ABCC6P1,62.1,53.8,26.6,21.7,33.9,81.5
ABCC6P2,62.1,53.8,26.6,21.7,33.9,81.5
ABCC8,1.2,1.4,1.8,3.3,3.7,8.0
ABCC9,1.7,2.1,3.0,5.0,18.3,4.9
ABCD1,100.5,128.1,78.9,29.2,48.3,121.5
ABCD1P2,2.2,4.9,13.2,13.6,4.9,11.1
ABCD2,1.2,8.3,9.7,17.9,17.7,57.4
ABCD3,702.4,480.8,19.3,367.5,511.3,248.1
ABCD4,9.1,19.3,9.9,24.7,14.1,59.0
ABCE1,385.0,249.4,16.6,273.5,133.9,195.9
ABCF1,359.4,412.3,225.1,410.8,726.9,435.6
ABCF2,7.9,1.3,3.1,36.0,35.0,42.9
ABCF3,70.5,104.2,84.4,97.6,103.7,198.0
ABCG1,41.5,136.4,75.7,30.9,47.1,30.5
ABCG2,769.8,234.3,39.7,22.0,61.3,74.3
ABCG4,28.3,35.6,60.6,41.2,54.9,88.7
ABCG5,4.5,7.9,12.5,0.6,14.9,8.0
ABHD10,605.7,474.3,92.3,695.5,432.4,364.4
ABHD11,94.2,85.6,92.6,96.4,93.8,204.6
ABHD14A,65.3,68.4,73.8,95.3,150.2,96.7
ABHD14A-ACY1,122.4,124.5,12.7,66.5,72.6,59.5
ABHD17A,320.0,439.8,480.0,127.4,1731.7,878.2
ABHD17B,33.4,37.5,38.9,57.7,95.3,125.9
ABHD2,30.7,41.8,22.8,1.1,3.1,4.1
ABHD3,617.8,556.2,1089.3,846.9,557.4,177.6
ABHD4,195.4,224.1,381.4,133.3,294.5,276.1
ABHD5,51.1,28.6,101.4,16.5,20.7,67.3
ABHD6,3.4,2.1,2.5,1.9,4.1,4.2
ABHD8,2.7,13.4,8.2,3.0,2.6,25.5
ABI1,363.2,417.4,439.9,539.9,348.0,246.2
ABI2,0.8,0.9,2.9,0.7,1.7,1.9
ABI3BP,6.9,4.1,3.9,6.5,33.1,26.2
ABL1,164.7,193.5,37.4,126.1,232.3,161.2
ABL2,52.5,54.9,47.8,20.9,24.3,120.0
ABLIM1,17.7,12.0,39.2,24.7,51.5,230.5
ABLIM3,3.2,7.2,6.3,7.2,4.1,4.1
ABO,2.7,1.9,9.4,3.4,3.3,6.3
ABR,41.2,135.5,10.5,19.7,3.5,91.6
ABT1,47.1,84.6,36.4,108.8,156.5,176.0
ABTB2,30.3,40.0,148.9,22.5,47.3,80.6
AC002310.7,16.5,28.5,7.7,17.8,14.3,64.6
AC003989.4,3.4,3.2,28.1,0.9,24.4,30.6
AC004490.1,1.0,3.0,2.0,1.7,2.9,6.0
AC004692.5,50.6,66.7,7.8,147.7,106.9,249.7
AC004941.5,21.2,22.3,50.5,3.8,7.1,10.3
AC005838.2,4.8,6.5,5.5,16.5,17.0,83.0
AC007292.3,11.6,19.0,59.6,11.8,10.4,22.7
AC007389.3,48.7,50.2,21.0,7.5,13.7,104.2
AC007967.3,22.6,24.9,41.8,27.0,25.6,57.1
AC009237.8,5.7,2.0,4.6,11.6,2.7,7.0
AC009947.3,4.5,19.9,18.6,14.7,10.9,54.2
AC012065.7,4.0,3.7,14.5,74.4,14.0,45.2
AC068039.4,26.7,16.3,46.5,24.7,69.6,157.5
AC074212.6,1.9,1.9,8.0,1.4,2.6,5.3
AC084219.3,6.0,5.7,12.8,1.4,2.7,34.0
AC104537.2,1.0,2.1,7.1,16.8,4.1,4.1
AC128677.4,31.6,20.7,74.0,562.1,87.4,212.3
ACAA1,131.9,200.3,333.8,135.8,127.2,84.4
ACAA2,14.9,12.8,7.5,18.1,29.9,68.1
ACACA,21.3,12.3,5.5,10.6,9.9,15.9
ACACB,9.2,8.1,6.4,6.1,12.3,21.8
ACAD10,53.0,37.7,74.7,97.2,61.4,220.3
ACAD8,55.3,118.1,87.9,161.1,182.2,157.0
ACADL,0.9,1.1,18.5,1.7,2.5,20.7
ACADM,1123.4,586.1,19.2,762.9,533.8,207.9
ACADS,28.2,56.2,63.2,42.2,76.6,112.9
ACADSB,59.0,60.9,13.4,64.8,21.4,48.5
ACADVL,299.1,412.5,157.4,274.6,430.7,280.2
ACAN,17.6,23.0,55.3,5.1,33.8,21.4
ACAP1,6.8,7.4,214.6,82.8,153.3,302.5
ACAP2,9.8,22.3,74.4,16.4,29.1,80.7
ACAT1,563.5,692.7,29.7,576.3,339.1,259.7
ACAT2,488.7,955.4,59.5,149.7,142.3,181.7
ACBD3,28.5,38.0,59.1,23.1,14.8,95.8
ACBD4,18.5,16.4,30.5,62.2,91.8,178.7
ACD,70.9,27.4,81.8,119.9,103.5,261.6
ACE,11.6,10.1,19.7,7.5,15.3,19.8
ACE2,6.2,6.4,15.0,3.9,16.2,7.1
ACHE,3.7,2.6,4.1,1.0,6.1,8.3
ACIN1,27.5,54.3,34.2,38.5,36.8,116.5
ACKR1,2.1,3.8,8.2,5.3,36.4,8.4
ACKR2,8.0,19.4,11.8,22.6,32.0,19.3
ACKR3,8.0,16.6,30.5,44.9,154.6,115.9
ACKR4,0.5,2.5,1.0,10.4,12.6,10.2
ACLY,61.9,131.4,55.6,63.8,89.5,174.4
ACN9,38.2,23.6,33.5,45.1,39.6,4.8
ACO1,540.5,934.1,74.9,86.7,181.8,143.5
ACO2,17.7,18.7,2.7,27.6,31.1,5.6
ACOT1,94.4,519.3,6.5,55.1,113.5,61.1
ACOT11,9.3,14.0,1.5,4.9,14.2,24.0
ACOT13,341.0,579.6,106.9,84.1,72.4,135.2
ACOT2,94.4,519.3,6.5,55.1,113.5,61.1
ACOT7,66.5,73.6,11.3,18.4,28.8,96.0
ACOT8,70.2,85.1,86.6,77.5,104.6,68.4
ACOT9,574.1,552.4,533.1,243.5,406.0,252.8
ACOX1,1.5,2.7,6.6,1.6,3.3,3.6
ACOX2,117.2,91.9,41.1,4.1,3.4,4.7
ACOX3,37.2,17.8,4.9,29.3,7.7,7.8
ACOXL,5.0,0.5,1.5,4.9,1.0,3.8
ACP1,67.6,144.0,2.3,74.5,61.1,101.7
ACP2,345.4,1072.1,76.3,50.9,127.9,128.8
ACP5,4931.0,3306.6,58.1,418.6,94.0,128.2
ACP6,138.7,124.6,151.2,147.7,140.8,282.7
ACPP,173.9,46.1,182.8,14.8,65.8,52.0
ACR,5.5,21.3,11.8,14.7,17.1,70.2
ACRV1,19.4,14.8,47.5,16.9,41.6,79.1
ACSBG1,9.7,2.2,5.0,4.8,9.4,26.4
ACSBG2,31.1,28.7,35.8,28.0,50.0,65.7
ACSF2,168.9,111.5,10.9,134.9,49.7,20.7
ACSL1,284.0,1852.5,5645.9,73.7,92.7,56.3
ACSL3,229.8,151.4,97.5,53.3,72.0,40.3
ACSL4,311.0,259.9,179.4,79.6,84.3,52.3
ACSL5,127.3,111.0,116.1,222.9,267.8,229.4
ACSL6,6.5,11.5,8.5,12.3,24.8,81.4
ACSM1,4.7,1.9,15.6,3.7,2.9,2.4
ACSM2A,11.6,10.0,2.9,5.4,13.9,38.5
ACSM2B,11.6,10.0,2.9,5.4,13.9,38.5
ACSM3,12.6,7.5,3.4,3.8,19.7,21.8
ACSM5,4.8,7.7,2.7,4.0,4.8,75.9
ACSS3,21.7,15.8,45.7,28.2,67.6,83.3
ACTA1,2.6,3.8,22.5,4.0,0.9,3.1
ACTA2,15.7,19.6,27.1,40.3,45.3,67.2
ACTB,1119.4,3347.9,5907.2,250.4,495.2,6072.8
ACTBP9,133.8,145.6,147.8,14.1,17.5,38.5
ACTC1,46.7,28.9,85.8,14.2,60.0,93.6
