gene,B.cells,monocytic.lineage,CD4.T.cells,CD8.T.cells
A1BG,82.109,73.8745,6.24,6.617889999999999
A1CF,23.0773,20.6037,4.3,4.16202
A2M,65.5482,1737.7746,6.9,4.8287
A2ML1,17.4462,21.4904,4.8,4.33793
A4GALT,49.167,37.0311,5.82,5.46635
A4GNT,9.2433,10.965,4.74,3.48052
AAAS,950.3945,633.383,7.19,9.27643
AACS,386.8587,152.754,5.72,7.23183
AADAC,2.6526,3.6891,2.87,3.11425
AADACL2,10.2887,8.3022,3.44,3.4441800000000002
AADACL3,15.7154,15.2295,4.96,4.160480000000001
AADACL4,12.1918,13.3742,4.02,3.7090199999999998
AADAT,10.2151,9.3008,3.36,3.1167599999999998
AAED1,328.4334,724.1855,4.19,7.4298399999999996
AAGAB,264.2777,185.2925,5.79,6.94675
AAK1,166.00099999999998,863.49535,9.024999999999999,10.170694999999998
AAMDC,41.2716,30.6032,6.53,6.16464
AAMP,277.6895,378.2917,6.42,8.213289999999999
AANAT,24.3982,30.1503,5.78,4.84886
AAR2,559.4542,620.5415,6.15,9.422189999999999
AARD,20.8027,21.3939,5.3,4.82857
AARS,1793.6793,1229.0376,6.87,10.119
AARS2,102.8966,103.6172,5.61,6.27963
AASDH,194.4612,147.6524,6.23,6.988810000000001
AASDHPPT,519.4983,375.6093,7.03,9.00257
AASS,120.1272,61.4545,6.15,5.49787
AATF,957.8203,909.4832,8.57,9.186069999999999
AATK,36.0185,49.6248,6.5,6.42663
AATK-AS1,50.2719,54.3834,6.93,5.86376
ABAT,206.5611,166.7603,6.59,7.533410000000001
ABCA1,43.9217,813.9028,5.27,4.573840000000001
ABCA10,13.3366,11.1016,3.74,4.89975
ABCA11P,35.1163,15.177999999999999,4.15,4.6943
ABCA12,12.6197,11.6725,4.11,4.02806
ABCA13,16.5624,17.6825,4.59,4.3669199999999995
ABCA2,86.1092,205.4988,5.52,9.75408
ABCA3,57.9577,77.9249,5.27,5.96186
ABCA4,13.469000000000001,14.1989,4.44,4.25999
ABCA5,63.0472,69.1426,7.07,6.90515
ABCA6,17.4586,25.0459,3.66,3.60605
ABCA7,147.4706,98.5128,6.53,8.29242
ABCA8,4.3172,5.5372,3.42,3.31448
ABCA9,8.4662,13.7468,3.89,3.61136
ABCB1,73.1093,44.1106,5.01,6.8011800000000004
ABCB10,261.7011,243.7271,7.12,7.7975
ABCB11,7.6441,7.6307,4.36,3.8328800000000003
ABCB4,203.458,80.3177,3.88,3.96673
ABCB5,5.8843,6.4472,3.41,3.4237
ABCB6,72.1239,73.2802,6.25,6.20337
ABCB7,447.6211,270.6463,6.57,9.17272
ABCB8,118.053275,146.45745000000002,6.7524999999999995,7.1259875
ABCB9,44.9178,50.4746,5.08,5.6574800000000005
ABCC1,586.606,1056.1155,6.58,9.61439
ABCC10,161.4821,252.5201,6.06,7.76059
ABCC11,24.083000000000002,28.9205,5.34,4.76317
ABCC12,9.2931,10.6947,4.44,4.20977
ABCC13,8.2949,8.4075,4.04,3.8328800000000003
ABCC2,34.7066,29.0725,4.74,5.88325
ABCC3,46.095,375.6496,5.35,5.12654
ABCC4,135.1049,135.9452,5.87,6.48951
ABCC5,74.1182,86.3647,5.28,7.048260000000001
ABCC6,60.88085,75.9151,6.145,6.06539
ABCC8,35.7522,37.3887,5.83,5.381819999999999
ABCC9,7.574,8.8513,3.82,3.9359699999999997
ABCD1,141.5199,490.3042,5.7,7.392510000000001
ABCD2,208.5756,178.5634,7.84,10.7289
ABCD3,188.2011,168.8391,7.98,7.45673
ABCD4,111.0605,105.1497,5.86,7.727339999999999
ABCE1,643.8938,564.2927,8.45,9.085139999999999
ABCF1,623.0096,580.2039,7.66,9.329956666666666
ABCF2,416.2827,331.4725,6.64,8.57751
ABCF3,284.635,324.3155,6.27,8.591289999999999
ABCG1,119.7996,221.4572,5.73,5.390969999999999
ABCG2,14.9579,18.404,4.39,4.25157
ABCG4,33.5852,41.0289,6.27,5.34892
ABCG5,14.685,15.5501,4.44,4.82035
ABCG8,18.351,20.0495,5.34,4.5738900000000005
ABHD1,33.4115,38.5348,5.25,5.84949
ABHD10,363.3902,255.5628,6.54,7.968839999999999
ABHD11,263.8596,274.6862,6.13,7.677169999999999
ABHD12,262.8904,625.9715,6.02,8.17804
ABHD12B,18.1727,19.3199,3.99,4.0069099999999995
ABHD13,464.5296,621.6118,6.62,9.61087
ABHD14A,249.3284,279.8394,6.36,8.60041
ABHD14B,430.3281,357.7711,5.96,8.52449
ABHD15,205.5155,215.4984,6.13,7.82485
ABHD16A,222.31835,428.45655,5.67,7.924585
ABHD16B,24.1361,33.7028,5.56,5.249619999999999
ABHD17A,411.84586,405.2513,6.736,9.154124
ABHD17B,153.3418,94.4561,6.0,7.48298
ABHD17C,86.8326,146.7413,6.48,5.74041
ABHD2,407.2646,1080.4899,7.27,8.776660000000001
ABHD3,289.9936,429.6786,6.75,9.28012
ABHD4,458.904,278.9794,5.7,8.02055
ABHD5,406.8384,607.8823,7.71,8.58628
ABHD6,215.597,170.555,5.09,7.885269999999999
ABHD8,91.8923,96.1225,6.51,6.62217
ABI1,668.8081,628.4995,9.85,9.13693
ABI2,277.8329,223.8417,7.14,7.73147
ABI3,489.4516,294.7245,6.62,9.02612
ABI3BP,16.1492,16.4505,4.66,4.30894
ABL1,280.8835,312.9386,6.12,7.8411100000000005
ABL2,106.1689,646.1643,6.1,7.0446800000000005
ABLIM1,404.5648,235.1413,9.33,10.0726
ABLIM2,34.703,36.2587,5.95,5.07482
ABLIM3,40.9077,49.6725,6.46,5.60295
ABO,39.8973,44.3466,6.56,5.86926
ABR,430.0347,1096.8436,5.83,8.932089999999999
ABRA,30.3733,27.3053,5.72,4.65983
ABRACL,138.2048,111.0733,7.89,7.661389999999999
ABT1,272.3873,161.97799999999998,6.25,8.25504
ABTB1,122.2023,136.3649,5.81,7.1916899999999995
ABTB2,136.4184,116.9387,5.65,5.75093
ACAA1,102.5017,91.00160000000001,4.83,6.3815
ACAA2,216.0957,162.7821,7.08,8.416160000000001
ACACA,216.4536,166.1099,6.34,7.37378
ACACB,55.2735,46.7014,5.07,6.07015
ACAD10,169.0797,135.2104,5.55,7.28505
ACAD8,294.0368,274.3376,6.51,8.51361
ACAD9,693.4609,565.7101,6.72,9.65109
ACADL,9.4808,7.6898,3.83,3.6532400000000003
ACADM,1613.4993,805.3771,8.45,9.55067
ACADS,121.1643,153.3182,6.16,7.47958
ACADSB,178.2749,130.87,8.66,7.7481
ACADVL,793.7557,799.1944,6.88,10.2902
ACAN,27.0963,30.1422,5.6,5.4396
ACAP2,479.0621,567.664,9.15,9.4605
ACAP3,89.6771,102.8126,6.3,8.19487
ACAT1,430.4601,308.4156,7.55,8.16972
ACAT2,1228.469,421.3496,8.49,7.3898
ACBD3,921.2460000000001,855.7915,8.67,9.32497
ACBD4,132.7533,102.8812,5.6,7.0417
ACBD5,198.5107,290.7801,7.02,7.73147
ACBD6,93.4719,71.4139,7.55,6.4798599999999995
ACBD7,19.5071,24.5462,4.53,4.56884
ACCS,77.0254,48.3442,5.86,6.77505
ACCSL,11.1269,12.1739,4.25,4.47534
ACD,466.1673,285.9124,6.75,7.770010000000001
ACE,53.9768,148.5098,5.69,6.579689999999999
ACE2,17.6463,18.9191,4.51,4.703790000000001
ACER1,42.1004,50.4223,5.36,6.95639
ACER2,37.6712,45.9383,4.69,6.1532800000000005
ACER3,256.4204,799.2715,6.64,7.405930000000001
ACHE,25.430999999999997,39.7208,5.24,4.69509
ACIN1,648.484,566.5416,8.16,9.30205
ACKR1,20.9174,21.1795,5.96,4.59911
ACKR2,72.4387,43.7807,4.74,4.75746
ACKR3,16.882,57.2284,5.2,5.29164
ACKR4,13.601849999999999,13.737400000000001,5.545,4.10608
ACLY,1673.7806,1232.5042,6.92,9.6701
ACMSD,10.1769,12.4393,4.95,4.26502
ACN9,61.588,36.5252,5.9,7.622719999999999
ACO1,550.6246,1099.5128,7.21,8.61543
ACO2,1424.7875,1523.9419,5.83,9.47085
ACOT1,85.8698,103.2117,6.02,7.23383
ACOT11,39.352,79.1787,5.53,5.6636
ACOT12,9.9881,10.6702,4.07,3.5657
ACOT13,757.6405,1030.7417,8.85,8.92216
ACOT2,193.1625,175.61700000000002,5.44,7.6766
ACOT4,26.9062,45.2987,3.98,4.0922
ACOT6,16.114,18.1938,4.87,4.66865
ACOT7,395.67945,507.54255,6.225,8.039045
ACOT8,315.3599,280.4846,6.17,8.35505
ACOT9,697.6827,998.4344,6.15,8.16296
ACOX1,243.8262,406.2104,6.39,7.9462600000000005
ACOX2,19.1289,32.0382,4.76,4.6418
ACOX3,311.8375,354.6964,6.01,7.5243
ACOXL,12.574000000000002,12.8567,4.28,3.8370800000000003
ACP1,727.9282,518.9748,9.78,9.73199
ACP2,356.0606,2400.9127,5.79,8.36549
ACP5,721.5688,373.7446,5.95,6.923439999999999
ACP6,142.7389,107.9882,6.07,7.083939999999999
ACPP,30.745,637.8186,4.46,4.11423
ACPT,59.2709,71.9117,6.82,6.45453
ACR,38.01795,35.7903,6.255,5.682265
ACRBP,187.4103,132.7088,5.98,6.09961
ACRC,36.879,28.035,5.08,5.331180000000001
ACRV1,16.3489,11.7243,4.23,4.51713
ACSBG1,21.6718,24.8751,4.55,5.02121
ACSBG2,10.2233,10.7733,4.41,3.85695
ACSF2,252.0773,173.4659,4.91,6.2525900000000005
ACSF3,188.9411,190.7749,6.39,7.778980000000001
ACSL1,524.8703,1872.6974,5.31,6.1159300000000005
ACSL3,496.7703,577.0193,6.62,7.3548100000000005
ACSL4,438.25800000000004,748.1145,6.63,7.6696800000000005
ACSL5,988.6278,1051.3281,7.31,10.4936
ACSL6,33.91,42.5455,5.41,6.45224
ACSM1,14.4745,10.8933,4.67,3.96673
ACSM2A,13.4168,11.6722,4.78,4.09065
ACSM2B,7.5255,6.6774,4.51,3.89835
ACSM3,162.0416,63.8078,4.21,5.695790000000001
ACSM5,17.98,17.98,5.1,4.70264
ACSM6,9.9405,8.82,4.41,4.26932
ACSS1,117.2812,90.9756,6.36,7.9703100000000004
ACSS2,315.4413,485.9492,5.4,8.14555
ACSS3,10.9587,12.2794,4.49,4.44651
ACTA1,172.7,158.4894,6.72,7.56658
ACTA2,349.0688,557.2069,7.31,8.12116
ACTA2-AS1,66.006,32.6811,6.92,7.03183
ACTB,6561.8366,6305.5353,10.4,12.8152
ACTBL2,7.6313,8.9577,3.94,3.47674
ACTC1,31.6805,32.2824,4.15,4.703790000000001
ACTG1,6762.5671,6098.5647,9.95,12.753
ACTG2,18.6031,21.0869,5.81,5.00165
ACTL10,63.5044,79.5713,6.33,6.47812
ACTL6A,473.202,346.2575,8.4,7.196339999999999
ACTL6B,28.6058,23.6617,5.44,4.7887900000000005
ACTL7A,9.3567,8.7891,4.7,4.4694
ACTL7B,74.4341,80.3857,6.86,6.3066699999999996
ACTL8,24.695,19.5375,5.48,5.04286
ACTL9,49.1557,55.5456,7.5,7.320589999999999
ACTN1,162.3485,2821.4371,7.97,9.90363
ACTN2,20.4084,20.0943,4.09,4.63462
ACTN3,34.8465,39.0665,5.25,5.858569999999999
ACTN4,3330.8825,3153.6452,7.19,11.5421
ACTR10,438.5977,506.9115,7.31,9.029710000000001
ACTR1A,754.4938,1011.2748,6.84,9.76035
ACTR1B,329.1522,331.1644,6.19,8.30459
ACTR2,3787.406,3260.5689,11.68,11.9434
ACTR3,4021.828,3688.5519,10.89,11.9543
ACTR3B,132.1466,107.385,5.69,6.9156699999999995
ACTR3BP2,3.923725,3.11205,3.185,3.3240275
ACTR3C,79.4151,69.21300000000001,5.21,6.97625
ACTR5,220.7453,180.4279,6.04,7.49171
ACTR6,99.6964,89.1618,7.66,5.97107
ACTR8,523.5435,432.5956,6.92,8.59154
ACTRT1,9.3881,7.0721,3.86,3.7780400000000003
ACTRT2,37.4538,43.588,5.64,5.6355699999999995
ACTRT3,11.5461,12.0902,4.19,3.92214
ACVR1,114.6376,234.0869,5.71,7.903810000000001
ACVR1B,51.888000000000005,391.80800000000005,5.76,5.92884
ACVR1C,24.5305,37.0399,6.51,6.70662
ACVR2A,23.694000000000003,135.7802,7.22,7.3449100000000005
ACVR2B,26.3177,36.9066,5.67,5.75978
ACVRL1,60.0273,929.4536,5.46,4.86819
ACY1,379.3462,522.054,6.13,7.90115
ACY3,121.0729,47.8723,5.48,5.394430000000001
ACYP1,129.6331,88.5425,6.61,6.75822
ACYP2,135.9582,70.6912,5.92,6.6062
ADA,761.6582,393.1753,7.27,9.64472
ADAD1,3.6162,3.3437,3.69,3.8247699999999996
ADAD2,96.5013,96.6461,7.11,6.92087
ADAL,243.1177,150.2426,5.69,6.12283
ADAM10,1301.5956,2009.2053,9.82,11.5371
ADAM11,51.7148,48.7872,6.1,5.93519
ADAM12,23.4363,60.278,5.25,4.1498099999999996
ADAM15,136.1457,592.8279,6.07,7.8703199999999995
ADAM17,343.6713,672.1619,8.22,8.196769999999999
ADAM18,14.2705,12.8702,3.59,3.51571
ADAM19,1631.4649,1330.4424,7.54,8.47717
ADAM2,5.6187,4.7435,3.04,3.55516
ADAM20,18.6747,23.9819,5.66,5.2515
ADAM21,21.8916,8.5256,3.92,3.94482
ADAM22,20.9707,15.0637,3.77,5.396059999999999
ADAM23,44.1998,18.7477,6.98,3.9047199999999997
ADAM28,502.2993,71.1587,4.02,4.25999
ADAM29,6.3787,7.1356,4.31,3.83601
ADAM30,6.7535,9.5862,4.32,3.3300300000000003
ADAM32,13.4909,20.0484,3.93,4.11892
ADAM33,67.3638,66.6723,6.87,6.68681
ADAM3A,4.9977,3.4405,3.16,3.25506
ADAM5,6.8742,6.265,3.42,3.3725300000000002
ADAM6,9.2725,9.5043,4.41,5.03941
