Symbol,CD4.T.cells,CD8.T.cells,monocytic.lineage,neutrophils,B.cells,NK.cells
A1BG,100.3,123.0,91.1,21.9,92.9,57.6
A1BG-AS1,40.6,31.8,14.4,4.1,41.4,12.5
A1CF,1.4,1.6,1.9,9.9,0.2,4.2
A2M,10.7,0.9,16.1,18.0,14.1,5.5
A2M-AS1,216.6,304.9,35.0,15.4,7.4,371.0
A2ML1,0.7,1.5,10.1,2.5,2.2,0.7
A2MP1,13.5,2.4,2.1,9.6,8.4,23.3
A4GALT,2.2,13.6,2.5,7.4,2.5,18.9
A4GNT,10.8,10.3,22.5,30.4,33.2,20.8
AA06,5.1,16.0,13.9,1.6,15.3,14.6
AAAS,40.8,43.8,15.9,28.6,74.1,45.7
AACS,149.4,210.6,164.4,70.5,243.2,261.6
AACSP1,8.5,5.4,8.2,2.0,11.5,6.7
AADAC,3.6,2.3,1.3,2.4,2.5,1.5
AADACL2,1.1,6.6,3.8,0.6,6.3,6.8
AADACP1,0.9,13.1,0.3,6.1,0.3,7.9
AADAT,4.7,14.4,7.5,10.0,7.3,2.4
AAED1,304.4,364.0,460.7,30.2,438.5,262.7
AAGAB,31.1,21.9,2.2,1.3,28.5,26.1
AAK1,16.0,3.3,1.0,1.1,1.1,4.7
AAMDC,28.4,25.9,23.4,7.1,29.0,24.6
AAMP,309.2,247.2,698.7,121.8,300.0,292.7
AANAT,2.3,1.5,2.9,3.6,11.0,10.8
AAR2,197.0,177.5,230.0,74.2,146.1,191.1
AARS,340.3,265.7,181.3,50.1,644.4,265.4
AARS2,57.7,58.3,43.1,16.1,52.7,86.9
AARSD1,158.4,152.6,84.5,17.0,148.1,137.6
AASDH,150.1,159.2,127.2,48.9,204.6,141.1
AASDHPPT,1.1,2.2,1.5,3.6,14.0,6.1
AASS,24.9,27.5,1.4,0.8,25.5,9.0
AATF,457.5,478.5,468.8,495.9,416.9,390.2
AATK,13.2,26.0,92.4,580.0,10.1,63.9
AB074162,2.8,19.2,0.7,3.7,15.9,177.5
AB488780,122.5,73.0,21.5,4.0,84.4,54.8
ABAT,16.7,14.4,40.6,49.0,5.5,8.0
ABCA1,2.4,0.9,1.9,21.6,3.2,1.2
ABCA11P,112.7,77.9,13.7,26.5,109.9,86.5
ABCA12,0.4,0.5,3.5,8.4,0.5,0.6
ABCA13,4.4,0.7,4.9,3.1,0.3,0.7
ABCA17P,52.1,35.1,4.4,13.2,24.2,46.2
ABCA2,2.4,1.3,2.4,1.7,1.9,2.4
ABCA3,34.6,54.1,15.6,5.7,7.0,54.2
ABCA4,1.1,0.7,0.4,1.2,1.1,1.0
ABCA5,11.2,28.7,2.6,7.7,7.8,19.8
ABCA6,1.8,4.8,34.3,10.9,1.8,23.7
ABCA7,282.0,230.1,201.3,1184.1,326.1,263.0
ABCA8,0.8,2.1,1.0,1.2,1.4,1.0
ABCA9,1.4,0.7,1.9,1.2,2.1,1.9
ABCB1,58.0,287.6,2.1,13.3,33.8,458.4
ABCB10,670.3,630.0,659.0,144.3,540.0,695.8
ABCB11,0.5,6.4,4.8,2.1,0.7,0.8
ABCB4,0.4,3.1,1.5,4.3,169.8,3.5
ABCB5,1.4,0.6,0.3,0.3,0.2,1.9
ABCB6,3.7,2.5,5.1,3.1,33.0,12.6
ABCB7,556.0,469.9,539.7,44.0,592.1,310.9
ABCB8,12.1,2.8,4.7,12.4,2.5,4.4
ABCB9,2.4,17.2,1.2,15.1,45.5,4.1
ABCC1,101.9,61.6,80.4,48.7,94.7,40.4
ABCC10,141.8,110.0,54.7,56.5,93.2,159.6
ABCC11,0.8,0.7,1.3,1.3,1.7,1.6
ABCC12,0.6,1.0,1.3,0.9,1.1,0.6
ABCC13,0.9,0.5,3.6,2.6,2.2,1.0
ABCC2,3.5,1.6,3.9,57.4,32.5,7.1
ABCC3,0.8,2.0,22.9,3.7,2.1,1.0
ABCC4,1.4,2.3,9.5,3.5,0.7,0.6
ABCC5,14.8,17.1,2.7,1.1,1.3,18.5
ABCC6,1.4,1.2,1.1,1.2,3.7,1.4
ABCC6P1,1.7,13.4,7.3,6.9,12.8,6.5
ABCC6P2,3.5,15.9,148.8,23.1,12.8,6.5
ABCC8,1.4,1.9,1.5,1.3,1.9,2.1
ABCC9,0.7,0.9,0.6,0.8,0.4,1.0
ABCD1,24.9,54.2,46.6,33.4,43.1,47.6
ABCD1P2,2.9,16.7,9.8,3.3,3.5,16.6
ABCD2,81.1,51.9,7.3,0.6,13.1,6.5
ABCD3,87.3,114.8,51.3,20.5,84.8,170.7
ABCD4,19.4,26.8,11.5,2.7,18.7,24.3
ABCE1,378.6,407.3,311.1,20.8,320.7,222.6
ABCF1,436.4,447.2,316.8,200.0,368.1,444.0
ABCF2,24.9,14.9,8.6,2.0,1.7,3.9
ABCF3,147.1,127.2,94.8,78.9,128.4,116.7
ABCG1,57.6,55.2,21.3,152.2,52.0,42.2
ABCG2,17.9,22.7,11.1,2.2,13.2,1.2
ABCG4,13.0,31.7,19.0,20.9,28.3,23.9
ABCG5,1.1,1.0,2.3,0.5,0.6,0.6
ABCG8,1.0,2.7,2.7,6.6,8.7,6.9
ABHD1,3.0,13.5,4.9,2.4,18.8,15.3
ABHD10,198.5,163.1,230.7,48.3,234.8,140.6
ABHD11,5.2,16.0,33.7,21.9,23.5,11.2
ABHD12,38.4,48.4,21.9,1.2,14.5,28.9
ABHD12B,0.5,0.4,0.4,1.4,1.7,0.2
ABHD13,206.8,140.9,231.0,254.7,87.5,153.8
ABHD14A,263.7,327.2,81.2,18.8,208.6,250.0
ABHD14A-ACY1,40.6,73.1,80.4,10.2,100.5,105.5
ABHD14B,439.0,395.3,184.8,7.5,376.0,214.7
ABHD15,187.2,260.5,117.4,22.7,181.2,417.6
ABHD16A,4.8,18.3,3.1,35.6,4.4,7.8
ABHD16B,1.3,2.5,1.1,1.4,1.9,1.1
ABHD17A,2059.7,3481.7,895.4,871.2,1031.7,5383.5
ABHD17B,13.2,13.9,12.5,7.2,22.7,4.9
ABHD17C,63.8,112.8,28.6,89.6,52.7,93.3
ABHD2,19.8,11.3,28.2,118.6,6.1,66.3
ABHD3,2240.8,2076.2,2311.6,7363.7,1206.0,1841.8
ABHD4,40.3,40.0,49.4,135.4,42.3,49.1
ABHD5,7.5,25.9,35.9,186.3,13.2,8.3
ABHD6,1.2,16.3,1.4,1.7,4.1,1.7
ABHD8,27.3,21.4,10.2,17.8,14.9,2.3
ABI1,0.3,0.4,0.4,2.4,0.4,5.6
ABI2,3.2,12.2,0.3,1.3,8.1,3.5
ABI3,64.5,169.1,294.7,46.6,40.3,308.3
ABI3BP,2.0,5.8,0.3,0.8,6.4,0.8
ABL1,146.6,197.2,178.8,64.3,136.6,224.0
ABL2,28.8,16.4,17.0,26.5,10.8,16.5
ABLIM1,971.1,285.1,2.7,30.5,114.3,149.1
ABLIM2,2.8,2.7,2.2,1.6,2.1,5.1
ABLIM3,0.8,2.2,4.5,7.6,28.0,1.4
ABO,3.6,2.4,2.2,6.3,1.7,1.0
ABR,44.2,37.5,58.6,62.5,23.1,41.9
ABRA,0.3,0.3,0.6,2.0,1.4,0.7
ABRACL,3048.9,2506.1,2306.8,605.2,1364.1,2588.1
ABT1,243.2,277.0,195.3,143.4,240.8,260.7
ABTB1,1.0,1.3,1.0,8.3,1.3,2.6
ABTB2,1.1,1.9,1.0,1.4,1.2,2.0
AC000111.3,7.2,15.7,6.8,5.4,1.9,0.2
AC002059.10,15.6,15.0,9.3,0.7,34.6,21.2
AC002064.5,5.0,1.5,8.2,9.9,9.9,8.5
AC002310.12,95.5,76.2,37.6,36.2,63.7,60.3
AC002310.7,19.5,7.2,23.4,15.2,25.7,26.4
AC003973.4,3.7,2.7,3.9,19.0,8.3,10.4
AC003986.5,4.2,17.0,17.9,25.4,24.0,4.4
AC003989.4,2.3,19.0,6.0,4.7,3.2,22.8
AC004158.3,1.7,7.3,0.6,0.6,7.5,0.4
AC004490.1,0.9,1.1,1.5,1.8,1.8,1.1
