gene,memory.CD8.T.cells,naive.CD8.T.cells,naive.CD4.T.cells,memory.CD4.T.cells,regulatory.T.cells,naive.B.cells,memory.B.cells
A1BG,101.38154695598516,123.44544389944294,76.77257306731586,84.10143879347928,83.2112329290155,103.77145498660111,106.36895634295438
A1CF,22.4145709540241,23.10703006469413,30.589135779210274,35.035257899004904,19.088613844802047,31.760760092952633,29.642306474439444
A2M,38.684671452046295,31.545090726340124,29.606322643193373,58.84867532589719,37.980800248618856,42.162100655064116,38.09885061560577
A2ML1,29.564157862749937,30.82237432264042,41.02883024905914,32.701531181675705,34.66117923041669,28.58364963283825,28.74530745127703
A4GALT,79.17900810045582,77.00736072241526,54.76822423412625,57.02336911178397,60.408668834630404,73.02450570808665,73.42681054478439
A4GNT,19.200829270214324,12.755527995583433,14.427425003424379,14.348534198344913,26.496169471398016,19.25466267523363,17.472825282061013
AAAS,371.51371313391,424.5560122142337,744.092741061093,334.03395495689307,259.35081833666095,367.57987262721633,354.0485848366162
AACS,123.28749099949482,107.58508414454829,281.5804852999074,138.58129090820094,77.31354762731259,88.89359297034709,65.5192531406582
AADAC,8.140444563025508,6.994466699764956,8.487966057972688,6.919586741007848,6.085554646668028,9.308512836219949,7.947675403251378
AADACL2,10.691357782388861,9.789693219694282,19.460281976402932,11.883991561656217,12.645589471919251,12.303791198092961,12.002011393359274
AADACL3,27.96131761145875,26.295395548562688,14.665297179892036,18.643945275453657,41.45842509475461,36.632370519415545,40.65214664725022
AADACL4,22.598117517715444,21.683626629171705,7.303105668787221,7.651525460846721,18.7880527330501,21.550244917837755,18.93114495803155
AADAT,7.655781877778368,13.052078041108444,18.72456092226321,12.316756049404843,9.617411808622533,11.486511503449321,12.118210358416405
AAED1,271.5359699881114,138.75256677952274,292.21241193579465,248.48403183954775,23.569719286831116,212.63555655059025,335.9598230180894
AAGAB,43.3476752503067,64.5909151738177,202.34843221566823,167.2286695939645,242.00585776195243,79.53908292683352,101.1851482074159
AAK1,1368.6396339072394,1348.5841614645094,406.5783133709435,1474.0600915426442,678.6578849771,102.9838513165921,42.31391179912032
AAMDC,54.61520529335558,83.70231634977335,62.536039848631695,91.85133447360099,175.0690825936718,33.66207474150965,34.59344335128843
AAMP,218.9028750849794,290.49298503422364,394.7151397276351,204.87208726490942,136.9485817068241,293.792712357922,367.52123821218566
AANAT,40.54285051523983,50.615796349999066,36.752449007764895,40.60024892096069,68.07135811802023,61.60502758951653,56.34759200726233
AAR2,277.29800787711605,329.5709979411944,609.8247495919414,321.0135091465887,107.19563364857234,247.07104489891844,297.7474085519808
AARD,53.009785723109296,35.5496546847278,33.168018004593975,42.759778509254964,48.017213762362495,41.78562280712001,36.93216948143379
AARS,474.82067195524485,494.933965155669,1255.958732151302,468.4765078238867,374.2627416964695,369.63691024417454,345.4948029864212
AARS2,111.30188981476388,124.42497789199652,133.69112315070888,117.33971003849737,42.45609860641263,84.60995500851256,73.27640631517029
AASDH,149.8613066460398,175.0690825936718,118.2580250474658,198.33497409911402,193.42517087948832,121.60935538212941,113.60277552584964
AASDHPPT,568.0277366956117,598.7723545531996,445.9651692152943,356.3698934275266,202.75822844289704,449.0676863086445,452.67059655894457
AASS,50.26495649456105,79.14061979625339,70.2055429958839,97.17387277917005,55.63143244836952,75.58178766585783,57.08867222661285
AATF,495.94958741483913,487.0280581454794,775.4210719796994,410.377176345757,622.0522849730927,466.13768740870466,595.5858865994413
AATK,90.0408944425685,93.63212585136615,59.06539935250914,53.74067941088419,119.78701846162296,71.92152113049218,81.31373580003859
AATK-AS1,89.90607254535762,91.78584096410768,73.51195521977904,92.81506367872132,234.71147442158266,107.4133294664066,116.56681122522998
ABAT,150.80079162016298,92.72932699902368,98.31648043648215,179.15198348473766,119.78701846162296,173.70264552848266,151.97058840845924
ABCA1,23.018256349944892,33.434808347881805,63.90816277172379,31.022633074575676,44.9336024094488,360.14641046583955,151.04721448175545
ABCA10,18.60581672127433,23.625031856054672,20.589256546727544,55.39136144111348,13.785285663353173,15.038502894199294,17.74961619954378
ABCA11P,35.501632565144405,46.094147707636196,35.828575143375524,45.66569185405512,19.247851937765613,31.134907997067906,22.38910652614329
ABCA12,22.457527535478636,19.656614072135465,24.442186175365368,20.62555187973506,17.679113514039905,18.736522020465546,19.158871880662215
ABCA13,32.918809689269295,32.35158559345145,29.798904896391857,28.64311200802547,24.01248765717103,22.606808605695004,23.967257539549642
ABCA2,213.88623919311172,121.76394697998136,132.48670658250467,271.9926884719138,61.60502758951653,134.8082509739502,115.84372204588574
ABCA3,96.79704234206476,94.52472463552627,121.73907994755326,138.22802612885687,46.73224271260944,68.90647029001084,83.92323076752893
ABCA4,21.37075047535064,28.778895341083494,22.079868509633144,24.356130643004512,20.23714211568529,24.278385418254793,26.24923788001713
ABCA5,228.5368292261908,180.78953676981067,133.3824191935957,486.10190917321296,121.08256737052962,96.79704234206476,88.29098020626589
ABCA6,15.668761193256293,17.34032261365474,18.515765534511207,30.738707441403022,10.859852851010768,13.900972632001762,15.758027803900818
ABCA7,364.2392000517564,345.211308244029,66.12000408091615,258.85981173399955,147.2252075744531,360.08756367540093,268.39246905225343
ABCA8,9.777829595421064,10.724207180748001,7.372602369717115,11.038048633107422,9.130132018816386,10.556124396403334,11.086593867594988
ABCA9,13.299101046669888,17.890174534867747,18.173860449811148,23.647105424257315,20.435576826373346,17.073430558799185,15.660279365907948
ABCB1,74.84380005774584,173.91203989182605,59.241132629457084,364.4568059884356,22.789373801312248,151.18774222938163,29.996585398500823
ABCB10,212.1831524512078,200.38612293528473,310.12274967599825,246.74827822663863,342.64135710898296,258.14244906017103,257.843244420223
ABCB11,16.119703294782926,18.902346247414744,15.160543484873372,16.96543886656802,19.247851937765613,17.10118682892084,13.089722932283243
ABCB4,20.292201892735307,20.39221845253079,17.57919705616339,20.013162172975345,13.86898239244464,528.7938221547333,204.67337281624893
ABCB5,9.507238215382072,18.86263874184987,18.51922941880182,11.029419978037286,15.311560179255745,13.299101046669888,16.319440591902115
ABCB6,61.09376674593752,91.74655311884695,140.68841215005622,68.86051594376752,102.56828943142281,70.62645531256578,58.829771562325526
ABCB7,334.2512831969586,374.5147105703068,335.7679181123455,339.92248186335354,428.45878472648695,482.47605326348184,479.27616899300614
ABCB8,167.77667975352753,184.0873678617559,158.1287330426002,159.11739978660427,211.22415785626637,182.84190610711747,164.92448353971804
ABCB9,33.75457422246283,48.29570663106129,58.81102429070143,49.12541204829224,38.372234314524455,39.725405056709214,47.311682758500375
ABCC1,1192.4245260278203,1019.0797694918732,445.2965512437872,569.6706386981881,153.99760081837044,1042.1126390992902,863.3009770952384
ABCC10,252.0845164085547,248.05898097487304,142.53215120325817,247.8462094042602,97.12409492258428,309.2603860142545,264.2288349137527
ABCC11,37.409466393940654,50.844400688349324,45.715652014470194,47.92692913574763,49.65024551281009,37.30023178519736,43.39593522172885
ABCC12,24.747065499559774,19.448604896863976,12.349330207247723,10.560385190207281,23.202571322290872,26.976134415377736,30.88368445500318
ABCC13,12.430408481297562,13.745837553511588,19.870491324209215,17.897334323470865,18.345241143045246,16.319440591902115,16.372701273086896
ABCC2,98.87727565863712,104.40212834706347,57.426706433992216,100.67542687427347,32.9940174760934,57.67694773082353,52.21355204631168
ABCC3,46.50725479421883,54.8335346570455,41.594077004854746,45.600266387219854,52.01771701119252,39.027591272393515,39.160427596688315
ABCC4,175.6663537167843,133.62443562948377,311.5129546830825,190.31215495294254,240.3429201543244,50.52930703615101,231.88438280000906
ABCC5,204.00815617895992,158.15103371453853,118.35251779677499,213.36073991731124,52.593602432977875,125.27111205187725,118.0083090520125
ABCC6,87.50356555018661,96.23748162597781,59.77660629965971,66.84655806077745,91.97388587937984,101.00385297328565,111.539953597333
ABCC8,57.61434061774927,49.97758102167065,46.67912443215671,44.05458999931722,56.109401519480855,56.53018016447119,52.30308849207573
ABCC9,21.24845325943667,17.31509203112572,20.645222210605656,18.31160379114601,15.853006509101908,17.35947393770713,16.607611299138757
ABCD1,87.8572632442869,69.17073278074258,72.42099623687552,82.86397495714088,62.33363673063143,298.7009258310234,261.27563237204885
ABCD2,688.2732642620293,1036.1834352006283,70.91684161658131,919.4998454029562,661.1446632074064,59.6407692072089,150.32149994658783
ABCD3,231.99486275556072,216.15126268691282,240.77603521613295,254.80720591806002,512.5011427318171,150.66662666815165,150.80079162016298
ABCD4,211.92437823404333,292.1718571370562,115.26026985287426,157.69389690227848,60.408668834630404,210.9477277961994,169.9249802553538
ABCE1,350.73698464948876,560.9043509909477,425.909885903401,258.824665319095,448.7786747934693,385.4746164560291,339.0341688208255
ABCF1,465.4161565005594,550.9094294339014,946.5471215255953,433.70685753297005,524.6747303837425,367.4545021090782,385.6469458922077
ABCF2,250.03952769808146,185.06564465000832,754.1092419844026,268.39246905225343,151.4307719852211,157.55370033232728,146.13848844903896
ABCF3,346.97941751734834,443.9553337444435,356.63043211030373,380.6086428248239,156.58353154977254,310.5555591202345,288.764750919877
ABCG1,166.864354747375,95.43807609401578,66.87291897131539,44.19347866119585,78.04279130962047,291.75608903868175,203.41976214503612
ABCG2,101.60957728784294,54.186708656910035,67.21354779878887,28.033894638729663,19.088613844802047,16.65337526152346,16.77994561548883
ABCG4,43.19299607969277,53.43939646825085,56.31130653778915,67.13179036530143,106.05132447983388,73.89415502876406,57.51016498326853
ABCG5,31.77239887989157,40.1037099798691,24.776833599924963,29.275728106059262,23.007338143221027,21.128380767017052,20.477915270174957
ABCG8,45.00692900886461,40.66530510725845,21.550244917837755,20.127818568996478,58.48450477365106,45.06551022577999,42.091569626431024
ABHD1,83.38486522682784,67.83205824496791,47.49924237630011,63.893641389060065,32.76380568458628,44.574506116365946,52.6337669847809
ABHD10,204.05976131451362,395.78002672190195,245.032524713702,222.08208397445875,209.12368886765833,257.31162850861745,221.92758925881603
ABHD11,164.53308155087947,158.66417526396427,230.0448696864474,135.71630627938217,127.896181142488,177.61756158423628,165.6852642532909
