Symbol,B.cells,CD4.T.cells,CD8.T.cells,monocytic.lineage,NK.cells,neutrophils,endothelial.cells,fibroblasts
A1BG,29.866024605585082,29.35466395515702,31.67269214454217,29.162886706650145,23.052628861919942,38.97131964596041,74.49789,95.2
A1BG-AS1,37.74360954483329,40.818540622405614,35.53185062543706,39.10043382545336,26.899504919550935,32.3659188927334,61.24404499999999,7.4
A1CF,11.60315885768547,12.353373018264254,11.800792734437037,11.948276554899422,10.719802937640301,14.02765886477852,8.66499,0.5
A2M,16.34463369198391,15.735900104865237,14.561460818222823,21.368299438979854,17.17237758845242,21.72023542354567,15.7338,24.7
A2M-AS1,56.29263646180459,822.8992150515954,972.5876987020341,27.648360048101416,675.7608201793265,33.60665542937068,60.269107999999996,11.2
A2ML1,13.878282320445576,14.629639410870112,13.370650679152707,13.982404426745623,13.45484996688544,19.018207073767098,16.186176,1.9
A2MP1,19.9992177732438,29.173559962696075,39.67075373962008,27.845226183878136,22.467334014278304,26.548529868912443,29.047767999999998,9.2
A4GALT,66.67311897946043,72.63645633848242,61.480076013076285,78.2191487436893,54.46065253507198,109.25474711143488,129.01981999999998,9.8
A4GNT,20.771336832970942,23.23990544246353,24.960162612355404,27.070324151805764,21.462280477241144,23.99491617172629,43.07841,52.7
AA06,25.63513272788674,29.941767108736105,31.942679957436297,32.55352459105623,28.81346985879664,52.28914595028966,23.64961,42.6
AAAS,138.10826963251944,179.7245353638707,147.49266753208946,155.77337984538946,123.18577275817078,126.636271312672,231.75685,132.2
AACS,136.35837710119026,206.3349787058254,182.1182108450797,105.26160365923985,209.0672477883659,105.23245378673461,1036.6571,239.8
AACSP1,12.465253687874512,13.638173513528722,12.569177741619214,13.860027874672705,13.434239956003012,13.50838834461256,11.320186999999999,30.6
AADAC,21.089995197055053,20.96258291725678,20.516670487049605,20.258920508614523,19.124254498737105,18.460158155102437,137.13373,2.4
AADACL2,14.109525121972192,13.721832905478308,13.437623619723457,14.224744935965965,12.458526410421193,15.087949480338121,10.551245,10.8
AADACP1,11.60008569914156,12.360730645860036,12.61022411559392,11.749598351727922,11.085914176719015,12.073320869118843,47.00806,31.0
AADAT,14.539183449549947,15.666485515119643,16.401208398376266,16.36187270357057,13.839784583523999,20.813747852303013,93.55893,41.4
AAED1,143.33315533974863,107.8287943602658,135.23903494124409,133.30527492604213,163.4562973011609,37.70176002105007,681.34424,541.1
AAGAB,15.42615451833461,14.166269770313829,21.06715044943299,16.201009579528904,19.148426346393606,18.45253677838842,20.21695,11.1
AAK1,12.467572245049857,14.424199924719938,15.572305100059225,14.974471930452285,14.175925135503503,16.422807685430367,12.871402999999999,2.0
AAMDC,13.008134019567631,14.221287799050174,13.854496790240667,12.652439290435675,12.358510979672406,12.55252086982034,13.566795999999998,10.8
AAMP,288.41347354198774,272.3103288456556,260.11645766412494,319.44222737397627,293.3115100064773,284.48132454863327,597.7041,385.1
AANAT,17.089811136170876,18.62701398866337,18.751536480249406,18.036995433113166,17.916177616057308,25.24070513795894,14.059915,7.5
AAR2,326.66562705027604,351.6981421484401,345.3380539276876,246.43780484771108,324.87938032476933,88.07086319407104,338.67776000000003,244.8
AARS,475.1405694276798,431.3054073937026,412.0507228781768,253.35706716326015,450.5771813433974,69.6317957196994,1650.9135,717.2
AARS2,92.14552975653459,107.17257282358578,114.7971374053697,92.81721414827925,137.67434785433696,79.44381916052832,175.15147,28.8
AARSD1,95.12426753285276,87.50514704368955,109.27680881803143,60.45198258375946,111.15099221855002,38.89141346285779,718.0967,130.2
AASDH,80.61209801627245,64.5228586269698,131.8594318492979,60.846846113109855,74.47163128329764,31.085552805596162,221.70099,121.3
AASDHPPT,13.664013600624758,12.676646818867077,13.926114046543201,14.605010628894659,13.522612769598542,12.568049278203757,12.237342,2.5
AASS,13.626403267273997,12.084529538926862,13.834519583879072,11.953296088657174,14.469390995725066,12.167976436461124,222.70207000000002,38.8
AATF,584.767123775097,541.5463441039612,597.5783413651186,447.0608621660847,639.4916202309512,573.5428295406092,575.7418,298.2
AATK,206.99079531889086,182.8400682038761,205.599090261176,285.26693892414704,175.448350900748,602.5487289946649,98.80343,56.6
AB074162,63.4066962483448,24.510030071019404,58.001102978833934,51.14748022053675,253.08582612143437,319.867953323656,187.4569,1.6
AB488780,66.52369857513642,73.80975774966312,58.11176948387821,63.02774920474678,59.15962005973617,55.747793622881545,203.38304,69.2
ABAT,26.367837451287503,27.68460843712858,30.3736013446854,37.516165209762605,27.235267648204875,117.91416860500038,26.839306,6.8
ABCA1,15.205165984664823,12.537080635826968,14.080978107113824,16.462698944658257,12.546281507915726,20.35149917089374,14.864204999999998,3.4
ABCA11P,31.85778690911614,33.47561063958621,33.81971092295143,24.76612395511105,29.812355714134572,22.85892571674278,144.96556,87.5
ABCA12,11.516163352533221,11.723913126733166,11.391396557617089,11.925224759932231,11.008786674229492,13.910719399433397,8.247665,1.8
ABCA13,9.998252536196087,10.016769294635688,10.027467010189522,9.221760794841916,9.885158437289721,9.343181915303399,6.7907470000000005,4.9
ABCA17P,12.533601610365412,21.64681420755968,21.668525455706696,15.320764322372165,16.305170792054337,18.841687821685884,31.683190999999997,19.7
ABCA2,24.068830576110077,25.923791777828804,24.449713027453125,30.11728215734532,22.607472141464275,44.46882979421671,45.23209,7.6
ABCA3,65.58311045438182,103.70375113459046,82.04012944467858,83.0996037577106,90.4753877095249,83.5549579123978,1161.0193,23.7
ABCA4,12.997929274129278,13.491644473023852,14.448919013298577,12.91474563284296,13.393643033256975,26.184653193783525,11.865285,6.0
ABCA5,16.159826796614645,17.234310106274528,17.289341529354587,14.857719855811165,16.885045120199422,13.287650272066058,11.842459,33.1
ABCA6,15.169579884276965,14.199783534328558,14.708076321094472,14.63004628634693,12.662498184437535,14.131666348055084,164.90108,109.3
ABCA7,199.28935349286849,280.0770981857542,178.10522776453814,112.72337450923308,176.25152816598245,311.5061045513249,133.01425,50.8
ABCA8,12.216280048695038,12.02176430521206,11.339064912427073,11.338742812965602,12.378244643895217,11.862844188903562,15.873232000000002,3.8
ABCA9,10.707463383385013,11.417683620631252,11.133323243555914,11.360597589011954,10.754237671285376,10.875654410635637,11.180356,15.7
ABCB1,16.985724742332707,19.98730504131526,46.04960289335419,13.989599552779191,52.76054938643341,13.357000326598772,31.426764000000002,1.7
ABCB10,315.67544339124527,388.9183361617591,358.7088764827445,353.9330339778422,465.10189965951724,24.894682008900894,407.6336,633.7
ABCB11,14.319673130282052,14.85441886477786,14.24043328829444,16.28423136696525,12.715087091006458,17.76304312133527,8.814155,2.6
ABCB4,136.11478873255848,16.521417862607834,18.134659980021173,16.831356750688002,16.508535214614785,18.789994990276128,10.666683,2.5
ABCB5,10.166397207279624,11.808780213225452,11.275979201709317,12.689243060942594,10.703975135005598,11.91996779634642,8.564962,3.1
ABCB6,37.023762892891995,40.874383191575866,44.83610570675854,41.18109857698186,35.33249968747756,72.95734257502917,54.446037,29.6
ABCB7,444.02060819847367,279.89638218181125,320.0634817248276,402.9793168649344,293.71653368313434,84.29035749320326,530.1696,128.9
ABCB8,16.21933898407404,17.94026369305163,17.368747923994928,19.07163972079832,16.430744199982087,26.24526974712706,15.587439000000002,2.5
ABCB9,27.491539661586206,24.11344534801086,29.29613325548814,26.0574419576933,21.175867553317403,23.881214099965202,46.383891999999996,5.9
ABCC1,31.621964273524245,44.064459403524296,34.14593115959407,33.56942618684141,39.99288322372406,30.83189772910632,266.96606,256.7
ABCC10,101.63805871853424,226.21208760009182,172.50886659328248,95.53167011470286,182.91915483288534,29.332407510816687,352.93292,120.0
ABCC11,14.835734963774527,13.945608522973568,15.435940814942711,18.0528388957808,14.226324476594895,24.751472903503792,9.418675,1.7
ABCC12,13.121468805196649,13.22898337034083,13.401376672738461,13.727349323443919,12.75456363874482,16.543188818638576,11.302825,1.3
ABCC13,13.750091139443454,14.443865799574079,14.126313892265035,15.039664448127343,13.611646563242648,15.67192083700402,11.695403,8.4
ABCC2,22.78946740345178,24.315796896792126,27.691902491554462,23.100745040438174,21.335043794173526,39.562327957790565,30.906752,13.8
ABCC3,36.27706399046544,37.11687628553625,25.65408815863018,113.23834547112754,41.91487626146097,59.649459214056975,41.93342,8.1
ABCC4,13.969482958052655,12.991278617758244,13.49989259025504,15.260503182733206,12.839732935117636,14.078002871043681,12.861092999999999,16.2
ABCC5,16.91531034507584,13.374656347141512,14.08795671235853,15.25113662134282,15.576916970411435,16.353949234059804,71.370346,25.6
ABCC6,17.79184384180528,15.513246512598831,14.39766842634574,22.096773295257403,16.510885633190856,23.13230494084693,21.756495,2.0
ABCC6P1,12.236692315601152,12.334889430777599,12.433461853498601,12.932715665451148,11.855773343227575,12.845474192066128,9.227884,11.9
ABCC6P2,17.79184384180528,16.725872679408,14.39766842634574,38.3434983504479,17.02179682528671,23.13230494084693,74.1474,11.9
ABCC8,21.173703657772876,24.33409678386806,21.50557293199706,26.83890031023636,22.89234211619675,43.92515817200039,44.63596,6.5
ABCC9,12.55182546580887,11.338633928971252,12.18206242503858,11.354218397548767,12.849179766356942,11.841572870050827,9.328911999999999,11.2
ABCD1,41.43823944560721,49.446752347944056,41.64089257915932,66.2331061623685,39.107617278772125,71.2767349327893,98.0286,71.5
ABCD1P2,28.27409781785022,39.528708044548,35.77131271035537,46.40728189554756,38.69929047622512,93.81170946922738,30.441167999999998,2.3
