Gene,memory.CD8.T.cells,naive.CD8.T.cells
A1BG,3.098104474,3.619103933
A1BG-AS1,1.665921217,2.34076806
A2M-AS1,0.381099131,-0.448635238
AAAS,4.755098686,5.05232863
AACS,3.975853798,3.990790593
AAED1,3.52391354,2.070088792
AAGAB,5.471705473,5.145540132
AAK1,7.787553255,8.428087449
AAMDC,1.324815834,0.160778315
AAMP,5.884483068,5.51258613
AAR2,4.79731063,4.963847541
AARD,-6.563717529,-4.090114912
AARS,5.528498559,5.58672215
AARS2,4.711614337,5.105751176
AARSD1,0.47655873,1.153940799
AASDH,4.523250461,4.722118795
AASDHPPT,5.137501999,5.087481763
AASS,2.384647941,4.136129042
AATBC,1.350244111,1.302132093
AATF,6.301086892,6.102500358
ABALON,1.073215119,0.720258627
ABAT,3.996131664,3.56731041
ABCA1,1.103437757,1.715622591
ABCA10,0.730037271,1.023348856
ABCA11P,2.798955146,3.399741573
ABCA2,7.420966935,7.005170445
ABCA3,3.820778526,3.64709444
ABCA5,5.368154651,5.361971912
ABCA7,7.746846761,8.205231801
ABCB1,4.427947898,6.003124935
ABCB10,5.442447921,5.054420343
ABCB6,2.007012184,3.059966915
ABCB7,4.686877744,4.983740404
ABCB8,5.045151538,5.216376079
ABCB9,1.582550199,1.736616907
ABCC1,7.625504703,7.419637456
ABCC10,5.712549294,5.532230983
ABCC2,2.421100804,3.109093164
ABCC3,1.782586076,1.057121687
ABCC4,4.055309272,4.201766616
ABCC5,5.551974659,5.980202347
ABCC9,4.085905377,4.120241026
ABCD1,3.865553316,3.995152887
ABCD2,6.197192531,6.872752361
ABCD3,4.917006189,5.313890195
ABCD4,5.306161206,5.336413283
ABCE1,6.67578744,7.031955051
ABCF1,6.256393171,6.270265079
ABCF2,5.724752459,5.811132493
ABCF3,5.589827325,5.657234005
ABCG1,4.813398522,4.506822798
ABCG2,1.47106792,0.336081062
ABHD10,4.792680945,4.950431592
ABHD11,2.663516088,2.496578446
ABHD12,4.679373297,4.421881976
ABHD13,6.042972606,5.704618765
ABHD14A,3.908980224,3.346108489
ABHD14B,6.858005034,6.627180971
ABHD15,5.515913634,4.860048199
ABHD16A,5.306161206,5.119802477
ABHD16B,2.931213198,3.51358801
ABHD17A,7.613413377,7.183468733
ABHD17B,5.464446522,4.714202312
ABHD17C,1.837561387,1.057121687
ABHD2,6.384986431,6.267562929
ABHD3,5.962815474,6.012838494
ABHD4,3.825319057,3.359704838
ABHD5,3.529489453,3.318525238
ABHD6,2.187137976,1.875598391
ABHD8,3.234080775,3.419350852
ABI1,6.925113254,6.900923791
ABI2,5.759568875,6.339659079
ABI3,4.714064827,4.303761287
ABL1,5.809694314,5.662728844
