gene,memory.CD8.T.cells,naive.CD8.T.cells
A1BG,77.32960290870818,199.87081874211978
A1BG-AS1,99.48736470237417,156.63201503772
A1CF,13.5145508911408,14.788024761113562
A2M,615.6815853531123,149.21807059704958
A2M-AS1,923.1321240462784,103.1256911078056
A2ML1,14.731891689029988,12.206066405166606
A2MP1,697.3909320988312,55.92430532935451
A4GALT,81.98217180076936,157.34554658393
A4GNT,14.25362536792868,14.004379798783287
AA06,16.54011367012697,19.971714015126903
AAAS,120.57938875458908,160.07802290979046
AACS,73.27009765427744,134.73693274293493
AACSP1,11.667505517827658,11.252358532541148
AADAC,12.602065656069527,15.25910924342082
AADACL2,8.787625693197409,9.824232820878319
AADACP1,8.622108905236875,8.433859404364862
AADAT,15.961679252795504,19.44227720485772
AAED1,122.35417282215215,37.52425246172398
AAGAB,97.53159111291706,80.78214391115526
AAK1,501.9784264829144,864.1981108248625
AAMDC,162.50998523082237,105.46446093043289
AAMP,166.60236904502523,225.11270775510212
AANAT,18.695478596636868,19.694871509834755
AAR2,114.99334319677078,168.49995958123907
AARS,161.7321013678947,208.15390864865412
AARS2,237.84097286377767,248.16849472030103
AARSD1,135.68147264952498,272.3068640870878
AASDH,100.35657748980196,40.98701189559725
AASDHPPT,127.418824937723,167.6537204531728
AASS,63.27274209233905,50.636375479480726
AATF,358.70735244815137,250.8221632153158
AATK,34.261070420264616,69.0863604036679
AB074162,34.325805780152734,17.684596245772788
AB488780,50.714800500503856,25.605697204882258
ABAT,67.13154620198955,32.41401098945815
ABCA1,15.791617935655793,32.34701053480464
ABCA11P,18.431981687493742,14.659919752873776
ABCA12,11.167040144918936,12.138900212400614
ABCA13,7.519126406847013,7.712456858039932
ABCA17P,21.121192533172252,24.996787835821262
ABCA2,118.33652843342156,201.18052354059188
ABCA3,75.89088406554467,148.28185996177524
ABCA4,21.42545189840978,24.16475036450207
ABCA5,180.97439701094598,79.58412578016775
ABCA6,12.561846907517584,10.029753528259423
ABCA7,223.05225800526105,411.84716682415865
ABCA8,17.14049533191522,18.75433963639415
ABCA9,13.17099367627413,13.046446151146611
ABCB1,77.56620277783932,82.96036970715352
ABCB10,245.99532756226637,72.21667418333527
ABCB11,11.80886126208464,11.241221005995978
ABCB4,18.81890337259653,15.09427342965751
ABCB5,11.873559429319627,13.596634357560038
ABCB6,78.52532245767544,77.4237607820147
ABCB7,185.43164685836638,181.14793017376917
ABCB8,42.1711405245516,75.5123957027009
