gene,endothelial.cells,fibroblasts,macrophages,NK.cells,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,monocytes,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells
KLRC3,26.2825,50.81,31.135,72.934125,0.249333875,0.13200975,4.690364875,0.677469478,0,0.716555625,0.6039615,2.8500775,0,0.819564
CYP2E1,0,0,0,0.464594825,0.5546801,4.428558111,0.629886863,0.3852474,7.719529,0.083541825,0.2864598,1.0500884,0.0284643,1.703130325
SASH1,0.7475,5.92,1.98,0.0562806,0.298958875,0.81682125,0.044756837,11.60321404,0.9604102,0.349565288,0.0262376,0.042684,0.07715785,0.0979832
SPTSSB,0,2.075,0,60.61291125,0,2.63741575,2.39209475,0.645152775,0,0.558452875,0.23649325,0,0,0.0789835
ZMYND15,0,0,0,0,0.055108338,0,0,3.550293315,1.07386525,0.0386681,0.018499875,0.277721175,1.2437495,0.023741025
COBLL1,0,0,0,2.687663425,139.1900699,2.333195875,1.683594888,0.6787824,1.651981973,90.73342779,1.68013135,1.3685948,1.26529335,1.921379225
TNFRSF17,0,0,0,0.35749325,18.2566545,0.0123497,0.123184125,0.383896833,0.29392625,35.117829,0.485101,0.01000065,0.20579025,0.33970875
NECAB2,0,0,0,0,0.073293,0,0.037729625,0.308207583,0.114922475,0.146923163,0,0,37.1958855,0
CXCR6,0,0,134.8325,11.1847705,0.673747363,37.101063,54.85480859,0.645993025,0.22716635,0.879300075,2.045152725,1.74768075,0.03200125,12.278512
TNFRSF13C,0,0,0,0.96176275,286.260625,5.2435425,14.15970625,0.714055583,0.96045,261.415275,4.4972675,7.1294575,1.0547285,9.5427925
ASGR2,0,0,0,0.2361625,2.581013251,0.02871275,0.05870025,26.64674059,49.34929925,3.297812625,0.1072249,0.05471675,0,0.06748945
LAIR2,0,0,27.8275,24.93343225,2.356727375,2.497289,4.747661225,3.84446,1.0957235,2.648613914,1.50907355,1.71755475,0.2499115,13.53500075
FCRL5,0,0,7.615,1.771659625,72.64843975,1.43966675,1.3510413,1.500079864,0.84632405,138.2027388,1.507359225,1.50845375,1.815549325,1.2919315
SYNM,5.0175,10.515,11.53,0.48509675,0.122394738,1.736459,4.089631938,0.069701367,0.1486475,0.1474629,2.09316175,0.4198825,0,0.976597173
AIM2,8.1075,0,44.4475,1.8266615,170.2621983,5.91012625,5.4255855,14.80962675,5.1965755,71.134004,0.729404,1.24863175,31.7281635,5.93427725
GLB1L2,0,7.1275,21.735,11.69662275,0.47506005,1.541792325,10.5990995,0.27523275,0.14383755,0.876924875,1.144235889,1.632689,0.1621252,2.05183125
AGAP1,0,0,1.41,2.949740001,0.047123963,2.626185301,2.811864287,0.056197109,0.0254229,0.137579825,0.599822,0.0137023,0.03171575,0.124085575
NRGN,0,0,0,0.0551985,0.632334125,0.32152875,0.04991575,2.410341333,2.563322,0.813507838,0.2804935,0.16487,0.37084175,0.10705375
MEF2C,13.93,0,7.2025,13.75271231,296.2457441,0.5583694,0.371758804,181.4588399,239.3916411,523.5276291,0.15946105,0.261426001,54.63604438,0.286359125
RGS9,0,13.955,5.255,52.08771598,1.634761625,6.173856338,18.2995535,1.330249367,0.90938375,1.832427927,2.816902666,1.46102875,0.740277175,3.380404634
RAPGEF5,7.685,8.3525,4.46,0,1.079610562,0,0.1605173,0.025529667,0,2.411021849,0,0,0,0
IDO2,0,0,0,0.61419775,0.51196175,0.60409725,0.674683,0.515419358,7.20055575,0.636074688,1.016502,1.040803,0.737325,0.74658
OTUD7B,1.29,1.815,4.28,4.20297725,1.151853788,2.31444925,2.37406825,0.545116917,0.36422825,1.134441,1.810008,2.162242925,0.426461925,2.110015
HTR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSTF2T,61.6375,0.83,4.1775,26.8747,13.9291625,17.645825,20.101575,17.02584167,19.11315,15.7380375,29.421175,23.934325,5.3249975,22.893075
HMGN4,98.46,64.7425,111.065,282.45515,196.2245675,272.161125,271.7444025,111.1184283,134.7599825,154.3040575,153.420435,143.1057375,95.6462,206.802725
IKZF2,1.79,0,4.9325,26.45327787,0.777961928,4.004469806,12.41656082,0.409794942,0.219463513,5.66912474,6.29863652,8.853300513,0.474096235,70.52666725
NPRL2,44.965,12.7975,25.38,202.0873048,52.5848118,76.1325882,101.3766513,29.74790522,39.93297731,42.6182642,69.7039132,76.14729995,28.3408315,73.59888941
AMBRA1,3.73,3.05,14.31,19.50838129,10.83397931,22.63109197,21.93661316,10.81252964,10.37583268,12.58656881,19.07864816,19.7539165,4.61982494,21.98471175
SCAP,23.2675,3.86,55.63,97.02356392,57.27584114,88.84994883,84.44313967,50.2537182,56.0393385,74.82687971,89.84829345,81.84251382,122.5652167,83.30835961
RTKN2,0,0.085,1.2875,1.7049108,1.26697515,5.04872,7.540006875,0.957771817,0.512445,1.118344838,6.73663705,1.3795652,1.41465325,59.8950425
ECM1,110.0425,39.425,14.18,0.174290775,0.498507181,0.15803338,0.276414362,0.623754117,1.752425762,0.459153784,0.10630125,0.281110464,0.059265,0.24069005
FBXW4,13.3125,0,0,50.06529,61.94169,63.5666375,62.4597825,17.35051973,16.58418675,51.68516525,56.95967,66.26784325,3.7841345,52.793025
SERTAD1,30.505,124.215,59.5775,28.875825,9.3120625,12.915875,25.8014,12.05328167,13.3191325,8.55369875,6.8578975,6.67606,9.154345,9.69904
TMEM246,0,0,0,0,0,0,0.023134875,0.064741567,0.00465565,0.044562238,0,0,1.81047805,0
FSD1,0,0,0,13.15702755,1.480646,3.2433665,2.272109625,0.73378715,0.258205925,2.128537475,2.36943575,4.659257638,1.245754625,1.6023746
USP34,9.0375,16.67,22.1575,110.229913,91.10011272,121.4590298,123.9360909,50.75677387,58.10760625,92.84772812,104.553664,144.5430454,63.36183525,111.2819535
MAML1,0.83,0,2.9925,16.22259148,11.73571225,17.63563608,18.70546014,13.84786425,15.32374185,9.181246412,13.4947895,16.66482845,23.7377885,16.11703865
KIR2DS4,0,0,11.16,143.662125,0.9580795,0.5583637,4.69923425,1.161028758,0.0489325,0.982198875,0.537266525,0.0378415,0.49308075,0.4013475
DYNC1H1,3.2975,22.955,6.995,48.51524975,32.62512613,43.29141009,51.96845288,36.17862513,46.9202825,28.05790819,30.17406325,39.14481002,12.6498785,41.1206555
CACNA2D3,0,0,0,0.28092665,0.947934395,0,0.088157063,10.24069104,87.63475,0.687072713,0,0,0.3593785,0
F13A1,0,0,2.945,1.8343542,11.72351201,0.01402795,0.010535013,71.09679633,160.2956348,16.33409662,0.197945,0,4.8617468,0.637946
GUCY2D,0,0,0,0.006981775,0.00355855,0,0,0.232821825,1.65809775,0.049407113,0,0,0.173203575,0
WDR86-AS1,0,0,0,5.12129725,1.00218375,47.14456925,35.407347,1.318874083,0.52073025,1.245992375,4.5712485,2.0631885,0.6723395,15.52361875
SNX29P1,0,0,36.6525,3.1510975,22.46987875,1.3256555,2.14264875,1.35794475,3.8692925,31.44836375,1.43416175,2.714125,1.90655,2.7101625
TIMM22,10.1025,67.595,0,17.597475,12.61440125,15.49192,18.0725625,8.134876667,8.6809075,12.5138275,15.779675,14.42445,1.18692925,17.231
VPS4A,159.6475,182.175,21.6625,67.3053575,41.39453025,58.9199575,50.25236175,40.04218308,40.51845,44.10885325,62.25934425,48.08250275,14.8855755,65.3108535
HAO2,0,0,0,0,0,0,0,0,0,0,0.325864,0,0,0
LAMP5,0,0,0,0.509879,1.921255161,0,0.00713345,0.5940235,5.12819925,3.187134,0.0170429,0,0.042879475,0.0141667
ANGEL2,19.1525,6.745,14.885,64.9065075,51.33838985,58.224085,71.44570469,42.13746833,45.07335421,51.80687393,58.92728022,71.27825699,19.12469,70.6969415
COLEC12,0,0,0,7.0002645,5.490227125,3.38131675,6.006543125,3.2024185,3.19062975,3.74726925,5.7365715,6.38044225,7.669696,5.375878
STYK1,0,0,0,7.450535,0.028158125,0.427499,6.038231362,0.055282708,0,0.0828282,0.18063675,0.82552825,0,0.13516425
LGALS12,0,0,0,0.15166425,1.432954375,0.034022,0.0974857,9.047802667,5.428382,1.450955488,0.0197711,0.066752225,3.064195253,0.19795775
KCNK1,0,0,0,0,0,0,0.0826405,0,0,0,0,0,0,0
DDX18,12.345,61.7575,39.885,60.19218175,50.289703,78.53870775,72.14041863,54.68135558,44.53136675,52.6452065,79.9344625,93.73608825,5.06966225,76.2890125
HAVCR1,0.7075,2.62,0,15.53784722,0.2785064,6.32312525,5.470397687,2.312811792,9.28031455,0.376967125,34.33944,45.71201075,0.38325925,52.360524
ADAT1,21.2225,24.665,30.0125,78.24418,66.60683752,136.2002578,154.6671864,57.36819625,47.532456,62.5487686,64.22414578,83.87130776,41.2083565,86.710121
PARK2,3.18,9.0075,4.305,3.06168,2.765864788,2.337236925,4.3214485,1.504561417,4.1415485,5.727807325,14.7117445,10.21549886,0.8355905,5.80130125
CD33,0,0,0,8.0633357,13.58625714,0.4657001,0.319534575,239.8687053,416.1072155,16.0670137,0.50144275,0.39237725,28.71620175,1.22070275
ESR2,0,0,0,6.7372785,3.357896163,6.761067175,5.747532125,0.225706117,0.2460775,3.00120475,2.1289875,2.6729535,1.93426785,5.1722294
EMID1,0,0,0,0.331035175,0,0,0.12050375,0.0759425,0.06524875,0.018436625,0,0,0.016770725,0
CYP24A1,0,0,2.8075,0.213973625,0.415431663,0.676028675,1.906554887,0.0308537,0.0471457,0.3368076,0.0611965,0.05343685,0.03967125,0.705041125
KCNA5,4.045,0,0,0,0.12183505,0.01022045,0.01721005,0.013781892,0,0.014009625,0.06542475,0,0.0308595,0.021483375
PRKG2,0,0,0,1.776876925,2.110971927,3.47413125,1.433751988,0.380577667,0.230676,1.115821875,2.9481825,2.837823325,0.55944325,4.753043
CHL1,0.09,1.105,5.5825,0,4.774186512,0.116257375,0.048328887,0.036979308,0.02801,4.530974368,0.102015,0,0,0.088105275
STUB1,3.735,0,19.26,18.71658842,13.88505099,15.11978305,14.31846238,9.976407574,15.44969437,12.66878388,17.24655325,15.953427,6.940085875,16.91669935
ADAMTS1,0,143.58,6.385,34.9302625,1.0321975,0.251158,1.303688415,1.00593052,0.9265185,1.105950186,1.62648021,0.24352975,0.3096715,0.16708475
DFNB59,0,0,0,0.66480075,1.123182638,1.807624,1.293336875,0.306140075,1.76982425,1.465917875,2.65401575,7.817422,0.159819725,2.1871525
MAP7D1,0,0,40.61,7.604602983,2.813824663,8.65039383,7.674947875,6.43128369,9.10363225,2.391672488,6.39816025,8.815912096,14.87350345,7.519439625
CNN3,157.3225,373.205,44.2175,0.66523675,3.969376375,2.14523675,1.098011725,0.590960917,0.497516,4.75511779,9.064097625,19.62921293,1.251001775,5.45838705
C12orf74,0,0,0,0,7.654593875,0,0,0,0,3.25157075,0,0,0,0.015894025
HMGXB3,28.5925,67.265,45.7225,23.32906375,13.58575288,20.06750475,23.74113169,18.19991133,18.41676145,15.93725013,15.962772,14.09806,0.9873015,21.18506132
TACSTD2,0,0,0,0.1236295,0.086116,0.02459915,0,1.387066167,7.16038,0.107738163,0,0.01233505,2.2884225,0
RFESD,0,0,5.2975,5.635654,2.516144875,10.78062925,4.662845063,1.028391975,0.921561,3.305385187,22.14270534,11.33303275,0,8.625871
SEMA3G,139.5725,0,0,0,0.203385775,0.156352,0.1886764,0.017206125,0.004825975,0.316734875,0,0,0,2.52105275
MPP2,1.485,0,0,0,0,1.41745766,1.288892952,0.002564967,0.026999,0.081105188,2.324482385,5.090072176,0,1.795913142
SDSL,0,26.4425,13.6625,1.067949425,0.482871563,0.099091,0.297379713,3.825172967,15.07404725,0.908012875,0.15408065,0.1854715,0.37658625,0.281113
ITGB8,0.115,10.325,6.705,0.737494975,0.602917375,0.53081925,0.639642275,1.369043833,0.406902525,0.727268625,0.40063525,0.450497525,1.123448,0.415024625
SDC1,0,0,0,0.160057,0.243369313,0,0,0,0,0.70610475,0,0,0,0
COCH,0,0,0,0.075692,151.5994211,0.64971,1.057990411,0.779636323,0.0683665,97.18904231,1.011925625,1.3988535,0.4018907,1.367750525
ZBTB16,6.2375,62.225,26.24,165.6126028,4.610678046,26.35184825,8.8299735,15.55206633,1.46011255,21.53496413,11.20901125,8.99895575,2.22447725,22.950282
ENPP2,205.5225,3.6025,30.0725,0.5521268,2.040777331,0.8119093,0.926709154,1.493424171,4.99199735,1.625903019,7.517470868,3.343945317,0.58744335,0.76217028
ELL3,0,0,0,0.605113125,16.24510163,1.622223045,2.410775438,0.927803742,1.345205772,32.89387425,2.88355725,2.92727075,0.207642,2.251490842
CROCC,0.2875,4.56,0,19.32149058,11.8339395,12.6143595,17.86234938,8.124974542,8.519081891,11.24766376,19.62755043,17.72317875,2.56856845,21.15412348
MTO1,16.725,78.3875,23.5025,71.32095564,69.6671125,104.5681363,107.3502666,47.43463683,36.36174613,72.04686175,88.649575,87.33373049,9.519223225,118.7546908
CYB5R2,0,26.1125,6.5025,0.177232625,8.381517375,0.1446275,0.234770175,1.138758567,0.4041705,1.859224998,0.355479,0.404640391,0.4763309,0.1353996
CACNB1,0,0,0,20.23966632,2.072177526,17.74162951,17.53486855,6.352045686,4.001515751,2.868538222,6.899178978,4.337939018,0.007577963,14.65991642
TSPAN15,41.5025,0,0,1.4286935,0,19.1882075,1.836648325,0.5886356,2.801024245,0.077577,2.010711504,0.95743475,0,3.893592
FAM221B,0,0,0,1.9315535,1.458151875,1.5260425,1.629746,1.711324483,3.500670975,1.1680058,1.554595,1.2397145,2.05964,1.30562
ZFAT,0.2775,0.6475,4.4625,7.988497125,15.25266336,6.689564999,9.602067623,9.404224934,7.007479435,12.04042036,9.947261111,14.2602464,6.13533919,8.363053329
FAM20C,15.6825,4.0625,0,0.248017575,0.191768813,0.024740275,0,2.073389092,5.27553875,0.011245725,0,0,0.083640575,0
REPS2,1.205,1.0475,0.4825,0.721803975,1.3629482,0.707025075,1.291451075,1.868217975,4.14231825,1.167665338,0.83558625,0.6285038,51.32715,0.682701925
FAM111B,4.265,13.6675,0,1.695681423,15.85249709,1.6677225,2.058776126,0.953499333,0.73230225,24.47733975,1.43963,1.82939,1.023696535,3.527518006
SERPINE1,249.98,25.45,0,1.18922825,0.244059,0.17020375,0.225574625,0.158023117,0.52855025,0.250488487,0.2544923,0.24746675,0.2781765,0.188536
CGRRF1,85.045,11.2525,38.9175,56.95954675,36.07184487,66.5703935,68.96583101,32.89966166,25.59849075,39.93513346,53.1218762,48.00179,21.44205775,69.4252805
MAN2C1,11.3675,130.8775,11.555,142.2867263,47.19460367,123.5959639,127.8367009,121.6150398,128.8036659,57.50519705,147.0467835,153.2767465,13.70441844,120.8869381
CLDN7,6.1775,0,0,1.0101855,0.8047855,1.315054,2.18546217,1.332973775,2.073034937,1.377437875,1.899898875,7.48300275,0,1.21025225
SPSB3,60.3575,0,61.3725,128.5677893,83.88631825,123.520748,119.5626067,51.5042169,67.36087925,75.59373475,97.86282525,70.29429625,50.07763325,120.805696
ZNF876P,4.1125,3.76,8.6175,12.21526,2.2995085,0.82801175,1.365451676,0.6163665,0.754895992,1.298605875,1.46655575,0.6456835,0.306389,0.7535665
KIR2DL4,0,0,17.765,66.5870125,0.09891725,0,0.226474376,3.357801167,0.04345375,0.433530338,0.1741215,0.135278,1.5528305,0
INHBA,0,0,0,0.09589985,0.081570525,0.045081925,0.040898075,0.2117041,0.470138025,0.072916363,0.036794425,0.015826675,0.3439066,0.035413975
DPP8,93.39,4.0875,21.47,98.57908775,48.04345162,62.41124275,81.23830376,56.68903798,47.5171826,49.87558072,64.872302,69.31310675,45.1446315,61.99249625
DMWD,0,37.9975,0,15.57578375,7.539294875,7.5733435,13.02058425,7.967347833,4.03680725,10.70348288,6.30317075,8.2127715,4.16542426,9.33359
EBI3,33.7725,0,0,0,17.2209425,0,0,2.09336925,1.589783,6.75158625,0,0,0.082437,0.02999975
TSPAN6,61.12,0,0,0.7087859,0.306484875,4.0085205,1.345388125,0.231670977,0.269709,0.60205,7.3982185,6.01232175,0.44361278,2.33652375
SGSM2,51.4575,2.3525,4.425,13.92793037,15.44031706,25.6980362,28.40770032,10.57698268,14.97519643,17.12771308,38.68123356,42.002853,9.069889001,29.213205
PDPN,0.2425,15.7975,11.4675,0.47893325,0.99117675,0.928460775,0.8855025,0.340885258,0.416569,1.115121875,0.8336354,0.855973375,1.4883815,0.65984325
CD3E,46.5,0,91.545,159.4700988,2.112729606,519.9647613,588.4619863,1.554719435,0.314471004,2.233244995,539.7726575,578.6204559,0.76422925,475.5398783
GPR27,0,0,0,0.03730425,0,0.1322154,0.375088625,0.444082133,0.3565475,0,0,0,22.500195,0
HIST1H2BC,0,94.9475,0,0.90588125,1.551940875,0.7142325,2.065167375,2.10567275,0.90444475,3.043791125,0.67934275,0.8225145,165.616175,1.0337835
TPP2,10.58,11.6625,5.4625,95.6391765,40.41528538,98.301858,118.5166143,50.26031817,45.65197325,42.85188738,117.9553195,137.7827043,7.329259,111.544785
WNT7A,0,0,0,0.08452405,0.025195375,8.1374775,2.255819038,0.030455025,0.017191625,0.033567163,16.27926,1.80471275,0,3.147035
LRRC4,3.845,0,0,0.042108125,0.170954563,0.11987225,0.084450813,1.151676333,0.566656325,0.179398862,0.069712575,0.303601925,15.692749,0.0782801
LAYN,22.665,0,17.14,1.37726775,0.274018125,0.05748045,0.583840575,0.197470942,9.492023975,0.144893188,0.311586,3.82166365,0.140389,2.686107625
TMEM171,0,0,6.9525,0.71242375,0,1.0548305,3.93035525,0,0,0,0,0,0,0.382939125
KIF2A,2.325,0,20.9275,62.837255,25.39232026,91.19066525,98.51334012,13.55753792,13.9807663,26.81617631,68.18917295,79.66541725,7.661028805,84.18174825
AUTS2,0,0,0,46.5538455,23.30024164,36.90817045,15.35721078,0.491776867,7.155128876,27.3041092,1.529325825,0.8557742,0.7793511,4.967507049
ARPC5L,49.97,11.725,88.17,74.5575175,35.23695975,33.451494,38.62038738,11.63432408,18.9866025,30.52268813,24.99395125,16.94473175,4.240802,38.6471675
PPP2R2B,0.335,5.715,8.665,124.6816313,1.879065343,38.65136509,67.86467966,1.233458633,0.879217675,2.148060963,3.815630027,2.549169362,0.6769811,7.58104308
FLT4,110.015,0.4725,0,0.301623825,0.233089425,1.80286125,5.581696854,0.230523742,0.200516725,0.19118545,1.715856825,5.844667876,0.39373675,3.96173205
PRKCA,2.3925,11.22,7.015,6.167145,1.221891613,16.89817725,10.12255575,3.592268083,6.872352825,1.66283625,29.50417825,37.421014,0.802807775,21.63904025
