GeneSymbol,naive.B.cells,macrophages,Macrophages.M2,monocytes,neutrophils,NK.cells,naive.CD4.T.cells,naive.CD8.T.cells,regulatory.T.cells,myeloid.dendritic.cells
ABCB4,22.71382129,2.231799501,1.971554456,0.105994738,0,0.236595832,0.041953559,0.107002105,0.046410247,2.147903121
ADAM28,138.1223177,44.54917343,4.861543747,6.154195388,6.923615452,16.03814946,0.084860989,0.07933068,0.662666726,18.9158947
ADAM6,311.5243136,0.18550032,0.387193475,0.030943418,0.031369924,0.501235723,0.480615238,0.390699772,0.311715702,0.077784222
AFF3,74.37986805,1.419475941,1.799181419,2.902596979,1.792198216,5.313058206,3.338742429,1.671995356,3.410734235,9.316770022
AKAP2,90.53808958,17.52272746,3.326321827,0.221090667,0,6.845410446,5.890559449,1.271216346,18.36339914,3.304702011
ARHGAP24,48.92311347,10.42725195,2.522366694,17.63984171,3.128475205,0.052504487,0.010653646,0,0.215068607,2.349765035
BANK1,301.2441344,4.000373422,7.121629492,2.430075302,0.046709073,1.14720902,0.051673229,0.158108993,0.069591729,4.135383746
BCL11A,162.3574626,2.024549798,9.520912073,21.79274589,1.749706886,0.328324747,0.333422103,0.306429475,0.129487167,24.90578624
BLK,529.7027389,0.804533642,0.725478229,0.162953576,0.112842611,0.476814951,4.052283369,11.50558326,2.215851218,0.14076821
BLNK,174.4012258,2.416294599,61.50543501,1.564195703,0.048879269,0.21954381,0.039914081,0.052107834,0.156831295,8.431054687
CD19,439.2686762,0.940667996,0.960748364,0.339789687,0.105206787,0.356327937,0.147968621,0.316340059,2.156577735,0.935245314
CD200,55.22946647,0,1.415480561,0,0.662093078,0.026514136,2.580028952,0.364691142,5.942850464,0.139223232
CD72,258.4999725,12.4841123,4.925699723,3.445506634,0.150684735,40.68129614,2.59695641,8.462895376,8.377801904,10.16592399
EBF1,33.94028433,0.041961798,0.10781001,0.025845553,0.026345211,0.058620959,0.084125644,0.09517302,0.22500875,0.016889892
FCMR,560.2084271,4.33144931,1.486361236,0.384583724,11.06542672,160.8013623,238.5160299,169.8846105,128.7910163,4.066195092
FCRLA,240.5120723,1.500190974,0.619542712,0.040850234,0,0.14582105,0.03304216,0.154749178,0.237167032,0.050982188
