"ROW_ID","ROW_VERSION","objectId","submitterId","repo_name","submitter","is_latest","dataset","celltype","metric","metric_value"
"1","1","9696412","3396685","finep3cps","DA_505","true","FIAS4","naive.B.cells","pearson","0.955"
"2","1","9696409","3392762","izi_fine","IZI","true","FIAS4","naive.B.cells","pearson","0.095"
"3","1","9696405","3390926","ictdtest","ICTD","true","FIAS4","naive.B.cells","pearson","0.899"
"4","1","9696401","3395690","test","Cancer_Decon","true","FIAS4","naive.B.cells","pearson","0.899"
"5","1","9696400","3396685","finep3drg","DA_505","false","FIAS4","naive.B.cells","pearson","0.931"
"6","1","9696397","3391057","main_fine","LeiliLab","true","FIAS4","naive.B.cells","pearson","0"
"7","1","9696393","3391553","r3_fine_elasticnet","mitten_TDC19","true","FIAS4","naive.B.cells","pearson","0.37"
"8","1","9696391","3391553","r3_fine_median","mitten_TDC19","false","FIAS4","naive.B.cells","pearson","0.968"
"9","1","9696382","3392762","izi_fine","IZI","false","FIAS4","naive.B.cells","pearson","0.742"
"10","1","9696376","3391057","fine_coarse_k","LeiliLab","false","FIAS4","naive.B.cells","pearson","0"
"11","1","9696372","3393206","lnvi_sub2","VUmc_TGAC","true","FIAS4","naive.B.cells","pearson","-0.199"
"12","1","9696369","3393206","lnvi_sub2","VUmc_TGAC","false","FIAS4","naive.B.cells","pearson","-0.14"
"13","1","9696348","3392907","r3-sc2-s2-reupload","Rubbernecks","true","FIAS4","naive.B.cells","pearson","-0.149"
"14","1","9696347","3392907","r3-sc2-s1-reupload","Rubbernecks","false","FIAS4","naive.B.cells","pearson","0.684"
"15","1","9696229","3390884","lb3sc2s2","Aboensis IV","true","FIAS4","naive.B.cells","pearson","0.963"
"16","1","9696203","3390884","lb3sc2s1","Aboensis IV","false","FIAS4","naive.B.cells","pearson","0.963"
"17","1","9696024","3390893","my-model","D3Team","true","FIAS4","naive.B.cells","pearson","0.956"
"18","1","9695993","3390893","my-model","D3Team","false","FIAS4","naive.B.cells","pearson","0.965"
"19","1","9695973","3397741","beda-decon","Tonys Boys","true","FIAS4","naive.B.cells","pearson","0.989"
"20","1","9695901","3397741","beda-decon","Tonys Boys","false","FIAS4","naive.B.cells","pearson","0.989"
"21","1","9695845","3392392","celest_fine","CCB","true","FIAS4","naive.B.cells","pearson","0.921"
"22","1","9695844","3392392","celest_fine","CCB","false","FIAS4","naive.B.cells","pearson","0.988"
"23","1","9695725","3396736","dc_round3_fine2","Aginome-XMU","true","FIAS4","naive.B.cells","pearson","0.981"
"24","1","9695579","3396736","dc_round3_fine1","Aginome-XMU","false","FIAS4","naive.B.cells","pearson","0.981"
"25","1","9695136","3394057","my-model2","Northwestern Polytechnical University","true","FIAS4","naive.B.cells","pearson","0"
"26","1","9694643","3394515","model12","REGGEN_LAB","true","FIAS4","naive.B.cells","pearson","0.399"
"27","1","9693959","3360851","baseline_method1","andrewelamb","true","FIAS4","naive.B.cells","pearson","0.994"
"28","1","9693922","3360851","baseline_method5","andrewelamb","false","FIAS4","naive.B.cells","pearson","0.986"
"29","1","9693920","3360851","baseline_method4","andrewelamb","false","FIAS4","naive.B.cells","pearson","0.968"
"30","1","9693918","3360851","baseline_method3","andrewelamb","false","FIAS4","naive.B.cells","pearson","0"
"31","1","9693916","3360851","baseline_method2","andrewelamb","false","FIAS4","naive.B.cells","pearson","0.961"
"32","1","9696412","3396685","finep3cps","DA_505","true","FIAS6","memory.CD8.T.cells","pearson","0.863"
"33","1","9696409","3392762","izi_fine","IZI","true","FIAS6","memory.CD8.T.cells","pearson","0.135"
"34","1","9696405","3390926","ictdtest","ICTD","true","FIAS6","memory.CD8.T.cells","pearson","0.609"
"35","1","9696401","3395690","test","Cancer_Decon","true","FIAS6","memory.CD8.T.cells","pearson","0.609"
"36","1","9696400","3396685","finep3drg","DA_505","false","FIAS6","memory.CD8.T.cells","pearson","0.796"
"37","1","9696397","3391057","main_fine","LeiliLab","true","FIAS6","memory.CD8.T.cells","pearson","0.11"
"38","1","9696393","3391553","r3_fine_elasticnet","mitten_TDC19","true","FIAS6","memory.CD8.T.cells","pearson","0.497"
"39","1","9696391","3391553","r3_fine_median","mitten_TDC19","false","FIAS6","memory.CD8.T.cells","pearson","0.437"
"40","1","9696382","3392762","izi_fine","IZI","false","FIAS6","memory.CD8.T.cells","pearson","0.477"
"41","1","9696376","3391057","fine_coarse_k","LeiliLab","false","FIAS6","memory.CD8.T.cells","pearson","0.566"
"42","1","9696372","3393206","lnvi_sub2","VUmc_TGAC","true","FIAS6","memory.CD8.T.cells","pearson","0.612"
"43","1","9696369","3393206","lnvi_sub2","VUmc_TGAC","false","FIAS6","memory.CD8.T.cells","pearson","0.581"
"44","1","9696348","3392907","r3-sc2-s2-reupload","Rubbernecks","true","FIAS6","memory.CD8.T.cells","pearson","0.714"
"45","1","9696347","3392907","r3-sc2-s1-reupload","Rubbernecks","false","FIAS6","memory.CD8.T.cells","pearson","0.475"
"46","1","9696229","3390884","lb3sc2s2","Aboensis IV","true","FIAS6","memory.CD8.T.cells","pearson","0.844"
"47","1","9696203","3390884","lb3sc2s1","Aboensis IV","false","FIAS6","memory.CD8.T.cells","pearson","0.845"
"48","1","9696024","3390893","my-model","D3Team","true","FIAS6","memory.CD8.T.cells","pearson","0.781"
"49","1","9695993","3390893","my-model","D3Team","false","FIAS6","memory.CD8.T.cells","pearson","0.779"
"50","1","9695973","3397741","beda-decon","Tonys Boys","true","FIAS6","memory.CD8.T.cells","pearson","0.75"
"51","1","9695901","3397741","beda-decon","Tonys Boys","false","FIAS6","memory.CD8.T.cells","pearson","0.773"
"52","1","9695845","3392392","celest_fine","CCB","true","FIAS6","memory.CD8.T.cells","pearson","0.894"
"53","1","9695844","3392392","celest_fine","CCB","false","FIAS6","memory.CD8.T.cells","pearson","0.73"
"54","1","9695725","3396736","dc_round3_fine2","Aginome-XMU","true","FIAS6","memory.CD8.T.cells","pearson","0.883"
"55","1","9695579","3396736","dc_round3_fine1","Aginome-XMU","false","FIAS6","memory.CD8.T.cells","pearson","0.883"
"56","1","9695136","3394057","my-model2","Northwestern Polytechnical University","true","FIAS6","memory.CD8.T.cells","pearson","0.659"
