ROW_ID,ROW_VERSION,objectId,submitterId,repo_name,submitter,is_latest,dataset,celltype,metric,metric_value
5383,32,9702760,3360851,baseline_method1,andrewelamb,TRUE,AD,monocytic.lineage,spearman,0.789
5384,32,9702759,3360851,baseline_method5,andrewelamb,FALSE,AD,monocytic.lineage,spearman,0.767
5385,32,9702757,3360851,baseline_method4,andrewelamb,FALSE,AD,monocytic.lineage,spearman,0.402
5386,32,9702756,3360851,baseline_method3,andrewelamb,FALSE,AD,monocytic.lineage,spearman,0.822
5387,32,9702755,3360851,baseline_method6,andrewelamb,FALSE,AD,monocytic.lineage,spearman,0.858
5388,32,9702754,3360851,baseline_method2,andrewelamb,FALSE,AD,monocytic.lineage,spearman,0.904
5389,32,9702760,3360851,baseline_method1,andrewelamb,TRUE,DS4,endothelial.cells,pearson,
5390,32,9702759,3360851,baseline_method5,andrewelamb,FALSE,DS4,endothelial.cells,pearson,
5391,32,9702757,3360851,baseline_method4,andrewelamb,FALSE,DS4,endothelial.cells,pearson,0.991
5392,32,9702756,3360851,baseline_method3,andrewelamb,FALSE,DS4,endothelial.cells,pearson,
5393,32,9702755,3360851,baseline_method6,andrewelamb,FALSE,DS4,endothelial.cells,pearson,
5394,32,9702754,3360851,baseline_method2,andrewelamb,FALSE,DS4,endothelial.cells,pearson,0.972
5395,32,9702760,3360851,baseline_method1,andrewelamb,TRUE,AH,CD8.T.cells,spearman,0.923
5396,32,9702759,3360851,baseline_method5,andrewelamb,FALSE,AH,CD8.T.cells,spearman,0.694
5397,32,9702757,3360851,baseline_method4,andrewelamb,FALSE,AH,CD8.T.cells,spearman,0.84
5398,32,9702756,3360851,baseline_method3,andrewelamb,FALSE,AH,CD8.T.cells,spearman,0.959
5399,32,9702755,3360851,baseline_method6,andrewelamb,FALSE,AH,CD8.T.cells,spearman,0.606
5400,32,9702754,3360851,baseline_method2,andrewelamb,FALSE,AH,CD8.T.cells,spearman,0.95
5401,32,9702760,3360851,baseline_method1,andrewelamb,TRUE,Celltype mean,B.cells,spearman,0.796
5402,32,9702759,3360851,baseline_method5,andrewelamb,FALSE,Celltype mean,B.cells,spearman,0.904
5403,32,9702757,3360851,baseline_method4,andrewelamb,FALSE,Celltype mean,B.cells,spearman,0.896
5404,32,9702756,3360851,baseline_method3,andrewelamb,FALSE,Celltype mean,B.cells,spearman,0.683
5405,32,9702755,3360851,baseline_method6,andrewelamb,FALSE,Celltype mean,B.cells,spearman,0.606
5406,32,9702754,3360851,baseline_method2,andrewelamb,FALSE,Celltype mean,B.cells,spearman,0.584
5407,32,9702760,3360851,baseline_method1,andrewelamb,TRUE,AD,CD4.T.cells,pearson,0.684
5408,32,9702759,3360851,baseline_method5,andrewelamb,FALSE,AD,CD4.T.cells,pearson,0.5
5409,32,9702757,3360851,baseline_method4,andrewelamb,FALSE,AD,CD4.T.cells,pearson,0.836
5410,32,9702756,3360851,baseline_method3,andrewelamb,FALSE,AD,CD4.T.cells,pearson,0.605
5411,32,9702755,3360851,baseline_method6,andrewelamb,FALSE,AD,CD4.T.cells,pearson,0.44
5412,32,9702754,3360851,baseline_method2,andrewelamb,FALSE,AD,CD4.T.cells,pearson,
