ROW_ID,ROW_VERSION,objectId,submitterId,repo_name,submitter,is_latest,dataset,celltype,metric,metric_value
16101,52,9704616,3390912,rlmfine_cb,Biogem,TRUE,DS4,regulatory.T.cells,spearman,0.744
16102,52,9704577,3390884,final_sc2_s2,Aboensis IV,TRUE,DS4,regulatory.T.cells,spearman,0.783
16103,52,9704482,3390912,rlmfine_cb,Biogem,FALSE,DS4,regulatory.T.cells,spearman,0.633
16104,52,9704414,3390926,ictdtest,ICTD,TRUE,DS4,regulatory.T.cells,spearman,0.822
16105,52,9704413,3395690,test,Cancer_Decon,TRUE,DS4,regulatory.T.cells,spearman,0.822
16106,52,9704411,3396685,fine_final.a,DA_505,TRUE,DS4,regulatory.T.cells,spearman,0.829
16107,52,9704409,3392762,izi_fine,IZI,TRUE,DS4,regulatory.T.cells,spearman,0.426
16108,52,9704399,3396736,dc_validation_fine2,Aginome-XMU,TRUE,DS4,regulatory.T.cells,spearman,0.62
16109,52,9704397,3391057,main_fine,LeiliLab,TRUE,DS4,regulatory.T.cells,spearman,0.476
16110,52,9704396,3391057,fine_coarse_k,LeiliLab,FALSE,DS4,regulatory.T.cells,spearman,-0.015
16111,52,9704393,3391553,second_final_fine,mitten_TDC19,TRUE,DS4,regulatory.T.cells,spearman,0.618
16112,52,9704387,3390893,my-model,D3Team,TRUE,DS4,regulatory.T.cells,spearman,0.725
16113,52,9704379,3392907,fine,Rubbernecks,TRUE,DS4,regulatory.T.cells,spearman,0.37
16114,52,9704375,3392907,fine,Rubbernecks,FALSE,DS4,regulatory.T.cells,spearman,0.269
16115,52,9704367,3390884,finalfine,Aboensis IV,FALSE,DS4,regulatory.T.cells,spearman,0.783
16116,52,9704324,2224148,finalminor,Patrick,TRUE,DS4,regulatory.T.cells,spearman,0.381
16117,52,9704317,3392762,izi_fine,IZI,FALSE,DS4,regulatory.T.cells,spearman,0.552
16118,52,9704311,3397741,bescape,Tonys Boys,TRUE,DS4,regulatory.T.cells,spearman,0
16119,52,9704279,3390912,rmlfine,Biogem,FALSE,DS4,regulatory.T.cells,spearman,0.445
16120,52,9704261,3396736,dc_validation_fine1,Aginome-XMU,FALSE,DS4,regulatory.T.cells,spearman,0.62
16121,52,9704132,3394057,my-model2,Northwestern Polytechnical University,TRUE,DS4,regulatory.T.cells,spearman,-0.322
16122,52,9703919,3390893,my-model,D3Team,FALSE,DS4,regulatory.T.cells,spearman,0.725
16123,52,9703887,3396685,fine_final.b,DA_505,FALSE,DS4,regulatory.T.cells,spearman,0.746
16124,52,9703859,3392392,celest,CCB,TRUE,DS4,regulatory.T.cells,spearman,0.905
16125,52,9703858,3392392,celest,CCB,FALSE,DS4,regulatory.T.cells,spearman,0.798
16126,52,9703778,3391553,final_fine,mitten_TDC19,FALSE,DS4,regulatory.T.cells,spearman,0.618
16127,52,9702969,3394515,model18,REGGEN_LAB,TRUE,DS4,regulatory.T.cells,spearman,0.484
16128,52,9702466,3360851,baseline_method1,andrewelamb,TRUE,DS4,regulatory.T.cells,spearman,0.397
16129,52,9702464,3360851,baseline_method5,andrewelamb,FALSE,DS4,regulatory.T.cells,spearman,
16130,52,9702462,3360851,baseline_method4,andrewelamb,FALSE,DS4,regulatory.T.cells,spearman,0.884
16131,52,9702459,3360851,baseline_method3,andrewelamb,FALSE,DS4,regulatory.T.cells,spearman,0.608
16132,52,9702456,3360851,baseline_method6,andrewelamb,FALSE,DS4,regulatory.T.cells,spearman,
16133,52,9702453,3360851,baseline_method2,andrewelamb,FALSE,DS4,regulatory.T.cells,spearman,
16134,52,9704616,3390912,rlmfine_cb,Biogem,TRUE,DS4,naive.B.cells,spearman,0.872
16135,52,9704577,3390884,final_sc2_s2,Aboensis IV,TRUE,DS4,naive.B.cells,spearman,0.847
16136,52,9704482,3390912,rlmfine_cb,Biogem,FALSE,DS4,naive.B.cells,spearman,0.651
16137,52,9704414,3390926,ictdtest,ICTD,TRUE,DS4,naive.B.cells,spearman,0.971
16138,52,9704413,3395690,test,Cancer_Decon,TRUE,DS4,naive.B.cells,spearman,0.971
16139,52,9704411,3396685,fine_final.a,DA_505,TRUE,DS4,naive.B.cells,spearman,0.641
16140,52,9704409,3392762,izi_fine,IZI,TRUE,DS4,naive.B.cells,spearman,0.75
16141,52,9704399,3396736,dc_validation_fine2,Aginome-XMU,TRUE,DS4,naive.B.cells,spearman,0.742
16142,52,9704397,3391057,main_fine,LeiliLab,TRUE,DS4,naive.B.cells,spearman,0
16143,52,9704396,3391057,fine_coarse_k,LeiliLab,FALSE,DS4,naive.B.cells,spearman,-0.346
16144,52,9704393,3391553,second_final_fine,mitten_TDC19,TRUE,DS4,naive.B.cells,spearman,0.829
16145,52,9704387,3390893,my-model,D3Team,TRUE,DS4,naive.B.cells,spearman,0.847
16146,52,9704379,3392907,fine,Rubbernecks,TRUE,DS4,naive.B.cells,spearman,-0.07
16147,52,9704375,3392907,fine,Rubbernecks,FALSE,DS4,naive.B.cells,spearman,0.139
16148,52,9704367,3390884,finalfine,Aboensis IV,FALSE,DS4,naive.B.cells,spearman,0.847
16149,52,9704324,2224148,finalminor,Patrick,TRUE,DS4,naive.B.cells,spearman,0.917
16150,52,9704317,3392762,izi_fine,IZI,FALSE,DS4,naive.B.cells,spearman,0.756
16151,52,9704311,3397741,bescape,Tonys Boys,TRUE,DS4,naive.B.cells,spearman,0.732
16152,52,9704279,3390912,rmlfine,Biogem,FALSE,DS4,naive.B.cells,spearman,0.841
16153,52,9704261,3396736,dc_validation_fine1,Aginome-XMU,FALSE,DS4,naive.B.cells,spearman,0.742
16154,52,9704132,3394057,my-model2,Northwestern Polytechnical University,TRUE,DS4,naive.B.cells,spearman,0.525
16155,52,9703919,3390893,my-model,D3Team,FALSE,DS4,naive.B.cells,spearman,0.851
16156,52,9703887,3396685,fine_final.b,DA_505,FALSE,DS4,naive.B.cells,spearman,0.765
16157,52,9703859,3392392,celest,CCB,TRUE,DS4,naive.B.cells,spearman,0.728
16158,52,9703858,3392392,celest,CCB,FALSE,DS4,naive.B.cells,spearman,0.728
16159,52,9703778,3391553,final_fine,mitten_TDC19,FALSE,DS4,naive.B.cells,spearman,0.829
16160,52,9702969,3394515,model18,REGGEN_LAB,TRUE,DS4,naive.B.cells,spearman,0.727
16161,52,9702466,3360851,baseline_method1,andrewelamb,TRUE,DS4,naive.B.cells,spearman,0.748
16162,52,9702464,3360851,baseline_method5,andrewelamb,FALSE,DS4,naive.B.cells,spearman,
16163,52,9702462,3360851,baseline_method4,andrewelamb,FALSE,DS4,naive.B.cells,spearman,0.938
16164,52,9702459,3360851,baseline_method3,andrewelamb,FALSE,DS4,naive.B.cells,spearman,
16165,52,9702456,3360851,baseline_method6,andrewelamb,FALSE,DS4,naive.B.cells,spearman,
16166,52,9702453,3360851,baseline_method2,andrewelamb,FALSE,DS4,naive.B.cells,spearman,
16167,52,9704616,3390912,rlmfine_cb,Biogem,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.47
16168,52,9704577,3390884,final_sc2_s2,Aboensis IV,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.079
16169,52,9704482,3390912,rlmfine_cb,Biogem,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.469
16170,52,9704414,3390926,ictdtest,ICTD,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.194
16171,52,9704413,3395690,test,Cancer_Decon,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.194
16172,52,9704411,3396685,fine_final.a,DA_505,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.681
16173,52,9704409,3392762,izi_fine,IZI,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.33
16174,52,9704399,3396736,dc_validation_fine2,Aginome-XMU,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.523
16175,52,9704397,3391057,main_fine,LeiliLab,TRUE,Celltype mean,memory.CD4.T.cells,pearson,-0.011
16176,52,9704396,3391057,fine_coarse_k,LeiliLab,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.087
16177,52,9704393,3391553,second_final_fine,mitten_TDC19,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.352
16178,52,9704387,3390893,my-model,D3Team,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.265
16179,52,9704379,3392907,fine,Rubbernecks,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.263
16180,52,9704375,3392907,fine,Rubbernecks,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.12
16181,52,9704367,3390884,finalfine,Aboensis IV,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.122
16182,52,9704324,2224148,finalminor,Patrick,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.434
16183,52,9704317,3392762,izi_fine,IZI,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.393
16184,52,9704311,3397741,bescape,Tonys Boys,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.038
16185,52,9704279,3390912,rmlfine,Biogem,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.319
16186,52,9704261,3396736,dc_validation_fine1,Aginome-XMU,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.523
16187,52,9704132,3394057,my-model2,Northwestern Polytechnical University,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.026
16188,52,9703919,3390893,my-model,D3Team,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.261
16189,52,9703887,3396685,fine_final.b,DA_505,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.628
16190,52,9703859,3392392,celest,CCB,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.44
16191,52,9703858,3392392,celest,CCB,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.489
16192,52,9703778,3391553,final_fine,mitten_TDC19,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.339
16193,52,9702969,3394515,model18,REGGEN_LAB,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.388
16194,52,9702466,3360851,baseline_method1,andrewelamb,TRUE,Celltype mean,memory.CD4.T.cells,pearson,0.528
16195,52,9702464,3360851,baseline_method5,andrewelamb,FALSE,Celltype mean,memory.CD4.T.cells,pearson,
16196,52,9702462,3360851,baseline_method4,andrewelamb,FALSE,Celltype mean,memory.CD4.T.cells,pearson,0.416
16197,52,9702459,3360851,baseline_method3,andrewelamb,FALSE,Celltype mean,memory.CD4.T.cells,pearson,
16198,52,9702456,3360851,baseline_method6,andrewelamb,FALSE,Celltype mean,memory.CD4.T.cells,pearson,
16199,52,9702453,3360851,baseline_method2,andrewelamb,FALSE,Celltype mean,memory.CD4.T.cells,pearson,
16200,52,9704616,3390912,rlmfine_cb,Biogem,TRUE,AB,regulatory.T.cells,pearson,0.905
16201,52,9704577,3390884,final_sc2_s2,Aboensis IV,TRUE,AB,regulatory.T.cells,pearson,0.867
16202,52,9704482,3390912,rlmfine_cb,Biogem,FALSE,AB,regulatory.T.cells,pearson,0.742
