Challenge,celltype,Pearson,Spearman,p
Challenge,naive.B.cells,0.9895346068320846,0.9699248120300751,1.7143556108377437e-12
Challenge,memory.B.cells,0.9957038051055139,0.9864661654135337,1.3775681209191945e-15
Challenge,naive.CD4.T.cells,0.9910589491117313,0.9804511278195487,3.6893592442965844e-14
Challenge,naive.CD8.T.cells,0.9969576385824612,0.9804511278195487,3.6893592442965844e-14
Challenge,memory.CD8.T.cells,0.9954442523971021,0.9909774436090225,3.6423222015869136e-17
Challenge,regulatory.T.cells,0.992294881020635,0.9864661654135337,1.3775681209191945e-15
Challenge,monocytes,0.9848192135050121,0.9864661654135337,1.3775681209191945e-15
Challenge,NK.cells,0.9986790788508736,0.9954887218045112,7.230721163595917e-20
Challenge,myeloid.dendritic.cells,0.9906180583216688,0.9894736842105262,1.450570213696417e-16
Challenge,neutrophils,0.9963786722241902,0.9789473684210527,7.14894440783183e-14
