,liver,brain,lung
1367452_at,9.710259833,10.71200575,10.73119
1367453_at,9.418768606,9.653454094,9.181458756
1367454_at,9.976106711,9.036052991,9.698647571
1367455_at,10.7928033,10.06636668,10.2272253
1367456_at,10.90165272,10.19422352,10.85886139
1367457_at,8.468576854,9.03112135,8.868421488
1367458_at,7.77785589,7.175349645,7.084164402
1367459_at,11.17109992,11.53221451,11.6609311
1367460_at,10.97408893,11.14184931,11.64677566
1367461_at,9.715560822,8.764053691,9.440977935
1367462_at,9.198429282,10.46516812,10.24287661
1367463_at,10.38319524,9.162094417,9.282804116
1367464_at,8.894749578,9.252242059,9.141389323
1367465_at,9.54626822,9.21955813,9.449291719
1367466_at,9.877493601,9.821705598,9.979698921
1367467_at,10.63593281,10.19249075,10.06335546
1367468_at,9.205025515,8.028002963,8.648731485
1367469_at,11.13121499,11.39251134,11.86812332
1367470_at,10.09959349,9.788405871,10.25716831
1367471_at,8.609472313,8.324443201,9.002947058
1367472_at,9.019682909,9.506118923,9.201128499
1367473_at,9.197167952,9.105543371,9.123770692
1367474_at,8.870488714,7.80177496,8.480845778
1367475_at,9.84059934,10.23236628,11.21679843
1367476_at,10.50214273,11.09160729,10.87914498
1367477_at,9.803647401,9.425305286,9.463079453
1367478_at,7.674028317,7.854849564,8.014808826
1367479_at,10.27227289,10.43600886,9.917935357
1367480_at,8.874089367,8.84989671,9.403109
1367481_at,9.125847761,9.35235859,9.94613208
1367482_at,9.186833186,8.971703639,8.776891115
1367483_at,8.721415507,8.117604907,8.014948203
1367484_at,9.333902284,9.893667612,9.960244563
1367485_at,9.980855224,9.984571763,10.31524656
1367486_at,8.902067714,7.793185957,8.166199536
1367487_at,7.557760473,7.600311212,7.75058654
1367488_at,7.934796453,8.552811472,8.134296588
1367489_at,6.027481549,6.859511933,6.519090227
1367490_at,7.494148861,7.680423752,7.349850902
1367491_at,9.17547002,8.469071433,8.866150806
1367492_at,8.652392652,9.392826394,9.565614377
1367493_at,9.059704436,8.889876067,8.874952715
1367494_at,9.532063997,9.209327282,9.57480847
1367495_at,7.412794328,8.04338848,7.93411965
1367496_at,10.64143579,10.15032115,10.81785272
1367497_at,8.189036409,8.787030658,8.462345914
1367498_at,8.463200113,8.501978571,8.685600874
1367499_at,7.605812529,7.009370732,7.268682482
1367500_at,9.796649642,9.547081369,9.996403208
1367501_at,8.443674756,8.199263548,7.796175704
1367502_at,8.326821043,7.848183467,7.766777263
1367503_at,10.22570218,9.636914469,9.937027339
1367504_at,7.979625526,8.009766044,7.773977915
1367505_at,8.412171346,8.504086141,8.123507418
1367506_at,9.253120225,8.52567349,8.241139487
1367507_at,7.027736207,5.975884638,6.431586342
1367508_at,8.584820339,7.838963088,7.749357755
1367509_at,9.228008453,9.623081381,9.244111398
1367510_at,9.361150266,9.289792052,8.862072947
1367511_at,8.231952042,7.51758694,8.422052156
1367512_at,10.69313686,11.37396393,11.51530728
1367513_at,7.880300109,7.622222971,7.839552148
1367514_at,7.356626211,7.064491803,7.367670445
1367515_at,8.033033623,9.083294992,8.448893563
1367516_at,8.328461408,8.324253714,7.600031719
1367517_at,7.852334588,7.420531446,8.165098444
1367518_at,8.084230011,8.998145183,7.95664462
1367519_at,8.449975447,8.75565906,8.46393397
1367520_at,9.321765055,8.981839962,8.865474169
1367521_at,6.623902321,6.526087907,6.940355199
1367522_at,8.317518994,8.147574001,8.0721645
1367523_at,8.318449965,9.016157332,8.730265585
1367524_at,7.233381781,6.316393731,6.908504729
1367525_at,8.858546212,8.923308166,9.494153959
1367526_at,8.967203436,8.682006678,8.399109128
1367527_at,8.180998769,7.73036891,7.549950447
1367528_at,8.390228832,8.030719552,8.567251325
1367529_at,8.718398425,7.970143987,8.140255781
1367530_at,8.26689733,9.14605088,8.436003891
1367531_at,9.685137332,10.35393292,10.24250391
1367532_at,10.62050761,10.51153784,11.35453954
1367533_at,8.725819704,9.507323069,8.626129781
1367534_at,8.116300805,8.929405174,9.082193032
1367535_at,7.805946256,7.440296835,7.313270748
1367536_at,7.839310011,6.939975142,7.331179071
1367537_at,7.449432392,7.53300995,7.683736872
1367538_at,8.165306913,9.204063552,9.321365523
1367539_at,8.484249388,8.583756242,9.096518296
1367540_at,7.540852736,6.871008831,7.525047793
1367541_at,8.325500555,8.098033239,7.708236512
1367542_at,8.076730955,7.449890302,8.419658825
1367543_at,8.387985935,7.743411602,8.09589876
1367544_at,6.965239751,7.272195382,7.48069808
1367545_at,7.490591368,8.283241766,8.351384198
1367546_at,9.69750936,9.109592266,9.364427287
1367547_at,8.194535066,9.122023443,8.978151409
1367548_at,7.845210516,7.62315649,7.41843098
1367549_a_at,10.2452067,11.21899352,10.6535792
1367550_a_at,8.287547444,8.411666248,8.475789301
1367551_a_at,9.295340487,8.64985204,9.149624841
1367552_at,4.116179636,3.73085041,3.693111267
1367553_x_at,12.25013496,11.37278929,13.58909745
1367554_at,3.836073186,3.069114648,3.17101927
1367555_at,14.30925259,12.21178144,5.087516809
1367556_s_at,14.14659565,10.50753538,4.568636508
1367557_s_at,11.96229384,13.00249925,11.08008268
1367558_x_at,2.694301287,2.462648837,2.520151138
1367559_at,11.74689901,9.731168344,11.63482615
1367560_at,11.5420139,10.94524988,12.35470051
1367561_at,11.73150585,11.51549544,12.37543687
1367562_at,7.431054055,9.128042903,11.29775187
1367563_at,8.64748714,10.39487255,12.35086674
1367564_at,5.795141067,6.164644159,5.696528266
1367565_a_at,12.8900625,13.37485827,13.49502975
1367566_at,3.870658904,3.743315454,14.04382722
1367567_at,11.41184357,11.52159126,12.01674399
1367568_a_at,8.37698134,8.020255654,12.86971248
1367569_at,11.09102974,10.74980175,11.7548849
1367570_at,6.540000374,7.273246019,11.22412794
1367571_a_at,5.191275312,8.55987995,5.290793375
1367572_at,5.307297793,4.077785949,5.456891612
1367573_at,12.0612026,12.12926792,12.7446687
1367574_at,7.656650643,8.747632703,11.83076137
1367575_at,10.77348295,11.17417109,9.710057903
1367576_at,13.23064987,9.70563481,12.18691127
1367577_at,7.29927769,7.064199093,10.87029324
1367578_at,9.637970325,10.88601791,10.19476681
1367579_a_at,9.880330543,12.60813596,12.08353327
1367580_at,10.96574879,10.54758302,11.73329744
1367581_a_at,6.91493242,8.298495127,7.082991574
1367582_at,11.13880629,11.30448496,12.02949438
1367583_at,12.79681053,12.43351498,13.07377371
1367584_at,7.383941115,7.735683241,11.85388548
1367585_a_at,10.06205578,11.02329873,10.1676782
1367586_at,12.13297292,10.50510627,10.57463247
1367587_at,3.011043767,2.571538459,2.673116004
1367588_a_at,11.04446491,11.39921522,12.24007173
1367589_at,8.981139959,10.40456558,9.196644134
1367590_at,10.34229415,11.01649713,10.44543894
1367591_at,10.07531443,9.314983644,9.049437944
1367592_at,4.113102234,5.342768935,7.505475623
1367593_at,8.269542255,10.39509036,8.395575893
1367594_at,8.304527811,5.817501472,9.616985882
1367595_s_at,12.99510039,11.11922222,13.28476415
1367596_at,11.84232428,11.80651117,12.62813746
1367597_at,11.49879666,11.7910515,12.50175428
1367598_at,13.32799518,13.0907659,4.518392708
1367599_at,11.60113424,11.00940019,9.99207977
1367600_at,5.62902338,4.632819658,7.676244197
1367601_at,7.675114967,8.191632061,8.215939343
1367602_at,8.483306553,9.055995496,9.081030542
1367603_at,10.92728598,11.89719868,9.323939089
1367604_at,10.5623704,9.128386101,11.52619124
1367605_at,9.848003527,9.139642091,10.89421982
1367606_at,12.09787826,12.20103515,12.8679593
1367607_at,11.46018693,12.0458777,11.27086951
1367608_at,4.423898762,4.019462817,3.928857669
