,reads.1.RPKM,reads.2.RPKM,reads.3.RPKM,reads.4.RPKM,reads.5.RPKM,reads.6.RPKM,reads.7.RPKM,reads.8.RPKM,reads.9.RPKM,reads.10.RPKM
NR_024540,3.66821,3.78953,8.25498,7.69344,5.63722,6.35846,5.94182,6.55514,7.78424,5.98953
NR_028325.1,0.0796274,0.14644,0.104652,0.376109,0.104008,0.160564,0.188188,0.133709,0.244789,0.0885794
NR_028322.1,0.0796274,0.14644,0.104652,0.376109,0.104008,0.160564,0.188188,0.133709,0.244789,0.0885794
NR_028327.1,0.124748,0.101272,0.0497139,0.436808,0.162943,0.11989,0.157871,0.209474,0.383498,0.138772
NR_028327.2,0.322132,0.423703,0.355514,1.38175,0.535061,0.597744,0.658279,0.459965,1.0238,0.491356
NR_033908,0.358567,0.46398,0.500401,1.89778,0.425777,0.824015,1.00783,0.57343,1.88552,0.534213
NR_024321,0.335943,0.297233,0.409293,0.683859,0.443235,0.298366,0.487108,0.485015,0.603947,0.296596
NR_015368,6.30823,3.55177,2.69948,2.72391,3.97231,3.62897,3.90177,3.21627,3.02849,3.82895
NR_027055,0.115263,0.172094,0.0861727,0.117317,0.570282,0.115166,0.115704,0.144009,0.203978,0.343449
NM_152486,0.249551,0.49544,0.173535,0.641948,0.176025,0.404114,0.348554,0.20062,0.540601,0.124072
NM_015658,7.40965,11.7112,23.6782,10.1721,13.408,14.3493,13.9753,19.3835,12.006,18.197
NM_198317,0.671055,0.992381,0.573364,1.79535,1.04348,1.20689,1.05855,0.977349,1.60925,1.08547
NM_001160184,0.0750314,0.0149368,0.0598346,0.183284,0.0148492,0.0449811,0.165701,0.074995,0.15175,0.0149048
NR_027693,23.7389,5.18293,14.6849,2.18906,5.36056,7.70707,12.6616,12.5264,4.03913,9.33175
NM_021170,2.25417,1.11129,0.707479,2.94994,1.17478,1.15356,1.46849,1.26875,3.09465,0.507454
NM_001142467,1.55759,0.242875,1.09107,1.74901,0.785806,1.24959,1.34888,1.28567,1.7775,1.36424
NM_005101,6.64319,9.47782,7.6522,19.5334,7.0119,9.88269,11.1144,8.33685,17.9144,7.03813
NM_198576,5.33307,6.52516,5.38979,19.6547,7.31105,8.80494,10.0395,7.47207,16.8787,6.79803
NM_017891,0.467297,0.720956,0.442522,1.04637,0.601127,0.88712,0.586357,0.53713,1.01598,0.765824
NM_001130045,0.0938525,0.00950265,0.0838791,0.266294,0.0603172,0.0946788,0.155074,0.121851,0.244972,0.129687
NM_153254,0.10905,0.0361559,0.0958568,0.378344,0.0736458,0.131238,0.301299,0.148777,0.373328,2.27E-07
NM_004195,0.115028,0.00487545,0.108949,0.749194,0.166582,0.26501,0.407938,0.199924,0.442099,0.246118
NM_148901,0.361124,0.233192,0.227962,1.15872,0.056246,0.122712,0.110098,0.213081,0.925036,0.0736484
NM_148902,0.16374,0.00694007,0.155086,1.06645,0.237125,0.377234,0.580688,0.284586,0.629316,0.350342
NM_003327,0.623401,0.221612,1.10968,3.76174,0.3525,0.934318,1.74327,1.02366,3.19708,0.707639
NM_016176,20.7415,37.5179,22.5616,28.2221,17.7906,29.943,24.0596,23.2808,21.8288,18.6997
NM_016547,7.12522,12.9463,8.04612,9.58399,6.15486,10.1398,9.19001,7.62945,8.1415,6.45452
NM_080605,2.74674,3.18969,3.66824,3.78135,4.3906,3.48333,3.51727,3.36136,3.57886,4.17968
NM_058167,2.86346,3.90742,4.00614,3.15533,4.06178,3.45506,3.30304,3.87714,3.40796,4.39557
NM_194315,1.88075,2.56651,2.63138,2.07247,2.6679,2.2694,2.16953,2.54662,2.23845,2.88715
NM_194457,1.20556,0.611772,1.47205,1.93294,1.71774,1.06182,1.17503,0.898693,1.91899,1.15159
NM_194458,0.943476,1.28745,1.32,1.03963,1.63986,1.13841,1.39568,1.27747,1.12286,1.4483
NM_001130413,0.0958946,0.116067,0.0940484,0.406541,0.203996,0.204876,0.133752,0.137954,0.183272,0.160526
NR_037668,0.167528,0.202768,0.164302,0.319006,0.356381,0.357917,0.233665,0.241004,0.320175,0.280438
NM_030649,4.19799,4.08743,5.42311,6.38923,10.4951,5.09609,5.11989,5.99982,7.89526,8.78082
NM_153339,0.917422,1.57568,1.16546,1.3358,0.861832,1.22586,1.25072,1.11529,1.20215,1.32649
NM_017871,11.947,13.6613,31.6631,18.0198,16.0411,18.2912,18.8972,26.141,17.0911,22.2595
NM_001029885,17.1487,13.3877,8.78176,6.57103,7.76369,11.2661,11.3412,10.1722,6.25655,8.52748
NM_152228,0.153684,0.554524,0.344691,0.351951,0.228113,0.230333,0.308544,0.288017,0.233118,0.36253
NM_004421,22.0243,23.3783,67.4218,21.4414,28.4151,33.2104,33.0786,50.0768,24.1761,44.5522
NM_032348,6.35852,3.29371,9.50751,15.2771,3.95923,7.17436,9.63943,9.0792,13.0787,6.68069
NM_001127229,11.446,9.10254,13.9477,6.71506,9.24378,7.7442,8.04424,13.4544,6.97719,10.6673
NM_017900,5.47534,4.91531,7.45667,2.91677,3.35613,5.294,3.78931,5.17689,2.27431,4.85839
NM_001127230,29.3078,36.6666,30.7562,24.7894,20.6062,32.3616,32.8056,26.6731,22.66,23.2651
NM_030937,4.71403,8.65598,5.11574,12.2487,4.01863,7.37371,7.28766,5.89951,9.56086,4.24817
NM_001039577,2.04847,1.57957,1.37261,1.55234,3.45257,1.43952,1.51185,1.70964,2.79718,2.95234
NR_015434,3.51292,6.30387,3.00623,4.33653,4.79473,5.48237,4.14763,3.59356,4.57518,4.19276
NM_017971,60.2314,81.2289,82.7493,46.6571,68.3362,72.7661,62.8177,74.5523,48.5676,72.8013
NM_001145210,0.458158,0.0012861,0.00251156,0.661121,0.372433,0.370153,0.280578,0.278733,0.748977,0.188055
NR_026871,0.705363,0.660829,1.2905,3.63618,4.69489,1.68913,2.12247,1.78154,3.28487,2.94972
NM_001146685,0.599507,0.895098,1.99201,1.52548,14.5342,3.29453,1.20361,1.79765,4.54686,10.9166
NM_022834,2.14095,4.90453,2.89776,5.01212,6.86877,5.15323,4.44119,3.69379,5.18187,5.15518
