,brain,muscle,lung,liver,heart
NR_024540,2.47426,3.37826,3.09357,1.27954,0.865271
NR_028325.1,0.0675838,0.0556031,0.515925,0.085452,0.0830035
NR_028322.1,0.0675838,0.0556031,0.515925,0.085452,0.0830035
NR_028327.1,0.10588,0.0871101,0.80827,0.133873,0.130037
NR_028327.2,0.536098,0.3323,2.23106,0.475499,0.408835
NR_024321,0.341662,0,0.819015,0.202994,0.101064
NR_015368,3.04875,3.24609,4.86255,3.65005,7.591
NM_152486,0.354893,2.48E-11,0.687081,0.349304,0.0428147
NM_015658,6.94439,20.0449,5.68423,5.9385,3.95994
NR_027693,0.013456,12.6162,0.046961,0.0175883,15.6416
NM_021170,0.137632,0.459368,13.2968,0.269849,1.24553
NM_001142467,0.0300797,0.100396,3.09579,0.0589759,0.27221
NM_005101,3.47027,1.75715,25.2941,5.51278,3.14766
NM_198576,2.2971,0.317656,5.18632,2.07718,1.28664
NM_017891,0.447169,0.0370805,0.882082,0.44896,0.308398
NM_001130045,0.00198601,0.00690726,0.831359,0,0.00105801
NM_153254,0.00755642,0,0.387398,0,0.0697344
NM_004195,0.000407579,0,0.435137,0.000710329,0.0172946
NM_148902,0.000580176,0,0.619407,0.00101113,0.0246183
NM_003327,0.0370527,0.212004,2.80178,0.0322878,0.195914
NM_016176,7.2998,10.1554,20.1281,22.2407,8.64945
NM_016547,2.5288,3.3282,6.70106,8.118,3.27477
NM_080605,3.02548,4.035,1.34649,2.82153,2.36574
NM_194457,1.26376,0.816852,2.25166,2.23912,0.958122
NM_001130413,0.280962,0.0371535,0.0350106,0.00745965,0.0145852
NM_030649,3.37348,2.32869,2.18588,1.17112,1.3411
NM_017871,4.17443,17.735,5.59625,4.06727,4.43409
NM_001029885,1.93992,3.74256,1.98189,8.07839,11.6001
NM_004421,4.49772,30.8068,6.71059,3.44998,7.0784
NM_032348,1.22377,5.64966,16.5323,0.56456,2.15931
NM_017900,0.398066,1.88139,0.351558,1.3101,0.499457
NM_001127230,12.6711,25.1469,14.4652,23.4225,18.4788
NM_030937,4.15542,2.2933,6.96514,5.8437,2.52958
NM_001039577,6.47532,3.00149,4.05055,6.28552,4.11319
NR_015434,3.60578,0.989819,3.13573,5.91458,1.83268
NM_017971,29.4611,52.2205,28.9427,36.3975,28.4052
NM_001145210,0.244746,0.00123035,0.425588,0.000562137,0.00122443
NR_026871,8.05733,0.632178,5.63677,0.288838,0.629139
NM_001146685,10.1018,0,0.0322406,0,0
NM_022834,4.99767,0.853851,4.39328,6.01594,0.954483
NM_199121,1.52821,0.150219,0.590181,2.16684,0.0769413
NM_031921,0.41192,1.04536,1.47997,1.47974,0.519713
NM_001170535,0.31983,1.66183,0.944521,0.711836,0.381416
NM_001170536,0.566532,1.29475,0.75891,1.40293,0.640918
NM_001114748,1.46486,0.139691,0.468629,0.031912,0.253214
NM_014188,36.8564,68.7248,35.5839,26.9737,28.3721
NM_001170686,0.40347,1.52516,0.489959,0.111443,0.316246
NM_001170687,0.483633,1.828,0.587282,0.133583,0.379077
NM_001170688,0.0490648,1.05278,0.143687,0.134777,0.237452
NM_080875,0.37543,1.41897,0.455898,0.103699,0.29428
NR_033183,0.455428,1.56129,1.20217,0.17338,0.383538
NM_001170689,0.279671,3.71941,0.606699,0.47319,0.58843
NM_006983,0,0,1.60534,0.0538096,0.153807
NR_002946.1,0,0,1.30448,0.0837296,1.53406
NM_033486,0.903251,1.81321,1.09663,0.280834,0.337034
NM_033487,2.31744,6.52386,4.51086,1.30393,1.53329
NM_033488,0.676574,1.61807,0.978623,0.250624,0.300773
NM_033489,0.682634,1.2405,0.750231,0.192129,0.230582
NM_033492,0.719806,1.90415,1.15172,0.294934,0.353953
NM_033493,0.898644,2.37718,1.43785,0.36821,0.441897
NM_001110781,8.06472,2.79683,4.10102,3.3223,4.14625
NR_002946,0,0,2.66124,0.157376,1.67111
NM_024011,1.5102,2.57865,2.99314,1.04852,0.631196
NM_033529,1.47849,3.24465,3.76628,1.31925,0.794181
NM_182838,6.34972,2.33676,3.87972,3.08452,2.904
NM_001198993,0.982253,1.11409,3.57151,5.086,1.19705
NM_001198994,0.142624,0.063703,0.817059,0.714279,0.366047
NM_001198995,0.854731,1.13465,3.63904,7.16458,0.913958
NM_023018,0.638196,1.15202,3.02692,3.97162,0.887191
NM_002074,115.206,20.8412,109.282,37.9192,36.7007
NM_178545,0.0426996,23.7961,0.447061,3.05109,0.364708
NM_001080484,0.13896,0,0.340149,0.00378405,0
NM_000815,9.95562,0.0486343,0.346089,0.00925863,0.0345717
NM_002744,0.332815,0.00539923,4.15723,0.483796,0.861669
NM_001033581,11.5841,0.0365112,1.79747,0.158372,0.179884
NM_001033582,6.11146,0.099148,4.88125,0.430065,0.649074
NM_001146310,0.42351,0.4336,0.894782,0.203127,0.0995224
NR_024445,0.263405,0.796164,0.403713,1.15707,0.210952
NM_182533,1.01351,1.37404,7.10566,2.72808,2.55526
NM_003036,9.79828,9.58848,20.9016,4.99365,7.53607
NM_024848,0.673046,0.0665597,1.11162,0.152054,0.111526
NM_007033,12.2247,17.9838,10.9224,30.6973,11.6715
NM_014638,1.41654,0,0.4296,0.0663245,0.010319
NM_018216,1.71862,6.01225,3.30817,1.38967,2.67638
NR_026927,0.018518,0,0.832973,0.137161,0.286207
NM_003820,0.539502,1.2256,12.8498,3.54159,1.68717
NR_036637,1.36502,0.0200147,0.554896,0.255141,0.192879
NR_036638,1.73124,0.0253864,0.703866,0.323616,0.244645
NM_001195736,0.74003,0.00834956,0.29807,0.116321,0.0909276
NM_001195737,1.18654,0.0133877,0.477925,0.186506,0.145794
NM_001195738,1.372,0.0154813,0.552625,0.215677,0.168593
NM_001195740,2.07538,0.0271558,0.969394,0.378321,0.205181
NM_001195741,2.12248,0.027774,0.991506,0.38693,0.209852
NM_152371,1.08795,0.0122762,0.438243,0.171024,0.133688
NM_033467,0.0523547,1.79E-14,0.177013,7.70E-15,4.08E-19
NR_015440,0.807563,0,0.3707,0.017315,0.600186
NR_024371,1.27319,0,1.16013,0.0401781,0.999275
NM_022114,0.553235,0.0360665,0.51669,0.0124547,0.489495
NM_199454,0.531158,0.0411196,0.439051,0.0141997,0.476823
NM_014448,0.084517,0.214924,0.830263,0.380516,0.0630214
NM_001409,0.151219,0.480333,2.04917,0.306671,0.547953
NM_182752,38.0578,26.0187,17.8427,28.1993,15.5545
NM_001126240,0.0033128,0.000842435,0.16586,0,0.000898269
NM_001126241,0.00652301,0.00165878,0.326584,0,0.00176872
NR_033709,3.90E-05,0.265751,0.0241119,0.271654,0.106181
NR_033710,0.0793093,0.57179,0.865078,0.359058,0.589567
NR_033711,3.23569,0.445871,1.68458,0.329338,1.55606
NM_020710,14.3743,35.756,6.48154,10.1701,10.254
NM_014704,3.04041,4.63176,1.74393,2.30996,2.82876
