,Bcells,CD4_Tcells,CD8_Tcells,NKcells
A1BG,7.752147186,4.670193954,5.019972869,1.74261013
A1BG-AS1,0.272716439,6.747079287,11.76431366,8.921376638
A1CF,0.948320442,0.497801987,0.565376508,0.259364656
A2M,0.144347229,2.953112363,15.38639284,8.941079638
A2M-AS1,0,7.341972073,11.59128762,0.215490435
A2ML1,1.718939158,1.928827393,2.123319946,1.966481774
A2MP1,0.65510767,0.987746003,0.691566667,3.73252078
A4GALT,7.580949933,0,0.011399868,0
A4GNT,0,2.776633295,0.037016031,0
AA06,0,0.153146207,0.527020454,0
AAAS,64.36690862,44.79503748,47.3024357,70.40340542
AACS,3.454869043,6.417569579,13.37371465,28.60547874
AACSP1,0.450129709,0.544544501,0.443885208,0.558085822
AADAC,0,0,0.137898156,0
AADACL2,0.117402324,0,0.121603352,0
AADACL3,0.088543506,0.204782399,0.095909058,0
AADACL4,0,0.134483369,0.024531189,0
AADAT,0.022740803,0.40242376,0.205114843,0.092259554
AAED1,0,0.414926966,6.118110146,5.411079882
AAGAB,19.32944624,38.71360379,40.70906373,27.86965182
AAK1,3.889121917,23.01378482,17.16537145,24.50005268
AAMDC,12.57267392,16.89636281,7.663220813,1.741020532
AAMP,93.60810511,81.76153291,117.76006,160.2324987
AANAT,0.106613086,0.626555877,0.467820428,0.034193451
AAR2,42.23502113,44.72394034,48.52726859,80.89777332
AARD,7.118806345,8.564595154,7.566369158,6.474601221
AARS,47.34487712,27.72368726,43.07948886,18.56860707
AARS2,16.58485961,19.67360021,29.67955914,36.99341493
AARSD1,28.6149468,45.22389306,38.69024365,0.553876858
AASDH,5.510596465,7.093976454,14.98684581,8.294121007
AASDHPPT,27.4466336,22.46340508,51.69472207,27.49986915
AASS,7.34238608,2.404008695,6.824106748,16.72013512
AATF,79.17054785,88.39235251,111.6241064,119.5612475
AATK,0,0.864593518,0.221844194,0
AATK-AS1,0,0,0,0
ABAT,17.0679845,2.793088961,5.900804546,15.66348736
ABCA1,17.60853443,2.541379449,0.504514525,7.427824727
ABCA10,0.350473982,0.01339367,0.133125783,0.134198328
ABCA11P,6.64653715,6.73700695,10.17426194,8.617177145
ABCA12,0,0.174730823,0.074588926,0.239686449
ABCA13,0.351430436,0.4045668,0.46394286,0.921318965
ABCA17P,0,0.064786483,0.263177507,0
ABCA2,0.044836974,14.85424285,24.10086387,7.744043904
ABCA3,1.100886538,0.593151171,1.098564397,0
ABCA4,0,0.071879794,0.054614831,0.125808612
ABCA5,10.79013981,8.771750636,8.353200965,15.21860142
ABCA6,16.04956135,0.006909206,0.026822704,0.821315496
ABCA7,11.51683491,12.50951876,17.62855525,28.13224113
ABCA8,0,0.098610176,0.047158222,0
ABCA9,8.111870382,8.97211024,9.965455216,8.530581154
ABCB1,18.80459686,7.898620242,37.21816366,60.91616114
ABCB10,4.154727622,4.415803711,12.57676293,14.96596003
ABCB11,0,0.104662784,0.040625866,0
ABCB4,17.68719526,0.402389536,0.036421248,0
ABCB5,5.321600478,8.788873431,18.39372571,5.70336402
ABCB6,1.18492883,5.87635227,5.317955037,8.910244722
ABCB7,20.47504784,9.679626173,21.81175711,68.41414658
ABCB8,4.27955943,2.853024546,8.736088396,0.657748905
ABCB9,0,2.675759396,1.443983745,0
ABCC1,7.380740121,16.59726489,16.26813629,10.7505506
ABCC10,22.03205767,29.57177745,27.86638033,17.83830467
ABCC11,0.041448429,0,0.045056426,0
ABCC12,0,0.102243408,0.153212545,0
ABCC13,1.508153911,1.683237912,1.7194037,0.735500344
ABCC2,0.385800124,0.305765238,0.635220053,5.743634603
ABCC3,0.06193248,0,0.118515177,0
ABCC4,5.238607247,6.030809698,7.667283355,0.110645888
ABCC5,16.35934214,9.767238786,13.53878781,13.67343392
ABCC5-AS1,0,0.589779424,0.202508353,0
ABCC6,0,0.452341197,0.494079973,2.969627149
ABCC6P1,0,0.100001407,0.694570716,0
ABCC6P2,0,0,0.650589387,0
ABCC8,0.096928805,0,0.050527778,0
ABCC9,86.3713969,88.9685816,116.4815067,77.86769409
ABCD1,2.396733884,4.590734955,7.748520047,0
ABCD2,6.561525454,5.733527834,25.63747473,7.929001608
ABCD3,11.473226,9.067217697,21.25069023,11.56501744
ABCD4,31.22961281,25.33510926,26.0987844,20.09628583
ABCE1,12.2468509,39.17923166,41.69153805,13.1275202
ABCF1,10.45773026,41.90506102,43.21250548,17.68224439
ABCF2,29.10414612,54.5455945,39.04238637,24.78190437
ABCF3,9.909140549,35.36342028,36.02890783,40.62309846
ABCG1,40.36291892,28.68927054,45.28454051,22.35434834
ABCG2,0.084838672,0.214116233,0.168838168,0
ABCG4,0,0,0.060549876,0
ABCG5,0,0,0.107652473,0
ABCG8,0,0.241090356,0.092918121,0
ABHD1,0,2.620249355,0.353263519,8.002573432
ABHD10,25.08378935,29.71977764,26.04830625,22.6183028
ABHD11,37.43603766,32.96802889,45.53961148,27.19059351
ABHD12,0.038545444,27.81174727,27.29251628,0
ABHD12B,0.498528639,0.14139941,0.701209437,0.321947294
ABHD13,29.4236177,20.95116151,13.97062003,8.836461499
ABHD14A,20.83576629,41.69282209,60.90041238,64.4373515
ABHD14A-ACY1,0,0,0.483072716,0
ABHD14B,111.7980622,84.20179723,88.48246176,22.78219114
ABHD15,24.50872436,11.64206892,16.51711116,28.96489089
ABHD16A,79.12228007,43.51895468,70.69796458,41.46985792
ABHD16B,7.624676997,0.836514007,7.707850675,12.06136426
ABHD2,7.934243815,22.00012338,24.5222347,18.24881127
ABHD3,38.09113793,84.05992183,84.35977246,30.65797522
ABHD4,38.90255724,8.123824234,25.03994594,45.86532722
ABHD5,2.127462765,8.742123022,5.292329837,9.686305102
ABHD6,2.406345183,16.61410702,15.33815922,0
ABHD8,3.334550402,9.323082418,4.525530589,0
ABI1,62.17579285,92.26799905,119.2147893,76.37177585
ABI2,10.38593743,16.39702117,20.19689541,28.61649073
ABI3,26.19393234,18.82440406,101.9450555,241.1013651
ABI3BP,1.291091569,0.170482896,0.168151147,0.025162088
ABL1,10.25577153,9.792384455,10.31856462,10.46468727
ABL2,4.124930792,7.786259189,9.323607716,14.12807578
ABLIM1,54.91028861,53.906857,39.41413458,60.74998353
ABLIM2,0,1.050643309,0.276348399,0
ABLIM3,0,0.103516598,0.045227526,0
ABO,0,0.092121314,0.253097376,0
ABP1,0,0.176185016,0.074157763,0
ABR,22.58309509,36.83370492,32.59455277,13.75876103
ABRA,0,0.143513875,0.616996278,0.021613016
ABRACL,54.23507535,207.7220088,177.9045501,56.88581856
ABT1,47.95525271,78.43010424,80.8880459,46.79798492
ABTB1,53.29828859,50.9646378,39.07642904,159.4453435
ABTB2,0.340953554,1.190825096,1.427690982,0
ACAA1,88.08039023,101.03391,116.3370023,114.5636638
ACAA2,30.07732706,59.39105802,71.32951611,284.5124869
ACACA,5.320092038,7.889315467,7.019428354,8.191917987
ACACB,1.818726918,3.326355669,1.87722306,4.190430461
ACAD10,19.66599034,12.66883763,16.25449621,2.735938848
ACAD11,21.57507573,25.69685369,36.03070707,88.10102103
ACAD8,9.13716898,16.26332463,34.66879437,65.23614304
ACAD9,17.0449883,16.52780971,27.47788941,35.77886368
ACADL,0,0,0,0
ACADM,48.17542524,32.20838397,55.37101214,63.22042429
ACADS,11.94458267,23.86211225,33.99861045,0.122905253
ACADSB,17.29486474,24.25206278,24.45610433,18.63660403
ACADVL,75.99118378,116.582617,146.6120519,156.7574083
ACAN,0,0.207273402,0.447233392,0
ACAP1,143.4326019,192.4219336,203.8201412,166.8944248
ACAP2,22.58511959,21.51778984,29.52995298,26.8770013
ACAP3,0.494970268,1.663834852,5.758764532,0
ACAT1,45.69980264,55.66254985,26.24877968,35.95328732
ACAT2,56.76683482,43.39897163,51.18669103,144.0254246
ACBD3,2.200099835,6.453987846,13.20036629,5.172215431
ACBD4,11.15477418,18.66843391,21.87778584,28.28382574
ACBD5,12.61733773,20.18996429,25.31296555,9.225405898
ACBD6,38.04568109,39.99216641,47.04269102,9.659549553
ACBD7,31.57959101,38.34215138,40.65960637,29.3175646
ACCS,19.94174318,15.82754416,11.01982463,1.340968516
ACCSL,0,0.097393966,0.109590566,0
ACD,21.55595065,20.21808854,29.05202517,8.25459738
ACE,0.03790114,1.444029284,0.406872935,0
ACE2,0,0,0.210103516,0
ACER1,0,5.327248818,1.697090917,0
ACER2,4.680733793,8.089580065,0.570685292,0
ACER3,0.647207094,0.587666432,4.072505721,6.690313605
ACHE,0,0,0.393482643,0
ACIN1,23.50635918,33.74984915,37.38932218,15.11577951
ACLY,34.07499256,58.38906334,83.03579281,111.3127901
ACMSD,0.046448345,0.137880313,0.045574646,0.26129803
ACN9,6.187791437,11.6958768,16.66275254,5.088329057
ACO1,6.862859074,1.966052817,4.81239333,7.4941677
ACO2,122.6363796,56.38622151,86.40503264,35.41617274
ACOT1,0,3.907380104,4.505025232,8.599843326
ACOT11,0.074350716,0.877133623,0.113475381,0.072259445
ACOT12,0,0,0,0
ACOT13,20.34941982,21.22510996,19.85706065,4.933069449
ACOT2,11.52653599,14.52811642,29.87279014,64.79103971
ACOT4,2.512229914,13.78967185,6.669723613,43.5462112
ACOT6,0,0,0,0
ACOT7,10.52872865,59.4203359,43.41695025,38.89358328
ACOT8,50.74835066,42.30774404,51.83395333,0
ACOT9,41.61179177,69.97693477,46.76660648,17.18412882
ACOX1,10.31206062,11.23158565,16.21438824,4.77212148
ACOX2,0.552554924,0.11120703,0.08583137,0
ACOX3,14.40098983,15.36646072,23.0931949,4.185261607
ACOXL,0.315146492,0,0.096653586,0
ACP1,60.81490272,83.75815601,117.9909215,200.2953009
ACP2,5.491846196,24.30637477,30.03630513,1.948749745
ACP5,315.0231441,204.4228682,146.0824938,74.74951742
ACP6,10.81867738,4.139723209,17.69172576,0
ACPL2,0.08080071,2.634393102,14.73168865,47.23153058
ACPP,0.510457376,0.781469062,0.532462335,0.435816506
ACPT,0,0.466959959,0.098607709,0
ACR,0,0,0.084163059,0
ACRBP,2.486956032,0.448679062,2.218601474,0
ACRC,8.292361852,2.707446578,3.138383745,0
ACRV1,0,0,1.382166122,0
ACSBG1,0,0.064052772,0.366864975,0
ACSBG2,1.840788618,0,0.10664359,0
ACSF2,12.4444717,9.754808015,11.70470901,0
ACSF3,39.58961496,26.09828724,17.80189898,33.03073352
ACSL1,30.42730609,2.823424094,21.74527517,8.858530887
ACSL3,19.70557057,12.69293179,21.59876439,6.782588563
ACSL4,8.609711789,20.7399392,32.30099224,5.927847109
ACSL5,46.28426948,61.92928521,110.4057668,52.45936199
ACSL6,2.610484969,7.715846724,9.177147773,6.555628352
ACSM1,0.476109295,0.012969989,0.04942189,0
ACSM2A,0,0.062303386,0.117225593,0
ACSM2B,0,0,0.035630663,0
ACSM3,1.435544367,11.10738361,3.540084046,0.785199644
ACSM4,0.347577229,0,0.194770343,0
ACSM5,0.643827696,0.08848537,0.244022704,0
ACSS1,54.94810036,13.70753294,20.82176167,5.637526106
ACSS2,0,12.66689726,0.484156194,0
ACSS3,0.150314319,0.375390642,0.757313006,0.381300522
ACTA1,0.025483577,0.292059941,0.294626684,0
ACTA2,15.7086187,41.62228397,78.76228325,10.96765015
ACTB,6780.707161,10631.28946,11849.16083,13484.78289
ACTBL2,0.132734267,0.025096634,0.021156514,0.336779115
ACTC1,0.064188155,0.354437433,0.384025858,0
ACTG1,2247.26532,3200.535816,3392.754688,4312.905368
ACTG1P4,0.301275304,1.161752582,1.891816111,0.424875688
ACTG2,0.031449295,8.423169736,0.215657616,1.199723349
ACTL10,8.811898134,0.053757209,2.141363629,0
ACTL6A,115.0418234,41.32331243,83.62591518,49.87779034
ACTL6B,0,0.018666413,0.002430267,0
ACTL7A,0,0.17502541,0.208145395,0
ACTL7B,0,0,0,0
ACTL8,0.758184719,0.140179296,0.887980276,0
ACTL9,0,0.549154272,0.004010099,0
ACTN1,2.114580152,26.18164829,9.487968461,20.25665464
ACTN1-AS1,0,0,0.079031851,0
ACTN2,0,0.141795205,0.042475718,0
