,Samp242,Samp354,Samp401,Samp402,Samp404,Samp405,Samp409,Samp416,Samp418,Samp419,Samp421,Samp424,Samp427,Samp435,Samp439,Samp441
Gnai3,4556,4053,1130,3732,1108,3536,1290,3747,4648,1263,4372,3893,3707,3247,2699,4033
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,960.979,1151.603,32.802,971.58,54.003,942.999,51.869,872.129,899.025,37,1000.002,1111.768,726.01,855.836,573.034,1020
H19,53282.665,119207.145,68.001,51756.729,116,12563.843,135,67096.619,41625.608,63,37422.887,76089.63,19144.501,49693.123,28357.917,44990.97
Scml2,653.999,931.001,44,551,78,329,36.999,562.001,544,57,565.998,612,412,380.999,334,499.001
Apoh,7,10,5,9,12,9,3,0,7,8,7,6,10,8,4,11
Narf,1257,1167,1355.999,1094,1343,1054.999,1634.001,1226,1011,1452.001,1138,997,1252.999,1121,1282.999,812
Cav2,6669,3535,1222,2384,1141.001,2552,1132,2937,4333,1191,4840,2547,4557,4216,2006.001,3820
Klf6,2752.999,2917.001,1386,2928,1459,3325.001,1593.999,3024,4857.999,1390,2769,3125.999,3220,2760.999,2332,3459
Scmh1,735.009,652.836,905,718.314,1203.998,850.078,1095.982,767.968,1005.991,1195.005,614.001,751.891,763.95,840.097,878.965,668.123
Cox5a,2367.201,2364.257,2357.811,2475.113,2622.246,3333.232,2729.235,2633.748,2565.663,2431.944,2255.356,3033.819,2525.179,2704.678,2590.526,2747.264
Tbx2,361,267,65,218,62,222,74,243,516,68,352,391,258,219,245,232
Tbx4,452,377,7,447,6,348,4,311,682,8,457,376,325,317,275,355
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,1888.883,1458.049,122.422,2574.325,109.169,2488.917,124.613,1536.264,2617.661,106.1,2447.237,2657.312,1601.989,923.554,1973.182,1962.808
Wnt3,20,13,97,12,97,55,96,10,34,63,5,27,36,48,70,9
Wnt9a,71,40,283,71,253,73,283,113,59,325,59,61,201,192,109,59
Fer,451,484.001,398,404,434,424,437,480,410,449,530,352,457,429,450,428
Xpo6,3120.028,3781.799,2293.272,3414.696,2725.732,2804.205,2801.032,3578.789,3022.643,2796.312,3424.004,3536.423,3422.926,3031.306,3226.617,3280.549
Tfe3,1123.001,823.002,808,1126,1000,1359,866.006,1023,1750.999,1017.001,1179.001,1047.998,1298.999,1270,1154.009,1183
Axin2,454.999,456.704,690.811,419,753.857,418.862,807.001,422.999,445.928,797.913,298.91,442.801,556.001,592.758,608.402,452.86
Brat1,1064,1125.001,448.999,1114,557,975,498,998.001,1212,525.999,1042,1100.999,996.999,994,884,1107
Gna12,3999.329,4336.552,3173.074,3886.754,3366.552,4307.404,3660.546,4155.979,5232.29,3199.765,3993.224,4861.51,4232.354,4220.7,4551.005,3414.113
Slc22a18,38,15,20,36,22,43,12,18,67,12,32,38,38,21,26,13
Itgb2l,0,1,1,2,0,1,2,1,1,0,2,0,1,1,2,2
Igsf5,10,2.078,10,15,7.705,12,6,8.105,11,4,8.832,8,7,8,8,17
Pih1d2,41.008,50.059,40.187,51.372,42.177,43.602,31.688,34.006,32.299,46.54,49.857,59.149,45.756,37.179,40.292,34.29
Dlat,2970,2763,3112.001,2710.001,3108,2718.999,3515.001,2975,2631,2987,2808,2909,2721.001,2767,3004.001,2751.001
Sdhd,2436,2609,1329,2455,1467,2729,1600,2463,2536,1432,2359,2920,2338,2570,2134,2455
Fgf23,3,0,4,0,9,4,8,0,2,11,0,0,2,2,4,3
Fgf6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Ccnd2,5966.754,5996.09,2076.554,6809.382,2129.8,4796.236,2440.385,6169.489,5563.55,2331.662,6102.755,6655.847,5471.39,4783.534,5305.473,5756.364
Gpr107,2127.114,2559.756,1345.915,2422.405,1599.111,2309.212,1699.716,2526.196,2731.331,1553.82,2404.768,2773.947,2278.519,2106.955,2219.152,2213.078
Nalcn,737.182,815.3,3923.108,1180.28,3795.017,1578.175,4385.095,1564.069,1027.001,3593.849,615.887,890,1235,1614.055,2174.643,1108.748
Btbd17,103.999,43,653.001,94.999,625.001,175.999,662,93.999,171.999,622,67,71,143.001,206,236,58.999
