Gene_ID,treat_none_242,ctrl_ctrl_354,treat_responder_401,treat_none_402,treat_responder_404,treat_none_405,treat_responder_409,ctrl_ctrl_416,treat_none_418,treat_responder_419,treat_none_421,treat_none_424,ctrl_ctrl_427,treat_none_435,treat_none_439,ctrl_ctrl_441
 H19,53283,119207,68,51757,116,12564,135,67097,41626,63,37423,76090,19145,49693,28358,44991
 DCAF8L,9392,10233,13,6662,22,5318,21,7213,7994,10,6386,9657,6257,7433,3761,8139
 GM15459,25658,34376,63,30836,93,20545,184,28550,18614,45,29411,31200,23978,16978,20870,28570
 RPS3A2,4432,3989,0,3447,3,4150,54,3087,4795,0,3700,4463,3848,3715,2042,4080
 AI506816,85733,75389,258,58276,336,47305,330,59446,93554,242,58563,88242,60179,68176,38844,70571
 CAR6,4460,2689,6,3679,10,5197,12,2786,7038,2,4066,3759,2908,2515,1786,2633
 GPNMB,39668,37110,175,51035,271,43950,199,38428,88671,143,30162,38643,36155,50756,27148,32277
 GM12250,2679,10053,17,7538,16,3959,15,6228,1694,8,4591,4305,4390,3668,5147,6266
 CXCL10,2990,8419,16,7823,14,4142,18,6172,2167,21,5229,6930,7701,2755,5706,6209
 TOP2A,19174,26293,63,21171,85,14769,119,18802,13295,67,20958,19322,13946,15264,11636,20029
 COL2A1,54535,21535,74,13845,135,9206,168,26005,25442,101,27527,32134,30970,13501,12959,13897
 APOL9A,4231,5868,8,5861,22,3355,28,5033,3452,17,5622,6383,4928,2617,3663,4618
 CDK1,4937,4319,12,3629,21,4252,21,3328,3796,11,4194,4180,3336,3826,2144,4124
 XLR3C,2156,2376,2,1604,4,1629,2,1599,2247,2,1885,2279,1442,1505,1082,1979
 CDKN2A,3344,2400,5,2781,14,4092,13,2277,4370,12,3211,2912,2671,3033,1821,2940
 HAS2,7331,3590,19,3757,25,4128,30,2775,4924,18,5922,3278,8775,2784,2502,6319
 TGTP1,5907,18698,70,15176,73,9290,83,13467,3643,50,10553,12175,10400,7620,10900,13153
 MOXD1,44563,56291,241,42966,383,30940,342,42647,72532,292,38686,48217,29192,43054,29545,44897
 ZBP1,2813,4990,15,4482,24,3206,18,4089,2408,15,4236,4952,4049,2633,3429,3936
 LGALS3,6600,3962,23,6294,37,8373,58,4915,7652,31,8882,6571,6962,4082,4305,4781
 OAS3,1989,5255,12,4872,16,1949,21,4312,2286,16,4078,5277,3018,1544,3420,2990
 CCNB1,4203,3619,9,3060,21,3354,12,2747,3360,16,3686,2972,2411,2894,1675,3233
 IFI211,1024,2011,8,3138,0,1952,17,2538,1251,1,1972,2015,2200,1268,2059,1684
 GM5641,4665,4037,0,4179,235,5191,0,4359,5292,186,4156,4160,3453,3997,3040,4685
 HMGA2,4332,4649,28,5583,25,4729,32,4285,6020,26,5005,5962,3768,3610,3615,5000
 CDC20,6497,4965,26,4500,34,5953,39,4125,6248,25,5515,5304,4116,4809,2975,5166
 AI662270,4022,5830,24,3513,12,3175,26,3960,2637,26,3468,6140,3400,3517,2456,4376
 IFI47,3485,12279,52,9246,36,6009,60,7979,2764,44,6337,6693,6829,4871,7364,8155
 GBP10,719,3419,18,6419,9,3768,11,2687,1453,15,1731,1146,3211,1847,3859,2722
 TTR,1972,1634,11045,1894,10490,15,11852,107,3922,9657,1252,4331,8707,5215,4754,4
 SLFN4,1357,2130,5,2187,3,1081,8,2005,2125,4,2298,1873,1845,1046,1361,1577
 COL9A1,12169,5362,20,1906,31,1814,39,4057,4586,17,3803,3519,4569,4559,1053,3180
 UBE2C,3648,3229,16,3185,20,4120,22,2662,3477,19,3839,3764,2722,3477,1933,3590
 GM43970,4560,3844,12,2814,10,2279,26,2810,1693,22,3776,2951,4043,2587,1646,2832
 GM14288,545,784,881,9,486,0,821,692,321,0,603,0,0,0,0,0
 APOL9B,2564,3551,11,3478,17,2096,29,3003,2785,11,3558,4247,2688,1528,2378,2825
 GM47761,11302,14812,52,11184,92,5761,59,10340,7381,92,10865,7657,7096,7086,5460,9835
 ULBP1,2287,3972,11,2376,8,1339,13,2107,2310,8,2589,3337,1431,1227,1260,2016
