astrocytes,endothelial,microglia,neurons,oligodendrocyte,oligo-precursor
AQP4,SLCO1A2,CTSS,RELN,PLP1,PDGFRA
PLA2G7,LY6C1,CSF1R,VIP,MOBP,NEU4
GJA1,FLT1,CCL4,GAD2,MBP,GPR17
SLC4A4,ADGRL4,C1QB,DLX6OS1,MOG,TNR
GJB6,TEK,CX3CR1,NPY,CLDN11,MATN4
SLC1A3,CD93,CCL3,GAD1,UGT8,PCDH15
FGFR3,LY6A,P2RY12,IGF1,ERMN,LHFPL3
F3,CTLA2A,FCRLS,HTR3A,MAG,GJC3
ALDH1L1,PTPRB,FCGR2A,PENK,MAL,SHC4
DIO2,SLC38A5,LAPTM5,SST,OPALIN,OLIG1
ACSBG1,FN1,GPR34,SYNPR,CNP,TMEM255B
SLC39A12,ITM2A,TYROBP,SNHG11,ENPP6,UGT8
CLDN10,ADGRF5,SELPLG,TMEM130,FA2H,MYT1
CHRDL1,EMCN,C1QC,DLX1,GJB1,DCN
NTSR2,ABCB1,P2RY13,SCG2,GJC3,SOX10
FABP7,ESAM,C1QA,TAC3,ASPA,VCAN
PTPRZ1,NOSTRIN,ITGAM,PNOC,TMEM88B,RLBP1
PPP1R3C,APOLD1,RGS1,ADARB2,GSN,SEMA3D
ALDOC,ICAM2,TMEM119,SYT1,GPR37,PNLIP
CBS,CYYR1,TREM2,SLC17A6,APOD,NXPH1
SLC1A2,RGS5,SIGLEC7,GABRG2,TSPAN2,RNF43
SLC14A1,SLC22A8,CD53,NELL1,MYRF,BCAS1
PPAP2B,CDH5,LY86,VSTM2A,PTGDS,C8ORF46
MLC1,TM4SF1,PLD4,CALB2,PLEKHB1,CSPG4
ATP13A4,OCLN,GPR183,USP29,BCAS1,C14ORF37
BMPR1B,KDR,IL1A,CNTNAP2,LPAR1,SUSD5
PLCD4,CA4,CD14,CNR1,ENPP2,SULF2
SOX9,EGFL7,NCKAP1L,NYAP2,CRYAB,CNTN1
GPR37L1,HMCN1,FCER1G,PCSK1,TMEM125,CACNG4
GRM3,KITL,CCL15-CCL14,KIAA1324,KCNA1,SLC6A13
LCAT,PLTP,MPEG1,ATP1A3,TMEFF2,CHRNA4
CLU,CLDN5,CD83,FSTL5,CMTM5,DSCAM
GFAP,GIMAP6,C3AR1,KCNC2,2810468N07RIK,PTPRZ1
ACSL6,CCDC141,PLEK,STMN2,1700047M11RIK,LUM
SLC25A18,SLC16A4,CD68,CACNA2D1,TF,BRINP3
ITIH3,SLC19A3,NCF1,SNAP25,ERBB3,APOD
SLC6A11,SLCO1C1,CD86,RESP18,LGI3,PRKCQ
GLI3,PECAM1,HEXB,SLC2A13,PDLIM2,PLLP
GM3764,PALMD,PTAFR,SYT4,KLK6,LPPR1
EDNRB,PGLYRP1,ADGRE1,ROBO2,CNTN2,EMID1
SLCO1C1,SRGN,CCL12,NRXN3,S1PR5,GM11650
RFX4,PODXL,FCGR1A,GAP43,TUBB4A,OLIG2
SLC15A2,MECOM,SLC2A5,NRIP3,NIPAL4,EDNRB
NWD1,SDPR,IL10RA,NRN1,SEPT4,ERBB3
RORB,C16ORF89,LYZ,SP8,KNDC1,ACAN
ATP1A2,CD34,GPR84,RGS8,GAL3ST1,ADAMTSL3
EGFR,HBB,RNASE4,SPHKAP,ANLN,SCRG1
SDC4,ERG,TNF,GRIA1,ADAMTS4,CHST6
KIAA1161,HMGCS2,CSF3R,NDRG4,CA14,GAL3ST1
NCAN,TMEM252,CCR2,CLSTN2,SOX10,STK32A
2900052N01RIK,MMRN2,C5AR1,NSG2,GJC2,GRIA3
LGR6,IGFBP7,AIF1,CACNA2D3,GM15440,SOX6
SLC7A11,PTRF,OLFML3,NAP1L2,TNFAIP6,DPYD
MFGE8,FAM101B,VAV1,RAB3C,PLLP,LPPR5
PHKG1,MYCT1,LPCAT2,C11ORF87,MAP6D1,DBPHT2
SLC7A10,CGNL1,CCRL2,BCL11A,PEX5L,LRRTM3
BCAN,SHE,SUSD3,KCNB2,EFNB3,ZNF488
S1PR1,ACVRL1,ALOX5AP,DISP2,STMN4,ABCA6
GABRG1,C10ORF10,IRF8,L1CAM,CA2,SULF1
ARHGEF26,PDGFD,HPGDS,DYNC1I1,PRKCQ,ANKS1B
ID4,SOX7,BLNK,INA,NDRG1,C1QL1
GLDC,ANXA2,4632428N05RIK,KCNH7,NFASC,COL3A1
ENTPD2,CLIC5,FERMT3,CRMP1,GALNT6,TMEM132B
KIAA2012,ANXA3,AF251705,GABRA1,SMCO3,CCNB1
PAX6,WFDC1,HK2,NDNF,ITGB4,LAD1
