,Leading_edge,cellular_tumor,Pseudopalisading_cells,Microvascular_prolif,infiltrating_tumor
VSNL1,1,0,0,0,0
CCK,1,0,0,0,0
SNAP25,1,0,0,0,0
GJB6,1,0,0,0,0
CRYM,1,0,0,0,0
GABRA1,1,0,0,0,0
GNG3,1,0,0,0,0
NEFL,1,0,0,0,0
SYNPR,1,0,0,0,0
SYT1,1,0,0,0,0
GABRG2,1,0,0,0,0
NEFM,1,0,0,0,0
SLC17A7,1,0,0,0,0
SYN2,1,0,0,0,0
KCNK1,1,0,0,0,0
GABRB2,1,0,0,0,0
KRT222,1,0,0,0,0
STMN2,1,0,0,0,0
TAGLN3,1,0,0,0,0
MAL2,1,0,0,0,0
RGS4,1,0,0,0,0
SNAP91,1,0,0,0,0
SH3GL2,1,0,0,0,0
CREG2,1,0,0,0,0
SNCG,1,0,0,0,0
CAMK2A,1,0,0,0,0
C9orf24,1,0,0,0,0
BCYRN1,1,0,0,0,0
PCP4,1,0,0,0,0
AGXT2L1,1,0,0,0,0
SPOCK3,1,0,0,0,0
SYT4,1,0,0,0,0
KCNC2,1,0,0,0,0
NAP1L2,1,0,0,0,0
PVALB,1,0,0,0,0
SNCA,1,0,0,0,0
SULT4A1,1,0,0,0,0
CARTPT,1,0,0,0,0
TAC1,1,0,0,0,0
VIP,1,0,0,0,0
CHN1,1,0,0,0,0
NAPB,1,0,0,0,0
AK5,1,0,0,0,0
WIF1,1,0,0,0,0
RTN1,1,0,0,0,0
RBFOX1,1,0,0,0,0
SERPINI1,1,0,0,0,0
GDA,1,0,0,0,0
HTR2A,1,0,0,0,0
GABRA2,1,0,0,0,0
TRNF,1,0,0,0,0
CDR1,1,0,0,0,0
CELF4,1,0,0,0,0
OLFM1,1,0,0,0,0
FGF13,1,0,0,0,0
ELAVL2,1,0,0,0,0
SST,1,0,0,0,0
GABRA5,1,0,0,0,0
MAP7D2,1,0,0,0,0
TMEM130,1,0,0,0,0
ARHGDIG,1,0,0,0,0
SLC39A12,1,0,0,0,0
CA11,1,0,0,0,0
PRKCB,1,0,0,0,0
NEGR1,1,0,0,0,0
TRNL1,1,0,0,0,0
TRNM,1,0,0,0,0
PPP1R1B,1,0,0,0,0
MBP,1,0,0,0,0
OLFM3,1,0,0,0,0
FAM19A2,1,0,0,0,0
HPCA,1,0,0,0,0
PHYHIP,1,0,0,0,0
TPD52L1,1,0,0,0,0
NECAB1,1,0,0,0,0
ATP6V1G2,1,0,0,0,0
TRNG,1,0,0,0,0
ARPP21,1,0,0,0,0
CPNE6,1,0,0,0,0
KIAA1107,1,0,0,0,0
NPY,1,0,0,0,0
HPCAL4,1,0,0,0,0
GABRG1,1,0,0,0,0
TUBA4A,1,0,0,0,0
CTXN3,1,0,0,0,0
RAB3A,1,0,0,0,0
SLITRK4,1,0,0,0,0
DIRAS2,1,0,0,0,0
SLC4A10,1,0,0,0,0
C11orf87,1,0,0,0,0
FBXL16,1,0,0,0,0
RBP4,1,0,0,0,0
SNCB,1,0,0,0,0
BEX5,1,0,0,0,0
GABRA4,1,0,0,0,0
SH3GL3,1,0,0,0,0
RUNDC3A,1,0,0,0,0
SLC26A4-AS1,1,0,0,0,0
ZNF365,1,0,0,0,0
SOWAHA,1,0,0,0,0
AQP1,0,1,0,0,0
BCAN,0,1,0,0,0
GAS1,0,1,0,0,0
UHRF1,0,1,0,0,0
OLIG1,0,1,0,0,0
SNORA11D,0,1,0,0,0
HES6,0,1,0,0,0
OLIG2,0,1,0,0,0
HIST1H1B,0,1,0,0,0
NUSAP1,0,1,0,0,0
TOP2A,0,1,0,0,0
UBE2C,0,1,0,0,0
ESCO2,0,1,0,0,0
NKAIN4,0,1,0,0,0
SOX8,0,1,0,0,0
FAM181B,0,1,0,0,0
PPP1R1C,0,1,0,0,0
TTYH1,0,1,0,0,0
PTPRZ1,0,1,0,0,0
CENPF,0,1,0,0,0
CRISPLD1,0,1,0,0,0
KCNQ2,0,1,0,0,0
ASCL1,0,1,0,0,0
LRRN1,0,1,0,0,0
HOXA7,0,1,0,0,0
PBK,0,1,0,0,0
BCHE,0,1,0,0,0
NMB,0,1,0,0,0
SOX2,0,1,0,0,0
NLGN3,0,1,0,0,0
MEOX2,0,1,0,0,0
PCDHGC3,0,1,0,0,0
NOVA1,0,1,0,0,0
METTL7B,0,1,0,0,0
NES,0,1,0,0,0
CA14,0,1,0,0,0
ETV1,0,1,0,0,0
KIF15,0,1,0,0,0
PTN,0,1,0,0,0
CENPK,0,1,0,0,0
HIST1H2AM,0,1,0,0,0
C21orf62,0,1,0,0,0
LPL,0,1,0,0,0
METRN,0,1,0,0,0
LHFPL3,0,1,0,0,0
ASPM,0,1,0,0,0
KIAA0101,0,1,0,0,0
FAM64A,0,1,0,0,0
DSEL,0,1,0,0,0
MLF1IP,0,1,0,0,0
HIST1H2AH,0,1,0,0,0
NCAN,0,1,0,0,0
NUF2,0,1,0,0,0
NDC80,0,1,0,0,0
C8orf56,0,1,0,0,0
CDCA3,0,1,0,0,0
HIST1H3B,0,1,0,0,0
TPX2,0,1,0,0,0
SOX2-OT,0,1,0,0,0
DDR1,0,1,0,0,0
PGAM2,0,1,0,0,0
PTTG1,0,1,0,0,0
SERPINA3,0,1,0,0,0
LFNG,0,1,0,0,0
FIBIN,0,1,0,0,0
SAPCD2,0,1,0,0,0
SOX11,0,1,0,0,0
CCNB2,0,1,0,0,0
SEMA6A,0,1,0,0,0
RRM2,0,1,0,0,0
SCARNA22,0,1,0,0,0
ASF1B,0,1,0,0,0
CENPE,0,1,0,0,0
DLL3,0,1,0,0,0
CENPM,0,1,0,0,0
FADS2,0,1,0,0,0
LOC100499467,0,1,0,0,0
RNASEH2A,0,1,0,0,0
KIF2C,0,1,0,0,0
SGOL1,0,1,0,0,0
ID3,0,1,0,0,0
EZH2,0,1,0,0,0
TSC22D4,0,1,0,0,0
OIP5,0,1,0,0,0
ID4,0,1,0,0,0
CKAP2L,0,1,0,0,0
RFX4,0,1,0,0,0
POU3F2,0,1,0,0,0
TACC3,0,1,0,0,0
BBOX1,0,1,0,0,0
MEX3A,0,1,0,0,0
BUB1,0,1,0,0,0
SHOX2,0,1,0,0,0
CSPG5,0,1,0,0,0
MSI1,0,1,0,0,0
NCAPG,0,1,0,0,0
LOC100505481,0,1,0,0,0
DHFR,0,1,0,0,0
CDC20,0,1,0,0,0
CHST9,0,1,0,0,0
IL8,0,0,1,0,0
VEGFA,0,0,1,0,0
HILPDA,0,0,1,0,0
ADM,0,0,1,0,0
CA12,0,0,1,0,0
CA9,0,0,1,0,0
LOX,0,0,1,0,0
NDRG1,0,0,1,0,0
HK2,0,0,1,0,0
LOC100509105,0,0,1,0,0
C15orf48,0,0,1,0,0
TREM1,0,0,1,0,0
ANGPTL4,0,0,1,0,0
ZNF395,0,0,1,0,0
ANKRD37,0,0,1,0,0
CCL20,0,0,1,0,0
FAM180A,0,0,1,0,0
PLIN2,0,0,1,0,0
C4orf6,0,0,1,0,0
IGFBP5,0,0,1,0,0
PTX3,0,0,1,0,0
MT1H,0,0,1,0,0
EGLN3,0,0,1,0,0
SLAMF9,0,0,1,0,0
BIRC3,0,0,1,0,0
PLOD2,0,0,1,0,0
SERPINE1,0,0,1,0,0
CAV1,0,0,1,0,0
CHI3L1,0,0,1,0,0
TMEM45A,0,0,1,0,0
ATF3,0,0,1,0,0
DDIT3,0,0,1,0,0
SPAG4,0,0,1,0,0
SLC2A3,0,0,1,0,0
ARRDC3,0,0,1,0,0
SLC2A1,0,0,1,0,0
ERO1L,0,0,1,0,0
RNASE4,0,0,1,0,0
ANG,0,0,1,0,0
MT1X,0,0,1,0,0
LOC100653010,0,0,1,0,0
LGALS3,0,0,1,0,0
SLPI,0,0,1,0,0
SLC39A14,0,0,1,0,0
