Gene Name,tumor-mcf7,cafs-hs,normal_breast,lymphocytes
DDX11L1,0,0,0,0
WASH7P,0,3,1,2
MIR6859-1,1,0,1,3
MIR1302-2HG,0,0,0,0
MIR1302-2,0,0,0,0
FAM138A,0,0,0,0
AL627309.6,0,0,0,0
OR4G11P,0,0,0,0
OR4F5,0,0,0,0
AL627309.1,0,0,0,0
AL627309.3,0,0,0,0
CICP27,1,1,1,1
AL627309.7,38,12,40,31
AL627309.8,30,10,31,33
AL627309.2,0,0,0,0
AL627309.5,5,2,17,5
RNU6-1100P,0,0,0,0
AL627309.4,0,0,0,0
FO538757.2,0,0,0,0
FO538757.1,41,18,41,29
MIR6859-2,0,0,0,0
AP006222.1,3,0,2,1
RPL23AP24,0,0,0,0
AL732372.1,0,0,3,6
AL732372.2,26,9,20,20
WBP1LP7,0,0,0,0
OR4F29,0,0,0,0
CICP7,0,0,0,0
AL732372.3,0,0,0,0
U6,8,0,9,4
AL669831.3,4,0,4,5
AC114498.1,0,0,0,0
MTND1P23,1,1,112,55
MTND2P28,1873,589,2028,1469
MTCO1P12,1029,483,1338,826
MIR6723,0,0,0,0
MTCO2P12,23,1,20,14
MTATP8P1,0,0,0,0
MTATP6P1,7131,2368,8438,5721
MTCO3P12,2,3,9,5
WBP1LP6,0,0,0,0
OR4F16,0,0,0,0
CICP3,1,0,1,2
AL669831.1,47,19,57,42
RNU6-1199P,0,0,0,0
AL669831.2,0,0,0,0
AL669831.5,26,3,23,23
AL669831.4,2,1,4,4
FAM87B,5,3,3,1
LINC01128,151,121,199,139
LINC00115,7,5,11,8
FAM41C,0,0,0,0
TUBB8P11,0,0,0,0
AL669831.6,0,0,0,0
AL645608.7,6,0,11,5
AL645608.3,32,1,44,33
AL645608.5,0,0,0,1
AL645608.1,957,0,976,711
SAMD11,902,8,934,691
NOC2L,4768,2726,5288,3866
KLHL17,859,265,935,686
PLEKHN1,267,180,319,248
PERM1,71,35,104,53
AL645608.8,208,11,177,146
HES4,855,66,1034,804
ISG15,955,87,1004,722
AL645608.4,1,0,2,2
AL645608.2,1,2,3,4
AGRN,16467,11130,17903,14242
AL645608.6,0,0,0,0
AL390719.1,368,93,339,264
AL645608.9,41,17,26,16
RNF223,1026,3,1000,714
C1orf159,805,195,936,661
LINC01342,3,0,10,2
MIR200B,11,0,10,6
MIR200A,5,0,9,5
MIR429,20,0,14,13
AL390719.2,138,0,130,92
TTLL10-AS1,3,0,2,1
TTLL10,9,0,6,7
TNFRSF18,64,0,87,60
TNFRSF4,1,3,34,12
SDF4,4683,2052,5584,4019
B3GALT6,782,342,965,648
C1QTNF12,24,20,21,11
AL162741.1,5,4,3,3
UBE2J2,1671,888,1884,1387
LINC01786,8,1,8,13
SCNN1D,93,31,104,72
ACAP3,3323,619,3576,2568
MIR6726,0,0,1,0
PUSL1,607,148,653,486
INTS11,2589,1749,2847,2195
MIR6727,0,0,0,0
AL139287.1,82,17,103,72
CPTP,946,402,1009,755
TAS1R3,44,3,35,17
DVL1,2094,1982,2493,1913
MIR6808,0,0,0,0
MXRA8,117,39,513,294
AURKAIP1,3287,1137,3382,2579
NDUFB4P8,0,1,1,5
CCNL2,4975,2371,5504,4083
AL391244.1,629,227,688,482
MRPL20,1757,679,1968,1452
RN7SL657P,0,0,0,0
AL391244.3,126,20,103,93
ANKRD65,4,22,7,4
AL391244.2,0,0,0,0
TMEM88B,0,0,0,0
LINC01770,8,0,2,1
VWA1,905,8,1017,706
ATAD3C,30,8,54,32
ATAD3B,851,579,966,758
AL645728.2,1,0,7,2
ATAD3A,1165,897,1359,1105
TMEM240,9,7,11,8
SSU72,3204,1677,3675,2625
AL645728.1,22,4,20,12
AL691432.3,0,0,0,0
FNDC10,1789,1,1891,1325
AL691432.2,232,40,206,152
MIB2,835,435,1061,731
MMP23B,5,0,5,6
CDK11B,873,434,1062,759
FO704657.1,1,0,1,0
SLC35E2B,2175,706,2371,1697
AL691432.1,29,18,47,31
MMP23A,2,0,3,0
CDK11A,123,25,104,88
AL031282.2,85,13,91,52
AL031282.1,103,62,141,95
SLC35E2,132,21,145,101
NADK,2468,847,2969,2098
GNB1,10999,7936,13078,9574
AL109917.1,1,1,6,3
CALML6,29,0,35,15
TMEM52,123,4,155,100
CFAP74,4,0,4,8
AL391845.2,1,0,0,0
GABRD,116,0,127,95
AL391845.1,0,0,3,1
PRKCZ,766,115,784,541
AL590822.2,2,1,2,5
PRKCZ-AS1,65,14,53,43
FAAP20,857,367,896,729
AL590822.1,0,0,0,0
SKI,1843,1779,2350,1770
MORN1,191,69,241,167
AL589739.1,1,0,2,0
AL513477.1,20,9,30,33
AL513477.2,8,1,4,4
RER1,2533,1828,3030,2222
PEX10,613,273,704,524
PLCH2,25,298,63,59
AL139246.1,0,0,0,0
AL139246.4,0,0,0,0
PANK4,323,130,351,258
HES5,0,0,0,0
AL139246.5,0,0,0,0
TNFRSF14-AS1,0,1,0,0
TNFRSF14,1,17,12,3
AL139246.2,0,0,0,0
AL139246.3,0,0,0,0
FAM213B,283,67,255,157
MMEL1,14,0,15,8
AL831784.1,0,0,0,0
TTC34,0,0,0,0
AC242022.1,0,0,0,0
AL592464.2,0,0,0,0
AL592464.1,0,0,0,0
AL589702.1,0,0,0,0
ACTRT2,0,0,0,0
LINC00982,21,0,26,17
PRDM16,288,1,289,212
MIR4251,0,0,0,0
AL008733.1,2,0,2,0
AL512383.1,0,0,0,0
AL590438.1,0,0,0,0
ARHGEF16,1847,114,1813,1289
AL512413.1,0,0,5,2
MEGF6,1317,594,1349,1058
MIR551A,0,0,0,0
AL513320.1,4,1,1,3
TPRG1L,1211,644,1319,944
WRAP73,1077,279,1120,837
TP73,311,240,385,299
AL136528.1,3,2,2,0
AL136528.2,1,0,0,0
TP73-AS1,0,404,48,64
CCDC27,7,0,9,4
SMIM1,75,8,71,70
LRRC47,1605,989,1980,1425
RN7SL574P,1,0,1,1
AL365330.1,10,11,18,7
CEP104,1131,779,1404,975
DFFB,230,150,220,189
C1orf174,726,381,728,568
LINC01134,2,2,6,10
LINC01346,0,0,2,0
LINC01345,3,0,3,1
AL805961.1,0,0,1,0
AL805961.2,0,0,0,0
EEF1DP6,0,0,0,0
LINC01777,0,0,12,4
AL355602.1,0,0,0,0
Z98747.1,0,0,0,0
LINC01646,0,0,0,0
AJAP1,11,291,45,42
BX005132.2,0,0,0,0
BX005132.1,0,0,0,0
AL691497.1,0,0,0,0
AL139823.1,0,0,0,0
Z98259.3,0,0,0,0
Z98259.2,0,0,0,0
Z98259.1,0,0,0,0
Z97988.1,0,0,0,0
AL365255.1,0,0,0,0
MIR4417,0,0,0,0
MIR4689,0,0,0,0
NPHP4,656,382,853,583
KCNAB2,396,225,685,445
CHD5,480,2,538,355
RPL22,3936,2981,4622,3324
AL031847.1,2,1,7,3
RNF207,290,44,309,197
ICMT,4428,2462,5141,3735
LINC00337,70,0,73,43
HES3,0,0,0,0
GPR153,804,411,995,752
ACOT7,2062,1786,2287,1719
AL031848.2,0,0,0,0
HES2,284,475,365,347
ESPN,1520,6,1616,1197
MIR4252,0,0,0,0
AL031848.1,17,0,20,12
TNFRSF25,340,455,411,323
PLEKHG5,769,1820,979,830
NOL9,580,356,691,524
RNU6-731P,0,0,0,0
AL591866.1,2,0,6,5
TAS1R1,1,2,42,22
ZBTB48,379,201,510,395
KLHL21,1001,1146,1322,991
PHF13,1388,465,1571,1132
THAP3,240,177,266,197
DNAJC11,1335,749,1535,1157
LINC01672,1,0,0,0
AL591163.1,0,0,0,0
AL590128.2,13,2,13,15
CAMTA1,1111,304,1133,855
AL590128.1,0,0,0,0
AL512330.1,0,0,0,0
RNU1-8P,0,0,0,0
CAMTA1-IT1,0,0,1,1
Z97987.1,0,0,1,0
AL365194.1,1,0,8,1
AL359881.3,4,0,3,1
AL359881.2,3,0,8,3
AL359881.1,13,0,13,11
VAMP3,1948,2707,2339,1769
Z98884.2,11,3,21,13
PER3,494,69,518,397
Z98884.1,0,1,2,0
UTS2,0,4,0,0
TNFRSF9,0,5,3,1
AL009183.1,0,0,0,0
PARK7,5144,2309,5754,4267
Y_RNA,108,64,129,98
AL034417.4,7,3,9,4
AL034417.3,0,0,0,0
ERRFI1,1451,1320,1744,1249
AL034417.2,3,1,2,1
AL034417.1,1,0,1,0
AL358876.1,0,0,0,0
LINC01714,4,0,1,0
RNU1-7P,0,0,0,0
AL358876.2,0,0,0,0
RNU6-991P,0,0,0,0
SLC45A1,12,2,17,15
RERE,2383,1243,3103,2181
AL096855.1,0,0,0,0
SNORA77,0,0,0,0
AL096855.2,0,0,0,0
RPL7P11,2,1,3,0
RPL7P7,0,0,0,0
AL357552.1,0,0,0,0
AL357552.2,0,0,0,0
RPL23AP19,0,0,0,0
ENO1,36816,50673,46072,35423
MIR6728,1,0,0,0
ENO1-IT1,7,9,7,8
ENO1-AS1,4,0,4,6
RNU6-304P,0,0,0,0
HMGN2P17,0,0,0,0
AL139415.1,0,0,0,0
AL139415.2,0,0,0,0
CA6,0,0,1,1
RN7SL451P,0,0,0,0
SLC2A7,1,0,0,1
SLC2A5,2,9,259,107
SCARNA16,0,0,0,0
GPR157,675,169,762,551
MIR34AHG,178,20,191,142
MIR34A,0,0,0,0
LINC01759,22,5,32,13
Z98044.1,3,0,2,5
H6PD,1209,694,1597,1143
SPSB1,621,220,672,524
BX323043.1,0,0,0,2
AL928921.2,8,2,5,8
RNA5SP40,0,0,0,0
AL928921.1,0,0,1,0
SLC25A33,292,21,342,256
AL954705.1,2,1,5,6
TMEM201,984,380,1126,872
PIK3CD,95,641,321,266
PIK3CD-AS1,0,0,0,1
AL691449.1,0,0,0,0
PIK3CD-AS2,12,3,13,14
CLSTN1,5394,5959,6656,5091
MZT1P1,0,0,0,0
AL357140.3,0,0,0,0
CTNNBIP1,1008,393,1061,825
AL357140.1,0,0,0,0
LZIC,885,404,1035,716
AL357140.2,15,5,13,9
NMNAT1,465,207,488,376
RN7SKP269,3,2,2,2
AL357140.4,0,0,1,0
MIR5697,0,0,0,0
AL603962.1,0,0,0,0
RBP7,59,1,54,49
UBE4B,2670,1377,3085,2201
AL590639.1,0,0,0,0
PGAM1P11,0,0,1,2
RNU6-828P,0,0,0,0
KIF1B,2772,1704,3192,2259
MIR1273D,0,0,0,0
RNU6-37P,0,0,0,0
RN7SL731P,0,0,0,0
AL139424.3,2,2,1,0
AL139424.2,2,0,11,3
PGD,7874,937,8145,5918
AL139424.1,3,0,3,0
CENPS-CORT,0,0,1,0
CENPS,93,57,96,79
CORT,4,0,4,2
DFFA,1475,1381,1747,1362
AL354956.1,0,0,0,0
PEX14,542,364,617,469
RN7SL614P,0,0,0,0
CASZ1,806,118,853,613
AL139423.1,11,4,16,14
HSPE1P24,0,0,0,0
C1orf127,1,0,0,2
CFL1P6,0,0,0,0
TARDBP,2805,1301,3023,2231
AL109811.4,0,0,0,0
MASP2,32,24,39,35
AL109811.3,11,11,12,16
SRM,3175,2145,3679,2785
EXOSC10,1747,1261,2094,1553
AL109811.1,2,1,1,2
AL109811.2,9,1,18,14
MTOR,3245,1665,3892,2794
MTOR-AS1,0,0,0,0
RNU6-537P,0,0,0,0
ANGPTL7,0,0,0,2
RNU6-291P,0,0,0,0
RPL39P6,0,0,0,0
UBIAD1,687,312,785,630
UBE2V2P3,5,1,0,1
AL031291.1,0,0,0,0
MTCYBP45,0,0,0,0
DISP3,87,4,141,97
LINC01647,0,0,0,1
AL031731.1,0,0,1,2
FBXO2,173,90,214,142
FBXO44,321,214,430,295
FBXO6,154,65,168,121
MAD2L2,991,579,1317,911
DRAXIN,5,3,14,6
AGTRAP,764,993,877,670
C1orf167,1,0,1,1
AL953897.1,0,0,0,0
MTHFR,405,170,455,347
CLCN6,479,279,631,450
NPPA-AS1,8,3,3,1
NPPA-AS1_1,0,0,0,0
NPPA-AS1_2,0,0,0,0
NPPA,2,1,52,19
NPPA-AS1_3,0,0,0,0
NPPB,0,0,0,1
AL021155.1,0,0,0,1
RNU5E-1,3,0,3,0
RNU5E-4P,0,0,2,0
KIAA2013,1736,941,2077,1416
PLOD1,1749,3575,2624,2044
MFN2,3046,3070,3730,2785
AL096840.1,0,0,0,0
MIIP,710,287,719,538
MIR6729,0,0,0,0
RN7SL649P,0,0,0,0
TNFRSF8,0,1,10,3
RNU6-777P,0,0,0,0
RPL23AP89,0,0,0,0
MIR7846,0,0,0,0
TNFRSF1B,1,2,10,2
MIR4632,0,0,0,0
RPL10P17,0,0,0,0
SNORA70,9,3,4,4
VPS13D,2049,1287,2477,1686
SNORA59A,0,1,3,1
AC243836.1,0,0,0,0
DHRS3,94,326,154,109
RNU6ATAC18P,0,0,0,0
MIR6730,0,0,0,0
AC254633.1,2,0,1,1
AADACL4,0,0,0,1
AC244670.1,0,0,0,0
AADACL3,0,0,0,0
C1orf158,0,0,0,0
PRAMEF12,0,0,0,0
PRAMEF1,0,0,0,0
LINC01784,0,0,0,0
PRAMEF11,0,0,0,0
PRAMEF30P,0,0,0,0
HNRNPCL1,0,0,0,0
PRAMEF2,0,0,0,0
PRAMEF4,0,0,0,0
PRAMEF10,0,0,0,0
PRAMEF7,0,0,0,0
RNU6-1072P,0,0,0,0
PRAMEF29P,0,0,0,0
PRAMEF6,0,0,0,0
PRAMEF28P,0,0,0,0
PRAMEF27,0,0,0,0
HNRNPCL3,0,0,0,0
PRAMEF25,0,0,0,0
PRAMEF34P,0,0,0,0
PRAMEF35P,0,0,0,0
HNRNPCL2,0,0,0,0
PRAMEF36P,0,0,0,0
AC245056.1,0,0,0,0
PRAMEF26,0,0,0,0
HNRNPCL4,0,0,0,0
PRAMEF9,0,0,0,0
PRAMEF13,0,0,0,0
PRAMEF18,0,0,0,0
PRAMEF31P,0,0,0,0
PRAMEF5,0,0,0,0
PRAMEF32P,0,0,0,0
RNU6-443P,0,0,0,0
PRAMEF8,0,0,0,0
PRAMEF33,0,0,0,0
PRAMEF15,0,0,0,0
AC243961.1,0,0,0,0
PRAMEF14,0,0,0,0
PRAMEF19,0,0,0,0
PRAMEF17,0,0,0,0
PRAMEF20,0,0,0,0
LRRC38,0,3,1,1
AL354712.1,0,0,0,0
BRWD1P1,0,0,0,0
PDPN,2,1885,196,266
RNA5SP41,0,0,0,0
AL359771.1,0,0,0,0
SCARNA11,1,0,0,0
PRDM2,1390,940,1987,1359
KAZN,472,85,514,386
