GeneSymbol,naive.CD4.T.cells,naive.CD8.T.cells,naive.B.cells,monocytes,NK.cells ,myeloid.dendritic.cells
A1BG,0.7310147,0.7310147,0.7310147,0.7310147,0.7310147,2.613144939
AAK1,1.697295323,1.590299766,0.600317444,0.600317444,0.600317444,0.600317444
ABHD17A,0.704296848,0.704296848,0.704296848,0.704296848,3.655701488,0.704296848
ABI3,0.746214637,0.746214637,0.746214637,0.746214637,0.746214637,0.746214637
ABRACL,0.517765293,1.318591908,0.517765293,1.435610154,1.25392193,1.588287493
AC023590.1,0.880738035,0.880738035,0.880738035,0.880738035,0.880738035,10.53863169
AC090498.1,1.296067919,1.29784176,1.204141325,0.94443551,0.795188312,0.996308983
AC092580.4,0.783718131,0.783718131,0.783718131,0.783718131,0.783718131,0.783718131
ACAA1,0.72430343,0.72430343,0.72430343,0.72430343,0.72430343,0.72430343
ACADVL,0.707994001,0.707994001,0.707994001,0.707994001,0.707994001,2.213353462
ACAP1,1.330516442,1.329001502,0.479043076,0.479043076,1.602434255,1.008305673
ACP1,0.651674445,0.651674445,0.651674445,0.651674445,0.651674445,1.521261759
ACRBP,0.928596632,0.928596632,0.928596632,0.928596632,0.928596632,0.928596632
ACTB,0.721736483,0.793046591,0.711891783,1.858086909,1.908699302,1.053588938
ACTG1,1.029391871,1.272717065,0.760124271,0.988645459,1.939246492,1.226758096
ACTN1,0.721934238,0.721934238,0.721934238,0.721934238,0.721934238,0.721934238
ACTN4,0.758237451,0.758237451,0.758237451,0.758237451,0.758237451,2.52534669
ACTR2,0.520674321,0.520674321,0.520674321,1.613118877,0.520674321,1.422534182
ACTR3,1.076290997,1.180954005,1.188635726,1.231893341,1.613850156,1.019777696
ADA,0.793441603,0.793441603,0.793441603,0.793441603,0.793441603,3.745724748
ADGRE5,0.67319706,0.67319706,0.67319706,0.67319706,0.67319706,0.67319706
ADI1,0.72291154,0.72291154,0.72291154,0.72291154,0.72291154,2.384482748
ADIPOR1,0.743333644,0.743333644,0.743333644,0.743333644,0.743333644,0.743333644
ADRBK1,0.739670644,0.739670644,0.739670644,0.739670644,0.739670644,0.739670644
ADRM1,0.678915675,0.678915675,0.678915675,0.678915675,0.678915675,0.678915675
AES,1.542662513,1.406206766,1.184676746,0.408169606,1.352344872,0.854521242
AGTRAP,0.727952509,0.727952509,0.727952509,2.294199791,0.727952509,0.727952509
AHNAK,0.630512143,0.630512143,0.630512143,1.979993525,0.630512143,0.630512143
AIF1,0.623534199,0.623534199,0.623534199,3.613281808,0.623534199,0.623534199
AKAP13,0.628141892,0.628141892,0.628141892,0.628141892,0.628141892,1.438599276
AKAP9,0.666978755,0.666978755,0.666978755,0.666978755,0.666978755,1.717719662
AKIRIN2,0.725396661,0.725396661,0.725396661,0.725396661,0.725396661,2.081272591
AKR1A1,0.705425254,0.705425254,0.705425254,0.705425254,0.705425254,2.053611862
AKR7A2,0.733822115,0.733822115,0.733822115,0.733822115,0.733822115,2.333731403
ALDH2,0.797945349,0.797945349,0.797945349,0.797945349,0.797945349,3.201242081
ALDOA,0.989617932,1.029561575,0.913689954,1.686675568,1.191509087,1.023345607
ALOX5AP,0.65025704,0.65025704,0.65025704,0.65025704,1.608070348,8.41156434
AMD1,0.660630231,0.660630231,0.660630231,0.660630231,0.660630231,0.660630231
ANAPC11,0.616343411,0.616343411,0.616343411,1.547696542,0.616343411,1.780810767
ANAPC16,1.237726196,1.183454366,1.435380367,0.966718181,1.322333108,1.193641335
ANKRD12,0.555353859,0.555353859,0.555353859,0.555353859,0.555353859,1.296127893
ANP32A,0.65187009,0.65187009,0.65187009,0.65187009,0.65187009,1.666769077
ANP32B,1.449745339,1.364434468,0.488090172,1.130451935,0.488090172,1.076132637
ANXA1,0.523860522,0.523860522,0.523860522,1.75183995,1.518803057,0.523860522
ANXA11,0.520944453,1.307210262,0.520944453,0.520944453,1.721850838,1.204090046
