Symbol,B.cells,CD4.T.cells,CD8.T.cells,endothelial.cells,fibroblasts,monocytic.lineage,neutrophils,NK.cells
NME8,10.58352158,57.45562677,10.6691415,17.50280378,7.309470748,94.75692579,35.54774526,399.0608574
GPR183,605.2184165,2499.106767,897.1152319,163.7300225,31.01217076,493.6211464,375.1831223,454.3233423
GUSBP11,64.68259366,41.34215301,57.60926291,41.51707505,70.56367392,97.26100288,122.2682093,85.88649125
MSC,54.77236951,173.8971342,129.0293474,57.8954554,147.8311872,201.5574077,158.3419598,93.58389935
HIC1,8.734062642,9.465842663,17.50280378,24.33274614,38.6336359,15.79119467,22.7223966,77.61223209
PPFIBP1,102.398891,16.06280656,20.78711251,78.09063512,111.2452372,28.16912544,45.4171575,20.16392765
CHI3L1,8.094863049,12.97483452,15.025643,19.48421501,14.61404706,25.50804513,734.1829082,114.7472832
CPA3,1182.935053,309.9271084,321.3041505,495.8322295,165.0016708,203.1936883,1063.54874,551.5016107
IL7R,439.6675043,11509.03781,17187.42907,322.6763802,789.0740447,938.9917345,1910.237716,1433.971072
FRK,262.1417997,17.86095767,56.31457241,30.24550176,34.70122174,25.61980765,251.1206907,21.20418024
RASA3,9.465842663,146.7921036,201.4759432,20.35907438,73.29484951,21.41585901,26.80791884,85.40108225
CFP,9.987101536,1506.054396,44.42928086,13.07596815,10.78649807,4955.30184,3337.231976,95.69163797
PASK,429.945293,121.2281815,94.31816915,132.3947648,136.8770636,68.55279458,234.8811405,108.8463242
FLVCR2,126.670421,289.3233548,128.8186739,146.3609587,73.19352952,847.311131,134.0832035,194.5212909
ZNF204P,161.5003151,184.0341049,274.53525,78.36263731,53.65389704,78.14181042,98.83030167,65.92520434
DAPK2,47.12549817,31.1363657,36.93926713,49.3605846,57.38839428,46.44165156,348.9137821,74.98544257
FAM212B,101.8049746,86.48560234,41.18393997,168.9344814,63.50737536,164.7267552,1127.98586,39.65965422
GREM2,40.90132,84.15615615,101.8342988,37.42790593,1525.927062,48.19085967,78.22781749,145.130056
BPI,30.69221896,207.1982899,268.797903,39.03183954,44.76677566,541.6195167,55.29423293,1644.385625
BIRC3,2828.868569,1709.911834,649.2530932,125.2816596,70.73993711,396.7260742,221.6533768,1616.503539
HESX1,34.4136787,21.30526753,21.8471886,85.62086464,18.7402808,27.78781358,20.653479,62.47798827
CD247,44.5394393,7008.614043,6425.790761,61.85980558,71.01900505,89.81406375,213.3072373,21227.5083
NKG7,27.83725448,5629.964319,10992.45382,9.657621632,8.427935465,301.2598798,460.0604248,19356.6561
ST8SIA1,72.98076073,185.3021714,119.9424643,14.05192052,57.05057927,24.39646142,38.89587872,28.75682288
CD8A,889.5193305,2136.691932,12238.6026,958.6507624,113.0305847,333.5991435,1097.448569,1522.701596
