,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,Monocytes,T cells regulatory (Tregs),NK cells activated,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells,Eosinophils,Neutrophils,Plasma cells,T cells follicular helper
TCL1A,11762.93299,762.7928419,117.9865291,146.5314102,116.955379,69.96735441,117.8464666,109.9534009,178.7891251,86.52987788,87.6622979,120.4238392,120.8803703,81.98656538,99.52259584,134.846817,71.16374529,268.7192074,294.5261456,502.8338756,151.8610667
ABCB4,564.1579888,13.21264035,5.975425053,6.312867557,9.495647141,10.24943094,11.14499316,20.50384319,7.352977531,9.092388465,6.312867557,10.00775392,32.08141126,133.704269,123.5959818,6.620318209,12.84337342,18.01598321,15.51633451,9.263338994,8.468851655
AIM2,343.3913997,4326.079336,309.9188633,64.3615795,266.5153324,3191.325387,397.2755658,58.95708401,541.2747771,327.3153034,147.4961016,196.9566305,2862.19532,162.1346628,191.0832082,892.223392,73.68199509,46.69822149,793.36691,1381.150518,1101.143714
ZBTB32,12.24039386,205.8453799,31.39988971,33.78196759,9.966264635,202.575398,27.01390617,17.58992487,12.7691136,77.89656325,15.14868245,12.76643459,238.780187,18.02854271,13.06831849,69.49633009,12.09631751,40.13049264,14.66320834,15.6385731,28.9208257
CD27,402.5628785,3939.404253,5292.272783,3885.545048,4026.06694,1110.922738,1685.96544,242.4410558,158.5530254,6725.227266,139.9831675,101.2911421,150.6511293,149.6042652,137.3189639,118.1445704,104.9336671,468.3755725,301.7501151,6600.979084,5495.014483
IL21R,460.3874888,32.97336682,311.6127272,331.7733092,250.9480254,622.6807728,348.2286458,405.6776187,86.441086,277.738462,229.729897,82.49126309,526.1944756,153.9482653,285.3697189,432.5724198,23.13159047,113.1434481,31.49181631,48.26170708,616.8619125
TNFRSF17,26.44612856,262.7852964,16.60487287,6.022592212,16.28422398,10.15447824,9.770035766,14.20814634,11.47949122,28.63147231,11.25270354,13.11135628,11.78179528,16.39276601,13.04423817,20.86482198,7.840117522,14.04896169,13.55410232,6949.566728,10.03700913
MNDA,34.07155297,288.942397,57.46710105,11.54316754,11.03264403,6.240517361,628.8205823,613.2892842,11263.56315,35.22203879,317.8202584,2521.252246,3859.805946,1813.659375,4376.194961,2067.651272,1311.997384,2115.350447,22456.78687,6.759334672,16.34143159
P2RY14,1586.609749,210.0001607,157.5515163,71.0717029,84.54344226,85.95435501,508.7026438,217.3914596,55.94757917,111.2614474,230.8682489,9.755517569,25.22513748,851.748463,229.4715032,28.3934634,1745.213515,7760.645978,1649.322413,35.30929835,38.91426333
MAP4K1,55.07108893,910.149938,1674.193785,2352.124008,1360.765599,1211.876909,1513.453995,861.8382481,395.7740823,1969.659105,465.5128994,29.96680228,35.98606044,383.2739439,65.85839593,27.17793081,345.8892309,274.9830872,39.48022665,215.5954967,4112.536724
