,Lin-_1,Lin-_2,MNC_1,MNC_2
1007_s_at,72.11924198,87.11308821,149.6971573,139.9313548
1053_at,568.0228547,563.8422999,319.5432233,321.2807844
117_at,93.69541746,82.5143219,2595.56706,2470.034843
121_at,105.7251518,93.6998222,82.95189263,79.20294907
1255_g_at,14.24150607,12.86640754,12.36567481,13.63621449
1294_at,1343.606817,1227.761072,833.033367,845.0191514
1316_at,106.6466778,116.0870131,109.8460831,104.3272737
1320_at,42.14822988,48.71334267,53.70453822,49.55145803
1405_i_at,415.6860303,393.7906039,1044.564154,977.8675207
1431_at,101.4577859,104.038789,47.00837926,50.96880761
1438_at,44.89567196,34.09634914,47.87112024,53.57803227
1487_at,205.9496052,215.526841,294.1234226,278.7144566
1494_f_at,28.1046218,25.6256574,32.60098562,24.8936138
1598_g_at,119.6536009,126.817372,172.5761731,173.6581176
160020_at,64.50302667,70.45117928,92.12573419,79.30149749
1729_at,169.823891,188.4121045,254.2981986,275.3774374
177_at,101.5506264,89.78409487,98.02112168,109.284595
1773_at,71.04941628,81.50700521,82.0828507,81.6680505
179_at,142.2731034,144.5538265,147.2762396,141.0676264
1861_at,149.9001055,150.255451,126.359646,133.0107303
200000_s_at,1654.14583,1603.753215,883.6813936,911.7660204
200001_at,3127.749169,2941.53385,2651.172917,2381.15785
200002_at,14519.32777,14227.11462,8480.063158,7353.315969
200003_s_at,18167.08237,16768.14397,13693.1872,12312.66212
200004_at,5488.489809,5265.017381,5717.059681,4787.802294
200005_at,8042.814739,7705.024783,4838.742069,4323.686416
200006_at,6211.113027,6093.688037,4246.550229,3557.3624
200007_at,7392.732794,7602.502248,6716.383399,5781.534994
200008_s_at,2057.769068,1998.251213,1588.44621,1487.496671
200009_at,10222.58158,9845.107354,9861.555314,8726.116302
200010_at,15745.54765,14905.36869,12592.55365,11651.62305
200011_s_at,1485.926206,1451.788809,1449.751553,1209.745704
200012_x_at,19956.68902,19109.7343,19883.42912,19230.2824
200013_at,16117.41464,14884.31624,13194.63371,11533.11842
200014_s_at,5496.22503,5024.218506,4646.34754,3949.341816
200015_s_at,4196.194338,3998.28682,3384.314215,2920.796963
200016_x_at,22407.97015,22325.8428,16274.0059,14378.39188
200017_at,14317.1112,13753.20843,11966.31319,10974.31558
200018_at,15673.85059,16878.65084,15680.79708,14177.61368
200019_s_at,18679.26964,18189.82339,16906.46577,15439.47925
200020_at,4429.148192,4242.635344,3222.167896,2748.873445
200021_at,7883.697524,7059.005934,9107.240024,8255.134945
200022_at,21430.98817,20493.35288,16950.02874,15676.78006
200023_s_at,14206.73164,13744.41087,10055.96889,9201.250717
