	Lin-_1	MNC_1
1007_s_at	72.11924198	149.6971573
1053_at	568.0228547	319.5432233
117_at	93.69541746	2595.56706
121_at	105.7251518	82.95189263
1255_g_at	14.24150607	12.36567481
1294_at	1343.606817	833.033367
1316_at	106.6466778	109.8460831
1320_at	42.14822988	53.70453822
1405_i_at	415.6860303	1044.564154
1431_at	101.4577859	47.00837926
1438_at	44.89567196	47.87112024
1487_at	205.9496052	294.1234226
1494_f_at	28.1046218	32.60098562
1598_g_at	119.6536009	172.5761731
160020_at	64.50302667	92.12573419
1729_at	169.823891	254.2981986
177_at	101.5506264	98.02112168
1773_at	71.04941628	82.0828507
179_at	142.2731034	147.2762396
1861_at	149.9001055	126.359646
200000_s_at	1654.14583	883.6813936
200001_at	3127.749169	2651.172917
200002_at	14519.32777	8480.063158
200003_s_at	18167.08237	13693.1872
200004_at	5488.489809	5717.059681
200005_at	8042.814739	4838.742069
200006_at	6211.113027	4246.550229
200007_at	7392.732794	6716.383399
200008_s_at	2057.769068	1588.44621
200009_at	10222.58158	9861.555314
200010_at	15745.54765	12592.55365
200011_s_at	1485.926206	1449.751553
200012_x_at	19956.68902	19883.42912
200013_at	16117.41464	13194.63371
200014_s_at	5496.22503	4646.34754
200015_s_at	4196.194338	3384.314215
200016_x_at	22407.97015	16274.0059
200017_at	14317.1112	11966.31319
200018_at	15673.85059	15680.79708
200019_s_at	18679.26964	16906.46577
200020_at	4429.148192	3222.167896
200021_at	7883.697524	9107.240024
200022_at	21430.98817	16950.02874
200023_s_at	14206.73164	10055.96889
200024_at	16772.92021	11242.33112
200025_s_at	18009.82705	18894.04202
200026_at	18155.15265	16223.79154
200027_at	2723.006234	2573.584884
200028_s_at	8510.458831	6430.1298
200029_at	23924.88697	20945.52881
200030_s_at	9187.073083	6035.45164
200031_s_at	26050.88526	22780.00229
200032_s_at	16809.56581	15050.36983
200033_at	10060.64638	12247.14065
200034_s_at	19466.14077	17054.22629
200035_at	703.5240069	700.229426
200036_s_at	16802.83411	11292.90754
200037_s_at	3507.629226	2236.694513
200038_s_at	26286.04462	24850.11529
200039_s_at	2336.005089	1105.489092
200040_at	7352.968539	4287.042637
200041_s_at	13220.6202	10282.11171
200042_at	1995.453099	914.3744787
200043_at	1545.251319	1122.769397
200044_at	3853.798775	3217.452843
200045_at	908.9063768	644.1616622
200046_at	2699.166097	1815.015156
200047_s_at	3031.697298	3056.134959
200048_s_at	2669.067801	2573.810177
200049_at	810.3341865	683.1281916
200050_at	1634.097562	995.6065574
200051_at	1140.881604	1012.580979
200052_s_at	3860.39938	1305.498245
200053_at	1010.205621	638.1460111
200054_at	722.999888	503.0301973
200055_at	1935.581437	2515.375165
200056_s_at	313.2684277	459.9569665
200057_s_at	8883.804716	6224.054163
200058_s_at	2506.070473	1650.459571
200059_s_at	4332.961269	6205.587196
200060_s_at	2446.508052	1355.243486
200061_s_at	18167.26163	14183.10598
200062_s_at	23883.47806	23100.60506
200063_s_at	15783.45894	10914.56891
200064_at	12807.71664	4228.802259
200065_s_at	4096.406743	5304.511377
200066_at	3625.547245	3090.818483
200067_x_at	2805.711299	4508.433231
200068_s_at	8191.080826	6279.970573
200069_at	575.5251748	411.4692958
200070_at	1356.517478	2414.164297
200071_at	1897.678936	2189.276506
200072_s_at	2237.772346	1055.111827
200073_s_at	4083.179603	3434.152121
200074_s_at	17570.77845	12991.07701
200075_s_at	1398.360433	2266.043519
200076_s_at	711.395649	624.5439285
200077_s_at	9373.863134	13521.69792
200078_s_at	924.7707053	2728.904259
200079_s_at	2930.742807	1596.385559
200080_s_at	12559.9079	17207.9205
200081_s_at	18676.57697	17470.57721
200082_s_at	12780.02947	9362.187172
200083_at	3274.161215	1891.377424
200084_at	1173.510584	1105.340042
200085_s_at	3779.979845	3531.214845
200086_s_at	3757.014295	3156.13485
200087_s_at	4428.626124	4276.02052
200088_x_at	19832.58517	16191.57368
200089_s_at	21923.39463	18632.58118
200090_at	3871.881099	3657.540923
200091_s_at	13266.88294	12087.98736
200092_s_at	26946.08971	26811.07883
200093_s_at	9430.691941	4937.03331
200094_s_at	16181.19066	12529.86372
200095_x_at	26787.54602	24421.17143
200096_s_at	2541.067558	5015.304041
200097_s_at	6092.281329	6152.056424
200098_s_at	4933.45621	3496.941737
200099_s_at	25670.55395	25215.41118
200593_s_at	4800.453642	3523.111463
200594_x_at	7889.630826	6418.102914
200595_s_at	6288.283483	4365.716432
200596_s_at	1045.121459	480.8082798
200597_at	1248.264064	711.3308843
200598_s_at	944.6552118	554.9711263
200599_s_at	3950.340427	2493.068695
200600_at	3633.569281	5866.892549
200601_at	660.1190701	756.7861979
200602_at	2045.894961	1798.705734
200603_at	1468.635859	3088.838984
200604_s_at	244.0169703	431.1076697
200605_s_at	555.2301019	1554.541043
200606_at	14.97521487	32.84213015
200607_s_at	208.9239194	241.39144
200608_s_at	1370.296549	1937.660621
200609_s_at	1213.416403	1603.374992
