gene,naive.B.cells,CD4.T.cells,CD8.T.cells,NK.cells,neutrophils,monocytes,fibroblasts,endothelial.cells
TTC38,19.34253613,16.46657588,17.471983,464.11499,16.83838825,23.72108242,0,0
OSGIN1,0.491821875,0.59115275,0.389728425,0.6979905,4.822270046,14.81767108,0,0
CXCR2P1,4.492887375,0,0.254807,0.582706,3.4877975,98.8820805,0,0
CAV2,1.05550125,0.95462875,0.83958075,0.92951975,2.21295625,0.634137592,41.27,49.87
CHI3L1,2.786178125,0.455958,0.514372,0.800934,554.5931575,0.550993075,401.97,1427.9225
CORO2B,4.3904375,0,0,0,0,0,0,0
PPFIA4,1.834490366,0.624601925,0.227050975,0.491850775,0.110290096,9.637734733,0,0
NCALD,4.652583681,19.20573205,54.69209985,185.2071555,2.553945477,3.005413611,32.905,0
IGFBP4,6.027426875,0.68951325,0.1512665,3.043355,0,0.118764433,237.72,749.195
PKIB,4.0729859,2.61008575,3.585377675,1.270462,0,3.940918217,0,0
COL26A1,0.181983875,0,0,0,0.08737725,0,0,0
CD207,0.050186125,0,0.014376475,0,0,0.09913725,0,0
STAP1,199.277095,8.34006325,1.706172142,23.394649,0.3723545,1.0207544,0,2.7125
COL5A3,0,0.051923,0.026518,0.1703695,0,0,80.52,0
PTGER3,0.392104875,0.128969075,0.0927025,0.35745275,0.188936675,0.031792892,0,21.8425
PTCH1,13.8682055,18.86730915,38.71808932,86.2877891,0.15089255,1.031746506,2.89,0
HAPLN3,2.87465735,78.22788,76.20030625,7.99328375,0.02245115,1.407301708,65.1675,91.4875
TAS1R3,6.538516875,0.65855175,0.8561785,0.965547,0.157514125,0.309954433,0,0
TFPI,5.568519912,5.50470685,6.142732125,4.8016479,4.100965175,3.304493858,95.42,107.7
CYP27A1,2.774387875,0,0.132185825,0.13127215,41.28043,27.8395455,15.9275,121.45
ANAPC1P1,0.721742687,0.97813225,7.7874945,0.503591,0.173692225,0.151341392,0,0
ROBO1,1.686312503,0.309222975,5.752105007,0.74651554,0.435312925,0.504658701,33.13,33.685
CNTN4,0.075005175,0.039002075,0.03799325,0.098349475,0.041195825,0.056592517,1.0925,18.3875
INHBA,0.072916363,0.036794425,0.015826675,0.09589985,0.3439066,0.2117041,0,0
SLC12A3,0.700083675,0.05217585,0.1287923,0.39011255,0.36006935,0.092851058,2.71,0
FBN2,0.615957925,0,0,0,0.5038065,5.733498871,0,0
SERTAD1,8.55369875,6.8578975,6.67606,28.875825,9.154345,12.05328167,124.215,30.505
IQCA1,0.181335642,0.140669345,4.343811056,0,0,0.006728658,0,0.9425
TMEM176A,10.20714513,0.4219515,0.120711,0.60011,1.42986225,41.55182897,290.18,73.26
RAP2A,2.356888738,2.1897495,2.75774875,14.469305,0.357021075,6.671081167,10.68,5.1925
CCDC175,0,0,0,0,0.07634175,0.132156583,0,0
MS4A7,52.78552086,1.255595,1.04823655,6.04183475,3.11375375,958.6235675,3.0975,0.245
PPP1R3B,4.900711,6.04711,5.49295175,4.399445,76.8770575,3.478314,9.0275,7.4875
PHACTR2,2.611050075,14.332021,5.991932,7.62087325,7.419179475,15.61187473,22.2675,3.6375
CBX2,0.15542375,0,0.1423316,0.0493745,0.0133958,0.644629333,0,0
PCSK5,1.647267537,29.8175105,39.3527045,9.303604925,2.819724875,6.371311142,1,1.33
GLB1L2,0.876924875,1.144235889,1.632689,11.69662275,0.1621252,0.27523275,7.1275,0
KCNH7,0.080641,0,0,0,2.59925875,0.11879065,0,0
TLR1,28.50979917,11.89956879,8.423970447,18.33603011,360.9165148,82.24953263,0,0.2325
