,GSM480959,GSM480960,GSM480961,GSM480962,GSM480963,GSM480964,GSM480965,GSM480966,GSM480967,GSM480968
1367452_at,11.21395129,11.18494441,11.25969654,11.26779635,11.43080639,11.13758533,11.31292804,11.33574892,11.16683702,11.32253259
1367453_at,9.842546029,9.951331118,9.778014839,9.818875154,9.902069266,9.876129282,9.943204324,10.04162535,9.872664696,9.896059471
1367454_at,10.12296412,10.62900733,10.13358677,10.43586367,9.872265925,10.16257719,9.935015865,10.1837061,10.00124227,10.1542006
1367455_at,10.94585628,10.99857384,10.87537742,10.86303381,10.89882994,10.89460873,10.9780855,11.08847319,11.01093339,11.03099044
1367456_at,10.52687456,10.7171244,10.22078968,10.42085521,10.40535087,10.02701882,10.5738126,10.71390951,10.50935034,10.60229499
1367457_at,9.771983569,10.00316105,9.92399244,9.945079812,10.08706741,10.04047171,9.938984531,9.977042459,9.97593738,10.03384035
1367458_at,7.697591828,7.45435962,7.78997853,7.725255586,7.881986394,7.73955545,7.952836105,7.792204536,7.721870131,7.640982886
1367459_at,11.47958789,11.87730165,11.76178769,11.89279207,11.87698328,11.89390278,11.88636999,11.96567532,11.82606189,11.92389764
1367460_at,11.66592187,11.67030306,11.45183959,11.49548365,11.24066827,11.41760563,11.52276817,11.65037596,11.61969608,11.62923099
1367461_at,9.423765773,10.00201254,9.352744298,9.847227713,9.312806985,9.566469777,9.455333582,9.669486636,9.461268246,9.687626881
1367462_at,10.41392942,10.2888009,10.09417064,10.02125192,9.935211974,9.797476635,10.28214519,10.21772819,10.13117316,10.21182191
1367463_at,9.915207925,9.96885967,9.932496384,9.851947083,9.90465721,9.901760796,9.950353799,9.945864305,10.10061801,10.08500652
1367464_at,10.17233047,9.852373984,10.08036458,9.875456928,10.03611384,10.07173428,10.21936281,10.15195613,10.21472669,10.12596507
1367465_at,10.08029004,10.24721123,9.922125024,10.13507204,9.87931753,9.985920131,9.924593599,9.992523685,9.752265602,9.91083009
1367466_at,9.571828662,9.644170966,9.69433789,9.700170276,9.651255352,9.682211841,9.602501096,9.702800699,9.730566794,9.7600918
1367467_at,10.11944245,9.681308657,9.882782579,9.423910061,9.433755466,9.339897049,9.717383769,9.297476998,9.635751585,9.300483093
1367468_at,9.228279303,9.039645279,9.283263022,8.991921621,9.361357366,9.152883397,9.334139541,9.315327925,9.383773064,9.104393141
1367469_at,12.28504379,12.22957366,12.24142642,12.14356119,12.21650934,12.00282621,12.17635341,12.2030814,12.18922638,12.17672239
1367470_at,10.01590964,10.62338083,10.09809083,10.52124102,9.823195655,10.21519018,9.83363988,10.177121,10.01812147,10.15221403
1367471_at,8.864439694,9.135815637,8.62821921,8.795887193,8.390896642,8.564400675,8.45569399,8.622446417,8.620550977,8.64508745
1367472_at,10.54251209,10.51589534,10.86827059,10.66859903,10.80506993,10.77456731,10.79906538,10.70364394,10.87802536,10.75358457
1367473_at,9.527115424,9.786670972,9.498367474,9.72215597,9.640928842,9.704260215,9.676282963,9.714498359,9.664120999,9.599976862
1367474_at,8.827074345,8.954048186,8.808615321,8.904374589,8.50602902,8.94033423,8.678701237,8.86082769,8.838744627,8.70650887
1367475_at,10.58422382,10.54284509,10.30437917,10.47845077,10.24570457,10.31025569,10.39628892,10.47071738,10.44759779,10.52785984
1367476_at,11.83407709,11.79433772,11.73917738,11.78522017,11.58204405,11.63410919,11.60982922,11.6037844,11.58058483,11.59880473
1367477_at,9.486776163,9.508421681,9.594312252,9.481838194,9.692960761,9.625450921,9.809785898,9.667263541,9.758020636,9.636786567
1367478_at,8.650345667,8.702673347,8.683564207,8.784141369,8.721335165,8.957306109,8.672634372,8.670974932,8.792651152,8.694766739
1367479_at,10.78400454,10.92741696,11.00613752,11.00156012,11.27829947,11.23478985,11.15575249,11.13406091,11.17212849,11.17222343
1367480_at,10.09122579,9.937333135,9.929005938,9.754558948,9.714239789,9.648152541,9.826832918,9.762622342,9.868919956,9.725466634
1367481_at,9.767981435,9.255391127,9.69884242,9.125347792,9.547992103,9.256592108,9.516558519,9.295917279,9.457539845,9.333511433
1367482_at,9.794248887,10.13140589,9.78402925,9.830123471,9.805547196,9.853047197,9.870668058,9.950261311,9.817970611,9.934999197
1367483_at,8.238433164,8.797782652,8.2272615,8.451183831,8.208441147,8.291604435,8.081576135,8.325908897,8.236919677,8.258483898
1367484_at,10.25081061,9.808248023,10.22287887,10.09708657,10.31837107,10.05950961,10.32800394,10.11068651,10.16102987,10.11495019
1367485_at,10.2393475,10.08883042,10.08073344,9.998746618,10.01808395,9.933899926,10.00705833,10.01749712,10.15648884,9.966384983
1367486_at,8.361913623,8.087258496,8.035930165,8.042429204,8.011124879,7.845805832,8.231797846,8.08841941,8.100489649,8.060197853
1367487_at,7.770778286,8.241596584,7.886707506,8.169141294,7.938850282,8.28547674,7.977847684,8.130239462,7.945873123,8.022457893
1367488_at,8.071879051,8.215988915,8.284869416,8.411149715,8.412214001,8.42774128,8.335688025,8.430103163,8.240638888,8.246973076
1367489_at,7.433303409,7.252249207,7.504533213,7.603691348,7.614933671,7.801595638,7.354524144,7.381403237,7.557486656,7.438097021
1367490_at,7.976540817,7.865017463,8.062259193,8.013363617,8.17982939,7.934473257,8.019592527,8.007419998,8.119101874,8.035332619
1367491_at,8.908749057,8.788291317,8.659839273,8.529296373,8.536059597,8.349325248,8.754842174,8.667573919,8.73930647,8.601234087
1367492_at,9.373261335,9.406309123,9.409444053,9.365069224,9.306651833,9.284804371,9.314051603,9.267083579,9.380864508,9.379741688
1367493_at,9.530472416,9.513007266,9.51074736,9.537579424,9.581734945,9.504789637,9.692948927,9.630356231,9.601787965,9.593881486
1367494_at,9.998541484,9.835151814,9.856340427,9.837194473,9.684439941,9.709319785,9.756562909,9.766912147,9.943968033,9.875556
1367495_at,9.145154739,9.680101442,9.315285978,9.575672175,9.526941894,9.510712813,9.486706597,9.587387774,9.456102676,9.561905341
1367496_at,10.42119088,10.50478711,10.1809787,10.33034479,10.00606106,10.28110461,10.23810816,10.21064761,10.14240781,10.13022345
1367497_at,9.875505193,9.753929403,9.772466592,9.764261224,9.469149603,9.693580937,9.878982318,9.86131528,9.99401725,9.854138817
1367498_at,9.034573096,8.796999621,9.159804221,8.993901761,9.158604075,9.22930213,9.061265998,8.956654559,9.273028253,9.076204778
1367499_at,7.526734271,7.844569546,7.8372384,7.890688362,8.00515898,8.112201388,7.884907759,7.843248058,7.952448715,8.060670609
1367500_at,10.19498948,10.34502754,10.11258125,10.00544848,9.86573023,9.932488926,9.978629557,10.18896912,10.19733047,10.10286661
1367501_at,7.865283168,8.030591589,7.87875401,8.023686004,7.754742497,7.907313152,7.808948422,7.882432759,7.977473608,7.780429406
1367502_at,7.964413723,7.638492919,7.967425213,7.65382872,7.692815374,7.599863405,7.867554506,7.596621267,7.829318211,7.692578864
1367503_at,10.32398541,10.27874315,9.998162058,9.887314078,9.754960187,9.594361687,9.939428255,10.00504763,10.15122302,10.26803171
1367504_at,8.308648527,8.208987802,8.478903431,8.477420149,8.567353255,8.805746316,8.481151731,8.613078636,8.647119765,8.492377759
1367505_at,8.036539905,7.985583188,8.341982053,8.299760309,8.37291131,8.691199488,8.216604949,8.184715733,8.491581819,8.263677686
1367506_at,8.436004436,8.391959746,8.39858925,8.187120075,8.31816216,8.26224448,8.393758275,8.305646766,8.416629355,8.246956748
1367507_at,5.872211844,5.841119596,5.82135513,5.785172949,5.691822368,5.772749237,5.522428859,5.735935648,5.735935648,5.587408699
1367508_at,7.790818621,7.780509215,7.785676513,7.839840378,7.87278821,7.96833717,7.779625746,7.974597243,7.926966563,7.892735915
