index,CD8.T.cells,CD4.T.cells,B.cells,NK.cells,monocytic.lineage,neutrophils,fibroblasts,endothelial.cells
ABCC1,110,216,52,747,654,280,3,104
ABHD2,162,218,69,328,2272,1135,5,83
ABI1,275,61,637,1082,270,759,7,99
ABL2,274,128,41,638,781,85,7,106
ABTB1,271.5,507,135,190.5,97.5,5322.5,7,1991.5
ABTB2,42,28,235,128,12,99,8,1084
ACAP1,409,104,261,11,13,677,9,3294
ACAP2,103,17,437,326,356,1149,9,215
ACER3,38.5,95.5,68,467.5,947.5,70,10,141
ACP5,34,33,85,383,1564,123,10,16
ACTR2,623,348.3333333,726.6666667,1377.333333,636,3077,11,45
ADAM12,35,13,123,66,1633,100,11,124
ADAM19,130,210,272,104,593,179,12,351
ADAM8,94,159,194,235,51,1624,12,1876
ADAP2,24,37,43,411,1006,80,12,97
ADCY7,230,160,113,192,214,284,12,153
ADPGK,214,165,242,867,477,353,13,125
AGPS,215,358,82,323,466,65,13,176
AHRR,24,163,219,2735,2432,273,14,18
AIF1,603.3333333,1004,18.66666667,750.3333333,1414,3218.333333,14,74.66666667
AIFM2,91,39,21,346,850,17,16,266
AIM2,205,120,225,195,35,82,16.5,1198
AKAP13,748,391,387,1579,371,1066,17,137
AKIRIN1,441.6666667,376,227.6666667,697.6666667,391,661,17,192.3333333
AKNOGENE,2397,1193,483,251,552,2893,17,233
AKT1S1,82,111,91,184,396,94,18,268
ALG2,218,1140,183,1322,528,158,18,44
ALG5,80,144,126,157,114,205,19,602
ALOX15,3,36,87,17,1560,197,19,103
ALOX5,15,54,218,74,137,1335,20,1655
ALPK1,34,783,49,148,408,2036,20,166
AMICA1,1023,1325,26,602,3011,11034,20,39
AMPD1,51,27,162,97,39,92,20,1607
AMPD2,317,447,157,391,222,3526,21,303
AMPD3,86,165,151,1213,550,240,22,209
ANKRD13A,730,1476,1090,779,703,5738,22,47
ANKRD28,175.5,155,56.5,356.5,466.5,139.5,23,541.5
ANKRD44,485,610,918,144,487,1640,23,207
ANP32A,500,217,553,558,294,1665,25,104
ANP32E,103,224.5,226.5,81.5,145.5,235,26,619.5
AP1S2,160,241,140,1269,325,685,26,114
AP2S1,151,80,171,531,658,179,27,66
APBB1IP,3080,2546,700,419,2322,8203,27,12
APOBEC3A,24,121,56,206,20,1449,27.66666667,1978
APOBEC3B,144,22,116,81,13,41,29,3306
APOBEC3G,699,424,174,114,57,120,29,1029
ARAP1,36,296,109,344,262,662,30,296
ARF6,289,593,557,256,225,377,30,208
ARHGAP15,315,363,223,137,101,1356,30,419
ARHGAP18,306,533,101,872,3008,139,31,12
ARHGAP22,18,26,44,143,88,20,31.5,818
ARHGAP25,284,207.5,302,129.5,326,2323.5,32,286.5
ARHGAP26,79,69,182,397,82,289,32,610
ARHGAP30,2654,2382,991,1917,1209,5461,32,37
ARHGAP9,1015.333333,2165,489.6666667,482.6666667,2373,8363.666667,32,82.66666667
ARL4C,1659,900.6666667,111.3333333,50.66666667,722,247.6666667,32,311.3333333
ARL6IP6,474,1486,120,872,415,825,32,213
ARL8B,171,1410,214,3091,1281,244,32,37
ARNTL2,11,13,17,416,496,17,33,478
ARPC5,416,422,390,2131,639,2442,34,25
ARPC5L,804.5,1391,209,324.5,322,205.5,34,185.5
ARRB2,300,426,110,524,667,2688,36,81
ARRDC4,153,217,262,2409,7647,444,36,7
ASAP1,266.4,226.8,177.8,2285,2052.6,1876.2,36,41.2
ASF1B,62,34,343,90,77,515,36,775
ASPM,57,2,75,3,6,53,36,11370
ASXL1,200,465,229,209,267,70,36,390
ATAD2,125.5,1134.5,61.5,47,48,29,37,1071
ATG16L2,173,166.5,257.5,457,399,5107,37,279
ATG7,107,88,104,823,523,486,37,187
ATL3,87,566,171,474,189,118,37.5,262
ATM,401.6666667,361.3333333,331.3333333,67.66666667,186.3333333,142.6666667,38,544.6666667
ATP13A3,92,106,152,1659,483.5,70,38,220
ATP2B1,132,368,468,929,1237,584,39,120
ATP6V1A,102,80,145,1034,489,1003,39,84
ATP6V1C1,71,33,79,349,415,197,39,171
ATP8B2,3083,2060,165,173,6,137,39,5212
ATXN1,237,77,105,856,178,125,39,265
AURKA,78,32,268,64,47,45,40.5,796
BACH1,95,204,349,1241,423,1579,41,214
BACH2,748.3333333,769.3333333,911.6666667,48,36.33333333,111,41,1710.333333
BANK1,141.5,164,1386.5,126.5,124,111,41,1704
BANP,286.3333333,276,284.3333333,1821,188.3333333,1008.666667,42,431.6666667
