,CD8_Tcell,CD4_Tcell,B_cell,Macrophage,Dendritic,Neutrophil
MALAT1,7738,15103,12736,11727,8535,8595
FPR3,119,114,165,1597,6138,323
CTSC,646,220,34,529,5733,1006
MALAT1,6353,5805,5630,5976,6062,3983
ASAP1,567,218,121,3330,4527,4005
ARRDC4,153,217,262,2409,7647,444
C1orf162,622,2948,580,1275,6189,756
SRXN1,429,102,247,7543,3216,3871
ASAP1,395,343,159,4004,1796,3159
NOGENE,911,307,291,545,2861,640
TGFBI,137,331,103,417,2422,36
CYP1B1,70,92,185,6583,3056,155
SLC6A6,291,609,196,3319,2294,6621
FGL2,1421,938,163,1600,4165,5328
RAP2B,1904,265,167,1222,3566,751
APBB1IP,3080,2546,700,419,2322,8203
NOGENE,2278,2879,97,1383,1846,841
BLOC1S2,1071,1432,1247,2799,1489,2259
COTL1,1356,3387,491,2016,2009,6687
ARHGAP18,306,533,101,872,3008,139
KIAA1949,4035,3092,632,5010,1598,12696
ITGB2,881,2116,386,1843,1486,3655
LOC150166,954,1854,225,2838,4420,4858
PPT1,406,410,121,809,990,1518
NOGENE,454,51,203,5656,2878,5429
EMILIN2,125,66,185,3794,2515,270
FABP5,163,20,70,1118,2023,119
GGTA1,71,97,162,170,5858,129
GM2A,88,29,148,2650,4778,287
ACP5,34,33,85,383,1564,123
RAB10,582,1471,181,3283,1572,2720
GRB2,1178,1140,2260,2051,1010,5472
MALAT1,1090,2880,4886,16045,3604,8183
CD1A,57,129,232,125,7072,370
MAFB,307,697,153,5659,5422,334
LCP1,1250,1649,825,2406,2266,4580
CD1B,32,25,167,52,4996,145
NCF2,60,506,108,3258,1189,5409
AHRR,24,163,219,2735,2432,273
TALDO1,258,254,222,4800,1386,2215
PLDN,334,1132,450,818,2441,575
GLIPR2,825,595,102,3250,3072,6572
FERMT3,311,1868,247,4059,1141,2301
CD1E,39,10,39,33,4897,44
FGL2,267,233,66,628,3688,3138
MMP12,29,25,202,79,6452,243
LAPTM5,364,2113,4303,1971,2537,4456
ASAP1,185,267,310,2782,2181,1301
TNFSF13B,337,153,177,792,2032,5381
CSF1R,117,1005,153,1294,2794,300
YY1,1422,2843,525,1469,985,2848
GM2A,61,179,98,796,3941,151
LACTB,252,1816,273,2193,2427,481
HCST,3541,1334,92,1036,3548,791
RASSF4,226,31,35,1763,2630,107
GM2A,64,38,144,1614,5142,156
NOGENE,126,134,26,450,1332,45
CREG1,110,77,41,1907,1097,227
ARPC5,416,422,390,2131,639,2442
CECR1,199,185,490,734,1735,321
SLC26A11,1313,554,229,1693,4814,354
TNFSF13B,285,343,104,783,2738,7208
LIMS1,175,354,156,1306,1081,259
ACTR2,624,301,1093,1838,855,4407
RASAL2,10,56,130,784,1570,294
STK4,2676,1915,894,1057,544,5363
RNOGENESE6,87,44,783,164,1618,1675
PGD,58,42,150,2867,1744,1324
EFTUD2,592,1256,325,1571,1114,487
TXNRD1,103,96,66,2737,817,451
C9orf80,311,1499,250,916,1079,593
MFSD1,55,208,494,719,1068,1030
PPM1M,919,1649,209,684,919,1432
HMOX1,40,188,207,704,1853,225
LOC100131993,83,197,135,412,3087,606
CD1C,16,25,474,161,4311,204
ARHGAP9,1606,3073,676,941,3141,11396
CD52,2004,1141,2352,752,3907,903
CTSS,762,1640,1130,1876,1473,4093
DIRC2,62,164,151,1195,1933,521
C6orf62,783,670,1734,2594,1653,601
KDM2B,1027,525,711,672,1579,235
RAPGEF1,823,755,404,1645,1023,952
CAP1,1148,460,875,928,2479,3117
SLC7A11,11,22,90,2499,1695,84
MPEG1,377,1285,819,2319,4760,5498
RAC2,289,1401,2322,2721,2592,5144
NOGENE,66,78,113,103,2558,258
TMEM30A,599,309,482,2157,2405,1250
LPCAT2,60,180,96,104,1023,1686
MARCH1,32,103,712,274,1178,150
PTPRJ,893,643,317,2181,1592,4098
PTPRE,214,124,234,3348,1682,1331
GLIPR1,574,359,451,781,2080,1646
SGK3,257,280,165,4123,1282,86
NEK6,47,347,180,1235,3216,436
GLIPR1,598,206,183,786,964,1029
CTSB,60,63,144,1231,1970,122
RIT1,230,363,240,4501,2875,2829
HVCN1,555,419,2388,272,2453,2368
CYP1B1,14,12,66,1782,720,27
HCLS1,571,834,750,1011,643,4279
CYP1B1,24,6,165,2346,1229,131
PLA2G7,15,15,122,4691,2388,96
TARDBP,922,2209,379,1321,567,766
TREM2,10,8,16,21,2154,114
NFXL1,165,406,107,178,4905,426
ARL8B,171,1410,214,3091,1281,244
ARHGAP30,2654,2382,991,1917,1209,5461
SLC27A3,90,201,44,484,2563,79
ZCCHC2,370,931,184,1249,1636,888
CRIM1,189,201,181,4042,1940,46
PRAGMIN,955,519,150,261,1443,293
CCNY,961,827,161,406,1376,2369
LRRFIP1,930,2480,742,2372,2573,5242
AMICA1,1023,1325,26,602,3011,11034
CCL22,55,9,34,3080,4310,106
DENND4C,681,199,147,731,3359,165
PTPRC,999,120,1532,1813,1888,10221
CLEC10A,21,22,67,50,3926,76
PL-5283,496,353,281,1666,1952,850
ARHGAP9,1237,2457,559,340,3171,9419
CPPED1,192,517,213,772,1353,7498
CBL,423,496,452,1010,1089,866
ITGAM,516,694,66,1039,1813,1136
TMEM167A,518,1729,119,1655,1626,1054
RNF13,153,286,362,1604,1017,4409
DOK3,229,185,363,2862,2033,7436
LITAF,504,368,348,974,815,3618
BCL2L11,421,459,234,233,2414,1019
CD52,1344,803,2128,539,2925,330
CNOT6L,2466,688,582,484,1239,1235
ENO1,337,76,360,1510,1145,248
CLEC7A,24,204,130,480,983,2578
HAVCR2,118,2361,13,1514,2918,19
MARCH1,55,192,455,208,834,150
RAPGEF1,846,480,145,857,902,384
ALG2,218,1140,183,1322,528,158
CKLF,530,1387,138,1569,2428,4409
MALAT1,941,6932,643,2486,1472,1151
UBE2Z,1832,1551,229,2191,770,523
FPR3,8,28,149,281,1451,237
NOGENE,203,129,1374,104,3424,78
HLA-DPA1,140,239,374,83,2830,129
PPHLN1,1013,1295,558,1062,1040,1273
PQLC3,407,416,247,265,1188,145
NOGENE,100,537,76,7779,3046,166
CD44,653,594,160,1894,856,331
RAB8B,1115,4621,123,2516,851,2826
CBL,428,225,303,422,313,1288
RNF149,739,1194,100,2563,1377,5517
ANKRD13A,730,1476,1090,779,703,5738
LOC645638,33,3,64,615,1939,42
ACTR2,636,244,754,959,557,2823
LPXN,275,100,166,1530,1460,229
TM2D2,330,242,150,885,1498,282
NOGENE,267,942,588,812,845,2493
CHST11,359,629,239,2016,2268,699
PLDN,256,668,147,291,2092,153
BID,80,305,201,1206,1306,2267
FOXN2,1241,1255,417,1440,410,1168
SMCR8,679,1353,504,3036,1222,1010
DOCK8,822,1976,282,975,1640,3731
MREG,70,145,132,1095,2477,150
PIP4K2A,2750,1999,714,675,1099,1141
IL1RN,42,19,109,5258,3628,701
NOGENE,617,914,385,686,588,267
SRGAP2P1,111,1281,125,902,1106,620
CORO1C,73,152,105,1154,2330,731
STAB1,33,50,81,354,1302,100
TLR8,80,238,149,3660,1223,4900
WTAP,1193,1253,1207,5311,598,3915
CANX,282,659,89,717,861,379
CCNY,692,250,172,274,1642,2619
CDKN1A,118,193,161,2563,1659,67
M6PR,164,159,213,961,856,243
RASSF5,3551,2837,575,3465,1009,7451
NOGENE,1894,3145,1894,432,1822,1023
LIMS1,382,551,168,979,858,344
MNDA,78,103,83,1056,572,7689
UCP2,366,933,1675,2985,2461,1048
CSF2RB,139,251,179,882,1831,5441
GSN,3,6,16,177,2747,124
NOGENE,992,742,205,256,1167,214
RFWD2,235,900,112,1174,1105,3505
NUB1,866,1616,367,678,1485,970
HNRNPC,611,4398,473,804,624,2925
SLC25A40,194,1783,73,1402,2601,301
GM2A,8,11,58,504,2964,59
LOC150166,163,972,138,1317,1224,5221
CPM,41,88,110,1101,2674,165
HCK,41,542,176,1759,1032,4812
SLC7A11,35,36,127,1717,1017,43
SMAP2,1215,2045,1018,1105,1248,8662
TMEM138,228,256,222,2650,1481,159
PTPRC,339,1404,1429,1086,796,4200
KYNU,41,60,168,2489,842,65
MBP,1930,866,209,982,915,3313
IRF5,249,449,146,900,3855,147
LPCAT2,116,110,156,156,1027,517
PGK1,588,4611,245,1262,1273,1338
GLIPR1,522,282,632,644,1106,1788
CD209,70,36,189,125,1898,154
KPNB1,1504,2153,422,1758,1289,2893
ACTR2,609,500,333,1335,496,2001
CD44,746,256,139,1888,1318,252
RCBTB2,158,22,91,388,1110,827
LSP1,467,725,320,385,1523,3191
IGSF6,35,13,56,1384,819,2258
YWHAB,827,247,309,847,520,1578
CD86,69,161,243,248,1299,169
ZNFX1,641,600,227,812,780,1324
EVL,587,1136,506,221,2398,133
MMP9,71,24,167,7656,5003,2007
HLA-G,3185,536,1777,4843,1354,7452
AIF1,1275,1115,21,918,1709,3686
RRP1B,131,214,192,274,1026,73
NOGENE,839,189,244,289,869,1231
SLC15A3,16,121,205,1169,1867,608
CLEC4A,25,27,160,1073,1010,1203
TBL1XR1,343,424,466,891,775,1294
SAMD9L,539,1219,245,827,1655,590
ILF2,454,4541,271,963,409,140
RAB7B,54,86,133,282,2073,197
MS4A6A,36,49,180,691,1708,209
PAPD4,469,253,232,556,536,595
LY96,70,62,55,351,452,1049
H2AFY,230,603,148,1564,566,540
UHRF1BP1,336,944,219,465,750,253
UBE2J1,1036,892,641,1401,995,1950
HSP90B1,448,150,336,677,1160,100
