,GSM495209,GSM495210,GSM495211,GSM495212,GSM495213,GSM495214,GSM495215,GSM495216,GSM495217
0,1367555_at,1370862_at,1370009_at,1375107_at,1370803_at,1389956_a_at,1370239_at,1388608_x_at,1367553_x_at
1,1367556_s_at,1368000_at,1370396_x_at,1375340_at,1368810_a_at,1375651_at,1367566_at,1387883_a_at,1367565_a_at
2,1370228_at,1370027_a_at,1370992_a_at,1375108_at,1386852_x_at,1388159_at,1370240_x_at,1367595_s_at,1388110_at
3,1368288_at,1367598_at,1367647_at,1387112_at,1387073_at,AFFX-r2-P1-cre-3_at,1370154_at,1371504_at,1398836_s_at
4,1370148_at,1368707_at,1367612_at,1370855_at,1398240_at,AFFX-r2-P1-cre-5_at,1370255_at,1398835_at,AFFX_Rat_beta-actin_3_at
5,1370349_a_at,1387291_at,1370241_at,1370274_at,1387772_at,1387341_a_at,1387890_at,1370109_s_at,1367568_a_at
6,1368587_at,1369727_at,1389270_x_at,1372701_at,1367557_s_at,AFFX-CreX-3_at,1387460_at,1371245_a_at,1367630_at
7,1368686_at,1370547_at,1389350_at,1371571_at,1398850_at,1386921_at,1371327_a_at,1367645_at,1368211_at
8,1368021_at,1368161_a_at,1369111_at,1370156_at,1370229_at,1369937_at,1367583_at,1371301_at,1371344_at
9,1368583_a_at,1371099_at,1367576_at,1373718_at,1367693_at,AFFX-CreX-5_at,1388303_at,1367606_at,1367634_at
10,1370086_at,1367917_at,1367871_at,1367579_a_at,1367814_at,1386865_at,1370242_at,1371297_at,1371102_x_at
11,1368155_at,1367755_at,1368420_at,1368854_at,1371320_at,1370246_at,1398324_at,1369107_at,1367573_at
12,1369509_a_at,1368418_a_at,1370299_at,AFFX_Rat_GAPDH_3_at,AFFX_Rat_GAPDH_5_at,1367851_at,1371308_at,1367640_at,1371357_at
13,1368806_at,1370296_at,1368188_at,1375336_at,1388146_at,1387121_a_at,1369966_a_at,1370959_at,1367610_at
14,1388190_at,1386904_a_at,1370511_at,1367617_at,1367653_a_at,1367668_a_at,1398761_at,1398839_at,1384548_at
15,1387830_at,1370420_at,1370580_a_at,1367620_at,AFFX_Rat_GAPDH_M_at,1387862_at,1367625_at,1372111_at,1398917_at
