	GSM495218	GSM495221	GSM495224	GSM495227	GSM495230	GSM495233	GSM495236	GSM495239	GSM495242	GSM495245	GSM495248
1367452_at	10.61070006	10.10240332	10.54688508	10.12726101	10.40335538	10.33596991	10.42247684	10.25770938	10.28700276	10.24956409	10.12843996
1367453_at	9.353454898	9.341296246	9.454594971	9.52289193	9.300842602	9.323396495	9.369971385	9.335911903	9.406646684	9.397160427	9.391937945
1367454_at	9.501580483	9.706748262	9.183315009	9.613463996	9.222099355	9.543155991	9.528829613	9.448391977	9.366571115	9.513466908	9.549386444
1367455_at	10.19034106	10.57083488	10.22385968	10.63223987	10.46337445	10.55509366	10.5418023	10.56085231	10.45552093	10.44344313	10.54769638
1367456_at	10.71669433	10.92627152	10.46967396	10.83158514	10.62790036	10.86320431	10.74810574	10.76254339	10.66889961	10.69913287	10.75294932
1367457_at	8.861868033	8.552818117	8.88232186	8.60225946	8.725745433	8.648832063	8.706496665	8.695021909	8.773224341	8.667240896	8.627272918
1367458_at	6.940662317	7.346208397	7.247938583	7.368939014	7.102393883	7.18148919	7.064885386	7.128923455	7.114020866	7.350257736	7.305317287
1367459_at	11.61935393	11.30800143	11.4622364	11.32281543	11.30922571	11.39604144	11.43504245	11.33683243	11.37228238	11.32913664	11.29696846
1367460_at	11.52398947	11.16296331	11.06467394	11.02670416	11.07389224	11.10755691	11.14752006	11.0937552	11.05228583	10.9680487	10.97486826
1367461_at	9.190044931	9.524697413	8.900503509	9.315132167	9.171085137	9.323487736	9.13343088	9.190651862	9.122826672	9.109579616	9.136194135
1367462_at	10.28807679	9.590831639	10.14431195	9.69215131	10.01024675	9.881152132	9.998085518	9.829744519	9.866196243	9.866405234	9.771138612
1367463_at	9.16058129	9.986750165	9.350904443	9.933615738	9.682481239	9.717614872	9.716026404	9.738916812	9.618852502	9.789049179	9.718198071
1367464_at	9.208378541	8.772295446	9.026591433	9.097647716	9.098764347	8.900675184	8.994894365	8.897668846	8.893975371	8.885011908	8.901072685
1367465_at	9.313059117	9.408200885	9.182025992	9.368585209	9.336559066	9.353016114	9.389335528	9.309371046	9.196734212	9.300327694	9.300099709
1367466_at	9.871764424	9.707020538	9.793797952	9.819457677	9.8123166	9.801692083	9.790327036	9.733088585	9.720989575	9.693775993	9.793028635
1367467_at	10.15481836	10.4215353	10.23132536	10.45519134	10.46135642	10.43172663	10.42207041	10.3871403	10.31521053	10.38261838	10.39360503
1367468_at	8.437597292	8.854176553	8.099776039	8.715294982	8.333121621	8.47381992	8.562976257	8.600457249	8.357400759	8.402501464	8.562190083
1367469_at	11.70719088	11.41336723	11.42461406	11.31125661	11.37616421	11.5025941	11.39739103	11.43714455	11.372773	11.356111	11.32865926
1367470_at	10.19514008	10.07851035	9.708689505	9.914808524	9.987805561	10.06583839	9.970531191	9.960140865	9.867647042	9.822856329	9.863850077
1367471_at	8.706867492	8.607282866	8.227676127	8.393489948	8.30355237	8.41447726	8.399039608	8.378240138	8.293067335	8.281938903	8.324739223
1367472_at	9.266637314	9.002327589	9.371826674	9.256638367	9.311995633	9.244491301	9.22713933	9.232933473	9.274798395	9.129049354	9.235015025
1367473_at	9.002526446	9.085280488	9.005285941	8.996288156	8.979009886	9.009951664	8.920697064	8.985221334	9.008013396	8.914712578	8.969549675
1367474_at	8.395420854	8.475747969	7.819315851	8.429997397	8.23184012	8.254023468	8.246014949	8.190646098	8.036721149	8.110757317	8.226895117
1367475_at	10.89918589	10.30113336	10.20522538	10.07024703	9.930186889	10.43574536	10.35781856	10.27249373	10.24864433	10.02955804	10.05665899
1367476_at	10.90082209	10.69495586	10.91028397	10.75220434	10.79693387	10.71741402	10.80177452	10.82078239	10.84102656	10.7761447	10.78560106
1367477_at	9.405447298	9.643626812	9.283425234	9.593710267	9.521886605	9.560029562	9.552683934	9.510744255	9.420565667	9.472408483	9.494129763
1367478_at	7.918044507	7.633787036	7.512195033	7.584823832	7.717977613	7.704166075	7.616273437	7.497810675	7.476535943	7.42347373	7.431919128
1367479_at	10.05967841	10.15220882	10.34368712	10.23345948	10.2932954	10.22080898	10.24772703	10.21750946	10.22996416	10.25151981	10.30348991
1367480_at	9.182936057	8.869934685	8.671898823	8.705075571	8.824155032	8.820533957	8.854819252	8.709287001	8.65484063	8.602172239	8.571359041
1367481_at	9.697914131	9.277998555	9.183037535	9.09057699	9.281891072	9.367756759	9.288613712	9.215739668	9.11695216	9.060031619	9.012727847
1367482_at	8.821071723	8.888520304	8.777178356	9.045698321	8.957642586	8.887131414	8.901626907	8.823649041	8.842755796	8.814473908	8.847120985
1367483_at	7.942979816	8.211320401	8.019220098	8.209443778	8.049241728	8.05154567	8.12140556	8.084403936	7.978809616	8.033499886	8.074326246
1367484_at	9.970670322	9.620037911	9.822647798	9.590650841	9.653349036	9.645354325	9.627032318	9.574166926	9.564105887	9.529004121	9.495839858
1367485_at	10.19711903	9.934929553	9.98432488	9.933257407	9.773102976	10.01704645	9.970296878	9.913155225	9.942736491	9.863752153	9.934892242
1367486_at	7.931103162	8.506149542	7.756536205	8.32341158	8.167540081	8.211626038	8.145224546	8.199849099	7.962706474	8.07796518	8.182632656
1367487_at	7.646443353	7.443312558	7.416863282	7.358397418	7.490501548	7.369731216	7.380999172	7.316409365	7.369526042	7.459353507	7.531041827
1367488_at	8.171611552	7.872807587	8.480189466	8.100786992	8.251778121	8.202410649	8.136259952	8.166856628	8.235598106	8.18665396	8.188865619
1367489_at	6.423030238	6.057249349	6.605446957	6.268686922	6.491767311	6.218654904	6.167219808	6.181419473	6.379859089	6.315305475	6.359416741
1367490_at	7.413425738	7.263584561	7.340012279	7.219647289	7.327403068	7.24416768	7.324275719	7.28123236	7.280148275	7.20806136	7.28003385
1367491_at	8.727645941	8.991891413	8.594953439	8.756982599	8.653278195	8.794813125	8.636151266	8.752647679	8.588151219	8.696592005	8.724621157
1367492_at	9.479727203	8.994424973	9.19298672	8.949620395	9.134883767	9.026446855	9.060463249	9.04614358	9.105808345	8.922103053	8.910154247
