	GSM495209	GSM495210	GSM495211	GSM495212	GSM495213	GSM495214	GSM495215	GSM495216	GSM495217
1367452_at	9.708804612	9.699480115	9.722402622	10.69206212	10.76854284	10.67364722	10.71941432	10.76004565	10.71366559
1367453_at	9.440922402	9.44778705	9.366184835	9.638797785	9.708867461	9.610924113	9.152601592	9.250761768	9.138398411
1367454_at	10.06538655	9.875976981	9.980733078	8.9794781	9.068792591	9.058247447	9.682634484	9.70235123	9.710812269
1367455_at	10.77270111	10.80636815	10.79912341	10.0775686	10.0692129	10.05220282	10.2174766	10.23161928	10.23253069
1367456_at	10.87273973	10.94715318	10.8839441	10.19130293	10.20360903	10.18771036	10.89149747	10.89630676	10.78611414
1367457_at	8.519880606	8.500472584	8.381524736	9.043162535	9.082561195	8.965177474	8.855238678	8.817701304	8.930048048
1367458_at	7.721925483	7.846570225	7.762254939	7.205328435	7.188535025	7.131140912	7.19092557	7.117293006	6.932102353
1367459_at	11.13078406	11.2119167	11.1694571	11.55511303	11.55904928	11.48115441	11.66933257	11.65896086	11.65445951
1367460_at	10.93270789	10.98426943	11.0043461	11.09548298	11.1465375	11.18221273	11.59952166	11.66916599	11.67050299
1367461_at	9.69243626	9.76039302	9.692786163	8.816938469	8.755888821	8.717589206	9.402326499	9.434694102	9.484716602
1367462_at	9.213148812	9.191071139	9.190954486	10.39651915	10.55398769	10.44038713	10.3156465	10.24487153	10.16413356
1367463_at	10.42132862	10.38962015	10.33739482	9.120419031	9.221912184	9.141958565	9.282881513	9.319843899	9.24470879
1367464_at	8.925004492	8.77144009	8.979804686	9.228758471	9.217996872	9.308275134	9.053366734	9.183034227	9.183896267
1367465_at	9.554394851	9.518279299	9.565706288	9.161620452	9.241458518	9.253869142	9.484520839	9.455259396	9.407036087
1367466_at	9.935738537	9.845363218	9.849563555	9.859183551	9.76836725	9.836029654	9.986188929	9.993855759	9.958817376
1367467_at	10.6389439	10.66048404	10.6078864	10.17435676	10.21524801	10.18756516	10.05277081	10.01646445	10.11895333
1367468_at	9.205463215	9.202009429	9.207598388	8.006302981	8.066493506	8.010425318	8.654508626	8.603603634	8.6868637
1367469_at	11.12393025	11.14822805	11.12133385	11.3562095	11.37672235	11.4431635	11.91856239	11.82447692	11.85976077
1367470_at	10.10703392	10.11659063	10.07482478	9.839320295	9.818307661	9.703943693	10.22059637	10.25113045	10.29870221
1367471_at	8.575616602	8.598768317	8.652936892	8.292553179	8.413537555	8.262781282	8.962443277	9.040604616	9.004733107
1367472_at	9.001317966	9.079818747	8.975865993	9.489426258	9.492665485	9.535798892	9.225725491	9.245765009	9.129223949
1367473_at	9.235076683	9.199994915	9.155326108	9.119191015	9.086046274	9.111185864	9.150401742	9.1579791	9.060926013
1367474_at	8.792990769	8.879417993	8.935498024	7.780954357	7.755107175	7.866875936	8.556832374	8.469867556	8.41214913
1367475_at	9.841589698	9.840027869	9.840179938	10.20935854	10.23080479	10.25654836	11.17167553	11.18238334	11.29317309
1367476_at	10.43660114	10.58348015	10.48240953	11.05034875	11.14743514	11.07526716	10.88459357	10.87456907	10.87825447
1367477_at	9.780253381	9.781209326	9.848415421	9.45527169	9.412314009	9.407853325	9.476043473	9.380207328	9.529061738
1367478_at	7.592738848	7.809748336	7.609332009	7.859815959	7.866622343	7.837955132	7.992665354	8.052714435	7.998280945
1367479_at	10.2771484	10.25831862	10.28124816	10.43317789	10.47693402	10.39679785	9.914870016	9.870712755	9.966624635
1367480_at	8.864371083	8.868848839	8.888929426	8.8604571	8.853358368	8.835762753	9.449256891	9.334944233	9.422661508
1367481_at	9.109414956	9.144670089	9.123239329	9.240379293	9.430672514	9.37936945	9.889077776	9.945042139	10.00206411
1367482_at	9.164272955	9.193953221	9.202000301	8.972034563	8.997038496	8.945578948	8.779041351	8.728131643	8.821972241
1367483_at	8.730031517	8.742320276	8.691406815	8.072538287	8.171455439	8.10706835	7.979113536	8.006156349	8.058444283
1367484_at	9.351603185	9.359267416	9.289836754	9.811898485	9.888453986	9.975973777	9.988602769	9.910397674	9.980459114
1367485_at	9.900465676	10.04321404	9.995247904	10.00739897	9.979653654	9.966358256	10.2600816	10.31801353	10.36570765
1367486_at	8.87423622	8.941454793	8.889649522	7.801529375	7.767886955	7.809800798	8.214687458	8.171740681	8.110265365
1367487_at	7.561312448	7.573079198	7.538678134	7.723416459	7.516871367	7.552076398	7.685281695	7.752890133	7.810853461
1367488_at	7.968671091	8.014252901	7.813909636	8.600134206	8.491096925	8.565065046	8.168538853	8.070208439	8.162061347
1367489_at	5.961820328	6.183649121	5.923047306	6.864667237	6.742677306	6.96278987	6.455680827	6.447921237	6.644918179
1367490_at	7.417044722	7.598562412	7.460555951	7.636758574	7.712690546	7.690767252	7.305829553	7.362994524	7.379692956
1367491_at	9.125709267	9.15050485	9.247313877	8.453442421	8.467463069	8.486122401	8.887212576	8.848924503	8.862052598
1367492_at	8.64826537	8.598245449	8.7085504	9.381375147	9.415019271	9.38182603	9.512692074	9.537457281	9.643330538
1367493_at	9.028552518	9.087847653	9.062100929	8.840764971	8.97257715	8.852564916	8.809043874	8.899914395	8.913675488
1367494_at	9.514120573	9.591125013	9.488972509	9.235277852	9.191151895	9.201180329	9.610162	9.464665707	9.64340459
1367495_at	7.281118298	7.444594416	7.503570136	7.918034061	8.089052685	8.11523754	7.958669536	7.914716434	7.928622556
1367496_at	10.6565465	10.58856446	10.67770029	10.10702527	10.14523998	10.19727367	10.82601874	10.76835335	10.85776614
1367497_at	8.173863694	8.287810818	8.099152654	8.733999724	8.802329956	8.823259341	8.445859578	8.446471756	8.494171916
1367498_at	8.418557012	8.504161733	8.465608886	8.446468497	8.532287206	8.525610435	8.690992924	8.6717596	8.69394962
1367499_at	7.685095351	7.559242426	7.56968875	7.08835721	6.956651552	6.979645457	7.28895045	7.328263975	7.185065521
1367500_at	9.821719507	9.761961105	9.805607649	9.519225988	9.549246371	9.572281554	10.02868527	9.950317164	10.00905931
1367501_at	8.472214756	8.507374465	8.346524885	8.22082107	8.202282953	8.174306976	7.738997078	7.848414244	7.799037415
1367502_at	8.316074298	8.379463683	8.283261973	7.778026479	7.910702873	7.852760837	7.826377247	7.705763645	7.765670081
1367503_at	10.17502795	10.25244426	10.24832698	9.586534899	9.700880168	9.620931406	9.92135969	9.957278012	9.932208716
1367504_at	7.950714027	7.99150988	7.996220015	8.026690024	7.978555557	8.023551648	7.75682136	7.774462258	7.790453996
1367505_at	8.406314061	8.429563591	8.400471946	8.486112304	8.488648037	8.53692762	8.093823306	8.089555014	8.185110103
1367506_at	9.289265243	9.315450273	9.149165607	8.544414888	8.532376693	8.499861496	8.300203932	8.192249581	8.228868066
1367507_at	7.203231951	7.133571251	6.695910739	6.066054156	5.988234188	5.866382613	6.263116366	6.545832619	6.471152596
1367508_at	8.545320157	8.603040027	8.605303358	7.675400705	7.938134325	7.890020922	7.751968156	7.731331495	7.764578527
1367509_at	9.222091764	9.221013597	9.240833775	9.581456695	9.632548489	9.654273443	9.222127112	9.263538707	9.24636856
1367510_at	9.4011628	9.396694347	9.28248598	9.277348167	9.360759873	9.22814144	8.842629468	8.904550002	8.838079007
1367511_at	8.312473112	8.213147111	8.166355495	7.524671269	7.536045299	7.491676967	8.414539264	8.469266135	8.380971093
1367512_at	10.66069136	10.73030007	10.68756348	11.3503251	11.4222313	11.34809574	11.46371893	11.53143329	11.54936256
1367513_at	7.931419594	7.834253235	7.873568269	7.626944496	7.600899994	7.638566957	7.783555982	7.886838518	7.846389459
1367514_at	7.350588493	7.444587384	7.26936683	6.937099874	7.096656115	7.151234907	7.404952171	7.362497344	7.334692612
1367515_at	8.089491733	7.965775651	8.041147672	9.07871331	8.924245591	9.230674301	8.341890121	8.502720185	8.496391254
1367516_at	8.321890795	8.368521699	8.293986774	8.355582975	8.343089645	8.272712576	7.611694637	7.541844465	7.644653748
1367517_at	7.844067369	7.870752034	7.842005773	7.529916334	7.357672875	7.367436698	8.149502681	8.173674374	8.171992246
1367518_at	8.048260273	8.023124406	8.176565753	9.06740307	8.894729458	9.02670951	8.06312267	7.903612861	7.89699122
1367519_at	8.463210209	8.445912784	8.440707032	8.768677904	8.756473761	8.741699044	8.435089609	8.509949372	8.445619023
1367520_at	9.269184119	9.387314218	9.306255167	9.039495639	8.996650388	8.906180316	8.771609683	8.848186019	8.969679656
1367521_at	6.511905869	6.694342853	6.659042007	6.577082975	6.513683675	6.485979525	6.896945163	6.911588348	7.009897268
1367522_at	8.347734943	8.394494307	8.203531786	8.090559596	8.156092361	8.194172241	8.13542354	8.03122034	8.047659755
1367523_at	8.333540117	8.389767258	8.227354795	8.850389069	9.139956236	9.043235071	8.719086981	8.65887709	8.808871165
1367524_at	7.294796031	7.232473958	7.170184979	6.479795731	6.278535433	6.173937119	6.845945888	6.950594119	6.926899477
1367525_at	8.86691356	8.859140033	8.849532511	8.952658566	8.916120478	8.900649989	9.509711	9.544038567	9.42617915
1367526_at	8.983298576	8.941028435	8.976924338	8.663584435	8.745258528	8.634891874	8.509295619	8.310271283	8.370481419
