	GSM495209	GSM495212	GSM495215
1367452_at	9.708804612	10.69206212	10.71941432
1367453_at	9.440922402	9.638797785	9.152601592
1367454_at	10.06538655	8.9794781	9.682634484
1367455_at	10.77270111	10.0775686	10.2174766
1367456_at	10.87273973	10.19130293	10.89149747
1367457_at	8.519880606	9.043162535	8.855238678
1367458_at	7.721925483	7.205328435	7.19092557
1367459_at	11.13078406	11.55511303	11.66933257
1367460_at	10.93270789	11.09548298	11.59952166
1367461_at	9.69243626	8.816938469	9.402326499
1367462_at	9.213148812	10.39651915	10.3156465
1367463_at	10.42132862	9.120419031	9.282881513
1367464_at	8.925004492	9.228758471	9.053366734
1367465_at	9.554394851	9.161620452	9.484520839
1367466_at	9.935738537	9.859183551	9.986188929
1367467_at	10.6389439	10.17435676	10.05277081
1367468_at	9.205463215	8.006302981	8.654508626
1367469_at	11.12393025	11.3562095	11.91856239
1367470_at	10.10703392	9.839320295	10.22059637
1367471_at	8.575616602	8.292553179	8.962443277
1367472_at	9.001317966	9.489426258	9.225725491
1367473_at	9.235076683	9.119191015	9.150401742
1367474_at	8.792990769	7.780954357	8.556832374
1367475_at	9.841589698	10.20935854	11.17167553
1367476_at	10.43660114	11.05034875	10.88459357
1367477_at	9.780253381	9.45527169	9.476043473
1367478_at	7.592738848	7.859815959	7.992665354
1367479_at	10.2771484	10.43317789	9.914870016
1367480_at	8.864371083	8.8604571	9.449256891
1367481_at	9.109414956	9.240379293	9.889077776
1367482_at	9.164272955	8.972034563	8.779041351
1367483_at	8.730031517	8.072538287	7.979113536
1367484_at	9.351603185	9.811898485	9.988602769
1367485_at	9.900465676	10.00739897	10.2600816
1367486_at	8.87423622	7.801529375	8.214687458
1367487_at	7.561312448	7.723416459	7.685281695
1367488_at	7.968671091	8.600134206	8.168538853
1367489_at	5.961820328	6.864667237	6.455680827
1367490_at	7.417044722	7.636758574	7.305829553
1367491_at	9.125709267	8.453442421	8.887212576
1367492_at	8.64826537	9.381375147	9.512692074
1367493_at	9.028552518	8.840764971	8.809043874
1367494_at	9.514120573	9.235277852	9.610162
1367495_at	7.281118298	7.918034061	7.958669536
1367496_at	10.6565465	10.10702527	10.82601874
1367497_at	8.173863694	8.733999724	8.445859578
1367498_at	8.418557012	8.446468497	8.690992924
1367499_at	7.685095351	7.08835721	7.28895045
1367500_at	9.821719507	9.519225988	10.02868527
1367501_at	8.472214756	8.22082107	7.738997078
1367502_at	8.316074298	7.778026479	7.826377247
1367503_at	10.17502795	9.586534899	9.92135969
1367504_at	7.950714027	8.026690024	7.75682136
1367505_at	8.406314061	8.486112304	8.093823306
1367506_at	9.289265243	8.544414888	8.300203932
1367507_at	7.203231951	6.066054156	6.263116366
1367508_at	8.545320157	7.675400705	7.751968156
1367509_at	9.222091764	9.581456695	9.222127112
1367510_at	9.4011628	9.277348167	8.842629468
1367511_at	8.312473112	7.524671269	8.414539264
1367512_at	10.66069136	11.3503251	11.46371893
1367513_at	7.931419594	7.626944496	7.783555982
1367514_at	7.350588493	6.937099874	7.404952171
1367515_at	8.089491733	9.07871331	8.341890121
1367516_at	8.321890795	8.355582975	7.611694637
1367517_at	7.844067369	7.529916334	8.149502681
1367518_at	8.048260273	9.06740307	8.06312267
1367519_at	8.463210209	8.768677904	8.435089609
1367520_at	9.269184119	9.039495639	8.771609683
1367521_at	6.511905869	6.577082975	6.896945163
1367522_at	8.347734943	8.090559596	8.13542354
1367523_at	8.333540117	8.850389069	8.719086981
1367524_at	7.294796031	6.479795731	6.845945888
1367525_at	8.86691356	8.952658566	9.509711
1367526_at	8.983298576	8.663584435	8.509295619
1367527_at	8.220550711	7.668413391	7.51980666
1367528_at	8.299118904	8.051459776	8.53529591
1367529_at	8.717127532	7.927953829	8.14913013
1367530_at	8.278026463	9.137041575	8.531474249
1367531_at	9.64754516	10.36415891	10.27275308
1367532_at	10.58776137	10.44080025	11.33825623
1367533_at	8.824297818	9.469348953	8.605746906
1367534_at	8.180839125	8.951093996	9.134102922
1367535_at	7.874826691	7.489578312	7.208633559
1367536_at	7.899984218	6.9066378	7.296446136
1367537_at	7.212267808	7.479611613	7.772103422
1367538_at	8.159472302	9.199297082	9.273593089
1367539_at	8.32340523	8.67045836	9.080172069
1367540_at	7.466149128	6.984466714	7.567923739
1367541_at	8.343039597	8.116675775	7.684718342
1367542_at	8.043668182	7.389092982	8.408291021
1367543_at	8.437100942	7.821225494	8.06007362
1367544_at	6.985537094	7.248340151	7.46205933
1367545_at	7.669435889	8.363610895	8.391469124
1367546_at	9.652544175	9.242125556	9.402431724
1367547_at	8.154224651	9.149536795	8.982717193
1367548_at	7.79851029	7.520461806	7.419359181
1367549_a_at	10.21775639	11.24264333	10.60400329
1367550_a_at	8.27393279	8.401612625	8.465127863
1367551_a_at	9.354918069	8.650021839	9.168365835
1367552_at	4.17776123	3.770386425	3.816834997
1367553_x_at	12.24103671	11.36455259	13.58213626
1367554_at	3.560198026	3.276287168	3.20050934
1367555_at	14.3852019	12.19896485	4.958530648
1367556_s_at	14.18801979	10.47136948	4.75621328
1367557_s_at	11.92786983	12.96048935	11.03309316
1367558_x_at	2.539953184	2.500565918	2.522788712
1367559_at	11.79368095	9.61058038	11.69021619
1367560_at	11.50347767	10.86037014	12.34450129
1367561_at	11.69462832	11.50648283	12.40283052
1367562_at	7.480517464	9.165644429	11.31504195
1367563_at	8.54786569	10.22589571	12.42042786
1367564_at	6.274683344	5.928634085	5.886321249
1367565_a_at	12.90128347	13.39637171	13.47661073
1367566_at	4.145151224	3.908969564	14.05920977
1367567_at	11.39302	11.46139457	11.99945332
1367568_a_at	8.385251311	7.978639115	12.90255985
1367569_at	11.10795446	10.73664914	11.75995486
1367570_at	6.398490983	7.084396104	11.22930438
1367571_a_at	4.684423449	8.615204972	5.601348657
1367572_at	5.227534351	3.981768908	5.536481154
1367573_at	12.03855432	12.10722136	12.74234696
1367574_at	7.573027909	8.701152173	11.80381076
1367575_at	10.81561683	11.11878749	9.722049917
1367576_at	13.21261797	9.599339981	12.19800836
1367577_at	7.219186296	6.95315404	10.9041597
1367578_at	9.637954293	10.93599947	10.19530112
1367579_a_at	9.860084927	12.67976525	12.10588538
1367580_at	11.00457887	10.45572901	11.74709472
1367581_a_at	6.557465424	8.266181086	7.164211658
1367582_at	11.17652402	11.30939619	12.03473635
1367583_at	12.78207472	12.43104518	13.08732711
1367584_at	7.364844324	7.69926629	11.88636224
1367585_a_at	10.0748501	11.01502984	10.16676317
1367586_at	12.15195183	10.43605066	10.5928189
1367587_at	2.959791184	2.649071515	2.692746151
1367588_a_at	11.07423599	11.39637445	12.27626304
1367589_at	8.972757315	10.37156606	9.203850096
1367590_at	10.32441476	11.02443765	10.44791601
1367591_at	10.04308928	9.347761814	9.079649379
1367592_at	3.355134758	5.36248376	7.509498925
1367593_at	8.267225488	10.3889313	8.446249897
1367594_at	8.231059559	5.834598007	9.62351026
1367595_s_at	13.02170107	11.08160146	13.29362843
1367596_at	11.83718748	11.74044032	12.59938964
1367597_at	11.48192646	11.74449677	12.51917889
1367598_at	13.26750238	13.05668071	4.538571365
1367599_at	11.59360564	10.9679024	10.00088163
1367600_at	5.96251522	4.381963649	7.748250829
1367601_at	7.680023552	8.094316417	8.29013082
1367602_at	8.366511225	8.988229198	9.057267236
1367603_at	10.97525939	11.8571898	9.323312084
1367604_at	10.56993557	9.135261857	11.55713315
1367605_at	9.860206949	9.14871822	10.86115297
1367606_at	12.09127884	12.21941158	12.8704573
1367607_at	11.51056527	12.01625755	11.24792709
1367608_at	4.454029983	3.979963718	3.930001981
1367609_at	10.3610237	10.88943885	9.303363658
1367610_at	11.77034367	12.2611206	12.67060189
1367611_at	5.139777613	5.51283689	5.028556643
1367612_at	13.38472003	8.354519863	11.59752365
1367613_at	12.04500078	10.05887722	11.21838201
1367614_at	7.345449899	5.991059595	12.31651777
1367615_at	3.025462406	3.118004874	3.270278528
1367616_at	4.664692609	4.051555208	3.986628917
1367617_at	8.950099388	12.35573843	10.94163372
1367618_a_at	10.70867494	10.63360614	11.58111476
1367619_at	11.85621707	10.67751154	10.99333165
1367620_at	12.0078215	12.34752517	11.36803788
1367621_at	8.138899747	7.657193899	7.94932965
1367622_at	11.44435695	11.36150751	10.866423
1367623_at	11.35418919	10.99714524	12.1593582
1367624_at	10.19337264	10.07680504	10.52292867
1367625_at	12.34783935	11.85572549	12.83020757
1367626_at	6.21337507	4.247833633	6.712008614
1367627_at	7.312577482	9.804285195	8.259854463
1367628_at	6.172955156	7.916787078	10.46780147
1367629_at	11.84912494	12.28903154	11.56283217
1367630_at	11.81941655	12.27076338	12.81968524
1367631_at	6.225237232	7.715283254	10.23497835
1367632_at	10.60588904	11.45106158	9.236744703
1367633_at	10.09629939	10.46537484	8.44223531
1367634_at	11.81662354	12.4451783	12.79251393
1367635_at	11.63652006	8.861067014	10.72376402
1367636_at	7.570249633	6.902997075	8.832129315
1367637_a_at	10.35996069	11.35118032	11.2048415
1367638_at	9.204091905	7.103057236	7.08546633
1367639_a_at	11.98993051	11.28843127	12.35294772
1367640_at	11.80899997	11.53432624	12.75187531
1367641_at	12.60287976	11.47540004	11.27444086
1367642_at	10.67882703	10.08942658	9.563143315
1367643_at	10.57216625	10.96539354	11.11219205
1367644_at	7.863962678	6.944577509	7.780709007
1367645_at	12.0416598	12.15113041	13.00682207
1367646_at	10.9779864	10.96032079	11.58305422
1367647_at	13.46958387	6.786408255	6.931392424
1367648_at	8.167203061	8.607169796	7.390289958
1367649_at	5.907542769	7.333288847	6.192761893
1367650_at	6.347739065	4.985412472	7.29920729
1367651_at	9.533954416	9.340100728	10.98633344
1367652_at	9.039756407	5.100481243	7.785413027
1367653_a_at	11.91999007	12.68398137	10.49359776
1367654_at	8.960207813	9.351085664	9.990593573
1367655_at	7.393865834	8.837724349	9.690905262
1367656_at	9.999975309	9.9354835	9.469755206
1367657_at	11.45420762	10.96751968	12.09988997
1367658_at	6.414687121	8.416526121	8.151039904
1367659_s_at	10.65087018	7.49272507	8.970045674
1367660_at	6.120934903	8.476332368	6.561632653
1367661_at	5.84888721	5.424657181	12.492729
1367662_at	10.67727037	8.605103533	9.236744703
1367663_at	10.65393431	8.396889813	10.80134445
1367664_at	3.967805439	3.017457812	8.641783295
1367665_at	4.155642981	3.504627124	7.961427437
1367666_at	9.998122857	11.22349548	11.56525805
1367667_at	11.79173329	9.492224505	9.75224432
1367668_a_at	8.82966593	12.54027011	11.90241843
1367669_a_at	9.631894937	9.02869505	8.82250393
1367670_at	10.19248374	9.013877554	8.267621632
1367671_at	9.156680234	9.444772121	10.31275834
1367672_at	11.23819256	8.346689693	9.044203317
1367673_at	10.68493804	5.717667552	10.37651285
1367674_at	8.815845641	8.483206671	8.869804307
1367675_at	8.430825695	6.773777343	8.900325725
1367676_at	6.990414901	7.353861697	9.895742897
1367677_at	10.33423623	9.87689595	9.906138006
1367678_at	10.44313046	10.3172315	9.661511069
1367679_at	9.401297154	6.249649423	12.22800862
1367680_at	11.50584496	9.132396029	9.326948898
1367681_at	9.101638866	8.76222764	10.74641367
1367682_at	6.632057787	8.208887255	7.374574154
1367683_at	9.28548678	6.930159269	8.365893187
1367684_at	3.478046985	3.122265928	3.084088835
1367685_at	11.68937413	11.98723928	12.35894722
1367686_at	11.28548929	9.789141164	10.6899649
1367687_a_at	8.582853257	9.466915933	10.13180035
1367688_at	7.554293243	6.843510615	7.312750379
1367689_a_at	11.14946335	3.510951168	10.21303669
1367690_at	10.42702787	8.859031169	9.839459378
1367691_at	10.6829501	7.991016041	10.06436438
1367692_at	3.160614704	2.960758689	2.866606384
1367693_at	9.219476717	12.75188637	10.60924803
1367694_at	10.68299763	9.806620424	10.1270312
1367695_at	11.18565138	11.2774822	8.058294006
1367696_at	7.912109589	6.823390761	10.33340978
1367697_at	9.625708039	8.244877169	9.062531689
1367698_a_at	7.990947474	6.971109263	8.481882439
1367699_at	6.558699633	6.606686716	7.383195724
1367700_at	4.951021673	6.718615247	8.684660057
1367701_at	6.359269344	7.550150176	11.19025985
1367702_at	11.63624667	8.096277018	9.523645772
1367703_at	3.561197083	3.102639273	2.786531157
1367704_at	8.041301231	9.722835542	9.043856765
1367705_at	8.820208123	8.45496949	7.855641276
1367706_at	10.32640553	10.69414201	9.384007549
1367707_at	8.730183184	6.989308146	8.683168238
1367708_a_at	10.43476664	9.26889706	10.35215057
1367709_at	9.883518891	9.804886414	10.98343605
1367710_at	9.765389971	7.864251083	9.599969041
1367711_at	10.83932069	11.17884751	10.82953012
1367712_at	5.96841264	4.865543262	8.397764093
1367713_at	9.101007003	8.853097775	9.044650311
1367714_at	7.397523607	7.40540495	7.795576656
1367715_at	9.220109211	5.98376291	8.907274133
1367716_at	8.251419828	10.12870493	8.281150114
1367717_at	11.72829334	11.61338182	12.66423339
1367718_at	8.182948443	7.66881117	7.624526122
1367719_at	9.349271323	9.685536872	9.764520183
1367720_at	10.90415801	7.37131749	8.819905673
1367721_at	9.769543552	8.269226033	9.916109498
1367722_at	6.837726281	8.052410408	8.202172947
1367723_a_at	7.833633776	6.946363372	9.260214148
1367724_a_at	9.532139146	8.13180282	10.33237874
1367725_at	7.946623774	7.401541421	7.713171198
1367726_at	6.80997235	8.583193584	7.520285299
1367727_at	7.636021605	8.372562159	8.271191601
1367728_at	7.523685603	7.823924359	7.486408371
1367729_at	11.86996125	9.328261992	10.0813147
1367730_at	9.902333015	8.877675983	8.928986174
1367731_at	8.063669729	9.792453801	9.940288375
1367732_at	7.813450526	8.136140796	9.523627277
1367733_at	8.334609287	10.70824575	9.77655355
1367734_at	7.715500146	9.127199871	9.921635127
1367735_at	11.13271242	7.568338637	8.673203375
1367736_at	9.471267656	10.5087688	9.650536367
1367737_at	10.16530921	8.783287237	9.428250294
1367738_at	6.399281046	7.339431278	7.836121636
1367739_at	5.987396881	4.916473253	8.024722161
1367740_at	7.10492995	11.39811049	8.560136118
1367741_at	9.72140574	8.047031407	8.545763071
1367742_at	5.027665688	5.642882017	5.160640893
1367743_at	5.519983863	6.355553514	5.727935218
1367744_at	6.544721598	7.920053189	8.332018119
1367745_at	7.757481623	9.004251197	7.759428365
1367746_a_at	7.080843961	7.455021518	8.079954455
1367747_at	7.816061745	10.0421617	8.468829784
1367748_at	8.847898218	8.136174252	8.096379723
1367749_at	5.76700275	5.972285625	8.450442007
1367750_at	8.490907696	7.806278987	8.000949288
1367751_at	7.637138184	7.619661108	7.057723128
1367752_at	7.992781495	7.185535019	7.514119725
1367753_at	7.048773874	5.736345354	6.635171544
1367754_s_at	10.55205347	5.971659753	6.562987126
1367755_at	12.75898102	9.485195317	9.852561954
1367756_at	9.061639823	7.397554109	7.160818116
1367757_at	11.7139046	12.0856636	11.31176156
1367758_at	8.100323915	3.297821997	3.365513557
1367759_at	7.684158599	8.4430666	9.327591182
1367760_at	8.259169281	10.0988983	9.000374117
1367761_at	7.537102594	8.00471943	7.470693265
1367762_at	4.394921041	8.969942089	4.245201262
1367763_at	10.58774739	8.753308165	9.387740915
1367764_at	8.879917718	9.705196938	9.229767415
1367765_at	9.740806099	7.824918099	9.635452092
1367766_at	10.17142399	9.574888836	9.366580816
1367767_at	10.01797851	6.874978937	7.703923456
1367768_at	4.328987639	8.542256942	8.900493953
1367769_at	8.421364799	9.235895209	9.332256491
1367770_at	9.637954293	9.915896629	10.40181072
1367771_at	9.031050984	9.293215931	9.622742408
1367772_at	8.177962521	8.934727454	8.584098553
1367773_at	9.404139733	7.218813809	7.943153482
1367774_at	12.34273281	9.628059158	10.18104883
1367775_at	11.78166202	8.042173588	7.081412415
1367776_at	3.654995883	3.232392368	6.34526982
1367777_at	11.08758099	8.128310723	8.732278756
1367778_at	7.536262197	5.129405862	6.096522652
1367779_at	6.055010508	9.067653887	7.640055439
1367780_at	5.222814953	5.063007301	6.097263577
1367781_at	3.423682346	2.978804663	3.041946841
1367782_at	5.382233091	5.826441454	7.493393649
1367783_at	10.67345618	11.08123918	10.27724086
1367784_a_at	11.98846625	11.88168817	10.85390846
1367785_at	4.517027209	3.902445093	7.517414951
1367786_at	10.18300764	4.634457143	9.606484685
1367787_at	4.484484091	7.514057188	6.729888951
1367788_at	7.47765454	7.595596077	7.687324165
1367789_at	7.608664429	8.975874682	7.592703848
1367790_at	9.013261325	7.912151981	8.654493432
1367791_at	7.119389786	8.114828748	7.245744444
1367792_at	3.238113209	3.307344501	3.291537492
1367793_at	12.0297875	9.512619519	9.730753847
1367794_at	7.26080569	7.597734368	4.137702765
1367795_at	8.829943647	8.209592209	8.763075474
1367796_at	8.041793599	6.065102085	7.506047468
1367797_at	6.127253754	5.814059116	5.696549738
1367798_at	11.23739595	7.606577444	7.673190661
1367799_at	6.536473453	10.46509792	5.055228625
1367800_at	5.954795203	8.80859855	9.354268528
1367801_at	8.328119327	6.78268393	9.13201451
1367802_at	7.573149751	9.754987839	9.348602754
1367803_at	7.070138116	6.893169129	7.369829929
1367804_at	12.23435895	4.840716858	3.894539116
1367805_at	4.5280439	10.03069069	7.271813622
1367806_at	4.281349074	8.385331097	5.694215348
1367807_at	8.803271017	7.047406004	8.270666544
1367808_at	9.722263506	10.99323381	9.412024642
1367809_at	4.179996718	3.762975861	3.539712633
1367810_at	5.390015172	7.282398541	6.271240117
1367811_at	4.026404344	8.20765679	5.29390743
1367812_at	6.069741478	9.204041615	4.607342734
1367813_at	6.703643274	7.916068128	9.311197083
1367814_at	9.060576816	12.66437451	9.576776451
1367815_at	8.190761541	8.13281783	7.550293333
1367816_at	5.5321661	9.153871478	12.7298405
1367817_at	7.928989216	7.539173051	8.381666703
1367818_at	8.907326858	8.200290184	6.971907189
1367819_at	11.17891789	10.55161533	9.319648059
1367820_at	8.609623659	8.447863744	8.733181159
1367821_a_at	4.205291398	6.16474712	4.236335386
1367822_at	3.561197083	3.561677751	3.527500263
1367823_at	5.371340324	7.147400329	7.625347116
1367824_at	8.919595436	9.202973696	8.901285288
1367825_at	6.291538743	7.288168937	7.175894549
1367826_at	9.992816654	7.611788174	9.712428356
1367827_at	9.298421416	11.20722612	10.79554837
1367828_at	8.862975069	6.177465469	6.432892105
1367829_at	10.1840482	7.735125163	8.081081025
1367830_a_at	6.801077866	6.714784265	6.308032445
1367831_at	7.504203591	6.024616637	7.687690427
1367832_at	10.33781763	8.267745104	9.324328173
1367833_at	9.427797	10.31985089	9.032434162
1367834_at	7.814539277	6.866710216	6.614780551
1367835_at	5.550968103	10.34594121	5.632056229
1367836_at	8.698677303	6.17979802	6.537295067
1367837_at	9.895898688	9.184584762	9.306096322
1367838_at	12.37615925	5.121977948	5.993304408
1367839_at	10.06326092	8.391711788	7.596236415
1367840_at	8.460266065	9.193710236	9.042327492
1367841_a_at	3.019527056	2.774529931	2.92327893
1367842_at	5.907813231	9.50019383	6.676183196
1367843_at	9.279918791	6.652129061	6.434163103
1367844_at	7.431363519	8.050358041	9.457208912
1367845_at	3.662235994	11.11143141	2.938524413
1367846_at	6.266061129	5.601208416	11.25598098
1367847_at	9.545996244	5.635565042	8.253012743
1367848_at	7.069592752	10.21692127	8.74600908
1367849_at	9.407319952	5.50343251	9.581792896
1367850_at	7.5464448	6.285964018	10.50662177
1367851_at	3.757279783	12.84985128	4.398498775
1367852_s_at	5.668502398	8.958556415	6.375946513
1367853_at	7.96049012	10.62863745	10.2632795
1367854_at	10.4867224	9.692169165	10.25030155
1367855_at	8.246930116	6.370554655	7.34841683
1367856_at	7.658902845	8.972384715	9.163569296
1367857_at	11.00920091	9.900369133	10.19367987
1367858_at	3.5358784	3.592453526	5.545368455
1367859_at	4.825227179	4.924289102	6.754978354
1367860_a_at	10.05670471	7.39914416	9.370511077
1367861_at	4.964722459	9.302908138	8.638888478
1367862_at	4.273034151	4.270007686	5.983825963
1367863_at	7.77575542	7.426407908	7.379742585
1367864_at	5.382233091	10.15447388	6.730363517
1367865_at	8.152559486	8.776067582	8.424974187
1367866_at	5.458903812	4.51104655	8.322113819
1367867_at	8.623764874	6.285254565	6.82578807
1367868_at	6.583802568	5.774752637	5.816472382
1367869_at	9.460689671	10.98048945	9.860075003
1367870_at	9.987461727	10.3465408	9.915470487
1367871_at	13.15463383	6.363295896	7.574742561
1367872_at	7.725849141	8.031562178	7.215228883
1367873_at	8.956474537	10.51284126	9.729378782
1367874_at	6.638246454	7.990032338	7.851350448
1367875_at	8.443347539	7.999604928	8.227318287
1367876_at	6.569991445	7.692759105	6.948944854
1367877_at	7.545664749	7.678215429	7.610494951
1367878_at	8.687081864	7.828809386	8.663738368
1367879_at	7.385860948	6.321855455	6.784157743
1367880_at	5.743613882	6.515361874	9.77897969
1367881_at	7.18417394	9.310298326	8.960323234
1367882_at	6.25521509	9.053040141	5.744605291
1367883_at	6.893811739	6.954870847	7.204239742
1367884_at	9.514277947	9.577461338	9.537372749
1367885_at	11.56416685	7.219762514	6.040264513
1367886_at	7.837799871	6.980002906	7.535632204
1367887_at	11.73340889	7.569913134	6.304716218
1367888_at	3.91664995	5.226795217	3.913108243
1367889_at	8.148125285	7.999457214	8.130137423
1367890_at	6.905315292	6.943546352	8.847925825
1367891_a_at	4.943559004	4.785707432	6.318483734
1367892_at	9.723087125	8.940747771	6.999622873
1367893_a_at	7.107527033	7.321492131	7.32462571
1367894_at	9.800780813	8.119433616	8.81093772
1367895_at	10.24445975	10.78513054	11.1829483
1367896_at	11.62927694	5.521175983	9.384232339
1367897_at	10.0752647	7.624678345	7.937574386
1367898_at	9.280326925	10.50157904	10.87328072
1367899_at	6.657512158	8.213603413	11.3350387
1367900_at	7.845926053	9.015880893	10.58660531
1367901_at	9.020262734	6.310270637	8.215054037
1367902_at	7.897364303	7.254586996	9.929773774
1367903_at	8.906720479	8.634455779	7.513043487
1367904_at	9.038368229	10.33673352	3.909617491
1367905_at	10.48494142	4.668827645	8.473091771
1367906_at	9.090956772	7.659639589	7.723662677
1367907_a_at	8.023368515	8.912553758	8.026159935
1367908_at	11.38147065	8.931769835	7.622691423
1367909_at	10.22161638	5.952814	6.649192311
1367910_at	7.409123734	6.751748646	8.096379723
1367911_at	6.73513504	9.211913145	7.295951319
1367912_at	5.862191323	4.350797268	8.74616055
1367913_at	6.083821999	7.15147678	6.749416691
1367914_at	6.32517249	5.79103007	8.973604734
1367915_at	8.634871743	7.522181361	7.465097046
1367916_at	5.91959676	5.96900175	6.938402585
1367917_at	12.80906746	4.883191987	3.25928884
1367918_at	5.867101172	11.08776203	4.506908668
