Name,CD8.T.cells,CD4.T.cells,NK.cells,B.cells,monocytic.lineage,neutrophils,fibroblasts,endothelial.cells
3'HEXO,605.5,731.0,903.5,410.5,457.5,341.5,574.5,613.5
A2MP,7181.0,6482.0,5744.0,7149.0,4244.0,1432.0,1019.0,1822.0
ABCC1 ,1058.0,1313.0,589.0,1067.0,1372.0,921.0,4399.0,654.0
ABHD2,248.0,325.0,877.0,68.0,1265.0,1964.0,708.0,2272.0
ABL2 ,364.0,219.0,145.0,93.0,221.0,152.0,2121.0,781.0
ABTB1,931.5,803.5,741.0,218.0,1418.0,8857.0,730.0,97.5
ABTB2,165.0,179.0,175.0,646.0,230.0,591.0,787.0,12.0
ACAT2,5212.0,6319.0,4788.0,2678.0,6496.0,10548.0,14318.0,598.0
ACP5,331.0,568.0,347.0,666.0,501.0,267.0,1036.0,1564.0
ACTR2,3683.0,3877.3333333333335,5734.0,2575.3333333333335,6278.333333333333,6364.666666666667,4777.0,636.0
ACTR3 ,2623.0,1853.0,1797.0,1524.0,3188.0,2074.0,3951.0,139.0
AD023,1359.0,1587.0,1711.0,693.0,1513.0,508.0,523.0,913.0
AD158,1917.0,1499.0,685.0,193.0,1355.0,191.0,1389.0,1033.0
ADAM12,73.0,17.0,98.0,279.0,24.0,97.0,68.0,1633.0
ADAM19,228.0,334.0,239.0,2151.0,535.0,960.0,252.0,593.0
ADAM8,612.0,499.0,1633.0,361.0,760.0,3596.0,1057.0,51.0
ADCY7,1256.0,1242.0,3088.0,706.0,1970.0,684.0,570.0,214.0
ADORA2A,609.0,480.0,140.0,540.0,372.0,397.0,3962.0,36.0
AFURS1,362.5,433.0,667.0,351.0,986.5,210.0,6736.0,483.5
AFURS1 ,292.0,633.0,551.0,425.0,980.0,551.0,6036.0,126.0
AGPS,669.0,783.0,586.0,377.0,930.0,262.0,985.0,466.0
AIF1,811.0,1801.3333333333333,44.333333333333336,63.333333333333336,9491.333333333334,8496.333333333334,351.0,1414.0
AIM2,398.0,170.0,173.0,510.0,632.0,639.0,267.0,35.0
AKAP13,3213.0,2085.0,5633.0,1895.0,6811.0,3673.0,7334.0,371.0
AKNA,10414.0,5376.0,9757.0,2003.0,4512.0,5296.0,222.0,552.0
ALG2,1582.0,1638.0,1034.0,747.0,2041.0,645.0,5535.0,528.0
ALG5,355.0,439.0,410.0,884.0,297.0,654.0,362.0,114.0
ALOX15,10.0,31.0,41.0,66.0,20.0,183.0,14.0,1560.0
ALOX5,27.0,84.0,120.0,631.0,1273.0,2411.0,61.0,137.0
AMICA,2773.0,2054.0,340.0,79.0,14897.0,26535.0,379.0,3011.0
AMID,119.0,77.0,40.0,51.0,96.0,49.0,1593.0,850.0
AMPD1,109.0,116.0,140.0,490.0,112.0,327.0,101.0,39.0
AMPD2,1130.0,1074.0,573.0,709.0,2584.0,7106.0,648.0,222.0
AMPD3,576.0,521.0,438.0,955.0,925.0,1182.0,4271.0,550.0
ANKRD13 ,5768.0,4801.0,4879.0,4159.0,6968.0,14540.0,4873.0,703.0
ANP32A,3122.0,3658.0,4019.0,3009.0,5197.0,8083.0,2001.0,294.0
ANP32E,1596.0,1399.0,1602.0,814.5,702.5,371.5,412.5,145.5
AP1,518.0,421.0,202.0,1100.0,871.0,350.0,490.0,131.0
AP1GBP1,2682.5,1509.0,1612.0,837.5,708.5,555.0,787.5,234.0
AP1S2,1006.0,1292.0,1323.0,1378.0,9977.0,2258.0,4093.0,325.0
AP2S1,984.0,980.0,826.0,309.0,1954.0,455.0,1267.0,658.0
APBB1IP,12491.0,6112.0,7949.0,1711.0,13852.0,22478.0,619.0,2322.0
APG7L,287.0,340.0,255.0,198.0,1936.0,912.0,3101.0,523.0
APOBEC3A,97.0,125.5,182.0,174.5,935.5,2104.0,159.5,16.5
APOBEC3G,2198.0,904.0,4837.0,997.0,894.0,474.0,258.0,57.0
ARF6,1911.0,1448.0,2163.0,1201.0,1537.0,1444.0,1539.0,225.0
ARH,3497.0,2944.5,727.0,483.0,271.5,398.0,246.5,237.0
ARHG,1950.0,2610.0,2387.0,1473.0,5063.0,9187.0,5379.0,609.0
ARHGAP15,3675.0,3238.0,1650.0,1262.0,959.0,3701.0,362.0,101.0
ARHGAP18,729.0,535.0,980.0,734.0,1150.0,927.0,2490.0,3008.0
ARHGAP25 ,1971.5,1215.0,2669.5,1117.0,1159.0,7722.0,447.0,326.0
ARHGAP9,6186.666666666667,5439.0,8926.0,2237.6666666666665,6221.666666666667,15525.333333333334,2158.3333333333335,2373.0
ARHH,2539.0,2634.0,783.0,2118.0,138.0,434.0,1140.0,48.0
ARL2,470.0,583.0,784.0,1640.0,552.0,1274.0,475.0,113.0
ARL7,5422.666666666667,5458.333333333333,6143.333333333333,814.6666666666666,417.6666666666667,593.6666666666666,150.66666666666666,722.0
