GeneSymbol,mix1,mix2,mix3,mix4,mix5,mix6,mix7
S1PR3,35002.86973,15001.35201,0.255247091,25002.14665,10001.02854,25002.10481,5000.608424
RXFP2,2001.531906,3000.697998,5000.094263,1.081536193,1000.461442,5001.150862,7000.333313
ADAMTS5,3000.196039,9000.084017,15000,15000.14003,21000.05601,0.14002752,6000.028006
CLEC6A,11.33086443,4.856084754,0,8.09347459,3.237389836,8.09347459,1.618694918
FXYD6,23.59996797,10.75054029,1.242153776,17.88777464,8.37342963,16.70520587,3.861736688
NRG1,30.35790821,13.26348376,0.560008187,21.69685994,8.911595105,21.9547444,4.942109212
PRLR,0.069507283,0.039586413,0.02112159,0.053552893,0.032603176,0.057280229,0.029844252
CLEC5A,7.39868332,3.17086428,0,5.2847738,2.11390952,5.2847738,1.05695476
VCAN-AS1,62.09173289,26.74423662,0.311485903,44.26224181,17.7671939,44.57372771,9.288528625
C9orf47,0.007909257,0.003389682,0,0.00564947,0.002259788,0.00564947,0.001129894
PLA2G7,51.85675068,22.55079348,0.677575143,37.32804211,15.40350104,37.16369434,7.909059875
CYP1B1,8.203981128,3.515991912,0,5.85998652,2.343994608,5.85998652,1.171997304
CYP27A1,5.906119319,2.531193994,0,4.218656657,1.687462663,4.218656657,0.843731331
IL31RA,0.264593287,0.134471275,0.046394701,0.19161569,0.097038495,0.210227193,0.086605801
ASGR2,177.411019,76.11483268,0.171940069,126.7777001,50.81873662,126.7664688,25.48635327
HPSE,21.39472758,9.509655353,0.697986084,15.63385032,6.779065999,15.36701477,3.525057602
RP11-362F19.3,7.130342681,3.055861149,0,5.093101915,2.037240766,5.093101915,1.018620383
RPL7AP64,46.40172501,19.88645358,0,33.1440893,13.25763572,33.1440893,6.628817859
RP11-362F19.2,1.205283992,0.56041735,0.088419036,0.915297155,0.439552488,0.864341642,0.223221352
CDC42EP1,21.71985486,9.563181056,0.538180574,15.68072301,6.604140107,15.65836661,3.55327522
STAB1,76.9954063,33.13956975,0.330256446,54.9023598,22.02699521,55.23261625,11.44283098
TDRD6,1.258785595,0.539479541,0,0.899132568,0.359653027,0.899132568,0.179826514
TMEM150B,7.010946509,3.666633724,1.496150656,4.856813172,2.435481497,5.869148585,2.775684407
ASGR1,26.92293689,12.2034958,1.455769227,19.36397752,8.421214518,19.85857259,5.334167925
CLEC4D,7.771898732,3.940783083,1.423261795,5.14471001,2.342536363,6.567971805,3.021508514
