,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16,mix17,mix18,mix19,mix20,mix21,mix22,mix23,mix24,mix25,mix26,mix27,mix28,mix29,mix30,mix31,mix32,mix33,mix34,mix35,mix36,mix37,mix38,mix39,mix40,mix41,mix42,mix43,mix44,mix45,mix46,mix47,mix48,mix49
Tregs,0.004852163361550036,0.07549013441461516,0.04976164849051643,0.146425762614041,0.018910820211385054,0.05666258640350308,0.09129751340174226,0.3050208398916251,0.028664631891445077,0.24061730885460947,0.23897570236358082,0.2652504106769981,0.027990469096229594,0.02677181441560613,0.1385173140244279,0.025982000544742014,0.3675818390587503,0.005631457115435499,0.039124415820115624,0.05187185343002047,0.1251621980506848,0.024787787584131277,0.026619079676636497,0.039524792536055516,0.07428548593011512,0.039189633254111636,0.20079390051753326,0.027082215066998993,0.14745061696077894,0.025792940459186887,0.12238051221912805,0.04818359656041877,0.04856514115398017,0.34911228395103505,0.0240700771083233,0.15935859079113893,0.2012351420446286,0.040784093513707764,0.00844572624638061,0.04870222411608557,0.30765953433398063,0.049241444597538424,0.11916072367186817,0.04418715955639301,0.004607077588038559,0.10668977827083664,0.0013418002526318625,0.0042327515520171185,0.0006519223852442663,0.09029350791708153
memory.B.cells,0.05692646992670842,0.005219374254882196,0.07058817971801501,0.31732333529020224,0.026202870905265057,0.16384732503834806,0.012844803717164505,0.09492218356572725,0.09138751940399528,0.09026847930155099,0.03735636059252345,0.1519012054789955,0.1793708762441101,0.014983540176411262,0.042869245538719326,0.20549570004504683,0.03202584088851738,0.010780394280894256,0.27154848844657775,3.5867155371108246e-05,0.10501896414206158,0.09746796536441864,0.11023526198918608,0.22691992426030558,0.06280587145943126,0.0370782017463686,0.11990517493345572,0.012791134174736167,0.06942058078633025,0.05954852631276519,0.0800342341544422,0.042133783570970036,0.0852015066686038,0.013627198022048906,0.17486054255709363,0.10643658984857497,0.05126998371982294,0.14227652529906232,0.04596772578685176,0.08925219971785321,0.16206978659147148,0.17315934011527442,0.11140069943768154,0.11705701284282663,0.045214567971693854,0.08446982011319101,0.11503733048798374,0.022178892560311792,0.01783776675742947,0.21656034683314287
naive.B.cells,0.012709096715335233,0.01633572875084184,0.008928910188615496,0.027583958243270756,0.08471389813805656,0.05730054687728793,0.013540064465749953,0.03757787308687524,0.2893159271094932,0.015845774523294415,0.027006535018974143,0.16006866053334812,0.012648291832646498,0.1000469796085798,0.026388882380043124,0.017955136570831618,0.07621872572267774,0.13185679811665685,0.14298942335561388,0.1638566315902492,0.03238755113010622,0.027937583790479083,0.31519251299798406,0.06868289628371957,0.055082770239097245,0.06606449969287802,0.04485460010675602,0.008806123748763342,0.04359538938070768,0.24857222192900755,0.24126696470226247,0.019028938600829257,0.1321140477898325,0.06825239781095427,0.05567694008566796,0.001410281630628361,0.1366698755328175,0.031231673617609926,0.047777512135097934,0.01998169131101327,0.005307947033836134,0.03966198941281914,0.08780004924176739,0.019776469973787413,0.12286753968772329,0.13004333241870178,0.058069177463986404,0.0204509117430153,0.09117108932010623,0.150910547130994
naive.CD4.T.cells,0.11049724117549876,0.047187843860946835,0.05221405156418333,0.1145206941469051,0.26961157247019063,0.09919222577469498,0.1407935068551882,0.052205616510861495,0.1548423744130658,0.22549385698640215,0.0022960780229273683,0.009498004197461394,0.06600770714995541,0.05299634923136838,0.016150112003805717,0.05059004089687534,0.06676614356752969,0.08937244187749009,0.030331712401088992,0.026128415776423882,0.03503988274851716,0.021030368349290344,0.018588184234385,0.17160035204697147,0.06519653654985216,0.11160231197782776,0.04182249013334679,0.07616416015828237,0.17837964566908787,0.02536451063821332,0.23720539705487415,0.07655993766827818,0.00466447141946231,0.017930425150783826,0.12836960730700564,0.05886921753432095,0.03163322248230079,0.05393709326578729,0.05840753214253771,0.018040434379552186,0.14695235090039765,0.01217507481710642,0.16942432733200566,0.01283462055301481,0.025483867728891867,0.11652360947938145,0.14232656521289946,0.21661503404232843,0.001527720156771689,0.08323544263290847
memory.CD4.T.cells,0.09900421512487456,0.17396915495428747,0.11573504561120865,0.06616294768486758,0.047661394014602565,0.31731582368746647,0.02629263181552754,0.039572127966053514,0.15764972453584114,0.10552028026254166,0.1873077155420015,0.04674733239813513,0.032259622265602764,0.11202462541961296,0.08706541656536998,0.008557558971369528,0.012207540006081177,0.024470449825136433,0.00011160033708518114,0.04440220061703281,0.03226863441080686,0.02928890576531364,0.061204677543353875,0.05126886163930799,0.012850250018714489,0.07707733109066521,0.23476298802169548,0.14744056142228099,0.07324559077819899,0.10975669535989403,0.13030365349972767,0.1282840069883277,0.05911233485250415,0.06568227405057757,0.061716028910329256,0.20494419888830975,0.023793414397890754,0.06337153997620837,0.055615358721565054,0.07386927424359008,0.052944500679822704,0.037231609113894414,0.009223895368166011,0.0051942493788248514,0.004371678835274571,0.01901747315159258,0.011213172299877375,0.01681262623714569,0.2989541092463584,0.0058098889024957015
fibroblasts,0.02870832752585192,0.1587867693757869,0.06419838380435548,0.03503295070394136,0.06400602604426177,0.019938537434960962,0.0016560666977460865,0.02759293315339734,0.04398513090501077,0.05775358973814027,0.026340222243557723,0.025930852979125976,0.004430502238964618,0.0033681258197353144,0.06027163522115074,0.2670020065283891,0.05549235476155292,0.04162153053998004,0.06424000952772428,0.027374775047944694,0.015795474573528152,0.12632490246751774,0.09290994369474469,0.04515825433228864,0.004476685740791697,0.013785029817936306,0.12124425671660122,0.1209374128537082,0.005040165475160948,0.04301714732297848,0.01621991376941911,0.12501022443093276,0.038287310935130464,0.0017343476144946405,0.06280975144598522,0.040623840525101845,0.002874034776838819,0.0005181900502620713,0.023793771024600605,0.08130888731606191,0.020216528576617335,0.293983664280443,0.0575051536021967,0.11173215621053234,0.24355621755470072,0.03418843974747193,0.14228473854226986,0.09742160607208133,0.03038317431080587,0.12472569301994203
endothelial.cells,0.08278314529759577,0.14692502284861697,0.1826371814067037,0.04547431601336967,0.11081638794396141,0.019049690468114923,0.32008691940540385,0.26417952550133544,0.06432331997839688,0.10722426110471439,0.049214156492447564,0.04323733977276558,0.0055365182151007565,0.22480309781712698,0.2641110422567185,0.1260220095320824,0.044734688005866344,0.24704442036670163,0.021248344338883333,0.04892841278424923,0.05756132067093983,0.1101768987324225,0.06806133209908709,0.06617391220646315,0.13236258728489655,0.024523958266490085,0.08126697375810236,0.042289000377332735,0.24703353311754786,0.08256477414358644,0.005541093365850034,0.13152893083920045,0.24124853165409216,0.0007297439671949855,0.013092909644989633,0.03172256439480352,0.13753104285897977,0.05787605951703242,0.10526569527551903,0.033047871558267536,0.06823775391142563,0.0194225270610567,0.11548650872279921,0.06231851559661764,0.03549126802125047,0.2477646126772254,0.018580492493562004,0.005780324757256084,0.062497890922016054,0.02563084216977849
monocytes,0.14947914070815485,0.08472407931989646,0.16106845634339415,0.07368489801205749,0.08126251899706612,0.11240961167298119,0.16416630548904038,0.05289914368182846,0.09017955116438069,0.005837905450578384,0.06709948550001736,0.13965337744850506,0.16117467268595975,0.0789056839144048,0.051255470998082094,0.11006357597177936,0.14085028701544022,0.16150089079204177,0.017042492568131395,0.29937158229435495,0.02571411602494143,0.0064223011678913935,0.05490909631573005,0.0032938070646560537,0.05299591962015178,0.05672541851639873,0.07913208573714016,0.009349347732081667,0.06978794407947314,0.054617516431205854,0.0048325231310003556,0.03359724908711469,0.10317315688530096,0.09714025970033854,0.1876838681933466,0.03424687548301947,0.1042719670550329,0.09866324876547318,0.12781206246271312,0.07484266635946568,0.03521259962536429,0.15751948486965908,0.12398606318586038,0.0495759802399855,0.06493663263382905,0.06823507313589533,0.025404130317845088,0.22370917978395496,0.20093606599274216,0.03313182115131306
naive.CD8.T.cells,0.16905255084870213,0.13127547566911144,0.14272028177701598,0.1187536001938128,0.1358681348155182,0.04478479588636277,0.054678796192421074,0.015942559408797703,0.02039573119167921,0.11564810483122798,0.21552225523396218,0.0248744502033506,0.07123810917538395,0.1982214967886507,0.032949474015308775,0.09384248078913233,0.15912969258100854,0.004195835243799323,0.17569501560189602,0.23259848161043933,0.0409506611760243,0.013848864418005747,0.11751711619843432,0.07063272674849566,0.15587993449727483,0.0003369645483464859,0.004664337303270717,0.12232336605213033,0.017144685907997528,0.0759654999342703,0.04842977144896544,0.05877508736869667,0.17616108844889725,0.022226875310066205,0.16583551414818554,0.01857742851573212,0.09269084311341719,0.04470074323380935,0.08798875136256092,0.35545415797119784,0.011491706650887189,0.07759987283300221,0.11814644366340495,0.27541175951263813,0.12927017040031816,0.028923298636498906,0.06349398467871356,0.20772224656881924,0.008009789158352916,0.05378933508433846
memory.CD8.T.cells,0.01959799464545154,0.0009119925978127188,0.04567103197433224,0.01991087030698084,0.05467790083899402,0.04784423703452814,0.01813932278374361,0.07989755609921732,0.04097020434472684,0.007521738403334667,0.045489927988497846,0.022042519868078994,0.03397867312685186,0.04544989461868457,0.1362079177452241,0.03564442956973397,0.03199561448516117,0.05723583022239184,0.07368158796550997,0.054655415605581084,0.10932211935028069,0.02598992510602957,0.010301683086997429,0.036118196425147776,0.17183115250298103,0.0717420816219924,0.05632473470678479,0.21456241901242934,0.10642508605602355,0.14202318587608798,0.02988340406128656,0.06272055865812856,0.018661181983183256,0.004436401287189778,0.04347702849270272,0.22306999862123827,0.02994816760777549,0.21655378388060736,0.1293866932812155,0.07527535048907363,0.035009117110286064,0.009768519748203459,0.03042611907340745,0.08350411926172545,0.18134512743751668,0.013652678682134083,0.2060783788355503,0.029385218646392586,0.006011603383534249,0.1117263381622617
