GeneSymbol,Basophils LD,myeloid.dendritic.cells,pDCs
S1PR3,0.21340963,50003.99621,0.297084552
RXFP2,10000.16359,2.138134583,0.024937802
ADAMTS5,0,0.28005504,30000
CLEC6A,0,16.18694918,0
FXYD6,0.059585008,33.35082674,2.424722544
NRG1,0.817892644,43.09159615,0.30212373
PRLR,0.024848926,0.089711532,0.017394253
CLEC5A,0,10.5695476,0
VCAN-AS1,0.622971805,88.52448361,0
C9orf47,0,0.011298939,0
PLA2G7,0.513227375,73.8141613,0.841922911
CYP1B1,0,11.71997304,0
CYP27A1,0,8.437313313,0
IL31RA,0.065006204,0.355448181,0.027783198
ASGR2,0.160708721,253.3722288,0.183171416
HPSE,0.431150535,30.30287901,0.964821633
RP11-362F19.3,0,10.18620383,0
RPL7AP64,0,66.28817859,0
RP11-362F19.2,0.037463523,1.691219761,0.139374548
CDC42EP1,0.515824174,30.80090904,0.560536973
STAB1,0.660512891,109.8047196,0
TDRD6,0,1.798265135,0
TMEM150B,2.508486069,9.229811101,0.483815243
ASGR1,1.950364293,37.76678088,0.961174161
CLEC4D,2.846523589,10.28942002,0
CD163,9.177800391,853.8169071,33.05057813
RP11-1319K7.1,1.032010546,67.19058185,2.816145005
MCEMP1,1.235139748,39.99882905,0
RP11-597D13.9,0.067436435,55.19735766,0.785876754
LPAR1,0.051429246,16.13068989,0.969270478
LGALS12,3.076590426,24.16785265,0
FAM198B,0.009541573,90.50883758,2.394968113
AC011380.8,0.640304465,5.204080983,1.012423433
RP11-497H16.7,3.501339809,386.32963,7.228175613
RP11-848G14.5,0.938283002,119.5588628,2.442469954
SLC46A2,0.037674644,143.8258249,0.167076575
FOLR2,0.116811237,51.0201702,0.430547933
RP11-848G14.2,1.444550161,216.3326692,4.216970189
VCAN,5.47863242,1770.66777,0.148260184
RNASE4,0.420928621,85.59878814,10.82913716
LRP1,1.681597666,204.6622214,2.689017863
HOMER3,0.235255522,12.12688114,0.324660556
RPH3A,0.81486544,13.40333372,2.35161401
CCDC149,0.069826964,13.93660944,1.525667639
ARHGEF10L,0.040547067,167.3340855,0.021050845
RP11-356N1.2,0.302945602,38.29193359,0.275065527
TBC1D2,5.331703984,58.24262111,4.112239156
FBN2,0,8.347236105,0.221737997
CD93,0.116744327,237.9505913,4.721972432
MGST1,9.058075533,190.6634109,24.0765204
RP11-67L14.1,0,21.65704634,0.019992051
SLC2A9,4.068444304,292.0857734,65.11889198
SIGLEC15,0.918938191,10.41714915,1.649926651
