0,1,2,3,4,5
107019_Microarray.csv,Microarray,B.cells,0.815139593,0.832167832,0.000785442
107019_Microarray.csv,Microarray,CD4.T.cells,0.326244702,0.405594406,0.190835874
107019_Microarray.csv,Microarray,CD8.T.cells,0.674997798,0.657342657,0.020185499
107019_Microarray.csv,Microarray,NK.cells,0.388682877,0.237762238,0.456800853
107019_Microarray.csv,Microarray,monocytic.lineage,0.552875759,0.436630545,0.155848725
107019_Microarray.csv,Microarray,neutrophils,0.495374,0.559440559,0.058589475
107019_Microarray.csv,Microarray,endothelial.cells,0.2717947,0.167832168,0.602099428
107019_Microarray.csv,Microarray,fibroblasts,0.639254685,0.58041958,0.047855977
107019_RNASeq.csv,RNASeq,naive.B.cells,0.834629811,0.705263158,0.000514145
107019_RNASeq.csv,RNASeq,memory.B.cells,0.662487056,0.646616541,0.002063821
107019_RNASeq.csv,RNASeq,naive.CD4.T.cells,0.685181906,0.685714286,0.000845616
107019_RNASeq.csv,RNASeq,naive.CD8.T.cells,0.830294471,0.744360902,0.000167396
107019_RNASeq.csv,RNASeq,memory.CD8.T.cells,0.64500262,0.503759398,0.023538039
107019_RNASeq.csv,RNASeq,regulatory.T.cells,0.913527726,0.84962406,2.13E-06
107019_RNASeq.csv,RNASeq,monocytes,0.941179315,0.956390977,4.62E-11
107019_RNASeq.csv,RNASeq,NK.cells,0.987608755,0.984962406,3.54E-15
107019_RNASeq.csv,RNASeq,myeloid.dendritic.cells,0.885180148,0.863157895,9.62E-07
107019_RNASeq.csv,RNASeq,neutrophils,0.973924304,0.857142857,1.38E-06
frac_1.csv,RNASeq,naive.B.cells,0.929093084,0.963235294,5.74E-10
frac_1.csv,RNASeq,macrophages,0.931471355,0.850490196,1.52E-05
frac_1.csv,RNASeq,monocytes,0.845822692,0.892156863,1.49E-06
frac_1.csv,RNASeq,neutrophils,0.963212925,0.970588235,1.10E-10
frac_1.csv,RNASeq,NK.cells,0.89631946,0.801470588,0.000109735
frac_1.csv,RNASeq,naive.CD4.T.cells,0.910786028,0.906862745,5.18E-07
frac_1.csv,RNASeq,naive.CD8.T.cells,-0.116908794,-0.147058824,0.573277291
frac_1.csv,RNASeq,regulatory.T.cells,0.788602847,0.865196078,7.32E-06
frac_1.csv,RNASeq,myeloid.dendritic.cells,0.304737041,0.132352941,0.612592598
115736.csv,RNASeq,myeloid.dendritic.cells,0.945874276,0.866165414,7.97E-07
115736.csv,RNASeq,macrophages,0.358887463,0.357894737,0.121301128
115736.csv,RNASeq,naive.CD4.T.cells,0.964653072,0.908270677,3.12E-08
115736.csv,RNASeq,naive.CD8.T.cells,0.406639199,0.4,0.080553872
115736.csv,RNASeq,naive.B.cells,0.980877475,0.969924812,1.71E-12
115736.csv,RNASeq,NK.cells,0.964417743,0.882706767,2.59E-07
118165.csv,RNASeq,memory.CD8.T.cells,0.502653224,0.480528211,0.000412569
118165.csv,RNASeq,naive.CD8.T.cells,0.672860541,0.628235294,1.04E-06
118165.csv,RNASeq,myeloid.dendritic.cells,0.991320336,0.977238896,5.58E-34
118165.csv,RNASeq,monocytes,0.887008602,0.778247299,2.90E-11
118165.csv,RNASeq,naive.B.cells,0.86849512,0.761920768,1.31E-10
118165.csv,RNASeq,NK.cells,0.602759065,0.556494598,2.71E-05
118165.csv,RNASeq,memory.B.cells,0.429681267,0.523745498,9.49E-05
118165.csv,RNASeq,regulatory.T.cells,0.969803341,0.948331333,1.41E-25
97861-10.csv,RNASeq,regulatory.T.cells,0.714115707,0.681920768,4.97E-08
97861-10.csv,RNASeq,memory.B.cells,0.72214537,0.744633854,5.67E-10
97861-10.csv,RNASeq,naive.B.cells,0.764153133,0.665402161,1.35E-07
97861-10.csv,RNASeq,naive.CD4.T.cells,0.877072301,0.785930372,1.37E-11
