,0,1,2,3,4,5
0,a,b,c,0.0,0.0,0.0
1,a,b,c,0.0,0.0,0.0
0,107019_RNASeq.csv,RNASeq,naive.B.cells,0.9919690137894043,0.9729323308270676,6.714944202233509e-13
1,107019_RNASeq.csv,RNASeq,memory.B.cells,0.9964431073706433,0.9864661654135337,1.3775681209191945e-15
2,107019_RNASeq.csv,RNASeq,naive.CD4.T.cells,0.9927950490041241,0.9774436090225563,1.322934226421056e-13
3,107019_RNASeq.csv,RNASeq,naive.CD8.T.cells,0.9959424767295699,0.9729323308270676,6.714944202233509e-13
4,107019_RNASeq.csv,RNASeq,memory.CD8.T.cells,0.9953994451999867,0.9894736842105262,1.450570213696417e-16
5,107019_RNASeq.csv,RNASeq,regulatory.T.cells,0.9915576571242275,0.9849624060150375,3.53643200208412e-15
6,107019_RNASeq.csv,RNASeq,monocytes,0.9850689413374529,0.9864661654135337,1.3775681209191945e-15
7,107019_RNASeq.csv,RNASeq,NK.cells,0.9986862981968683,0.9954887218045112,7.230721163595917e-20
8,107019_RNASeq.csv,RNASeq,myeloid.dendritic.cells,0.9898333424479497,0.9909774436090225,3.6423222015869136e-17
9,107019_RNASeq.csv,RNASeq,neutrophils,0.9962414475713744,0.9819548872180449,1.804935413691644e-14
0,115736.csv,RNASeq,macrophages,0.999581914770759,0.9969924812030074,1.891102426799577e-21
1,115736.csv,RNASeq,naive.B.cells,0.9991152245951354,0.9894736842105262,1.450570213696417e-16
2,115736.csv,RNASeq,NK.cells,0.9996466617082682,0.9969924812030074,1.891102426799577e-21
0,118165.csv,RNASeq,memory.CD8.T.cells,0.9801100186241775,0.9712845138055222,1.3802670276130726e-31
1,118165.csv,RNASeq,naive.CD8.T.cells,0.9979678940302482,0.9954861944777911,9.357098614437565e-51
2,118165.csv,RNASeq,myeloid.dendritic.cells,0.999883538239472,0.999423769507803,3.4302363540313235e-72
3,118165.csv,RNASeq,monocytes,0.9999848613559679,0.9999039615846338,7.277743227728901e-91
4,118165.csv,RNASeq,naive.B.cells,0.9999887710606679,0.9996158463385355,2.041996373726414e-76
5,118165.csv,RNASeq,NK.cells,0.9993069257538468,0.9977911164465786,3.414515690646554e-58
6,118165.csv,RNASeq,memory.B.cells,0.9999960723469782,0.9999999999999999,0.0
7,118165.csv,RNASeq,regulatory.T.cells,0.9981562653796872,0.9927010804321729,9.266776182773866e-46
0,97861-10.csv,RNASeq,memory.B.cells,0.995615026356284,0.9946218487394957,6.210857291419376e-49
1,97861-10.csv,RNASeq,naive.B.cells,0.9984928014975246,0.9968307322929171,1.9569746329805168e-54
2,97861-10.csv,RNASeq,naive.CD4.T.cells,0.9908533014739173,0.9928931572629051,4.8965224228960174e-46
3,97861-10.csv,RNASeq,memory.CD4.T.cells,0.9962779763574028,0.9919327731092438,1.0148653850818348e-44
4,97861-10.csv,RNASeq,fibroblasts,0.9949331292560244,0.9902040816326529,1.0514457730565073e-42
5,97861-10.csv,RNASeq,endothelial.cells,0.991230947269216,0.9905882352941175,4.042580405524488e-43
6,97861-10.csv,RNASeq,monocytes,0.9764304743344219,0.9881872749099639,9.191513306450275e-41
7,97861-10.csv,RNASeq,naive.CD8.T.cells,0.9847842466888748,0.9904921968787515,5.1524647360363e-43
8,97861-10.csv,RNASeq,memory.CD8.T.cells,0.9984818268959308,0.9961584633853541,1.9654496505812708e-52
9,97861-10.csv,RNASeq,macrophages,0.9922960517533055,0.9904921968787515,5.1524647360363e-43
10,97861-10.csv,RNASeq,myeloid.dendritic.cells,0.9959735932564246,0.995390156062425,1.549247741090441e-50
0,112101.csv,RNASeq,B.cells,0.9980279422928956,0.9894736842105262,1.450570213696417e-16
