0,1,2,3,4,5
107019_Microarray.csv,Microarray,B.cells,0.422927163,0.433566434,0.159105769
107019_Microarray.csv,Microarray,CD4.T.cells,0.40665819,0.503496503,0.095157367
107019_Microarray.csv,Microarray,CD8.T.cells,0.661313809,0.685314685,0.013905969
107019_Microarray.csv,Microarray,NK.cells,0.220678958,0.090909091,0.778725396
107019_Microarray.csv,Microarray,monocytic.lineage,0.538505086,0.549309396,0.064329279
107019_Microarray.csv,Microarray,neutrophils,0.268329683,0.13986014,0.664633162
107019_Microarray.csv,Microarray,endothelial.cells,0.256524724,0.223776224,0.484451661
107019_Microarray.csv,Microarray,fibroblasts,0.720881337,0.496503497,0.100602632
107019_RNASeq.csv,RNASeq,naive.B.cells,0.869465379,0.754887218,0.000119603
107019_RNASeq.csv,RNASeq,memory.B.cells,0.625863717,0.590977444,0.006070154
107019_RNASeq.csv,RNASeq,naive.CD4.T.cells,0.630296235,0.666165414,0.001342131
107019_RNASeq.csv,RNASeq,naive.CD8.T.cells,0.849082359,0.784962406,4.15E-05
107019_RNASeq.csv,RNASeq,memory.CD8.T.cells,0.597809854,0.484210526,0.030508494
107019_RNASeq.csv,RNASeq,regulatory.T.cells,0.887576485,0.827067669,6.88E-06
107019_RNASeq.csv,RNASeq,monocytes,0.938885037,0.944360902,3.96E-10
107019_RNASeq.csv,RNASeq,NK.cells,0.968571745,0.986466165,1.38E-15
107019_RNASeq.csv,RNASeq,myeloid.dendritic.cells,0.91797098,0.933834586,1.81E-09
107019_RNASeq.csv,RNASeq,neutrophils,0.962662906,0.87518797,4.40E-07
frac_1.csv,RNASeq,naive.B.cells,0.859075494,0.955882353,2.21E-09
frac_1.csv,RNASeq,macrophages,0.91457073,0.818627451,5.88E-05
frac_1.csv,RNASeq,monocytes,0.828593676,0.916666667,2.32E-07
frac_1.csv,RNASeq,neutrophils,0.912313361,0.955882353,2.21E-09
frac_1.csv,RNASeq,NK.cells,0.842854704,0.659313725,0.003988577
frac_1.csv,RNASeq,naive.CD4.T.cells,0.904321421,0.884803922,2.39E-06
frac_1.csv,RNASeq,naive.CD8.T.cells,-0.383206948,-0.279411765,0.277430326
frac_1.csv,RNASeq,regulatory.T.cells,0.765095591,0.848039216,1.71E-05
frac_1.csv,RNASeq,myeloid.dendritic.cells,0.187036886,0.102941176,0.694204783
115736.csv,RNASeq,myeloid.dendritic.cells,0.958935819,0.879699248,3.21E-07
115736.csv,RNASeq,macrophages,-0.049639145,-0.016541353,0.94481745
115736.csv,RNASeq,naive.CD4.T.cells,0.970726447,0.911278195,2.34E-08
115736.csv,RNASeq,naive.CD8.T.cells,0.297688346,0.341353383,0.140764697
115736.csv,RNASeq,naive.B.cells,0.966553538,0.956390977,4.62E-11
115736.csv,RNASeq,NK.cells,0.987639407,0.965413534,5.93E-12
118165.csv,RNASeq,memory.CD8.T.cells,0.344205898,0.347226891,0.01348992
118165.csv,RNASeq,naive.CD8.T.cells,0.393663801,0.421176471,0.002319795
118165.csv,RNASeq,myeloid.dendritic.cells,0.99783936,0.99394958,1.04E-47
118165.csv,RNASeq,monocytes,0.94146984,0.907418968,1.06E-19
118165.csv,RNASeq,naive.B.cells,0.737569154,0.653301321,2.71E-07
118165.csv,RNASeq,NK.cells,0.510866616,0.50482593,0.000185023
118165.csv,RNASeq,memory.B.cells,0.319841882,0.449123649,0.001069165
118165.csv,RNASeq,regulatory.T.cells,0.9720992,0.956686675,2.25E-27
97861-10.csv,RNASeq,regulatory.T.cells,0.519561948,0.573109244,1.36E-05
97861-10.csv,RNASeq,memory.B.cells,0.663528311,0.730132053,1.78E-09
97861-10.csv,RNASeq,naive.B.cells,0.753137849,0.67212485,9.06E-08
97861-10.csv,RNASeq,naive.CD4.T.cells,0.924448096,0.899255702,7.35E-19
97861-10.csv,RNASeq,memory.CD4.T.cells,0.291406265,0.384009604,0.005903295
97861-10.csv,RNASeq,fibroblasts,0.94125964,0.86785114,3.43E-16
97861-10.csv,RNASeq,endothelial.cells,0.524146934,0.457094838,0.00084679
97861-10.csv,RNASeq,monocytes,0.359987986,0.349819928,0.012764552
97861-10.csv,RNASeq,naive.CD8.T.cells,0.502189186,0.529315726,7.74E-05
97861-10.csv,RNASeq,memory.CD8.T.cells,0.587783684,0.545354142,4.21E-05
97861-10.csv,RNASeq,macrophages,0.076396676,0.147466987,0.306792368
97861-10.csv,RNASeq,myeloid.dendritic.cells,0.71174221,0.574741897,1.27E-05
107572.csv,RNASeq,NK.cells,0.719322375,0.783333333,0.012519873
107572.csv,RNASeq,naive.B.cells,0.725189153,0.7,0.035769575
107572.csv,RNASeq,monocytes,0.723441199,0.583333333,0.099185816
107572.csv,RNASeq,neutrophils,0.049451896,0.05,0.898352804
107572.csv,RNASeq,naive.CD8.T.cells,-0.193696989,-0.333333333,0.380713182
107572.csv,RNASeq,naive.CD4.T.cells,0.835619226,0.75,0.019942126
112101.csv,RNASeq,CD4.T.cells,0.939073401,0.933834586,1.81E-09
112101.csv,RNASeq,endothelial.cells,0.530233035,0.461654135,0.040457634
112101.csv,RNASeq,fibroblasts,0.986160873,0.986466165,1.38E-15
112101.csv,RNASeq,neutrophils,0.983769982,0.983458647,8.29E-15
115978.csv,RNASeq,endothelial.cells,0.998329858,0.987130852,7.10E-40
115978.csv,RNASeq,naive.CD4.T.cells,-0.305501298,-0.251188475,0.078479258
115978.csv,RNASeq,fibroblasts,0.992513771,0.980792317,9.88E-36
115978.csv,RNASeq,naive.CD8.T.cells,0.03320154,-0.033181273,0.819058903
115978.csv,RNASeq,NK.cells,0.814414165,0.762593037,1.23E-10
115978.csv,RNASeq,naive.B.cells,0.995379421,0.982136855,1.76E-36
121922.csv,RNASeq,regulatory.T.cells,0.974530805,0.925696594,3.69E-08
121922.csv,RNASeq,memory.B.cells,0.813007867,0.78121775,0.000129364
121922.csv,RNASeq,naive.B.cells,0.654707393,0.663570691,0.002677984
121922.csv,RNASeq,naive.CD4.T.cells,0.934253054,0.834881321,1.63E-05
121922.csv,RNASeq,memory.CD4.T.cells,0.646894981,0.605779154,0.007710608
121922.csv,RNASeq,monocytes,0.993836926,0.991744066,1.06E-15
121922.csv,RNASeq,naive.CD8.T.cells,0.602836042,0.667698658,0.002462394
121922.csv,RNASeq,endothelial.cells,0.999504896,0.99380805,1.07E-16
89134.csv,RNASeq,memory.CD8.T.cells,1,1,0
89134.csv,RNASeq,naive.CD8.T.cells,1,1,0
109348.csv,Microarray,naive.B.cells,0.977762925,0.960902256,1.76E-11
109348.csv,Microarray,monocytes,0.277917038,0.260150376,0.267980334
109348.csv,Microarray,naive.CD4.T.cells,0.791817819,0.786466165,3.92E-05
109348.csv,Microarray,naive.CD8.T.cells,0.778738986,0.601503759,0.005023203
109348.csv,Microarray,neutrophils,-0.000760255,0.115789474,0.626878994
109348.csv,Microarray,NK.cells,0.852433203,0.768421053,7.57E-05
109348.csv,Microarray,memory.CD4.T.cells,0.81813575,0.795488722,2.75E-05
109348.csv,Microarray,myeloid.dendritic.cells,0.933905863,0.839097744,3.77E-06
15659.csv,Microarray,naive.CD4.T.cells,0.358091382,0.390977444,0.088280102
15659.csv,Microarray,memory.CD4.T.cells,0.079948455,0.048120301,0.840338966
15659.csv,Microarray,regulatory.T.cells,0.051774429,-0.019548872,0.934803124
22886.csv,Microarray,B.cells,0.976323052,0.971428571,1.09E-12
22886.csv,Microarray,CD4.T.cells,0.382783127,0.440601504,0.051851837
22886.csv,Microarray,CD8.T.cells,0.811368958,0.864661654,8.76E-07
22886.csv,Microarray,monocytic.lineage,0.962314945,0.896240602,9.04E-08
22886.csv,Microarray,neutrophils,0.96123492,0.903759398,4.72E-08
22886.csv,Microarray,NK.cells,0.865578603,0.866165414,7.97E-07
25638.csv,Microarray,memory.B.cells,0.434743914,0.443609023,0.050089222
25638.csv,Microarray,naive.B.cells,0.724081718,0.667669173,0.001296792
28490.csv,Microarray,B.cells,0.992029716,0.984962406,3.54E-15
28490.csv,Microarray,CD4.T.cells,0.553228257,0.720300752,0.000341233
28490.csv,Microarray,CD8.T.cells,0.641501847,0.372932331,0.105347723
28490.csv,Microarray,NK.cells,0.870476995,0.566917293,0.00914627
28490.csv,Microarray,neutrophils,0.965267108,0.965413534,5.93E-12
28490.csv,Microarray,monocytic.lineage,0.976394032,0.966917293,4.00E-12
28492.csv,Microarray,B.cells,0.978373303,0.972932331,6.71E-13
28492.csv,Microarray,CD4.T.cells,0.34957314,0.234586466,0.319476465
28492.csv,Microarray,CD8.T.cells,0.706010388,0.690225564,0.000756395
28492.csv,Microarray,NK.cells,0.989749959,0.986466165,1.38E-15
28492.csv,Microarray,neutrophils,0.972410555,0.941353383,6.29E-10
28492.csv,Microarray,monocytic.lineage,0.927817896,0.945864662,3.11E-10
3982.csv,Microarray,naive.B.cells,0.969120212,0.972932331,6.71E-13
3982.csv,Microarray,neutrophils,0.975987019,0.960902256,1.76E-11
3982.csv,Microarray,regulatory.T.cells,,,
3982.csv,Microarray,NK.cells,0.995057624,0.983458647,8.29E-15
3982.csv,Microarray,memory.CD4.T.cells,0.988742861,0.990977444,3.64E-17
3982.csv,Microarray,myeloid.dendritic.cells,0.968823252,0.876691729,3.97E-07
3982.csv,Microarray,macrophages,0.387137921,0.508270677,0.02212478
40240.csv,Microarray,neutrophils,0.828377013,0.825896554,6.25E-08
40240.csv,Microarray,monocytic.lineage,-0.064925115,-0.04133589,0.834568769
44621.csv,Microarray,B.cells,0.952841783,0.950636255,4.85E-26
44621.csv,Microarray,monocytic.lineage,0.987111452,0.988091236,1.12E-40
44621.csv,Microarray,CD4.T.cells,-0.651771641,-0.552076831,3.23E-05
44621.csv,Microarray,CD8.T.cells,-0.420335553,-0.438079232,0.001463479
58173.csv,Microarray,CD4.T.cells,0.93710047,0.848120301,2.32E-06
58173.csv,Microarray,CD8.T.cells,0.446555056,0.318796992,0.170697872
58173.csv,Microarray,monocytic.lineage,0.846895924,0.857142857,1.38E-06
58173.csv,Microarray,neutrophils,0.948375678,0.90075188,6.16E-08
58173.csv,Microarray,B.cells,0.948201155,0.933834586,1.81E-09
58173.csv,Microarray,NK.cells,0.74770723,0.684210526,0.000877265
6244.csv,Microarray,memory.CD8.T.cells,0.391895977,0.42482593,0.002104325
6244.csv,Microarray,naive.CD8.T.cells,0.516080984,0.46967587,0.000579273
6244.csv,Microarray,naive.CD4.T.cells,-0.291972036,-0.302857143,0.032529176
6244.csv,Microarray,memory.CD4.T.cells,-0.097957044,0.0084994,0.953286042
6244.csv,Microarray,regulatory.T.cells,-0.226825471,-0.212869148,0.137752898
6244.csv,Microarray,naive.B.cells,0.756968931,0.634861945,7.36E-07
6244.csv,Microarray,memory.B.cells,0.746442443,0.633517407,7.90E-07
64385.csv,Microarray,NK.cells,0.944117354,0.939393939,5.48E-05
64385.csv,Microarray,monocytic.lineage,0.96132461,0.975757576,1.47E-06
64385.csv,Microarray,neutrophils,0.905589054,0.984731928,2.33E-07
72642-110085.csv,Microarray,B.cells,0.911264211,0.915390156,1.34E-20
72642-110085.csv,Microarray,CD4.T.cells,0.322046578,0.295846339,0.036979917
72642-110085.csv,Microarray,CD8.T.cells,0.716644727,0.668667467,1.11E-07
72642-110085.csv,Microarray,monocytic.lineage,0.468463834,0.451716687,0.000991675
72642-110085.csv,Microarray,NK.cells,0.866522382,0.768739496,7.08E-11
72642-110085.csv,Microarray,neutrophils,0.968773203,0.93939976,5.87E-24
72642-110085.csv,Microarray,endothelial.cells,0.980092542,0.981656663,3.30E-36
72642-110085.csv,Microarray,fibroblasts,0.973518281,0.990396158,6.55E-43
77343.csv,Microarray,neutrophils,0.768010651,0.757066226,6.72E-38
77343.csv,Microarray,monocytic.lineage,0.685681427,0.618751989,3.34E-22
93683.csv,Microarray,memory.CD8.T.cells,-0.883834546,-0.929323308,3.23E-09
93683.csv,Microarray,naive.CD8.T.cells,-0.968556366,-0.951879699,1.10E-10
93777.csv,Microarray,CD4.T.cells,0.803070516,0.754813926,2.42E-10
93777.csv,Microarray,CD8.T.cells,0.639307061,0.557454982,2.61E-05
93777.csv,Microarray,monocytic.lineage,0.933137105,0.908091236,9.00E-20
93777.csv,Microarray,neutrophils,0.916285395,0.872172869,1.63E-16
93777.csv,Microarray,NK.cells,0.964619249,0.972533013,4.82E-32
93777.csv,Microarray,B.cells,-0.317861783,-0.193469388,0.178240459
93777.csv,Microarray,fibroblasts,0.855796627,0.913085234,2.49E-20
