,0,1,2,3,4,5
0,a,b,c,0.0,0.0,0.0
1,a,b,c,0.0,0.0,0.0
0,10x,Microarray,cell1,0.9240845369175508,0.8152626917723008,0.00405065030072368
1,10x,Microarray,cell2,0.7892869365245351,0.4822553024132208,0.15807226898115406
2,10x,Microarray,cell3,0.7974572790905785,0.6210338067047952,0.055329184169790664
3,10x,Microarray,cell4,0.8193760817871921,0.7598123109963695,0.010769501525610197
4,10x,Microarray,cell5,0.8989258397198407,0.7699703200071729,0.009181533254450269
0,Abbas,Microarray,Jurkat,0.9930791513628205,0.9716254134469436,1.3811738967574605e-07
1,Abbas,Microarray,IM-9,0.9920412195347692,0.9716254134469436,1.3811738967574605e-07
2,Abbas,Microarray,Raji,0.9912261757069947,0.9716254134469436,1.3811738967574605e-07
3,Abbas,Microarray,THP-1,0.9621867922031224,0.7988920066119314,0.0018280912052316756
0,BreastBlood,Microarray,Blood,0.8385331671230595,0.8215838362577492,0.00660265592724442
1,BreastBlood,Microarray,Breast,0.992381034612881,0.8215838362577492,0.00660265592724442
0,CIBERSORT,Microarray,B cells naive,0.9598872018134301,0.6668859288553503,0.21889398131323154
1,CIBERSORT,Microarray,B cells memory,0.879623422182391,0.8944271909999159,0.040519326353834
2,CIBERSORT,Microarray,Plasma cells,0.9507261557387628,0.9999999999999999,1.4042654220543672e-24
3,CIBERSORT,Microarray,T cells CD8,0.9294560905252769,0.9746794344808963,0.004818230468198566
4,CIBERSORT,Microarray,T cells CD4 naive,,,
5,CIBERSORT,Microarray,T cells CD4 memory resting,,,
6,CIBERSORT,Microarray,T cells CD4 memory activated,0.9214063326740345,0.7999999999999999,0.10408803866182788
7,CIBERSORT,Microarray,T cells follicular helper,,,
8,CIBERSORT,Microarray,T cells regulatory (Tregs),0.6540210002070463,0.6,0.28475697986529375
9,CIBERSORT,Microarray,T cells gamma delta,0.9821164187721216,0.8720815992723809,0.05385421772754211
10,CIBERSORT,Microarray,NK cells resting,,,
11,CIBERSORT,Microarray,NK cells activated,0.9906271001776982,0.9486832980505137,0.013846832988859107
12,CIBERSORT,Microarray,Monocytes,0.8146545879766672,0.7999999999999999,0.10408803866182788
13,CIBERSORT,Microarray,Macrophages M0,0.6759811311419469,0.7181848464596079,0.1717953049079889
14,CIBERSORT,Microarray,Macrophages M1,0.987603111360839,0.9999999999999999,1.4042654220543672e-24
15,CIBERSORT,Microarray,Macrophages M2,0.9712949614319456,0.8207826816681234,0.08858700531354378
16,CIBERSORT,Microarray,Dendritic cells resting,0.9824816095557061,0.9746794344808963,0.004818230468198566
17,CIBERSORT,Microarray,Dendritic cells activated,,,
18,CIBERSORT,Microarray,Mast cells resting,0.9754553438399534,0.9999999999999999,1.4042654220543672e-24
19,CIBERSORT,Microarray,Mast cells activated,0.9965022515584098,0.9746794344808963,0.004818230468198566
20,CIBERSORT,Microarray,Eosinophils,0.9963680893285497,0.9746794344808963,0.004818230468198566
21,CIBERSORT,Microarray,Neutrophils,0.9947329624039948,0.8944271909999159,0.040519326353834
0,DeconRNASeq,Microarray,brain,0.9910213260119186,0.9878787878787878,9.307459988955517e-08
1,DeconRNASeq,Microarray,muscle,0.946709854770017,0.9393939393939393,5.484052998513666e-05
2,DeconRNASeq,Microarray,lung,0.9919237881255227,0.9393939393939393,5.484052998513666e-05
3,DeconRNASeq,Microarray,liver,0.988111712977391,0.9878787878787878,9.307459988955517e-08
4,DeconRNASeq,Microarray,heart,0.3027284552259391,0.6848484848484848,0.02888279750673276
0,DSA,Microarray,liver,0.9819237725017357,0.9931584145359876,1.05041318021364e-09
1,DSA,Microarray,brain,0.9814393462612624,0.9954441676503465,1.6909623943412074e-10
2,DSA,Microarray,lung,0.9671016715506913,0.9862693712811287,2.390348942277324e-08
0,EPIC,Microarray,Bcells,0.8942543885378552,0.7999999999999999,0.20000000000000007
1,EPIC,Microarray,CD4_Tcells,0.9493379553120022,1.0,0.0
2,EPIC,Microarray,CD8_Tcells,0.7651962290726207,0.19999999999999998,0.8
3,EPIC,Microarray,NKcells,-0.9326906985578407,-0.316227766016838,0.683772233983162
0,RatBrain,Microarray,Neuronal,0.991955041918362,0.8807710121010885,0.0007637917374575802
1,RatBrain,Microarray,Astrocytic,0.5135726638281566,0.45464113825444946,0.18680029688990274
2,RatBrain,Microarray,Oligodendrocytic,0.9786573164249579,0.8807710121010885,0.0007637917374575802
3,RatBrain,Microarray,Microglial,0.9506460291523796,0.6963106238227913,0.025293249585455497
0,TIMER,Microarray,B_cell,0.6932731348527225,0.9746794344808963,0.004818230468198566
1,TIMER,Microarray,CD4_Tcell,0.10472262695447951,0.09999999999999999,0.8728885715695383
2,TIMER,Microarray,CD8_Tcell,-0.8578742831880352,-0.6,0.28475697986529375
3,TIMER,Microarray,Neutrophil,0.34988453820736604,0.49999999999999994,0.39100221895577053
4,TIMER,Microarray,Macrophage,0.628166757618368,0.09999999999999999,0.8728885715695383
5,TIMER,Microarray,Dendritic,0.013051162863727941,0.3,0.6238376647810728
