,0,1,2,3,4,5
0,a,b,c,0.0,0.0,0.0
1,a,b,c,0.0,0.0,0.0
0,10x,Microarray,cell1,0.9300912920081141,0.8152626917723008,0.00405065030072368
1,10x,Microarray,cell2,0.7865703188224502,0.4822553024132208,0.15807226898115406
2,10x,Microarray,cell3,0.7952037695830343,0.6210338067047952,0.055329184169790664
3,10x,Microarray,cell4,0.8190403511852754,0.7598123109963695,0.010769501525610197
4,10x,Microarray,cell5,0.8893824296024685,0.7699703200071729,0.009181533254450269
0,Abbas,Microarray,Jurkat,0.9960485899019317,0.9716254134469436,1.3811738967574605e-07
1,Abbas,Microarray,IM-9,0.9934278262807936,0.9716254134469436,1.3811738967574605e-07
2,Abbas,Microarray,Raji,0.99549809002964,0.9716254134469436,1.3811738967574605e-07
3,Abbas,Microarray,THP-1,0.9743654696626216,0.8852587100294375,0.00012880556897956028
0,BreastBlood,Microarray,Blood,0.8728442544139802,0.8215838362577492,0.00660265592724442
1,BreastBlood,Microarray,Breast,0.9898631161106373,0.8215838362577492,0.00660265592724442
0,CIBERSORT,Microarray,B cells naive,,,
1,CIBERSORT,Microarray,B cells memory,0.8765730683982187,0.8944271909999159,0.040519326353834
2,CIBERSORT,Microarray,Plasma cells,0.9564798198249912,0.9999999999999999,1.4042654220543672e-24
3,CIBERSORT,Microarray,T cells CD8,0.8423875363524521,0.5642880936468347,0.32172333582430024
4,CIBERSORT,Microarray,T cells CD4 naive,,,
5,CIBERSORT,Microarray,T cells CD4 memory resting,,,
6,CIBERSORT,Microarray,T cells CD4 memory activated,,,
7,CIBERSORT,Microarray,T cells follicular helper,,,
8,CIBERSORT,Microarray,T cells regulatory (Tregs),0.7157694183574641,0.6,0.28475697986529375
9,CIBERSORT,Microarray,T cells gamma delta,0.9782247113392251,0.8720815992723809,0.05385421772754211
10,CIBERSORT,Microarray,NK cells resting,,,
11,CIBERSORT,Microarray,NK cells activated,0.9913382570003365,0.9486832980505137,0.013846832988859107
12,CIBERSORT,Microarray,Monocytes,0.6907686564027268,0.49999999999999994,0.39100221895577053
13,CIBERSORT,Microarray,Macrophages M0,0.7493454893293252,0.5642880936468347,0.32172333582430024
14,CIBERSORT,Microarray,Macrophages M1,0.9782657623409761,0.8999999999999998,0.03738607346849874
15,CIBERSORT,Microarray,Macrophages M2,,,
16,CIBERSORT,Microarray,Dendritic cells resting,0.9706568620828847,0.9746794344808963,0.004818230468198566
17,CIBERSORT,Microarray,Dendritic cells activated,,,
18,CIBERSORT,Microarray,Mast cells resting,0.9503716267691964,0.8999999999999998,0.03738607346849874
19,CIBERSORT,Microarray,Mast cells activated,0.9961749167239524,0.9746794344808963,0.004818230468198566
20,CIBERSORT,Microarray,Eosinophils,,,
21,CIBERSORT,Microarray,Neutrophils,0.9986019771878412,0.8944271909999159,0.040519326353834
0,DeconRNASeq,Microarray,brain,0.9485698783420503,0.9636363636363635,7.320974809529922e-06
1,DeconRNASeq,Microarray,muscle,0.9730496150012858,0.9878787878787878,9.307459988955517e-08
2,DeconRNASeq,Microarray,lung,0.9882674163354433,0.9272727272727272,0.00011203450639397582
3,DeconRNASeq,Microarray,liver,0.9863849795983021,0.9878787878787878,9.307459988955517e-08
4,DeconRNASeq,Microarray,heart,0.5231405271190771,0.7696969696969697,0.009221952722215994
0,DSA,Microarray,liver,0.9844129017673112,0.9931584145359876,1.05041318021364e-09
1,DSA,Microarray,brain,0.9834270899159219,0.9954441676503465,1.6909623943412074e-10
2,DSA,Microarray,lung,0.9828139409304963,0.9862693712811287,2.390348942277324e-08
0,EPIC,Microarray,Bcells,0.9193124189304457,0.7999999999999999,0.20000000000000007
1,EPIC,Microarray,CD4_Tcells,0.23194254902438743,-0.19999999999999998,0.8
2,EPIC,Microarray,CD8_Tcells,0.6072930057597368,0.6000000000000001,0.3999999999999999
3,EPIC,Microarray,NKcells,-0.9652276920583283,-0.9486832980505139,0.051316701949486114
0,RatBrain,Microarray,Neuronal,0.9957703771679456,0.8807710121010885,0.0007637917374575802
1,RatBrain,Microarray,Astrocytic,0.689916522036524,0.7198484689028783,0.01890477781850604
2,RatBrain,Microarray,Oligodendrocytic,0.9853228994815227,0.8807710121010885,0.0007637917374575802
3,RatBrain,Microarray,Microglial,0.9476506279586453,0.6963106238227913,0.025293249585455497
0,TIMER,Microarray,B_cell,0.7929521443034238,0.8720815992723809,0.05385421772754211
1,TIMER,Microarray,CD4_Tcell,0.23538091913105938,0.09999999999999999,0.8728885715695383
2,TIMER,Microarray,CD8_Tcell,-0.9008860967932949,-0.6,0.28475697986529375
3,TIMER,Microarray,Neutrophil,-0.25650344660562113,-0.09999999999999999,0.8728885715695383
4,TIMER,Microarray,Macrophage,0.05487131606359383,0.3,0.6238376647810728
5,TIMER,Microarray,Dendritic,-0.2881310897320692,-0.09999999999999999,0.8728885715695383
