"","Cell","Batch","Group","ExpLibSize","sizeFactor"
"Cell1","Cell1","Batch1","Group2",327053.871026095,1.67707744725956
"Cell2","Cell2","Batch1","Group1",159530.778633567,0.823122347500478
"Cell3","Cell3","Batch1","Group2",59713.7251639256,0.303672260525008
"Cell4","Cell4","Batch1","Group2",128761.619237193,0.658747873288966
"Cell5","Cell5","Batch1","Group3",211010.191260943,1.08981999620786
"Cell6","Cell6","Batch1","Group2",75759.8928543538,0.39292983763401
"Cell7","Cell7","Batch1","Group3",97515.658630487,0.499507047184575
"Cell8","Cell8","Batch1","Group2",61231.1587962477,0.313142246662495
"Cell9","Cell9","Batch1","Group3",113230.02291386,0.580714364486317
"Cell10","Cell10","Batch1","Group1",201068.812865783,1.02322660102268
"Cell11","Cell11","Batch1","Group1",97802.6416310772,0.503596476287944
"Cell12","Cell12","Batch1","Group2",172583.205544357,0.896788654656887
"Cell13","Cell13","Batch1","Group3",86163.7744210016,0.448093407073667
"Cell14","Cell14","Batch1","Group2",184653.378882188,0.94879384740539
"Cell15","Cell15","Batch1","Group3",320314.111234334,1.65469618181458
"Cell16","Cell16","Batch1","Group1",166700.581936433,0.865678129855409
"Cell17","Cell17","Batch1","Group3",84690.8301795165,0.429765563180204
"Cell18","Cell18","Batch1","Group1",121410.852659946,0.626377084172613
"Cell19","Cell19","Batch1","Group1",356015.519054325,1.83723903790421
"Cell20","Cell20","Batch1","Group2",89959.9023131053,0.465032388252779
"Cell21","Cell21","Batch1","Group2",191407.084946628,0.987136746193454
"Cell22","Cell22","Batch1","Group2",102654.161232261,0.525411908775224
"Cell23","Cell23","Batch1","Group1",189812.44998168,0.984955717338324
"Cell24","Cell24","Batch1","Group3",260350.995496721,1.34280905553099
"Cell25","Cell25","Batch1","Group3",131789.316811965,0.671880341843558
"Cell26","Cell26","Batch1","Group2",62348.1817897287,0.318502227952696
"Cell27","Cell27","Batch1","Group1",70377.7800437716,0.358429459022318
"Cell28","Cell28","Batch1","Group3",259864.17408719,1.335921325255
"Cell29","Cell29","Batch1","Group1",104173.337801507,0.536872598136615
"Cell30","Cell30","Batch1","Group2",71632.9697273816,0.371273867162082
"Cell31","Cell31","Batch1","Group3",103517.887897908,0.527531210398605
"Cell32","Cell32","Batch1","Group1",307427.627867956,1.57112265396247
"Cell33","Cell33","Batch1","Group1",202651.336178175,1.03648766797675
"Cell34","Cell34","Batch1","Group2",129256.90864799,0.666525504489335
"Cell35","Cell35","Batch1","Group1",69323.4235083757,0.357961360848222
"Cell36","Cell36","Batch1","Group3",246403.744269642,1.27189475412338
"Cell37","Cell37","Batch1","Group1",242317.46589254,1.24674090718568
"Cell38","Cell38","Batch1","Group2",281566.174192739,1.44675771379624
"Cell39","Cell39","Batch1","Group3",66394.0195020543,0.339489486747344
"Cell40","Cell40","Batch1","Group1",166043.603933923,0.855266803433751
"Cell41","Cell41","Batch1","Group1",193067.559964725,0.991889743038125
"Cell42","Cell42","Batch1","Group1",72321.204584346,0.371757397144115
"Cell43","Cell43","Batch1","Group2",131388.527038535,0.672641644368462
"Cell44","Cell44","Batch1","Group1",52043.9218387452,0.271352910768446
"Cell45","Cell45","Batch1","Group3",91491.1436869491,0.473663912825676
"Cell46","Cell46","Batch1","Group2",255206.778188251,1.30685808697319
"Cell47","Cell47","Batch1","Group2",418359.191537193,2.15255202554988
"Cell48","Cell48","Batch1","Group3",174124.282329411,0.896521169985975
"Cell49","Cell49","Batch1","Group2",71299.7160357086,0.363069289275449
"Cell50","Cell50","Batch1","Group1",81557.6607407058,0.422445742281973
"Cell51","Cell51","Batch1","Group3",121522.085307072,0.62382054799101
"Cell52","Cell52","Batch1","Group3",105780.402126228,0.546203698002667
"Cell53","Cell53","Batch1","Group1",221211.506251004,1.13678927563284
"Cell54","Cell54","Batch1","Group2",225372.719326502,1.15203075793885
"Cell55","Cell55","Batch1","Group1",127382.628888845,0.652173923107701
"Cell56","Cell56","Batch1","Group2",307599.490759261,1.56162694814508
"Cell57","Cell57","Batch1","Group3",456090.963040519,2.35049068202489
"Cell58","Cell58","Batch1","Group3",97649.2564957308,0.504419506044597
"Cell59","Cell59","Batch1","Group3",527342.657556988,2.69836992835411
"Cell60","Cell60","Batch1","Group2",143393.897479414,0.740798796091276
"Cell61","Cell61","Batch1","Group2",283452.300034261,1.47282203740224
"Cell62","Cell62","Batch1","Group3",159329.616483604,0.818945471485465
"Cell63","Cell63","Batch1","Group1",70561.2779304599,0.364756500276587
"Cell64","Cell64","Batch1","Group2",211376.428230239,1.08916157240253
"Cell65","Cell65","Batch1","Group2",138399.284122404,0.708793226429438
"Cell66","Cell66","Batch1","Group3",86019.7043865365,0.439461882500771
"Cell67","Cell67","Batch1","Group3",95112.3216189206,0.487861176127938
"Cell68","Cell68","Batch1","Group2",280562.785936353,1.45352713354471
"Cell69","Cell69","Batch1","Group3",85199.5092009533,0.43862856487216
"Cell70","Cell70","Batch1","Group1",220713.811576419,1.13995794019595
"Cell71","Cell71","Batch1","Group2",193574.230073277,0.992795075770443
"Cell72","Cell72","Batch1","Group1",259803.723259261,1.3468624770825
"Cell73","Cell73","Batch1","Group3",133027.658085378,0.691149526021193
"Cell74","Cell74","Batch1","Group2",63940.7792633095,0.330240689856958
"Cell75","Cell75","Batch1","Group2",173925.448451237,0.902858499112202
"Cell76","Cell76","Batch1","Group3",549905.421805166,2.82598583605912
"Cell77","Cell77","Batch1","Group2",294099.146515525,1.51453935819258
"Cell78","Cell78","Batch1","Group2",220978.00359756,1.13582735960475
"Cell79","Cell79","Batch1","Group2",341985.869494441,1.74879934661588
"Cell80","Cell80","Batch1","Group1",262033.293482883,1.35027290663663
"Cell81","Cell81","Batch1","Group1",75581.3472964114,0.382045269102276
"Cell82","Cell82","Batch1","Group3",116476.980080675,0.597571042689763
"Cell83","Cell83","Batch1","Group1",278745.551245041,1.43340405599455
"Cell84","Cell84","Batch1","Group3",67748.7955818617,0.351937811816719
"Cell85","Cell85","Batch1","Group2",176615.415923948,0.896860669760594
"Cell86","Cell86","Batch1","Group3",514600.82600408,2.67308233908095
"Cell87","Cell87","Batch1","Group3",207442.186297499,1.06552004264268
"Cell88","Cell88","Batch1","Group3",175335.334827754,0.892616922577853
"Cell89","Cell89","Batch1","Group2",66328.2843885301,0.337627381922917
"Cell90","Cell90","Batch1","Group2",150793.426685196,0.774661326641562
"Cell91","Cell91","Batch1","Group3",130609.148868679,0.663279680886535
"Cell92","Cell92","Batch1","Group1",407551.531432455,2.0875069550944
"Cell93","Cell93","Batch1","Group3",237825.165069852,1.23117535691298
"Cell94","Cell94","Batch1","Group2",281572.009815451,1.44137715676212
"Cell95","Cell95","Batch1","Group2",168251.8204773,0.869464066736013
"Cell96","Cell96","Batch1","Group3",90038.1853400195,0.458880240821799
"Cell97","Cell97","Batch1","Group3",362256.221991874,1.86219227133873
"Cell98","Cell98","Batch1","Group3",113879.392348127,0.589968305312682
"Cell99","Cell99","Batch1","Group1",239849.315014701,1.22331542273695
"Cell100","Cell100","Batch1","Group2",151699.726697955,0.77931658870263
"Cell101","Cell101","Batch1","Group3",229200.7196156,1.1813048975958
"Cell102","Cell102","Batch1","Group3",78857.9274022045,0.404647723794355
"Cell103","Cell103","Batch1","Group1",83552.4854526953,0.427090716471082
"Cell104","Cell104","Batch1","Group2",540753.970824728,2.7905081096114
"Cell105","Cell105","Batch1","Group3",221959.694296165,1.13939725117423
"Cell106","Cell106","Batch1","Group3",279872.943337131,1.4446281243009
"Cell107","Cell107","Batch1","Group1",294446.537341538,1.51357744216449
"Cell108","Cell108","Batch1","Group1",121646.940297961,0.617663256624051
"Cell109","Cell109","Batch1","Group2",172818.129158994,0.895471807046243
"Cell110","Cell110","Batch1","Group2",127716.876762722,0.655075102999902
"Cell111","Cell111","Batch1","Group2",181293.75012927,0.935810552994191
"Cell112","Cell112","Batch1","Group2",62762.8567125634,0.321429127524793
"Cell113","Cell113","Batch1","Group2",266545.25056397,1.36405865506057
"Cell114","Cell114","Batch1","Group1",200084.321690229,1.03449696475285
"Cell115","Cell115","Batch1","Group1",194672.326159011,0.999605647006745
"Cell116","Cell116","Batch1","Group2",116474.854922767,0.598712996477119
"Cell117","Cell117","Batch1","Group2",87105.4978697693,0.441853812731043
"Cell118","Cell118","Batch1","Group3",250473.927110414,1.29406511819322
"Cell119","Cell119","Batch1","Group1",163892.48631627,0.835730134585204
"Cell120","Cell120","Batch1","Group3",120109.077545612,0.620343247269152
"Cell121","Cell121","Batch1","Group1",169210.182158204,0.879083227016893
"Cell122","Cell122","Batch1","Group2",125298.128081922,0.643264625991934
"Cell123","Cell123","Batch1","Group3",335748.333227095,1.73809481584341
"Cell124","Cell124","Batch1","Group3",169694.16694831,0.86712871980151
"Cell125","Cell125","Batch1","Group1",414694.168259809,2.12448671084801
"Cell126","Cell126","Batch1","Group3",78993.9410262359,0.408063297284464
"Cell127","Cell127","Batch1","Group2",57209.8834912715,0.296414166858526
"Cell128","Cell128","Batch1","Group3",80758.548760477,0.420048668115721
"Cell129","Cell129","Batch1","Group2",354306.465263594,1.83804663585292
"Cell130","Cell130","Batch1","Group2",204832.458166836,1.05910041054079
"Cell131","Cell131","Batch1","Group3",99741.2606312559,0.514938855121816
"Cell132","Cell132","Batch1","Group3",113561.938412775,0.587843859753322
"Cell133","Cell133","Batch1","Group1",99584.8308039268,0.513318515288406
"Cell134","Cell134","Batch1","Group3",135367.050112659,0.69709077207703
"Cell135","Cell135","Batch1","Group2",168015.304894288,0.856058969574529
"Cell136","Cell136","Batch1","Group2",255088.938333259,1.33166214626432
"Cell137","Cell137","Batch1","Group1",156091.250341506,0.810319090848547
"Cell138","Cell138","Batch1","Group2",61906.1524814606,0.31976763620355
"Cell139","Cell139","Batch1","Group3",81152.2439240812,0.420516766289818
"Cell140","Cell140","Batch1","Group1",68159.0418106553,0.3463360655355
"Cell141","Cell141","Batch1","Group1",93202.1886240276,0.474666980341596
"Cell142","Cell142","Batch1","Group3",547214.73829053,2.79912420237636
"Cell143","Cell143","Batch1","Group3",131736.32224821,0.672513045968985
"Cell144","Cell144","Batch1","Group3",102642.102619542,0.5271145515843
"Cell145","Cell145","Batch1","Group2",175167.722359524,0.900600311217386
"Cell146","Cell146","Batch1","Group3",82263.8188227921,0.423561976389433
"Cell147","Cell147","Batch1","Group1",237547.499497801,1.2128526569555
"Cell148","Cell148","Batch1","Group1",543485.865880033,2.78609975647733
"Cell149","Cell149","Batch1","Group3",129160.231076528,0.663804362356402
"Cell150","Cell150","Batch1","Group3",176171.557165068,0.906063171227169
"Cell151","Cell151","Batch1","Group2",172221.66995271,0.882869163897496
"Cell152","Cell152","Batch1","Group3",166942.451507053,0.868342688692573
"Cell153","Cell153","Batch1","Group1",479204.840072542,2.47227851026559
"Cell154","Cell154","Batch1","Group2",333004.84233591,1.71583186092595
"Cell155","Cell155","Batch1","Group3",95697.4289417734,0.48577788205641
"Cell156","Cell156","Batch1","Group2",62868.7062402579,0.327015441998074
"Cell157","Cell157","Batch1","Group3",238197.734223319,1.2237217936793
"Cell158","Cell158","Batch1","Group3",112201.573643872,0.58181516678584
"Cell159","Cell159","Batch1","Group3",237802.505450062,1.22087719708287
"Cell160","Cell160","Batch1","Group1",209478.852345314,1.08258247828529
"Cell161","Cell161","Batch1","Group2",174037.243970438,0.900219659954934
"Cell162","Cell162","Batch1","Group1",279506.357369901,1.41674799129429
"Cell163","Cell163","Batch1","Group1",242669.862636523,1.24318644742414
"Cell164","Cell164","Batch1","Group3",45818.5037532658,0.233035731660277
"Cell165","Cell165","Batch1","Group1",197012.362591505,1.01381319818097
"Cell166","Cell166","Batch1","Group1",244929.84789294,1.25348460725426
"Cell167","Cell167","Batch1","Group1",100366.196527553,0.514331870676285
